month,date,num,num_unadj
60,2005-01,1823928.98184711,1594188
61,2005-02,1838420.58531918,1695936
62,2005-03,1818050.02097085,2002740
63,2005-04,1803892.70875567,1878180
64,2005-05,1815511.5016288,1925700
65,2005-06,1923703.66102829,2043600
66,2005-07,1953017.58841875,2132820
67,2005-08,1845419.81751469,2057224
68,2005-09,1785832.45105263,1719348
69,2005-10,1696837.10221611,1580084
70,2005-11,1766684.63848542,1550980
71,2005-12,1783128.99925988,1654312
72,2006-01,1844734.33707031,1614132
73,2006-02,1800832.44657306,1659600
74,2006-03,1814208.76495407,1999176
75,2006-04,1831155.71817114,1866060
76,2006-05,1838364.91554045,1981158
77,2006-06,1872201.13759667,1997424
78,2006-07,1896875.63430873,2075236
79,2006-08,1872319.93134237,2085164
80,2006-09,1883724.64645479,1811532
81,2006-10,1853609.40507941,1733868
82,2006-11,1860507.69444348,1655424
83,2006-12,1859724.40080156,1688940
84,2007-01,1838208.32669426,1641468
85,2007-02,1882141.93310826,1740192
86,2007-03,1860158.48750996,2061216
87,2007-04,1857166.96484358,1894272
88,2007-05,1936600.63278662,2083080
89,2007-06,1854262.86545212,1969800
90,2007-07,1834831.33260031,2004576
91,2007-08,1864614.62878467,2064708
92,2007-09,1880891.92748945,1767312
93,2007-10,1889037.09231418,1801932
94,2007-11,1836927.19086927,1650708
95,2007-12,1824099.5811402,1661424
96,2008-01,1803241.18112896,1611720
97,2008-02,1759292.26332774,1736124
98,2008-03,1784497.4543449,1947168
99,2008-04,1795780.90702505,1871424
100,2008-05,1782135.64274424,1932240
101,2008-06,1732047.83066382,1793772
102,2008-07,1563499.24849785,1757712
103,2008-08,1533972.38499049,1684764
104,2008-09,1516089.03974123,1444620
105,2008-10,1323407.06705162,1244088
106,2008-11,1335156.05209997,1117752
107,2008-12,1317422.0372616,1197468
108,2009-01,1368480.41743816,1183992
109,2009-02,1318432.29378651,1183932
110,2009-03,1194652.83013693,1365828
111,2009-04,1196843.50658241,1281156
112,2009-05,1258310.11006624,1359276
113,2009-06,1304747.47713695,1394076
114,2009-07,1319475.14683742,1495140
115,2009-08,1584233.53970307,1724556
116,2009-09,1243522.81875469,1169948
117,2009-10,1268892.44985902,1203276
118,2009-11,1356696.92072308,1148448
119,2009-12,1345951.60592717,1241172
120,2010-01,1367762.27265999,1132560
121,2010-02,1346939.57674927,1219920
122,2010-03,1436619.29518637,1645260
123,2010-04,1464707.44882073,1555128
124,2010-05,1457591.3491505,1557288
125,2010-06,1498778.83636965,1568796
126,2010-07,1484575.42189899,1658460
127,2010-08,1532915.51521907,1671480
128,2010-09,1578466.57359131,1515828
129,2010-10,1610707.66474308,1499916
130,2010-11,1598726.95679255,1439784
131,2010-12,1633183.45304633,1530816
132,2011-01,1663518.21879259,1421792
133,2011-02,1706078.74328809,1580496
134,2011-03,1657435.15228923,1874016
135,2011-04,1640500.35354593,1726332
136,2011-05,1618936.65135827,1722644
137,2011-06,1630030.87495919,1693956
138,2011-07,1642900.04995481,1762728
139,2011-08,1641840.65579704,1821276
140,2011-09,1733583.69009441,1690884
141,2011-10,1789412.88015637,1676844
142,2011-11,1795182.27948688,1628184
143,2011-12,1819397.2652119,1725912
144,2012-01,1815380.11154575,1561320
145,2012-02,1843291.50038646,1827000
146,2012-03,1854211.37095219,2077908
147,2012-04,1873637.3966031,1909740
148,2012-05,1878388.02558396,2029896
149,2012-06,1849714.32561611,1912560
150,2012-07,1877960.29107805,1995468
151,2012-08,1904453.49850951,2100888
152,2012-09,1907687.18849173,1835772
153,2012-10,1918290.89543118,1836456
154,2012-11,1950363.89807449,1790088
155,2012-12,1961977.32875968,1816464
156,2013-01,1968307.67777247,1738248
157,2013-02,1992923.61925691,1868352
158,2013-03,1996785.29951857,2171844
159,2013-04,2032346.98348389,2104872
160,2013-05,2061681.10858246,2224524
161,2013-06,2077273.84749841,2096340
162,2013-07,2085113.82294767,2238060
163,2013-08,2075345.42161609,2298168
164,2013-09,2053361.56513579,1991400
165,2013-10,2040849.12700097,1961100
166,2013-11,2057959.66630297,1889076
167,2013-12,2058978.80793568,1906488
168,2014-01,2055568.72759685,1809468
169,2014-02,2098992.4438124,1972644
170,2014-03,2184678.09400432,2355864
171,2014-04,2145136.42356001,2200548
172,2014-05,2155349.09953832,2338500
173,2014-06,2148081.68283952,2167572
174,2014-07,2152000.68258733,2317812
175,2014-08,2177274.15165043,2367972
176,2014-09,2189577.83020084,2177904
177,2014-10,2168460.53210944,2082204
178,2014-11,2163792.80030007,1950744
179,2014-12,2183188.37044795,2057604
180,2015-01,2173553.3930419,1927176
181,2015-02,2159476.42295809,2028912
182,2015-03,2264648.53581419,2434416
183,2015-04,2215347.92854681,2267844
184,2015-05,2245851.94463583,2389656
185,2015-06,2301773.54914588,2367168
186,2015-07,2282244.4433955,2449188
187,2015-08,2275964.03913059,2476512
188,2015-09,2283939.491489,2270508
189,2015-10,2268763.18783879,2190864
190,2015-11,2262820.7785546,2044152
191,2015-12,2258134.91913985,2134416
192,2016-01,2256493.32079366,1957835.94494625
193,2016-02,2263666.69822978,2244372.33999044
194,2016-03,2235001.88632766,2444506.53854388
195,2016-04,2239087.80211274,2290441.19573282
196,2016-05,2250044.7113373,2395130.05815431
197,2016-06,2242850.52490956,2307204.56685121
198,2016-07,2239817.00875404,2371921.26576239
199,2016-08,2258510.59453212,2495428.52210337
200,2016-09,2256686.1707251,2257913.97517901
201,2016-10,2279892.31403367,2156731.99633365
202,2016-11,2289564.68412981,2105283.5121854
