month,date,vol,vol_unadj
60,2005-01,34232101665.2991,29603958888
61,2005-02,34231729009.8985,31239051912
62,2005-03,34094968549.3905,37392213744
63,2005-04,33591311577.8064,34702728756
64,2005-05,33697233119.6812,36109250724
65,2005-06,36600960286.1993,38981303220
66,2005-07,38187998348.7645,41618997400
67,2005-08,34430555313.0085,38321005264
68,2005-09,33042428267.2558,31766543364
69,2005-10,31270435222.669,29226347436
70,2005-11,32937473279.5677,28770087232
71,2005-12,33255748189.5879,31479450320
72,2006-01,34570863456.8421,29874527172
73,2006-02,33425812240.435,30479797680
74,2006-03,33742429621.2731,37158735144
75,2006-04,34238872500.3535,34612173096
76,2006-05,34167667910.821,37144457106
77,2006-06,35576059480.6545,38145229488
78,2006-07,36895036018.1805,40190107244
79,2006-08,36073012870.6269,39836088768
80,2006-09,36109203100.0821,34794555432
81,2006-10,35053310847.2426,32903951708
82,2006-11,35118308948.1128,31179742884
83,2006-12,35015503339.7528,32611077480
84,2007-01,34709146369.7671,30624119856
85,2007-02,36098343150.3494,33156409860
86,2007-03,35449358037.2505,39152875848
87,2007-04,35401725050.7902,35844762840
88,2007-05,36595203802.1843,39536919684
89,2007-06,34941179630.0629,37393433544
90,2007-07,35475164972.3715,38452274772
91,2007-08,35980959873.7749,39586977612
92,2007-09,36403185723.3898,34299513048
93,2007-10,37332812315.3512,35770973160
94,2007-11,35263096924.4842,31798005408
95,2007-12,34941593137.3901,32732281512
96,2008-01,34004532406.0551,29962736736
97,2008-02,33130165897.6661,32414879160
98,2008-03,33621296396.7627,36637464600
99,2008-04,33543562219.1646,34531906404
100,2008-05,32204469347.3452,35378675316
101,2008-06,31282060873.1368,32647611636
102,2008-07,29086396816.2908,32342082096
103,2008-08,28641160589.2855,31446491376
104,2008-09,28313332347.7292,26921023908
105,2008-10,24042963324.6999,22682351448
106,2008-11,24114929412.4417,20186855556
107,2008-12,23522835087.5172,22097054376
108,2009-01,24613795267.9934,20872494628
109,2009-02,23846801972.1174,20916241752
110,2009-03,21631619389.5183,24684294588
111,2009-04,21895415307.7382,23046626532
112,2009-05,22482504924.4625,24843617208
113,2009-06,23503075682.3653,25228715904
114,2009-07,23924696919.6539,26964670092
115,2009-08,28663726173.1558,31238693448
116,2009-09,23164735056.9348,21738962468
117,2009-10,23738890995.5824,22666511736
118,2009-11,25264812022.2339,21571517592
119,2009-12,25310453931.545,24171481452
120,2010-01,25658432650.8719,21122768040
121,2010-02,25268349748.0004,22312854612
122,2010-03,27473250850.4395,31085367108
123,2010-04,27637386388.7819,28956318600
124,2010-05,27385883671.329,29692531860
125,2010-06,28292972700.0988,29582718372
126,2010-07,28534893160.5807,31642076532
127,2010-08,29110587369.0411,31633935984
128,2010-09,29813112368.3289,28639289364
129,2010-10,30424972414.6289,28632833100
130,2010-11,30228407473.9538,27364009428
131,2010-12,31046467445.6261,30161097912
132,2011-01,31684844310.5722,26941643708
133,2011-02,32346622384.1723,29203214568
134,2011-03,31498734006.5242,35104745808
135,2011-04,31267989623.0119,32602233828
136,2011-05,30995674211.2822,33297905300
137,2011-06,31270753813.2646,32419935348
138,2011-07,31944989697.1072,34325523456
139,2011-08,31761166277.0795,35092762992
140,2011-09,33786710357.3685,33107563572
141,2011-10,34593478370.7139,32693058644
142,2011-11,34681756435.8363,31622426316
143,2011-12,35375955188.0994,34687641300
144,2012-01,35301219674.3137,30162276948
145,2012-02,35628126517.0383,34295430768
146,2012-03,35991033576.9833,39835756308
147,2012-04,36580375610.981,37015383192
148,2012-05,36668828984.2934,39769827348
149,2012-06,36312885965.0859,37541975712
150,2012-07,36556902995.6383,38945512008
151,2012-08,37097675130.2948,40887741024
152,2012-09,37456682672.3615,36384686112
153,2012-10,37784544457.9994,36275646876
154,2012-11,38506199892.0768,35598733832
155,2012-12,38776234613.2889,37203847680
156,2013-01,39148686934.7984,34135890444
157,2013-02,39561119892.6546,36076070928
158,2013-03,39497752447.0886,42581737276
159,2013-04,40385251121.9115,41447388276
160,2013-05,41060408354.5016,44570267664
161,2013-06,41469092956.4946,41869195548
162,2013-07,41409561423.9051,44489716200
163,2013-08,41326699776.157,45704851524
164,2013-09,41023278668.1975,40257287124
165,2013-10,41068290328.9025,39452050260
166,2013-11,41636412387.4612,38596492224
167,2013-12,41538423209.53,39735251292
168,2014-01,42053297690.7301,36734890512
169,2014-02,42759753023.0747,39115214424
170,2014-03,44830312439.8614,47838004176
171,2014-04,44004844131.6089,44747528232
172,2014-05,44518120049.99,48470084352
173,2014-06,44041299724.6363,44491688400
174,2014-07,44663319776.0713,47913544728
175,2014-08,44975687745.5471,48956048736
176,2014-09,44766704088.0829,44936459376
177,2014-10,44674819444.6693,43048186608
178,2014-11,44779597570.19,40844340972
179,2014-12,45444102882.1639,44072976504
180,2015-01,45760926506.0139,40295928804
181,2015-02,45296589210.3703,41475489504
182,2015-03,48167677403.7019,51138248784
183,2015-04,46910621553.1882,47613357840
184,2015-05,47587950060.1234,50945200152
185,2015-06,49040723185.696,50235465972
186,2015-07,48543897490.0133,51982599288
187,2015-08,48373684162.1765,52585779528
188,2015-09,48887709152.7967,49085974248
189,2015-10,48640151842.9689,47153763072
190,2015-11,48411964599.9907,44331438156
