month,date,vol,vol_unadj,income_level_group
60,2005-01,10898501473.4569,9518239992,High
60,2005-01,14832998162.8737,12776247576,Middle
60,2005-01,5448738006.34577,4799512848,Moderate
60,2005-01,951091378.105069,849906864,Low
61,2005-02,1017884326.2007,992767416,Low
61,2005-02,10760304346.0058,9557827776,High
61,2005-02,14930140504.6741,13636511760,Middle
61,2005-02,5480874692.84949,5203215744,Moderate
62,2005-03,10911002022.579,11722078476,High
62,2005-03,14845629450.2243,16439054604,Middle
62,2005-03,5369960749.8347,5866162200,Moderate
62,2005-03,995254662.500452,1097087448,Low
63,2005-04,10618159782.2303,10827237540,High
63,2005-04,14653007696.0299,15285766092,Middle
63,2005-04,5312022522.11303,5579357856,Moderate
63,2005-04,996218503.457844,1055662872,Low
64,2005-05,1001160978.91342,1055034888,Low
64,2005-05,10890194612.3533,11757086712,High
64,2005-05,14436008508.2245,15355660740,Middle
64,2005-05,5462838246.34295,5740874424,Moderate
65,2005-06,1004380599.58877,1064625888,Low
65,2005-06,11495435317.4941,12221084028,High
65,2005-06,15951956807.8687,16952571072,Middle
65,2005-06,5880361716.5382,6156954912,Moderate
66,2005-07,1098658395.63218,1153160208,Low
66,2005-07,12293269849.1238,13560784512,High
66,2005-07,16429287617.9171,18183665136,Middle
66,2005-07,5846415845.38066,6474658360,Moderate
67,2005-08,11024717519.7386,12420592488,High
67,2005-08,14866170539.6904,16579092948,Middle
67,2005-08,5499785651.86001,6038650828,Moderate
67,2005-08,967161299.088164,1040684664,Low
68,2005-09,10130247978.1681,9900621444,High
68,2005-09,1025344593.95507,994573800,Low
68,2005-09,14169078017.9563,13586337228,Middle
68,2005-09,5345150110.87374,5188923036,Moderate
69,2005-10,1001582934.54432,931963536,Low
69,2005-10,10354255627.7233,9270627312,High
69,2005-10,13424745513.513,12510300900,Middle
69,2005-10,5139870591.04294,4842227040,Moderate
70,2005-11,1024431317.14803,912680976,Low
70,2005-11,10586451861.9967,9133471768,High
70,2005-11,14132882738.8335,12257175768,Middle
70,2005-11,5367844420.6591,4733270136,Moderate
71,2005-12,10496354589.2245,10463397432,High
71,2005-12,1052318851.78747,970979304,Low
71,2005-12,14343790719.597,13282734816,Middle
71,2005-12,5326871890.40557,4793749680,Moderate
72,2006-01,1062085810.4595,961583376,Low
72,2006-01,10977438438.4252,9549704088,High
