month,date,vol,vol_unadj,credit_score_group
60,2005-01,14835338498.7473,12609976032,Super-prime
60,2005-01,2804085339.7596,2413979616,Subprime
60,2005-01,3117272828.12718,2853631776,Deep subprime
60,2005-01,4362506160.50097,3706084464,Near-prime
60,2005-01,8173672204.90136,7112180880,Prime
61,2005-02,14924590905.9312,13179776280,Super-prime
61,2005-02,2856107874.01474,2659285608,Subprime
61,2005-02,3036553848.51769,3267181296,Deep subprime
61,2005-02,4296051647.01482,3888860592,Near-prime
61,2005-02,8052478150.3451,7131249672,Prime
62,2005-03,14926203839.8101,16010351724,Super-prime
62,2005-03,2852791585.33182,3158204220,Subprime
62,2005-03,3062068080.53261,3625984140,Deep subprime
62,2005-03,4353499751.20132,4840230588,Near-prime
62,2005-03,7904286000.88499,8544475032,Prime
63,2005-04,14386472431.1648,14813782608,Super-prime
63,2005-04,2886984022.17773,2941503384,Subprime
63,2005-04,3167604916.19985,3216144996,Deep subprime
63,2005-04,4276207778.72042,4602137688,Near-prime
63,2005-04,7887557871.33788,8157749760,Prime
64,2005-05,14707859515.7414,15672844896,Super-prime
64,2005-05,2717855214.1429,3004524840,Subprime
64,2005-05,3260429313.99997,3365524284,Deep subprime
64,2005-05,4116073872.75013,4543404912,Near-prime
64,2005-05,7674678908.39074,8418035496,Prime
65,2005-06,15477735121.5965,16732945140,Super-prime
65,2005-06,3096035434.71505,3283237968,Subprime
65,2005-06,3341685206.79678,3573811860,Deep subprime
65,2005-06,4798475074.64731,5075692488,Near-prime
65,2005-06,8572181783.22622,9123328812,Prime
66,2005-07,16958315333.1936,18911725200,Super-prime
66,2005-07,3031987935.77928,3222350892,Subprime
66,2005-07,3310655441.03024,3341273484,Deep subprime
66,2005-07,4940505170.31083,5342682808,Near-prime
66,2005-07,8891304994.94365,9750916512,Prime
67,2005-08,14556704873.9012,16660009860,Super-prime
67,2005-08,2894780268.01739,3209928456,Subprime
67,2005-08,3226959941.22278,3451516228,Deep subprime
67,2005-08,4431640578.93825,4796070528,Near-prime
67,2005-08,8211123199.41485,9116201904,Prime
68,2005-09,13808290027.2357,13297207152,Super-prime
68,2005-09,2810932345.96345,2708616312,Subprime
68,2005-09,3164113253.1177,3006673524,Deep subprime
68,2005-09,4261092160.73954,4142771496,Near-prime
68,2005-09,7801172000.11591,7629440460,Prime
69,2005-10,12995851810.2083,11981666004,Super-prime
69,2005-10,2743133742.33857,2606137720,Subprime
69,2005-10,3290199659.20996,2972423744,Deep subprime
69,2005-10,4109788522.37131,3851842608,Near-prime
69,2005-10,7351093889.72628,6916912584,Prime
70,2005-11,13799309052.9963,11665496256,Super-prime
70,2005-11,2934847618.00808,2629151400,Subprime
70,2005-11,3367283170.9769,3001391512,Deep subprime
70,2005-11,4335681200.32283,3822069672,Near-prime
70,2005-11,7686543643.54885,6730214736,Prime
71,2005-12,14033149350.0056,13777692924,Super-prime
71,2005-12,2942357465.62004,2650148808,Subprime
71,2005-12,3376304164.26878,2961180816,Deep subprime
71,2005-12,4360306832.30353,3980107056,Near-prime
71,2005-12,7710799890.85048,7172631252,Prime
72,2006-01,14592662346.336,12330964128,Super-prime
72,2006-01,3050349082.09256,2683920624,Subprime
72,2006-01,3419816214.13914,3127567788,Deep subprime
72,2006-01,4643698468.34668,4042292976,Near-prime
72,2006-01,7817914959.92126,6766797276,Prime
73,2006-02,14005838267.821,12243032376,Super-prime
73,2006-02,2977296063.31695,2787713856,Subprime
73,2006-02,3440505527.62862,3717210240,Deep subprime
73,2006-02,4385900035.20271,3988724904,Near-prime
73,2006-02,7530339126.7074,6613551360,Prime
74,2006-03,14120312244.4911,15218400348,Super-prime
74,2006-03,2975213239.56083,3283444224,Subprime
74,2006-03,3585112098.49444,4261090848,Deep subprime
74,2006-03,4337130596.50399,4809061344,Near-prime
74,2006-03,7593118382.30817,8258980320,Prime
75,2006-04,14380182988.1478,14442196800,Super-prime
75,2006-04,2968309394.81081,3011276676,Subprime
75,2006-04,3593072692.40401,3538746696,Deep subprime
75,2006-04,4369752853.83691,4594319892,Near-prime
75,2006-04,7765133080.91704,7931869392,Prime
76,2006-05,14172475434.3176,15376205736,Super-prime
76,2006-05,3070277158.39677,3368114376,Subprime
76,2006-05,3536584159.62533,3752994330,Deep subprime
76,2006-05,4516640876.45255,4965274752,Near-prime
76,2006-05,7672394694.10512,8481889692,Prime
77,2006-06,14678264947.9855,16063352184,Super-prime
77,2006-06,3185394414.05714,3368486844,Subprime
77,2006-06,3625287943.60549,3897026844,Deep subprime
77,2006-06,4660217378.71628,4995788304,Near-prime
77,2006-06,7952673137.30844,8553356844,Prime
78,2006-07,15590646743.443,17652147120,Super-prime
78,2006-07,3254957492.40483,3436980348,Subprime
78,2006-07,3708271001.26471,3724794824,Deep subprime
78,2006-07,4697206673.76647,5041754736,Near-prime
78,2006-07,8354066381.53275,9129727272,Prime
79,2006-08,14924214042.205,16953534024,Super-prime
79,2006-08,3188298292.67383,3492712632,Subprime
79,2006-08,3755616973.16278,4008832740,Deep subprime
79,2006-08,4648440967.43318,5026508916,Near-prime
79,2006-08,8206947854.23027,9129892620,Prime
80,2006-09,14930069140.0661,14409751500,Super-prime
80,2006-09,3229014154.98849,3107650896,Subprime
80,2006-09,3807039081.29573,3614852016,Deep subprime
80,2006-09,4678414284.60403,4561569708,Near-prime
80,2006-09,8047639188.77283,7859324424,Prime
81,2006-10,14830167850.9327,13733625924,Super-prime
81,2006-10,3217018343.44469,3092682264,Subprime
81,2006-10,3690291742.24648,3327210132,Deep subprime
81,2006-10,4633615100.06259,4423299128,Near-prime
81,2006-10,7697032740.52676,7274023224,Prime
82,2006-11,15144989307.3051,13124959188,Super-prime
82,2006-11,3065178356.95134,2765308896,Subprime
82,2006-11,3744096205.22038,3327128796,Deep subprime
82,2006-11,4564751293.43272,4013826336,Near-prime
82,2006-11,7891689520.92622,6951776424,Prime
83,2006-12,14901463498.2484,14239485360,Super-prime
83,2006-12,3047983811.86869,2744384208,Subprime
83,2006-12,3767665823.71257,3199785216,Deep subprime
83,2006-12,4560622054.26736,4111304424,Near-prime
83,2006-12,7932644992.16268,7297146504,Prime
84,2007-01,14748047975.9056,12695835792,Super-prime
84,2007-01,3037116160.2015,2702652180,Subprime
84,2007-01,3659030475.86471,3424229196,Deep subprime
84,2007-01,4441547626.73321,3894242208,Near-prime
84,2007-01,7795712798.5236,6820131048,Prime
85,2007-02,15466274342.3803,13647586404,Super-prime
85,2007-02,3076642061.83902,2898741024,Subprime
85,2007-02,3704360702.78617,4044954432,Deep subprime
85,2007-02,4594653319.62906,4214831196,Near-prime
85,2007-02,8053682575.01647,7136853456,Prime
86,2007-03,14614151666.8359,15975433296,Super-prime
86,2007-03,3235490617.34935,3531946356,Subprime
86,2007-03,3721273449.50213,4456040076,Deep subprime
86,2007-03,4530761020.28613,5055520368,Near-prime
86,2007-03,7946358084.73281,8676918240,Prime
87,2007-04,14967495798.1287,15179049336,Super-prime
87,2007-04,3129118937.59315,3199222056,Subprime
87,2007-04,3704918226.98791,3654375960,Deep subprime
87,2007-04,4629373873.13398,4817336472,Near-prime
87,2007-04,7717593240.10766,7881881016,Prime
88,2007-05,15773488454.6012,16936444968,Super-prime
88,2007-05,3211269163.77371,3494726112,Subprime
88,2007-05,3734928842.4801,3980912832,Deep subprime
88,2007-05,4670759994.15039,5126527200,Near-prime
88,2007-05,7889153849.72095,8734744068,Prime
89,2007-06,14623449035.4855,15881796264,Super-prime
89,2007-06,3092137684.98321,3247175700,Subprime
89,2007-06,3715767066.97224,3977066952,Deep subprime
89,2007-06,4468754650.97409,4782090576,Near-prime
89,2007-06,7641717490.97998,8210290116,Prime
90,2007-07,15047634461.6555,16972159080,Super-prime
90,2007-07,3091350812.07825,3277282080,Subprime
90,2007-07,3752510695.4132,3748304856,Deep subprime
90,2007-07,4554423474.75723,4927646760,Near-prime
90,2007-07,7663340023.84061,8408682708,Prime
91,2007-08,15276373063.866,17240214900,Super-prime
91,2007-08,3205316196.39205,3487505412,Subprime
91,2007-08,3836467453.36015,4085306556,Deep subprime
91,2007-08,4688805077.482,5017255944,Near-prime
91,2007-08,7668747338.18087,8539395720,Prime
92,2007-09,15717236543.3566,14868793272,Super-prime
92,2007-09,3078208677.65566,2938636464,Subprime
92,2007-09,3758405161.83649,3473005368,Deep subprime
92,2007-09,4568676935.49033,4367927736,Near-prime
92,2007-09,7874527146.92527,7551726264,Prime
93,2007-10,16478233855.0452,15575064576,Super-prime
93,2007-10,3114061641.16799,3004028616,Subprime
93,2007-10,3874317532.64864,3571207992,Deep subprime
93,2007-10,4607711008.83355,4433517984,Near-prime
93,2007-10,7985625390.23085,7652488800,Prime
94,2007-11,15677481894.4649,13903939080,Super-prime
94,2007-11,3042111521.26555,2749751808,Subprime
94,2007-11,3729727201.59507,3310188360,Deep subprime
94,2007-11,4486099112.42539,4019020224,Near-prime
94,2007-11,7706223386.40814,6858028104,Prime
95,2007-12,15702708207.4222,15303589272,Super-prime
95,2007-12,2962350127.70932,2673342864,Subprime
95,2007-12,3625747147.46305,3055977384,Deep subprime
95,2007-12,4337188651.03279,3851264184,Near-prime
95,2007-12,7595660206.64148,6922819776,Prime
96,2008-01,15182774819.8593,13066015368,Super-prime
96,2008-01,2824341031.57838,2505445632,Subprime
96,2008-01,3469460095.38085,3228545736,Deep subprime
96,2008-01,4204240036.26863,3711635616,Near-prime
96,2008-01,7416644584.40003,6498653136,Prime
97,2008-02,15028561302.8383,13962065040,Super-prime
97,2008-02,2761043909.77587,2865302820,Subprime
97,2008-02,3123029107.28977,3617353368,Deep subprime
97,2008-02,4082505999.27427,3971932980,Near-prime
97,2008-02,7307447896.88487,6936463272,Prime
98,2008-03,15838805361.5542,16912144572,Super-prime
98,2008-03,2605302711.514,2897015208,Subprime
98,2008-03,2950991732.19826,3453517332,Deep subprime
98,2008-03,4082405187.93012,4497977088,Near-prime
98,2008-03,7177204944.46063,7775281104,Prime
99,2008-04,15763928106.7582,16088698440,Super-prime
99,2008-04,2592921898.74381,2693254104,Subprime
99,2008-04,2876235740.96647,2915811456,Deep subprime
99,2008-04,3990335432.84139,4270277568,Near-prime
99,2008-04,7341497399.53966,7664145732,Prime
100,2008-05,15375916325.1848,16739728200,Super-prime
100,2008-05,2371275726.12199,2619048432,Subprime
100,2008-05,2750288538.92282,2958350808,Deep subprime
100,2008-05,3807766677.53195,4252021176,Near-prime
100,2008-05,6986828180.68147,7859675244,Prime
101,2008-06,14828824463.028,15637163940,Super-prime
101,2008-06,2278799885.35484,2416402200,Subprime
101,2008-06,2598162090.56874,2683004328,Deep subprime
101,2008-06,3598881467.37923,3758514120,Near-prime
101,2008-06,6866287460.18147,7214254008,Prime
102,2008-07,13799691859.5621,15738209208,Super-prime
102,2008-07,2109632223.30714,2296429920,Subprime
102,2008-07,2403764461.96497,2446835376,Deep subprime
102,2008-07,3437472997.62878,3844599624,Near-prime
102,2008-07,6369776090.44812,7183784472,Prime
103,2008-08,14072777826.9577,15725715864,Super-prime
103,2008-08,1928373218.76179,2147819160,Subprime
103,2008-08,2213972312.29426,2275995912,Deep subprime
103,2008-08,3239251980.72056,3498774240,Near-prime
103,2008-08,6234292735.46009,6961217880,Prime
104,2008-09,13804097070.5325,13476387696,Super-prime
104,2008-09,1896687566.03186,1792947312,Subprime
104,2008-09,2041371374.98367,1945969728,Deep subprime
104,2008-09,3139305749.61073,3046732152,Near-prime
104,2008-09,6179095797.17607,5919010260,Prime
105,2008-10,12277812386.6432,11355916200,Super-prime
105,2008-10,1654291662.91875,1538184576,Subprime
105,2008-10,1807261949.98625,1671054912,Deep subprime
105,2008-10,2733589480.41115,2571450696,Near-prime
105,2008-10,5185531663.04391,4954539072,Prime
106,2008-11,12517368231.0653,10480467216,Super-prime
106,2008-11,1618242193.48464,1300796784,Subprime
106,2008-11,1717502960.9727,1468113984,Deep subprime
106,2008-11,2608857775.39172,2075440560,Near-prime
106,2008-11,5243066135.73203,4315551948,Prime
107,2008-12,12148794721.9921,12135382080,Super-prime
107,2008-12,1543505359.83933,1309496832,Subprime
107,2008-12,1588072309.44632,1364332632,Deep subprime
107,2008-12,2543896894.60252,2157845952,Near-prime
107,2008-12,5157374543.16308,4603973928,Prime
108,2009-01,13030377707.7903,11085795168,Super-prime
108,2009-01,1533847249.76232,1205174184,Subprime
108,2009-01,1573741908.24266,1458482388,Deep subprime
108,2009-01,2601076789.10945,2152625400,Near-prime
108,2009-01,5316614524.21833,4452790600,Prime
109,2009-02,12851423025.0961,10940034000,Super-prime
109,2009-02,1362241034.15845,1211873544,Subprime
109,2009-02,1510631656.50055,1710863880,Deep subprime
109,2009-02,2363621812.81841,2022258744,Near-prime
109,2009-02,5388823457.16721,4459002120,Prime
110,2009-03,1109052355.46278,1441175124,Subprime
110,2009-03,12505985354.585,13542846120,Super-prime
110,2009-03,1339722034.54255,1582599228,Deep subprime
110,2009-03,1875207724.4573,2357964720,Near-prime
