month,date,tightness_index,unadjusted_credit_tightness_index
60,2005-01,94.99835,96.84039000000001
61,2005-02,94.48735000000001,93.20391000000001
62,2005-03,94.56100000000001,93.83353000000001
63,2005-04,95.54186000000001,94.95605
64,2005-05,96.3143,94.84722000000001
65,2005-06,96.71682000000001,96.7959
66,2005-07,96.51454000000001,95.65501
67,2005-08,97.65807000000001,97.61432000000001
68,2005-09,97.46662000000001,98.10784000000001
69,2005-10,96.57700000000001,97.85475000000001
70,2005-11,96.09639000000001,97.64461000000001
71,2005-12,95.64452000000001,95.29280000000001
72,2006-01,94.35331000000001,96.14256
73,2006-02,96.11920000000001,94.80299000000001
74,2006-03,95.60868000000001,94.76793000000001
75,2006-04,93.77316,93.22206000000001
76,2006-05,93.84899,92.41164000000001
77,2006-06,93.50868000000001,93.59096000000001
78,2006-07,92.05978,91.37978000000001
79,2006-08,92.57077000000001,92.58305000000001
80,2006-09,92.42109000000001,93.11305
81,2006-10,93.09897000000001,94.33131
82,2006-11,95.33938000000001,96.75948000000001
83,2006-12,96.45558000000001,96.09135000000001
84,2007-01,95.32423000000001,96.98252000000001
85,2007-02,94.73636,93.41499
86,2007-03,95.49142000000001,94.51499000000001
87,2007-04,95.78802,95.26947000000001
88,2007-05,95.94801000000001,94.46119
89,2007-06,95.96287000000001,96.07465000000001
90,2007-07,96.79757000000001,96.37913
91,2007-08,96.49387,96.60921
92,2007-09,96.96829000000001,97.84194000000001
93,2007-10,98.06954,99.37364000000001
94,2007-11,97.94135000000001,99.16003000000001
95,2007-12,96.95082000000001,96.58561
96,2008-01,99.45505000000001,101.01673
97,2008-02,99.59551,98.04966
98,2008-03,100.23305,98.99674
99,2008-04,102.49324,102.00416
100,2008-05,99.88857,98.29781000000001
101,2008-06,101.94183,102.19122
102,2008-07,103.82964,103.73367
103,2008-08,100.97393,101.30431
104,2008-09,103.96271,105.14648
105,2008-10,104.71522,106.14622
106,2008-11,105.50496,106.44076
107,2008-12,107.38391,106.87436
108,2009-01,107.12488,108.68358
109,2009-02,108.35846,106.4798
110,2009-03,107.59005,106.00561
111,2009-04,108.18149,107.68885
112,2009-05,108.41902,106.54143
113,2009-06,106.8747,107.4248
114,2009-07,106.49346,106.76362
115,2009-08,105.65774,106.17307
116,2009-09,106.43202,107.89044
117,2009-10,103.03729,104.5721
118,2009-11,101.74042,102.29638
119,2009-12,100.00453,99.42749000000001
120,2010-01,98.55202000000001,100
121,2010-02,100.47703,98.46291000000001
122,2010-03,97.06275000000001,95.35039
123,2010-04,96.42083000000001,95.97034000000001
124,2010-05,95.93818,94.15006000000001
125,2010-06,94.52686000000001,95.30011
126,2010-07,94.67161,95.05423
127,2010-08,94.02795,94.61741000000001
128,2010-09,93.02334,94.61182000000001
129,2010-10,91.53785000000001,93.11846000000001
130,2010-11,90.49063000000001,90.74579000000001
131,2010-12,91.38582000000001,90.67387000000001
132,2011-01,88.02760000000001,89.33893
133,2011-02,88.23629000000001,86.23862000000001
134,2011-03,88.64178000000001,86.90723000000001
135,2011-04,87.37397000000001,86.94964
136,2011-05,86.29636000000001,84.57548000000001
137,2011-06,86.24864000000001,87.20484
138,2011-07,84.39694,84.71686000000001
