month,date,inquiry_index,unadjusted_inquiry_index
60,2005-01,116.82399,114.56336
61,2005-02,117.98604,117.87181
62,2005-03,121.54326,131.33531
63,2005-04,126.05199,127.72649
64,2005-05,123.98805,129.99249
65,2005-06,130.13649,133.50855
66,2005-07,136.74765,146.38897
67,2005-08,130.63719,140.06802
68,2005-09,130.46288,126.85189
69,2005-10,127.64667,121.77216
70,2005-11,135.25302,121.42321
71,2005-12,137.92764,122.09903
72,2006-01,138.24332,135.26658
73,2006-02,135.61436,135.4521
74,2006-03,132.30196,142.98335
75,2006-04,132.46536,134.54216
76,2006-05,134.24751,141.1944
77,2006-06,138.17293,141.84372
78,2006-07,144.0033,154.172
79,2006-08,148.08659,158.59799
80,2006-09,153.3265,148.90675
81,2006-10,148.45249,141.40642
82,2006-11,149.78668,134.0121
83,2006-12,148.45956,131.33972
84,2007-01,149.63852,145.9075
85,2007-02,147.93566,147.99682
86,2007-03,150.66475,163.21392
87,2007-04,145.95855,148.85817
88,2007-05,146.63871,154.97151
89,2007-06,144.42473,148.147
90,2007-07,142.61342,152.63042
91,2007-08,143.63696,153.5006
92,2007-09,145.90169,141.49035
93,2007-10,147.78417,140.62459
94,2007-11,144.28087,128.5525
95,2007-12,142.28129,125.80503
96,2008-01,141.13081,136.817
97,2008-02,144.03439,144.30408
98,2008-03,140.30949,152.81594
99,2008-04,140.2399,143.62825
100,2008-05,136.31177,144.82088
101,2008-06,134.36109,137.59883
102,2008-07,127.36721,136.04399
103,2008-08,120.48901,128.34047
104,2008-09,116.3714,112.87159
105,2008-10,114.77247,109.18768
106,2008-11,111.09172,98.63068000000001
107,2008-12,110.17156,97.56615000000001
108,2009-01,109.36152,105.0709
109,2009-02,104.32135,104.85887
110,2009-03,103.42749,113.33539
111,2009-04,104.53513,107.35015
112,2009-05,105.26093,112.13393
113,2009-06,103.68954,106.06034
114,2009-07,109.389,116.57317
115,2009-08,132.80548,141.07955
116,2009-09,99.20773000000001,96.28959
117,2009-10,101.37289,96.39118000000001
118,2009-11,100.39902,89.15146000000001
119,2009-12,102.457,91.14360000000001
120,2010-01,104.993,100
121,2010-02,103.99166,104.61151
122,2010-03,116.34769,128.01802
123,2010-04,112.50873,115.45563
124,2010-05,112.30236,119.74469
125,2010-06,112.72523,115.07134
126,2010-07,115.614,123.02222
127,2010-08,116.16585,123.56111
128,2010-09,117.56684,114.29392
129,2010-10,119.46533,113.55625
