month,date,num,num_unadj
72,2006-01,1876299.631353326,1647458.08080808
73,2006-02,1803622.446932282,1679286.868686866
74,2006-03,1865093.549971553,2053147.979797975
75,2006-04,1823701.087657334,1886143.434343431
76,2006-05,1827912.670916773,2022892.424242419
77,2006-06,1876027.595061768,2023554.54545454
78,2006-07,1888816.314856409,2088567.171717166
79,2006-08,1907666.192060531,2113241.919191912
80,2006-09,1888991.924990128,1837141.41414141
81,2006-10,1933211.886105336,1757858.080808079
82,2006-11,1904732.787480459,1666850.505050503
83,2006-12,1880323.642786321,1694728.787878785
84,2007-01,1882255.576563545,1649845.454545453
85,2007-02,1883298.674531931,1756416.666666663
86,2007-03,1890412.822571405,2082136.363636357
87,2007-04,1849409.51333843,1915632.828282824
88,2007-05,1900425.45053432,2094140.404040399
89,2007-06,1844264.141439433,1986625.757575754
90,2007-07,1838538.477462155,2035277.777777772
91,2007-08,1874385.23214596,2072246.969696964
92,2007-09,1846388.674654933,1796308.585858583
93,2007-10,1995345.496230061,1818401.010101006
94,2007-11,1883234.263509516,1649534.848484848
95,2007-12,1830156.580708064,1657361.616161614
96,2008-01,1840796.966611551,1605801.515151514
97,2008-02,1850733.76359047,1734125.252525251
98,2008-03,1772267.250512617,1955534.848484844
99,2008-04,1807157.877126527,1877937.878787874
100,2008-05,1770452.743313734,1937374.242424239
101,2008-06,1687048.168345721,1808802.525252522
102,2008-07,1595440.292123049,1761677.777777775
103,2008-08,1536061.100908894,1691934.848484846
104,2008-09,1497532.25925193,1459667.17171717
105,2008-10,1381864.275052313,1264947.474747474
106,2008-11,1275568.879016189,1121427.777777778
107,2008-12,1314277.523855535,1201066.161616161
108,2009-01,1344364.5561106,1165236.868686869
109,2009-02,1252793.314856797,1179966.161616162
110,2009-03,1226997.565148408,1358118.686868687
111,2009-04,1221671.867724737,1274227.777777778
112,2009-05,1239763.05983261,1345654.040404041
113,2009-06,1293867.308424952,1377319.696969697
114,2009-07,1348000.630185958,1478458.585858586
115,2009-08,1563993.185781215,1715056.565656564
116,2009-09,1205741.069413436,1176731.818181818
117,2009-10,1295416.68390141,1194037.373737373
118,2009-11,1289156.517559333,1142304.545454545
119,2009-12,1345444.735921692,1241935.353535354
120,2010-01,1324870.337717677,1145046.464646466
121,2010-02,1285473.072935806,1214864.141414141
122,2010-03,1487715.310273941,1652707.070707068
123,2010-04,1455028.579362686,1517985.353535352
124,2010-05,1435405.767541451,1545186.363636362
125,2010-06,1487858.012464472,1567770.707070706
126,2010-07,1522559.420568173,1658727.777777776
127,2010-08,1506548.054072062,1649328.282828282
128,2010-09,1555811.143211116,1517957.07070707
129,2010-10,1614525.106427458,1500875.757575756
130,2010-11,1616143.063057431,1446304.04040404
131,2010-12,1647758.752319279,1534160.1010101
132,2011-01,1632158.014258431,1409573.232323233
133,2011-02,1670688.930419971,1578620.202020201
134,2011-03,1686262.321926413,1880184.34343434
135,2011-04,1661036.486042896,1730308.080808078
136,2011-05,1607834.207674319,1722780.303030301
137,2011-06,1626638.851848565,1694946.969696967
138,2011-07,1606821.762997917,1738259.09090909
139,2011-08,1673817.258191607,1831559.595959591
140,2011-09,1743525.990025276,1699487.878787876
141,2011-10,1783595.424233538,1674696.969696967
142,2011-11,1808409.770468043,1634143.939393937
143,2011-12,1849189.270771406,1730175.252525249
144,2012-01,1802929.245647955,1562288.888888887
145,2012-02,1939651.554782859,1826411.111111108
146,2012-03,1863659.06839476,2082901.010101005
147,2012-04,1842364.389637367,1910535.858585855
148,2012-05,1890565.332512806,2021998.484848481
149,2012-06,1885970.980842268,1946365.656565652
150,2012-07,1864797.075110842,2005967.676767673
151,2012-08,1921360.712764506,2105290.909090904
152,2012-09,1892606.888331316,1846418.181818178
153,2012-10,1936263.075419914,1835289.898989896
154,2012-11,1984158.941546513,1805771.717171714
155,2012-12,1953673.703783208,1831942.424242422
156,2013-01,2025878.203351314,1760979.29292929
157,2013-02,2015310.069354402,1888825.252525249
158,2013-03,1976837.780160071,2207083.838383832
159,2013-04,2069537.743349571,2135960.6060606
160,2013-05,2099083.45210248,2248424.242424234
161,2013-06,2071092.066145804,2125745.454545449
162,2013-07,2134017.2735218,2284259.090909084
163,2013-08,2125103.613483457,2333267.676767669
164,2013-09,2049760.433535119,2006474.242424235
165,2013-10,2086126.746215229,1987477.777777774
166,2013-11,2127713.722497507,1945213.636363633
167,2013-12,2079033.541532954,1951045.45454545
168,2014-01,2118708.885457802,1852593.434343431
169,2014-02,2132939.554929059,1987716.161616156
170,2014-03,2156742.599531057,2401306.060606053
171,2014-04,2168331.72303155,2221909.595959591
172,2014-05,2205935.905345795,2365841.414141406
173,2014-06,2152054.071334433,2206622.222222217
174,2014-07,2200922.131501102,2353641.414141405
175,2014-08,2205875.000164543,2422806.565656556
176,2014-09,2241778.033977963,2203883.333333327
177,2014-10,2234003.679677087,2133258.080808077
178,2014-11,2176925.217527059,1996524.747474743
179,2014-12,2253601.708228751,2118137.373737368
180,2015-01,2272769.901817811,1995059.090909088
181,2015-02,2230226.102053776,2069097.47474747
182,2015-03,2264922.252022518,2517784.848484841
183,2015-04,2288904.05335914,2328497.474747465
184,2015-05,2276863.531907165,2445860.101010094
185,2015-06,2374154.638641089,2436257.57575757
186,2015-07,2383871.780722537,2543460.101010093
187,2015-08,2351771.016089862,2577875.757575747
188,2015-09,2384052.331063082,2349205.050505041
189,2015-10,2371177.636311209,2271258.080808076
190,2015-11,2303128.511630878,2120407.070707065
191,2015-12,2331050.018653084,2200160.606060599
192,2016-01,2307037.007439713,2031783.838383833
193,2016-02,2541365.893437673,2347513.636363628
194,2016-03,2290649.268519524,2547354.040404032
195,2016-04,2367488.606191907,2394339.393939387
196,2016-05,2292789.396860509,2463309.595959589
197,2016-06,2343533.18822398,2404572.222222213
198,2016-07,2320545.549957233,2468369.191919183
199,2016-08,2389614.018587959,2608770.202020194
200,2016-09,2387627.809398786,2350652.525252517
201,2016-10,2328502.905871688,2237853.535353528
202,2016-11,2359242.259958059,2187129.797979793
