month,date,vol,vol_unadj
72,2006-01,35203691483.45173,30346965352.52525
73,2006-02,33441297614.74189,30693843257.07071
74,2006-03,34815195061.1216,38281792663.13129
75,2006-04,34286128365.03506,35134539365.15152
76,2006-05,34426905655.17638,37943788331.81818
77,2006-06,35931020865.62061,38379507975.75756
78,2006-07,36608665204.18048,40457594106.06062
79,2006-08,36350174733.1186,40557869828.28284
80,2006-09,35825062690.87543,35378301189.39395
81,2006-10,36286377776.69191,33213107732.32324
82,2006-11,35863704835.33405,31399998288.88887
83,2006-12,35227695467.4149,32683919921.21213
84,2007-01,35739726378.2,30747812043.43434
85,2007-02,36370063001.61348,33409588948.48484
86,2007-03,36211630032.52713,39830656086.36362
87,2007-04,35227706908.64977,36157315337.87878
88,2007-05,36206273032.39098,39794567936.86868
89,2007-06,35096332384.08617,37468250426.76768
90,2007-07,35028192102.27673,38732295490.90909
91,2007-08,35729701997.48708,39745691475.25253
92,2007-09,35354058512.13889,34888020955.55554
93,2007-10,38202744170.08651,35065885603.03032
94,2007-11,36146677724.88293,31686231470.202
95,2007-12,35205900728.16659,32831219349.49496
96,2008-01,34905756520.23363,29900137343.93939
97,2008-02,34989255338.60664,32263033279.29293
98,2008-03,33304944439.70831,36667260614.64646
99,2008-04,33806589807.58795,34812075831.31313
100,2008-05,32738716403.40283,35825890116.16161
101,2008-06,30825474734.22237,32789437345.45454
102,2008-07,29218930522.12479,32188353255.05051
103,2008-08,28446939355.22513,31463132519.69699
104,2008-09,27584025923.25101,27225846992.9293
105,2008-10,24925601139.24283,23002373748.98989
106,2008-11,22910279487.72132,20167250885.35355
107,2008-12,23587978886.55014,22239790106.56565
108,2009-01,24394010561.88945,20790813096.96969
109,2009-02,22392500063.57389,20716866475.25253
110,2009-03,22198633348.92442,24466528830.80808
111,2009-04,22129896583.09105,22875452580.30303
112,2009-05,22573162923.37721,24569133347.97978
113,2009-06,23685018257.95063,25048690622.72727
114,2009-07,24321920776.9983,26601868465.15152
115,2009-08,28175295858.74027,30958653992.92929
116,2009-09,22218428732.0624,21918914790.9091
117,2009-10,24121066692.24689,22404632165.1515
118,2009-11,24084322976.05872,21377438071.21212
119,2009-12,25261322889.3597,24102218518.68686
120,2010-01,24870581413.51529,21189591754.04042
121,2010-02,24133390755.21632,22347131175.75758
122,2010-03,28200049862.07177,31140973904.54546
123,2010-04,27415697078.39331,28345208695.45456
124,2010-05,27255923603.19708,29487505111.61618
