month,date,vol,vol_unadj,age_group
72,2006-01,12919605908.22287,11161803258.58586,Age 45-64
72,2006-01,13168998643.87386,11345444261.11111,Age 30-44
72,2006-01,2112008301.368374,1948000132.828283,Age 65 and older
72,2006-01,6575867663.947489,5534457319.69697,Younger than 30
73,2006-02,12154455189.8734,11066962129.79798,Age 45-64
73,2006-02,12565065528.36905,11602124754.54545,Age 30-44
73,2006-02,2042903303.426167,1924701344.444445,Age 65 and older
73,2006-02,6355405955.771439,5788484239.898991,Younger than 30
74,2006-03,12681453706.94393,13894684099.49495,Age 45-64
74,2006-03,13299327325.19374,14625563486.36364,Age 30-44
74,2006-03,2179108732.378843,2507112595.454545,Age 65 and older
74,2006-03,6491690955.099509,6908292398.484852,Younger than 30
75,2006-04,12490720505.3121,12658973145.95959,Age 45-64
75,2006-04,12959181614.00138,13366779565.65656,Age 30-44
75,2006-04,2118603371.034774,2249199497.979798,Age 65 and older
75,2006-04,6491639717.536359,6568415358.080806,Younger than 30
76,2006-05,12483874797.57262,13824626814.14141,Age 45-64
76,2006-05,13014337587.75813,14353613378.78787,Age 30-44
76,2006-05,2099671237.963912,2257278308.080809,Age 65 and older
76,2006-05,6564487254.119934,7189686590.909091,Younger than 30
77,2006-06,13063362297.14368,14048758310.10101,Age 45-64
77,2006-06,13613262119.78829,14358111031.81818,Age 30-44
77,2006-06,2233638223.733519,2433107731.818181,Age 65 and older
77,2006-06,6702337104.336321,7202774878.787878,Younger than 30
78,2006-07,13345632300.5954,14954232572.22222,Age 45-64
78,2006-07,13781737321.56488,15051282254.04041,Age 30-44
78,2006-07,2291630490.230529,2536951778.787879,Age 65 and older
78,2006-07,6790137658.347267,7446540462.121211,Younger than 30
79,2006-08,13255521433.31026,14990161781.81818,Age 45-64
79,2006-08,13631217808.0611,15100805621.71717,Age 30-44
79,2006-08,2303192519.336412,2521610404.545455,Age 65 and older
79,2006-08,6805886499.233786,7580870297.9798,Younger than 30
80,2006-09,12929221053.69588,12731957421.71717,Age 45-64
80,2006-09,13600280226.89194,13227330951.51515,Age 30-44
80,2006-09,2271220552.30327,2233665345.959596,Age 65 and older
80,2006-09,6970951883.867236,6907448230.808081,Younger than 30
81,2006-10,13238115160.7917,12002400794.44444,Age 45-64
81,2006-10,13323976096.58426,12443538546.96969,Age 30-44
81,2006-10,2229138958.564499,2009883824.747476,Age 65 and older
81,2006-10,6727031078.928959,6524184101.010104,Younger than 30
82,2006-11,13157090678.42364,11648949837.37374,Age 30-44
82,2006-11,13277262055.368,11336483822.22223,Age 45-64
82,2006-11,2356959301.601856,1924138451.515151,Age 65 and older
82,2006-11,6843678445.272939,6269442242.424241,Younger than 30
83,2006-12,12974305402.73536,12130079012.12121,Age 30-44
83,2006-12,13022876779.26774,12226293804.0404,Age 45-64
83,2006-12,2229274965.852934,1907838480.30303,Age 65 and older
83,2006-12,6717575372.562434,6151040189.898987,Younger than 30
84,2007-01,13009183679.40158,11208704182.82828,Age 45-64
84,2007-01,13221832266.48414,11393724838.38384,Age 30-44
84,2007-01,2306424441.255624,2124866477.777778,Age 65 and older
84,2007-01,6920172911.100007,5803884258.585858,Younger than 30
85,2007-02,13284320335.80277,12274638361.11111,Age 30-44
85,2007-02,13434869012.17045,12247080289.89899,Age 45-64
85,2007-02,2348841140.590022,2214699164.141414,Age 65 and older
85,2007-02,7038549631.21804,6401518704.545458,Younger than 30
86,2007-03,13146453763.49689,14459845850.50505,Age 30-44
86,2007-03,13250814938.89286,14525960471.71718,Age 45-64
86,2007-03,2275108422.141376,2618557670.707071,Age 65 and older
86,2007-03,6906179139.243488,7381015110.606061,Younger than 30
87,2007-04,12927049738.40513,13136075125.25253,Age 45-64
87,2007-04,13108389593.31837,13522227461.11111,Age 30-44
87,2007-04,2241499481.921357,2386966455.050505,Age 65 and older
