month,date,vol,vol_unadj,income_level_group
123,2010-04,11313057935.76795,11456198716.66667,High
123,2010-04,11615476605.67424,11997909776.76768,Middle
123,2010-04,3860946248.002176,4025361724.747475,Moderate
123,2010-04,616737463.9421474,652308020.7070706,Low
124,2010-05,11286946930.64775,11990273209.09091,High
124,2010-05,11741178542.93085,12457459851.51515,Middle
124,2010-05,3807282073.111419,4098191483.838382,Moderate
124,2010-05,634242541.6054634,697999219.1919193,Low
125,2010-06,11743696077.16279,11958392089.39393,High
125,2010-06,12188505979.74802,12578691479.79798,Middle
125,2010-06,3874357484.286738,3972290682.323228,Moderate
125,2010-06,617900780.9028693,644150271.7171718,Low
126,2010-07,12001577849.88695,12683536533.33332,High
126,2010-07,12430217105.26075,13282021277.27272,Middle
126,2010-07,4050568453.936651,4364481599.999999,Moderate
126,2010-07,624963039.932745,646059546.9696971,Low
127,2010-08,11638634705.50436,12644294713.63637,High
127,2010-08,12034030719.32682,13044873935.85858,Middle
127,2010-08,4016596327.11815,4259292206.060604,Moderate
127,2010-08,646441178.4903394,691380201.5151516,Low
128,2010-09,12058952086.0373,11763206609.59596,High
128,2010-09,12283844859.90428,12002869840.90909,Middle
128,2010-09,4105021708.031253,4021300876.767679,Moderate
128,2010-09,666227530.1500846,628845165.6565652,Low
129,2010-10,11978884039.18522,11445501274.24242,High
129,2010-10,12682835473.19161,12071068457.07071,Middle
129,2010-10,4254594920.21045,4121997442.424241,Moderate
129,2010-10,693948848.7965746,663595386.363636,Low
130,2010-11,11875349522.99907,11130372277.77777,High
130,2010-11,12721598153.83405,11627008532.32323,Middle
130,2010-11,4113801814.906363,3748180670.202021,Moderate
130,2010-11,667498143.1865367,599241413.1313131,Low
131,2010-12,12191851622.85279,12686940805.0505,High
131,2010-12,12996853755.40252,12399093120.70708,Middle
131,2010-12,4262825971.929319,3877547461.111111,Moderate
131,2010-12,707721042.0089587,613943980.8080803,Low
132,2011-01,12223480821.21298,10814805244.44444,High
132,2011-01,13028237630.94034,11365031289.39394,Middle
132,2011-01,4303920808.374043,3664702455.050507,Moderate
132,2011-01,691488685.1239148,586561474.2424241,Low
133,2011-02,12761996011.53614,11313570510.60606,High
133,2011-02,13598161527.08568,12633511712.62626,Middle
133,2011-02,4425279214.105422,4295087580.808082,Moderate
133,2011-02,809161134.6127615,800241205.5555555,Low
134,2011-03,12752783337.31975,13805435610.10101,High
134,2011-03,13560763222.23302,15199387658.08081,Middle
134,2011-03,4445298009.421247,5007580171.717169,Moderate
134,2011-03,725077333.9794793,867937802.0202017,Low
135,2011-04,12812275673.43278,12952526117.67676,High
