month,date,vol,vol_unadj,credit_score_group
60,2005-01,14741390415.3492,12569292384,Super-prime
60,2005-01,2806403950.02445,2404968928,Subprime
60,2005-01,3080193980.05186,2825206320,Deep subprime
60,2005-01,4345453965.85623,3696077488,Near-prime
60,2005-01,8145834926.98124,7084730896,Prime
61,2005-02,14892166390.7351,13158867096,Super-prime
61,2005-02,2863629697.57105,2653891608,Subprime
61,2005-02,3046286302.7115,3257073632,Deep subprime
61,2005-02,4296442326.18298,3883288808,Near-prime
61,2005-02,8032962615.91022,7114849568,Prime
62,2005-03,14990200630.4376,16010351724,Super-prime
62,2005-03,2840527419.23417,3158204220,Subprime
62,2005-03,3059835652.20431,3625984140,Deep subprime
62,2005-03,4368639066.60133,4840230588,Near-prime
62,2005-03,7886559048.70348,8544475032,Prime
63,2005-04,14283311972.7225,14748282320,Super-prime
63,2005-04,2884238678.02047,2937459816,Subprime
63,2005-04,3170712976.63551,3217638548,Deep subprime
63,2005-04,4252522575.74166,4595627336,Near-prime
63,2005-04,7817566504.71102,8127100568,Prime
64,2005-05,14805557688.7882,15642177344,Super-prime
64,2005-05,2720434945.10368,3004133296,Subprime
64,2005-05,3280736867.70442,3363689836,Deep subprime
64,2005-05,4124622557.01018,4538510320,Near-prime
64,2005-05,7624657465.71764,8397191520,Prime
65,2005-06,15539902169.8825,16732945140,Super-prime
65,2005-06,3093238653.47158,3283237968,Subprime
65,2005-06,3330395028.06573,3573811860,Deep subprime
65,2005-06,4797581291.04202,5075692488,Near-prime
65,2005-06,8580192623.07281,9123328812,Prime
66,2005-07,16817654572.1149,18838106912,Super-prime
66,2005-07,3033879929.40722,3219465004,Subprime
66,2005-07,3288384757.47073,3323947004,Deep subprime
66,2005-07,4929759881.70993,5330433496,Near-prime
66,2005-07,9022811849.98991,9713895704,Prime
67,2005-08,14493647728.1811,16625468784,Super-prime
67,2005-08,2884995072.86658,3208252192,Subprime
67,2005-08,3212568757.43606,3441965659,Deep subprime
67,2005-08,4417539060.48929,4789582688,Near-prime
67,2005-08,8253440201.55971,9096469164,Prime
68,2005-09,13799379499.6161,13297207152,Super-prime
68,2005-09,2809592625.31695,2708616312,Subprime
68,2005-09,3165935006.72414,3006673524,Deep subprime
68,2005-09,4253683406.66824,4142771496,Near-prime
68,2005-09,7796471801.21904,7629440460,Prime
69,2005-10,12792856896.2249,11850293588,Super-prime
69,2005-10,2729618712.66714,2587209864,Subprime
69,2005-10,3266449501.37626,2949387664,Deep subprime
69,2005-10,4080595008.99877,3813837504,Near-prime
69,2005-10,7144693196.02908,6833134488,Prime
70,2005-11,13757007948.1684,11594535280,Super-prime
