month,date,num,num_unadj
60,2005-01,6523048.87286967,5710176
61,2005-02,6611698.87272261,5624820
62,2005-03,6640375.44448433,6635412
63,2005-04,6392561.01228473,6116664
64,2005-05,6348919.33783039,6251496
65,2005-06,6554456.9453448,6659760
66,2005-07,6298879.51719825,6381828
67,2005-08,6862126.58933918,7518264
68,2005-09,7028803.65521696,7270428
69,2005-10,6839070.26263924,6917112
70,2005-11,6819949.65367297,7565700
71,2005-12,6454418.63459854,6728052
72,2006-01,6802811.61310215,6014184
73,2006-02,7807550.13689109,6619776
74,2006-03,6982959.14927131,6963900
75,2006-04,6793369.87781942,6445944
76,2006-05,6863427.7555919,6855348
77,2006-06,6913767.0199134,7019592
78,2006-07,7013472.37168154,7108008
79,2006-08,7139733.09069784,7806804
80,2006-09,7792523.26830503,7958712
81,2006-10,7042085.61188985,7206492
82,2006-11,6923244.10649851,7707756
83,2006-12,7397756.68017367,7639392
84,2007-01,7619139.36577641,6805104
85,2007-02,8209091.05680022,6923124
86,2007-03,7459139.39567091,7331124
87,2007-04,7549615.08024712,7266932
88,2007-05,7374004.0663918,7402200
89,2007-06,7341238.21868873,7362996
90,2007-07,7329280.47897262,7517184
91,2007-08,7209470.57569085,7856472
92,2007-09,7066972.6344036,7104180
93,2007-10,7381284.04276824,7643724
94,2007-11,6844336.60653091,7661928
95,2007-12,6989576.57279063,7235388
96,2008-01,7004235.38693945,6256788
97,2008-02,6690818.59469055,5829420
98,2008-03,6576950.7709947,6374400
99,2008-04,6537550.36857734,6392772
100,2008-05,6485551.62286669,6476700
101,2008-06,6392009.30421429,6385752
102,2008-07,6957351.19656409,7210236
103,2008-08,5855262.91003306,6221988
104,2008-09,5607383.56578482,5707968
105,2008-10,5160696.78077787,5363232
106,2008-11,4923968.61646614,5425332
107,2008-12,4446275.38583503,4720812
108,2009-01,4105622.94176224,3633336
109,2009-02,3915702.2855629,3273864
110,2009-03,3827620.23231246,3742488
111,2009-04,3759512.61192763,3692292
112,2009-05,3726542.90203717,3694584
113,2009-06,3515431.39717138,3535344
114,2009-07,3464718.17783331,3585120
115,2009-08,3383326.05783465,3579480
116,2009-09,3317470.04873717,3351180
117,2009-10,3552750.57582872,3653664
118,2009-11,3610121.42904952,4038912
119,2009-12,3626776.50173358,3874332
120,2010-01,3775898.18715688,3307512
121,2010-02,3428658.53845141,2868240
122,2010-03,3410674.79184954,3378132
123,2010-04,3576126.38745099,3525312
124,2010-05,3530720.44133513,3506664
125,2010-06,3638762.00808082,3643464
126,2010-07,3729061.43317169,3806424
127,2010-08,3745895.83835391,3981984
128,2010-09,3785117.24338862,3796740
129,2010-10,3784063.54077346,3848820
130,2010-11,3909507.2445599,4426152
131,2010-12,3983935.48797046,4288032
132,2011-01,4082812.3658482,3581256
133,2011-02,4092601.8231874,3435900
134,2011-03,4232535.61598266,4206852
135,2011-04,4061039.26523403,3975792
136,2011-05,4332482.29927092,4347828
137,2011-06,4288358.0639702,4285200
138,2011-07,4303051.07979181,4341660
139,2011-08,4490490.76329418,4797384
140,2011-09,4440923.83722954,4429416
141,2011-10,4505213.27864067,4557888
142,2011-11,4594802.53302612,5191260
143,2011-12,4346015.68607509,4656120
144,2012-01,4325023.08135134,3848676
145,2012-02,4429107.37806303,3875400
146,2012-03,4327983.02481686,4272552
147,2012-04,4263867.88537509,4197744
148,2012-05,4231063.01709563,4294920
149,2012-06,4265807.94471331,4219008
150,2012-07,4238823.34056852,4326552
151,2012-08,4269199.42997287,4533792
152,2012-09,4287346.63858794,4159608
153,2012-10,4291214.54244579,4417056
154,2012-11,4314934.66855752,4846536
155,2012-12,4434154.86296337,4713456
156,2013-01,4375998.07251194,3949224
157,2013-02,4420448.19776053,3734832
158,2013-03,4421968.66629358,4327104
159,2013-04,4374652.66972359,4374912
160,2013-05,4382970.27291508,4463472
161,2013-06,4414682.92710472,4342248
162,2013-07,4482618.8451654,4647936
163,2013-08,4568640.42253965,4773384
164,2013-09,4763803.17923059,4638948
165,2013-10,4831280.38005322,4946112
166,2013-11,4926049.8213073,5437896
167,2013-12,5015639.89150732,5377824
168,2014-01,5000784.31520165,4523040
169,2014-02,4975406.97887924,4209600
170,2014-03,4987662.45122199,4888728
171,2014-04,5126578.16272347,5152440
172,2014-05,5133395.5353427,5208456
173,2014-06,4870542.80407377,4866768
174,2014-07,5400806.12937051,5643432
175,2014-08,5022956.77954957,5161992
176,2014-09,4948048.06819605,4834560
177,2014-10,4908516.25376414,5002920
178,2014-11,4979111.28025392,5407848
179,2014-12,5072917.02124941,5475984
180,2015-01,5287837.45138437,4736220
181,2015-02,5241489.91302114,4438776
182,2015-03,5350909.68108383,5300208
183,2015-04,5425225.39585735,5472600
184,2015-05,5325426.72813904,5383920
185,2015-06,5446181.80323119,5529288
186,2015-07,5483443.64641115,5780040
187,2015-08,5523852.6809439,5654064
188,2015-09,5621068.76344124,5456832
189,2015-10,6013245.15285821,6035784
190,2015-11,5747570.10266923,6278088
191,2015-12,5483978.30789491,5892264
192,2016-01,5750212.56626548,5104336.95691922
193,2016-02,5902468.10245662,5191960.32271788
194,2016-03,5891578.3679365,5901728.7042883
195,2016-04,5879378.61946466,5884165.92467057
196,2016-05,6282951.75536682,6453267.68404072
197,2016-06,6070963.24322885,6182241.6161425
198,2016-07,6578186.85693864,6830640.69561732
199,2016-08,5928890.99015665,6184346.84694233
200,2016-09,5824158.47696793,5627717.14472112
201,2016-10,5563560.1283105,5511468.17583722
202,2016-11,5792789.54726243,6376984.0733417
