month,date,vol,vol_unadj
60,2005-01,36969476801.7745,32380299600
61,2005-02,37238019278.541,32214442548
62,2005-03,37908807429.1082,38639133120
63,2005-04,37398025379.9724,36958642080
64,2005-05,37674386197.3686,37187500744
65,2005-06,37682982627.7084,38045363008
66,2005-07,36489289008.4021,37296224264
67,2005-08,40608547162.9678,45020342472
68,2005-09,44740209860.9851,45755010732
69,2005-10,37214917358.4064,38522680960
70,2005-11,37731229125.9751,39731857836
71,2005-12,34169187689.052,34163555160
72,2006-01,36814829225.1369,32633397704
73,2006-02,44339007078.1154,38256023872
74,2006-03,36138730729.6611,36806339056
75,2006-04,36020330449.9519,35169471400
76,2006-05,36989300936.2941,37105355900
77,2006-06,36953349702.353,37387798188
78,2006-07,37491361863.254,38322866032
79,2006-08,38954463778.8752,43088556436
80,2006-09,44445468496.552,44737398876
81,2006-10,38613518494.8746,40515217808
82,2006-11,38146872515.9863,40331844008
83,2006-12,40005929354.2369,39407898568
84,2007-01,40227592023.3406,36116788376
85,2007-02,44414423553.8998,38185498040
86,2007-03,40719787550.3012,40866084376
87,2007-04,40686919900.1016,40340186852
88,2007-05,38264898315.3679,38581890664
89,2007-06,38423461993.0529,38476252096
90,2007-07,38207179807.47,39591773280
91,2007-08,36753567222.2616,40386505812
92,2007-09,37764929095.4114,37286616096
93,2007-10,38656818832.68,41116841928
94,2007-11,37166526151.7283,39540618108
95,2007-12,38821263160.0864,38259136380
96,2008-01,37830333242.3337,33958197456
97,2008-02,35725743800.0783,31899517704
98,2008-03,35589941261.0405,35246945616
99,2008-04,34710603072.1919,34991128440
100,2008-05,34675973990.9836,34673200344
101,2008-06,36234331924.6077,36310767768
102,2008-07,42979490379.5337,45035486592
103,2008-08,31691903364.8433,33553179456
104,2008-09,30290257892.215,30463148160
105,2008-10,27183388920.4752,28918284264
106,2008-11,24979142182.5257,26074888440
107,2008-12,21802540579.6592,22161313440
108,2009-01,20566189739.0591,18309209256
109,2009-02,19695297055.5562,16935660712
110,2009-03,18906862853.9519,18975841752
111,2009-04,18374247804.8946,18554984388
112,2009-05,17808279622.4957,17691550416
113,2009-06,17240588042.219,17439100296
114,2009-07,16189215750.2654,16878320604
115,2009-08,15979883903.1565,16700734980
116,2009-09,15173410297.2902,15164504352
117,2009-10,15817144164.1158,16565947284
118,2009-11,16098419287.3553,17153561280
119,2009-12,15755171479.1653,16114923120
120,2010-01,16917283796.8726,14980320984
121,2010-02,15901029196.3911,13771159116
122,2010-03,16212981786.912,16538034840
123,2010-04,16544261656.8656,16722264192
124,2010-05,16801282667.3803,16765283952
125,2010-06,17178873098.1748,17252418312
126,2010-07,17602306467.4925,17942236944
127,2010-08,17704109030.3404,18526709904
128,2010-09,17623298220.9341,17513338296
129,2010-10,18621590480.6818,19157066520
130,2010-11,19554150016.0919,21217767648
131,2010-12,20170368683.3297,20821437528
132,2011-01,19623655535.7152,17618106480
133,2011-02,20271652179.6359,17707172424
134,2011-03,20888528158.1847,21352177800
135,2011-04,19009125661.6342,18969725064
136,2011-05,20444429486.2628,20738218944
137,2011-06,20794193387.3715,20693362464
138,2011-07,20571042756.8435,20518656048
139,2011-08,21943323673.6724,23069284080
140,2011-09,22929861759.5518,22690067424
141,2011-10,22414333985.4718,22877464152
142,2011-11,22185881485.0166,24116930400
143,2011-12,22457136236.1528,23063222952
144,2012-01,22246119079.9796,20517883080
145,2012-02,22311022987.1322,20436522768
146,2012-03,22084602898.1965,22362979656
147,2012-04,22118917185.7937,22106090544
148,2012-05,22502772239.7032,23100988584
149,2012-06,21509539635.4407,21009011184
150,2012-07,21308951767.6915,21417414264
151,2012-08,21321495454.09,22275548616
152,2012-09,22008941500.8289,21177999312
153,2012-10,22445852257.8993,23345703744
154,2012-11,22417402669.8991,24275577144
155,2012-12,22671932038.6804,23111935104
156,2013-01,23011051855.609,21783914088
157,2013-02,23607054546.6258,20868363240
158,2013-03,23599942331.0029,23642474760
159,2013-04,23237882050.4983,23536374312
160,2013-05,22630170810.9788,23245232640
161,2013-06,23634810705.0628,22782685296
162,2013-07,24190125125.696,24648896728
163,2013-08,25161527696.8543,25871151096
164,2013-09,25698979184.8881,25058203896
165,2013-10,26242343462.5633,27086213544
166,2013-11,27102297653.564,28807591632
