month,date,vol,vol_unadj,age_group
60,2005-01,12617795488.1881,11171585376,Age 30-44
60,2005-01,15783664721.3194,13837255200,Age 45-64
60,2005-01,3907610056.78504,3371463840,Younger than 30
60,2005-01,4488137458.67349,3839496096,Age 65 and older
61,2005-02,12546699071.9913,10771554408,Age 30-44
61,2005-02,16150168507.2162,14043598812,Age 45-64
61,2005-02,4052021134.43979,3347847720,Younger than 30
61,2005-02,4188506693.69682,3883616832,Age 65 and older
62,2005-03,12853759271.9874,12919385136,Age 30-44
62,2005-03,16656007186.6534,17141689920,Age 45-64
62,2005-03,4130831696.32007,3973752720,Younger than 30
62,2005-03,4153922396.15347,4420569024,Age 65 and older
63,2005-04,12719021160.2429,12167202856,Age 30-44
63,2005-04,16266785671.1725,16231941328,Age 45-64
63,2005-04,4015239386.76059,3821493504,Younger than 30
63,2005-04,4535891231.29625,4584007968,Age 65 and older
64,2005-05,12844495245.154,12534916656,Age 30-44
64,2005-05,16187625396.8178,15923161792,Age 45-64
64,2005-05,4071983764.45888,4015191168,Younger than 30
64,2005-05,4422690713.18906,4517288328,Age 65 and older
65,2005-06,12650044976.5114,12622411472,Age 30-44
65,2005-06,16293749669.8926,16567446584,Age 45-64
65,2005-06,4190542034.86491,4262074464,Younger than 30
65,2005-06,4419925580.2874,4418395656,Age 65 and older
66,2005-07,11697536378.8623,12110182104,Age 30-44
66,2005-07,16079868630.4233,16236530264,Age 45-64
66,2005-07,3936666756.51064,4274069280,Younger than 30
66,2005-07,4602991697.47742,4494225984,Age 65 and older
67,2005-08,13386523362.8,14892376248,Age 30-44
67,2005-08,17473519936.5155,19290581088,Age 45-64
67,2005-08,4591760627.52304,5308043808,Younger than 30
67,2005-08,4892343273.5316,5343909888,Age 65 and older
68,2005-09,14208319516.6643,14798261328,Age 30-44
68,2005-09,19820783299.3761,20008235268,Age 45-64
68,2005-09,4289280469.18088,4585924872,Younger than 30
68,2005-09,5865716880.7408,6043808376,Age 65 and older
69,2005-10,12046616867.5414,12501186432,Age 30-44
69,2005-10,15969587191.4183,16457779992,Age 45-64
69,2005-10,4213801809.57238,4351145248,Younger than 30
69,2005-10,4916853462.25695,5043538440,Age 65 and older
70,2005-11,12281912863.4808,12979442988,Age 30-44
70,2005-11,15973161261.3725,16883378448,Age 45-64
70,2005-11,4169361627.17652,4317462768,Younger than 30
70,2005-11,5147973568.84269,5345219016,Age 65 and older
71,2005-12,11047631370.6521,11330059584,Age 30-44
71,2005-12,14823292715.9636,14861284680,Age 45-64
71,2005-12,3882798916.92479,3894098880,Younger than 30
71,2005-12,4190091727.00796,3945821880,Age 65 and older
72,2006-01,11859998197.7568,10615036440,Age 30-44
72,2006-01,15791164546.8508,14004648096,Age 45-64
72,2006-01,4254178196.35865,3716702960,Younger than 30
72,2006-01,4644851473.2041,4164062472,Age 65 and older
73,2006-02,12919590720.8559,11034318448,Age 30-44
73,2006-02,19437149335.5433,16869694008,Age 45-64
73,2006-02,4304043511.48499,3538333752,Younger than 30
73,2006-02,7188690494.38155,6636550800,Age 65 and older
74,2006-03,11974360277.5242,12007481544,Age 30-44
74,2006-03,15492837288.8033,15933305152,Age 45-64
74,2006-03,4225122018.40719,4054673880,Younger than 30
74,2006-03,4584619029.03589,4667951832,Age 65 and older
75,2006-04,11658172725.4599,11085997752,Age 30-44
75,2006-04,15622759630.088,15394574280,Age 45-64
75,2006-04,4156190624.71176,3912303744,Younger than 30
75,2006-04,4521854121.09362,4642729504,Age 65 and older
76,2006-05,12093347169.2989,11928719280,Age 30-44
76,2006-05,16033725414.0925,16020618056,Age 45-64
76,2006-05,4240870190.21631,4244224068,Younger than 30
76,2006-05,4725367033.93029,4765151376,Age 65 and older
77,2006-06,11980988926.0527,11959339824,Age 30-44
77,2006-06,15971345205.8852,16280236224,Age 45-64
77,2006-06,4161699845.47152,4239764220,Younger than 30
77,2006-06,4733254809.53693,4760537688,Age 65 and older
78,2006-07,11869960226.4882,12288539720,Age 30-44
78,2006-07,16198825026.38,16367057120,Age 45-64
78,2006-07,4285840802.87183,4650973344,Younger than 30
78,2006-07,4995953537.06772,4853296032,Age 65 and older
79,2006-08,11981789232.351,13322673580,Age 30-44
79,2006-08,16725084544.7748,18397076496,Age 45-64
79,2006-08,4453098078.42373,5147474088,Younger than 30
79,2006-08,5352266966.02827,6063447864,Age 65 and older
80,2006-09,12991027249.3492,13330995744,Age 30-44
80,2006-09,19664097641.1829,19549695732,Age 45-64
80,2006-09,4441204236.00394,4686450000,Younger than 30
80,2006-09,7007890838.38328,6919305984,Age 65 and older
81,2006-10,12131834669.149,12761785056,Age 30-44
81,2006-10,16762810620.4763,17473718256,Age 45-64
81,2006-10,4462895555.66777,4670585816,Younger than 30
81,2006-10,5057692233.71928,5469951600,Age 65 and older
82,2006-11,12137845913.3047,12900282840,Age 30-44
82,2006-11,16498331447.7321,17509873680,Age 45-64
82,2006-11,4547500688.89316,4723835240,Younger than 30
82,2006-11,4945871089.58771,5063721528,Age 65 and older
83,2006-12,12523430699.8155,12686536184,Age 30-44
83,2006-12,17106742997.1443,16944979528,Age 45-64
83,2006-12,4778638421.41779,4733559592,Younger than 30
83,2006-12,5295915155.8337,4902576840,Age 65 and older
84,2007-01,12494559321.9473,11324789696,Age 30-44
84,2007-01,17648650505.0779,15861309192,Age 45-64
84,2007-01,4522115082.13379,4009881756,Younger than 30
84,2007-01,5494966728.73198,4826018952,Age 65 and older
85,2007-02,13281360024.2367,11272004128,Age 30-44
85,2007-02,19397957277.8501,16787158824,Age 45-64
85,2007-02,4737489616.01322,3860360656,Younger than 30
85,2007-02,6653049795.95632,6118701336,Age 65 and older
