month,date,vol,vol_unadj,income_level_group
60,2005-01,14585532201.1053,12872358384,High
60,2005-01,15232630381.2723,13420241160,Middle
60,2005-01,4569505510.73368,3978006864,Moderate
60,2005-01,763277753.558566,651790992,Low
61,2005-02,14339010398.0004,12724578840,High
61,2005-02,15420992352.176,13379304684,Middle
61,2005-02,4565440635.96048,3900503688,Moderate
61,2005-02,757843180.972668,654935832,Low
62,2005-03,14643886158.552,14909693832,High
62,2005-03,15863002589.7022,16230737664,Middle
62,2005-03,4764143054.95464,4775793984,Moderate
62,2005-03,817068010.505265,835290048,Low
63,2005-04,14472230812.3025,14400504824,High
63,2005-04,15613722992.0121,15334819224,Middle
63,2005-04,4743250935.80193,4683565944,Moderate
63,2005-04,785227930.106894,772147896,Low
64,2005-05,14541426851.8316,14282227896,High
64,2005-05,15786795798.2893,15547867808,Middle
64,2005-05,4748047588.79605,4608127840,Moderate
64,2005-05,828595968.031665,835450168,Low
65,2005-06,14579679723.1599,14937281904,High
65,2005-06,15681553555.9672,15381191696,Middle
65,2005-06,4812989343.18538,4796789592,Moderate
65,2005-06,770192972.099246,791456808,Low
66,2005-07,13993438513.9298,14285015352,High
66,2005-07,15128600590.0171,15402550848,Middle
66,2005-07,4843505698.4915,4998301304,Moderate
66,2005-07,708843202.851022,765387336,Low
67,2005-08,15877846103.1417,17471055264,High
67,2005-08,16691007265.3296,18563646216,Middle
67,2005-08,4975542132.42689,5619365832,Moderate
67,2005-08,846437051.727394,921999144,Low
68,2005-09,17522292522.2873,17632540404,High
68,2005-09,18603202692.3223,19037325528,Middle
68,2005-09,5399816277.20314,5626554624,Moderate
68,2005-09,908162177.720209,945560592,Low
69,2005-10,14303873251.9805,14640820224,High
69,2005-10,15451086462.0483,16101617032,Middle
69,2005-10,4806442344.55595,5070372888,Moderate
69,2005-10,853245817.607068,860894016,Low
70,2005-11,14528323200.02,15041502768,High
70,2005-11,15665470638.5405,16758498564,Middle
70,2005-11,4787924145.20288,4969232160,Moderate
70,2005-11,854659653.538695,884913120,Low
71,2005-12,12852496620.5992,12981759288,High
71,2005-12,14316256778.7541,14345212704,Middle
71,2005-12,4341052913.7094,4360208328,Moderate
71,2005-12,740704846.987517,714254568,Low
72,2006-01,14013111195.3869,12515899800,High
72,2006-01,15330520055.6599,13656191792,Middle
72,2006-01,4685699600.61061,4155119544,Moderate
72,2006-01,817809450.852084,715283592,Low
73,2006-02,1001203295.63434,867134256,Low
73,2006-02,16041843472.8886,14190936232,High
73,2006-02,18874011995.4505,16343656248,Middle
73,2006-02,5802669763.56672,4962606792,Moderate
74,2006-03,13663991289.822,13921904160,High
74,2006-03,15190345974.5706,15509071944,Middle
74,2006-03,4704635097.34127,4710073648,Moderate
74,2006-03,796005327.161832,810022512,Low
75,2006-04,13754257378.2483,13521605656,High
75,2006-04,15014896261.58,14589468168,Middle
75,2006-04,4777085532.06031,4634517960,Moderate
75,2006-04,798137703.261618,768808704,Low
76,2006-05,13979649552.1909,13937949900,High
76,2006-05,15589827150.0276,15590023640,Middle
76,2006-05,4972711170.20061,4918916784,Moderate
76,2006-05,793386773.797696,822967920,Low
77,2006-06,14117350396.7666,14488177920,High
77,2006-06,15444177129.2357,15190238172,Middle
77,2006-06,4901121883.11188,4879072200,Moderate
77,2006-06,852216855.609541,873668832,Low
78,2006-07,14015023029.3919,14304862912,High
78,2006-07,15793709649.0299,16080300464,Middle
78,2006-07,4924969956.8043,5073634168,Moderate
78,2006-07,852842152.98015,920006304,Low
79,2006-08,14610732973.9578,16048457628,High
79,2006-08,16324481892.553,18089795072,Middle
79,2006-08,5022807658.16053,5662423632,Moderate
