month,date,vol,vol_unadj,credit_score_group
60,2005-01,2004201571.59602,1718316480,Near-prime
60,2005-01,25627107337.0723,22415418888,Super-prime
60,2005-01,317786846.460816,261578184,Deep subprime
60,2005-01,648183725.077599,531232512,Subprime
60,2005-01,8036220018.43069,7073649744,Prime
61,2005-02,2121923204.54559,1841835744,Near-prime
61,2005-02,25361516947.5799,21919496868,Super-prime
61,2005-02,331283028.727869,288807384,Deep subprime
61,2005-02,730697420.139013,608273928,Subprime
61,2005-02,8067983994.34609,7102340664,Prime
62,2005-03,2134258772.71968,2229629976,Near-prime
62,2005-03,25876256907.4245,26112717792,Super-prime
62,2005-03,326928727.301443,356834088,Deep subprime
62,2005-03,694673643.171002,709558440,Subprime
62,2005-03,8238644505.01947,8677159560,Prime
63,2005-04,2102977062.71094,2085395376,Near-prime
63,2005-04,25563520417.3504,25317756120,Super-prime
63,2005-04,311066583.835728,282352784,Deep subprime
63,2005-04,631543407.018212,585162432,Subprime
63,2005-04,8359447503.02638,8260888720,Prime
64,2005-05,1130671414.55941,1149534936,Subprime
64,2005-05,2055312588.62522,2083422480,Near-prime
64,2005-05,25464696769.3781,24912903360,Super-prime
64,2005-05,331300538.900429,333480824,Deep subprime
64,2005-05,8261745844.51316,8256458304,Prime
65,2005-06,2339087889.59657,2484453600,Near-prime
65,2005-06,25315100977.2449,25290564576,Super-prime
65,2005-06,314523120.567066,342560240,Deep subprime
65,2005-06,682106031.194755,732575256,Subprime
65,2005-06,8528610931.61479,8654940384,Prime
66,2005-07,2178182867.3749,2211597768,Near-prime
66,2005-07,24599955470.644,25253826624,Super-prime
66,2005-07,426144030.942321,410801408,Deep subprime
66,2005-07,766589866.253001,792890400,Subprime
66,2005-07,8004677670.65589,8204991552,Prime
67,2005-08,2283313455.13705,2473126776,Near-prime
67,2005-08,27825091791.7759,31238284320,Super-prime
67,2005-08,350882488.990273,373682664,Deep subprime
67,2005-08,729965072.309179,801156192,Subprime
67,2005-08,8854400115.5441,9584650488,Prime
68,2005-09,2256707140.32654,2336104272,Near-prime
68,2005-09,32191068261.473,32736783876,Super-prime
68,2005-09,354951577.194206,376283712,Deep subprime
68,2005-09,690435051.651304,719857680,Subprime
68,2005-09,8601424297.32601,8997005640,Prime
69,2005-10,2203404016.69543,2229416712,Near-prime
69,2005-10,25521945120.5181,26469983064,Super-prime
69,2005-10,344282589.009524,330235536,Deep subprime
69,2005-10,668209978.615019,673381848,Subprime
69,2005-10,8214595540.91415,8384704264,Prime
70,2005-11,2236827608.9525,2325510252,Near-prime
70,2005-11,26160584121.5186,27681342168,Super-prime
70,2005-11,350706029.370009,373500960,Deep subprime
70,2005-11,696871980.291125,757834488,Subprime
70,2005-11,8011379953.83283,8057834952,Prime
71,2005-12,2153093301.14933,2075975256,Near-prime
71,2005-12,23273942586.0732,23477948904,Super-prime
71,2005-12,352270621.626806,384118464,Deep subprime
71,2005-12,713767744.449118,732405216,Subprime
71,2005-12,7153916560.36448,7058648616,Prime
72,2006-01,2174249907.6895,1899744264,Near-prime
72,2006-01,25251987201.1378,22338589880,Super-prime
72,2006-01,356030246.088298,298208976,Deep subprime
72,2006-01,711191049.415483,596177160,Subprime
72,2006-01,7924323832.57263,7102369968,Prime
73,2006-02,2246705690.6527,1938840696,Near-prime
73,2006-02,31929500927.0556,27528481656,Super-prime
73,2006-02,369805591.589778,323071360,Deep subprime
73,2006-02,755142094.811024,626959032,Subprime
73,2006-02,8406745537.02621,7382066544,Prime
74,2006-03,2282581944.01324,2379317160,Near-prime
74,2006-03,24356381692.6782,24585110824,Super-prime
74,2006-03,389973585.085272,422370072,Deep subprime
74,2006-03,784245206.164603,798848928,Subprime
74,2006-03,7863213793.60442,8084943240,Prime
75,2006-04,2186263631.58824,2126355048,Near-prime
75,2006-04,24352510642.5377,23848182384,Super-prime
75,2006-04,360018235.684238,320190624,Deep subprime
75,2006-04,711055441.560153,648151152,Subprime
75,2006-04,7816414435.03075,7771857232,Prime
76,2006-05,2197128859.41015,2282216184,Near-prime
76,2006-05,25195215286.8186,25039757016,Super-prime
76,2006-05,351194154.780433,359870088,Deep subprime
76,2006-05,743422431.404546,767600256,Subprime
76,2006-05,7974111014.28886,8147054664,Prime
77,2006-06,2173631744.16412,2305002936,Near-prime
77,2006-06,25259557784.5856,25320956448,Super-prime
77,2006-06,373529589.783091,405238356,Deep subprime
77,2006-06,768803575.960142,823155600,Subprime
77,2006-06,7807284247.06207,7947708264,Prime
78,2006-07,2258815429.87509,2287104768,Near-prime
78,2006-07,25455380113.9494,26142098712,Super-prime
78,2006-07,377605718.954674,364567336,Deep subprime
78,2006-07,790191808.72789,816049128,Subprime
78,2006-07,8024341855.89384,8204593824,Prime
79,2006-08,2216239408.89713,2400549368,Near-prime
79,2006-08,26777421370.3434,29936880768,Super-prime
79,2006-08,386789348.660945,411700836,Deep subprime
79,2006-08,770631453.490066,844253168,Subprime
79,2006-08,8158830088.08543,8836598400,Prime
80,2006-09,2269119371.16229,2306382888,Near-prime
80,2006-09,31861151214.8738,31892587620,Super-prime
80,2006-09,408135869.238738,426319848,Deep subprime
80,2006-09,820744732.077006,839116608,Subprime
80,2006-09,8426880786.52453,8634073320,Prime
81,2006-10,2267562192.19025,2342243736,Near-prime
81,2006-10,26239564077.6075,27555580176,Super-prime
81,2006-10,408868388.329216,402257376,Deep subprime
81,2006-10,804060772.006681,831290136,Subprime
81,2006-10,8542686357.87543,8857394216,Prime
82,2006-11,2316949298.16495,2423770920,Near-prime
82,2006-11,25803445473.5863,27387644232,Super-prime
82,2006-11,447436743.007767,478357664,Deep subprime
82,2006-11,8493143877.74438,8565809232,Prime
82,2006-11,850427244.367599,933547464,Subprime
83,2006-12,2482879214.35973,2360437944,Near-prime
83,2006-12,26989290465.5593,26814819696,Super-prime
83,2006-12,439056465.329236,472369784,Deep subprime
83,2006-12,8567710860.01278,8294158440,Prime
83,2006-12,899436198.616903,903966936,Subprime
84,2007-01,2532447636.02448,2256316632,Near-prime
84,2007-01,27180221560.8287,24341934024,Super-prime
84,2007-01,468525096.973182,400025960,Deep subprime
84,2007-01,860254378.518228,739783560,Subprime
84,2007-01,8612125081.73229,7861488288,Prime
85,2007-02,2519428690.14584,2148865248,Near-prime
85,2007-02,30930722963.4059,26620907784,Super-prime
