month,date,vol,vol_unadj
60,2005-01,36882345321.5417,31966116768
61,2005-02,37354924925.7596,32164658096
62,2005-03,37801238147.5693,38639133120
63,2005-04,37407178861.3553,36942943824
64,2005-05,37574791076.5745,37159317075
65,2005-06,37383993736.8768,38045363008
66,2005-07,35771316634.6822,36302153768
67,2005-08,39370664836.7153,43530600016
68,2005-09,44448838773.2964,45755010732
69,2005-10,39354129618.801,40129684357
70,2005-11,38170655515.7659,40333930652
71,2005-12,33641991484.9784,34163555160
72,2006-01,36851405044.9106,32390749675
73,2006-02,44439389945.9049,38165466755
74,2006-03,36041929172.6781,36806339056
75,2006-04,35564143684.7719,34657153651
76,2006-05,36545799337.7747,36797112049
77,2006-06,36642794622.4305,37387798188
78,2006-07,36468566300.803,36997222885
79,2006-08,38466494991.4895,42445945859
80,2006-09,44267400170.2419,44737398876
81,2006-10,38642726230.984,39998608891
82,2006-11,37866647856.0204,40111303845
83,2006-12,39454615750.6799,39407898568
84,2007-01,39869625415.722,35660560632
85,2007-02,44365889759.115,37941649573
86,2007-03,40663542276.2833,40866084376
87,2007-04,40370167858.8763,40009882847
88,2007-05,38129179565.8386,38593872944
89,2007-06,38127313490.1726,38476252096
90,2007-07,38235096404.0136,39356185344
91,2007-08,36634506062.0718,40215645336
92,2007-09,37680132766.8641,37286616096
93,2007-10,43266431437.0273,45327664104
94,2007-11,37197241305.0697,39603281176
95,2007-12,38324195434.1933,38259136380
96,2008-01,37756605611.3174,33907701552
97,2008-02,35892063586.4015,31860272360
98,2008-03,35543204072.425,35246945616
99,2008-04,35249368306.488,35561407688
100,2008-05,34823796770.9398,34907899784
101,2008-06,35979238567.0883,36310767768
102,2008-07,43450999876.3328,45328223728
103,2008-08,31848086136.4166,33619949832
104,2008-09,30119967994.6002,30463148160
105,2008-10,27533615102.6572,28779781368
106,2008-11,25052566794.0327,26069551208
107,2008-12,21520031728.7299,22161313440
108,2009-01,20512351080.6191,18320737480
109,2009-02,19822094218.5033,16922778064
110,2009-03,18814747053.9872,18975841752
111,2009-04,18315125948.8839,18499175876
112,2009-05,17794313935.6198,17663154000
113,2009-06,17100947578.2602,17439100296
114,2009-07,16016604215.1644,16657861092
115,2009-08,15873853650.0594,16577851648
116,2009-09,15104257984.9472,15164504352
117,2009-10,15928852398.1024,16370708596
118,2009-11,16023520671.5526,17028235464
119,2009-12,15600733137.1223,16114923120
120,2010-01,16358155439.0392,14542003736
121,2010-02,15699870252.5464,13488803824
122,2010-03,16085333248.3089,16538034840
123,2010-04,16251991020.4998,16435229312
124,2010-05,16676763570.7383,16575090796
125,2010-06,17077127787.7015,17252418312
126,2010-07,17412960700.8785,17758264192
127,2010-08,17493112959.6542,18348830784
128,2010-09,17554655824.9908,17513338296
129,2010-10,17939213683.6672,18169147216
130,2010-11,19123443360.2986,20710162412
131,2010-12,20110606397.3689,20821437528
132,2011-01,19530376937.4316,17633079232
133,2011-02,20399958814.253,17668826344
134,2011-03,20701327430.1566,21352177800
135,2011-04,19560103075.0605,19491275848
136,2011-05,20931210306.5007,21063127744
137,2011-06,20671940378.1256,20693362464
138,2011-07,20819102294.0177,20855249280
139,2011-08,21840515251.6283,23106346080
140,2011-09,22843376792.7203,22690067424
141,2011-10,22908670626.233,23136409240
142,2011-11,22401667564.6256,24279287800
143,2011-12,22577318161.094,23063222952
144,2012-01,21929338034.9128,20371346736
145,2012-02,22158639346.4817,20106637968
146,2012-03,21908965297.7872,22361952456
147,2012-04,21850538401.296,21812808744
148,2012-05,22145232336.2322,22504293808
149,2012-06,21415871236.8166,21008833584
150,2012-07,21503936805.7743,21854446968
151,2012-08,21533625454.6569,22685159408
152,2012-09,21990109361.3127,21177286512
153,2012-10,22417649100.1475,23228022456
154,2012-11,22595338311.4856,24397114376
155,2012-12,23007014798.0189,23110761504
156,2013-01,23172215711.7627,22119125568
157,2013-02,23582994853.0224,20642587904
158,2013-03,23450921486.7911,23642417160
159,2013-04,23644751629.4408,23956752480
160,2013-05,23166730362.6365,23477923904
161,2013-06,23497044686.9442,22784582736
162,2013-07,24252945930.4193,25170439808
163,2013-08,24933967881.977,25836245240
164,2013-09,25672480450.0483,25061713128
165,2013-10,26070086070.1657,26830520176
166,2013-11,26512095009.5752,27973771320
167,2013-12,28719702395.7137,29068278264
168,2014-01,28080919797.6618,27013077224
169,2014-02,27775784771.2266,24338169488
170,2014-03,27319187965.7652,27695878176
171,2014-04,27777431962.338,28129108616
172,2014-05,27155072041.6329,27075942000
173,2014-06,27723200008.3184,27576487752
174,2014-07,29489863910.6454,30877712088
175,2014-08,28287327262.4899,28847496656
176,2014-09,27659571825.0596,27277274296
177,2014-10,27201722993.1967,27836826856
178,2014-11,28417244892.013,29298660288
179,2014-12,28933736646.3828,29313479424
180,2015-01,29134562745.2985,27850338736
181,2015-02,28771394313.3864,25231897240
182,2015-03,30526077545.1287,31542388776
183,2015-04,31466588380.9614,31787200708
184,2015-05,31611001965.0388,31133741669
185,2015-06,31433176556.8653,32133527952
186,2015-07,31092113181.3685,32883472176
187,2015-08,32103890704.3572,32722988048
188,2015-09,32707622911.9078,32024430528
189,2015-10,35056468926.0589,35139527240
190,2015-11,33594397842.6125,34855792744
191,2015-12,33419543641.255,33344834784
192,2016-01,33146806563.2022,31494535576
193,2016-02,34139950155.3706,31181816344
194,2016-03,33954074637.2612,35908077816
195,2016-04,34330054281.9122,34048102616
196,2016-05,36012309093.1518,36116183064
197,2016-06,36697876456.8691,37841740992
198,2016-07,37472756472.2452,38720465640
199,2016-08,35452796135.3634,37141415264
200,2016-09,35671885745.6256,34673752104
201,2016-10,32897196055.3024,32426298160
202,2016-11,32712497682.5905,34234915424
203,2016-12,33628517438.5432,32605009560
204,2017-01,38236048381.5622,37198831176
205,2017-02,33828731495.3311,29832186584
206,2017-03,34735996081.0856,36962976552
207,2017-04,33281493878.8047,32365569872
208,2017-05,32406958166.9618,33144811008
209,2017-06,33776247546.0782,34963959192
210,2017-07,34985341477.5626,36286672104
211,2017-08,32797683859.8618,34261158984
212,2017-09,32428377147.515,30894107160
213,2017-10,33423045943.1415,33417044148
214,2017-11,34559677804.4204,35950469160
215,2017-12,33267327866.7215,31481345592
216,2018-01,33793495261.0773,33666136200
217,2018-02,33815445359.7668,29932376736
218,2018-03,32349049860.3215,34180359192
219,2018-04,33792196900.7219,33230003688
220,2018-05,34519418519.305,35329506840
221,2018-06,33095664010.0478,33766899648
222,2018-07,33195736598.6591,34983425064
223,2018-08,34308879420.5653,35736443640
224,2018-09,34223306528.2158,31985010336
225,2018-10,34917452491.2234,35467422936
226,2018-11,34244778746.4983,35557772449
227,2018-12,34558355224.2928,32513714148
228,2019-01,36380414541.7297,36517583124
229,2019-02,35275011290.8729,31339051369
230,2019-03,35960103347.326,37529459721
231,2019-04,34719544265.2809,34594711101
