month,date,vol,vol_unadj,age_group
60,2005-01,12683348180.8821,11185770576,Age 30-44
60,2005-01,15805496420.2576,13833155088,Age 45-64
60,2005-01,3901495182.73661,3369003696,Younger than 30
60,2005-01,4443335766.6187,3832595952,Age 65 and older
61,2005-02,12530739688.6111,10773653184,Age 30-44
61,2005-02,16120838401.7551,14046914460,Age 45-64
61,2005-02,4047016697.74494,3344495280,Younger than 30
61,2005-02,4300544572.29857,3882000048,Age 65 and older
62,2005-03,12772413402.9423,12928256664,Age 30-44
62,2005-03,16626870900.1803,17138713224,Age 45-64
62,2005-03,4130596069.49487,3973943760,Younger than 30
62,2005-03,4269514912.02623,4415527152,Age 65 and older
63,2005-04,12607814828.3834,12171171136,Age 30-44
63,2005-04,16266914090.6281,16238525320,Age 45-64
63,2005-04,4012728983.10128,3817050504,Younger than 30
63,2005-04,4460730733.30191,4578606696,Age 65 and older
64,2005-05,12744159396.4585,12563670648,Age 30-44
64,2005-05,16217323635.0439,15921776896,Age 45-64
64,2005-05,4054489890.93876,3988987704,Younger than 30
64,2005-05,4597928015.63808,4516881096,Age 65 and older
65,2005-06,12527671767.086,12616470632,Age 30-44
65,2005-06,16323123240.517,16577025056,Age 45-64
65,2005-06,4193542680.55555,4266655584,Younger than 30
65,2005-06,4445723490.28663,4411664904,Age 65 and older
66,2005-07,11742258122.8744,12119450952,Age 30-44
66,2005-07,16081690584.0512,16238080856,Age 45-64
66,2005-07,3935265714.93227,4274870592,Younger than 30
66,2005-07,4610864418.16421,4483704432,Age 65 and older
67,2005-08,13719276195.1128,14892639888,Age 30-44
67,2005-08,17440795207.9195,19292860920,Age 45-64
67,2005-08,4594704160.5576,5314418160,Younger than 30
67,2005-08,4799682223.08311,5335806720,Age 65 and older
68,2005-09,13961215132.4252,14815249272,Age 30-44
68,2005-09,19779904268.5121,19998211116,Age 45-64
68,2005-09,4287063419.05286,4582010184,Younger than 30
68,2005-09,5688960127.75109,6041517672,Age 65 and older
69,2005-10,12206394959.9873,12501196944,Age 30-44
69,2005-10,15973274373.7582,16456122264,Age 45-64
69,2005-10,4218439049.93602,4354702816,Younger than 30
69,2005-10,4842348475.18905,5043336552,Age 65 and older
70,2005-11,12359321564.0673,12985568076,Age 30-44
70,2005-11,15998030253.5352,16880192640,Age 45-64
70,2005-11,4168409080.69858,4319280912,Younger than 30
70,2005-11,5056752366.8778,5341747992,Age 65 and older
71,2005-12,11107385430.1025,11342389680,Age 30-44
71,2005-12,14824726712.6559,14856496584,Age 45-64
71,2005-12,3883020134.84269,3893367480,Younger than 30
71,2005-12,4196523078.23703,3941022480,Age 65 and older
72,2006-01,11902338231.0377,10627919496,Age 30-44
72,2006-01,15801587669.0763,13991166432,Age 45-64
72,2006-01,4263723891.47169,3729618512,Younger than 30
72,2006-01,4735549938.11614,4151985528,Age 65 and older
73,2006-02,12904763644.0851,11042036056,Age 30-44
73,2006-02,19396526489.3306,16856866104,Age 45-64
73,2006-02,4304098330.20132,3539350296,Younger than 30
73,2006-02,7375986242.68865,6641206152,Age 65 and older
74,2006-03,11896316913.7781,12022512024,Age 30-44
74,2006-03,15467263578.5802,15924012304,Age 45-64
74,2006-03,4220545111.46359,4051336968,Younger than 30
74,2006-03,4507218332.40924,4668779112,Age 65 and older
75,2006-04,11584950175.27,11086374336,Age 30-44
75,2006-04,15635269387.5489,15407025384,Age 45-64
75,2006-04,4160053657.37079,3911075016,Younger than 30
75,2006-04,4608514514.50013,4632138544,Age 65 and older
76,2006-05,11924811826.4323,11938133808,Age 30-44
76,2006-05,16054630404.8986,16023568808,Age 45-64
76,2006-05,4239202019.0485,4236980004,Younger than 30
76,2006-05,4723928325.6135,4761431760,Age 65 and older
77,2006-06,11860187564.9447,11958671496,Age 30-44
77,2006-06,15990389321.8989,16292907336,Age 45-64
77,2006-06,4153510862.35069,4233046332,Younger than 30
77,2006-06,4755275707.67789,4756086600,Age 65 and older
78,2006-07,11923598227.3874,12294298808,Age 30-44
78,2006-07,16197054867.8636,16370261984,Age 45-64
78,2006-07,4284640350.15761,4651442448,Younger than 30
78,2006-07,4979438093.90987,4846999776,Age 65 and older
79,2006-08,12284412372.1739,13328458732,Age 30-44
79,2006-08,16690200453.483,18392680464,Age 45-64
79,2006-08,4454049934.69317,5151908832,Younger than 30
79,2006-08,5462703252.1178,6058394736,Age 65 and older
80,2006-09,12806100147.7162,13346886528,Age 30-44
80,2006-09,19647093332.3998,19550680932,Age 45-64
80,2006-09,4437130182.77981,4677949392,Younger than 30
80,2006-09,6693062845.45469,6912217008,Age 65 and older
81,2006-10,12276026303.7926,12766195872,Age 30-44
81,2006-10,16766786754.6503,17475275184,Age 45-64
81,2006-10,4464121471.96254,4672183640,Younger than 30
81,2006-10,5146170759.72731,5465230032,Age 65 and older
82,2006-11,12211154825.8118,12900727080,Age 30-44
82,2006-11,16530946786.4982,17518390176,Age 45-64
82,2006-11,4548306495.35366,4727147912,Younger than 30
82,2006-11,4795667938.91506,5054198520,Age 65 and older
83,2006-12,12645615186.4061,12706620632,Age 30-44
83,2006-12,17110292827.8553,16937762416,Age 45-64
83,2006-12,4785424336.1779,4735895272,Younger than 30
83,2006-12,5324702515.17976,4887844224,Age 65 and older
84,2007-01,12521212345.1648,11341993808,Age 30-44
84,2007-01,17659919894.1884,15854238984,Age 45-64
84,2007-01,4514013859.21037,4008767676,Younger than 30
84,2007-01,5385004571.86223,4818236328,Age 65 and older
85,2007-02,13245462868.6692,11270373568,Age 30-44
85,2007-02,19396269193.2485,16792968456,Age 45-64
85,2007-02,4737807420.34886,3862562368,Younger than 30
85,2007-02,6797806111.56079,6114589752,Age 65 and older
86,2007-03,12694346073.4001,12600410952,Age 30-44
86,2007-03,17545021909.8412,17806775664,Age 45-64
86,2007-03,4670246691.68616,4394908360,Younger than 30
86,2007-03,5793611822.55457,5915055192,Age 65 and older
87,2007-04,12573279760.9093,12306860864,Age 30-44
87,2007-04,17650214409.6283,17606636388,Age 45-64
87,2007-04,4775335965.31261,4562149200,Younger than 30
87,2007-04,5620416323.84136,5731075488,Age 65 and older
88,2007-05,12115387689.7874,12152513744,Age 30-44
88,2007-05,16448921965.7965,16544426080,Age 45-64
88,2007-05,4549968830.46174,4573682368,Younger than 30
88,2007-05,5102382168.12358,5196847536,Age 65 and older
89,2007-06,12074843671.581,12026649520,Age 30-44
89,2007-06,16515427045.0746,16659373536,Age 45-64
89,2007-06,4554939444.43832,4588283328,Younger than 30
89,2007-06,5081843261.71467,5047735392,Age 65 and older
90,2007-07,11897524866.04,12402261600,Age 30-44
90,2007-07,16604029825.2842,17034157032,Age 45-64
90,2007-07,4456081077.30533,4886775312,Younger than 30
90,2007-07,5070565897.59785,5062393752,Age 65 and older
91,2007-08,11556337935.6856,12537987504,Age 30-44
91,2007-08,16094346443.2116,17535812796,Age 45-64
91,2007-08,4370451673.20168,5057435280,Younger than 30
91,2007-08,4672856719.05735,5143249848,Age 65 and older
92,2007-09,11404392154.0931,11603913672,Age 30-44
92,2007-09,16440349224.8892,16027870584,Age 45-64
92,2007-09,4325184997.81221,4490950416,Younger than 30
92,2007-09,5078167208.24968,5052380184,Age 65 and older
93,2007-10,11845167854.3589,12519576312,Age 30-44
93,2007-10,16970416119.4657,17916615312,Age 45-64
93,2007-10,4357460927.65596,4629581592,Younger than 30
93,2007-10,5515068512.81978,5952324576,Age 65 and older
94,2007-11,11539294096.0444,12297853080,Age 30-44
94,2007-11,16255656235.1069,17360425836,Age 45-64
94,2007-11,4292499840.01328,4492821792,Younger than 30
94,2007-11,5021241210.03761,5269676208,Age 65 and older
95,2007-12,11901302058.8772,11927087256,Age 30-44
95,2007-12,16800555163.0579,16674831180,Age 45-64
95,2007-12,4213170509.27981,4175080896,Younger than 30
95,2007-12,5548691941.5168,5090827272,Age 65 and older
96,2008-01,11735922976.7311,10632902256,Age 30-44
96,2008-01,16333422924.4383,14706182520,Age 45-64
96,2008-01,4254953899.54928,3775152408,Younger than 30
96,2008-01,5294353955.37696,4757160792,Age 65 and older
97,2008-02,10963614267.4539,9660965400,Age 30-44
97,2008-02,15783160715.3792,14186632032,Age 45-64
97,2008-02,3986409356.52767,3344198880,Younger than 30
97,2008-02,4924945135.6593,4633920288,Age 65 and older
98,2008-03,10805752777.0659,10553909472,Age 30-44
98,2008-03,15642716109.0679,15710125824,Age 45-64
98,2008-03,3920990624.23823,3619081752,Younger than 30
98,2008-03,5193782881.4311,5255785752,Age 65 and older
99,2008-04,10372736542.115,10424240160,Age 30-44
99,2008-04,15401312140.6091,15561759120,Age 45-64
99,2008-04,3699991341.32318,3593038368,Younger than 30
99,2008-04,5170984097.95576,5347821240,Age 65 and older
100,2008-05,10257790496.697,10179359832,Age 30-44
100,2008-05,15664538488.2418,15640145928,Age 45-64
100,2008-05,3621327802.19352,3615512712,Younger than 30
100,2008-05,5111660703.14652,5172269328,Age 65 and older
101,2008-06,10755151351.6182,10676470440,Age 30-44
101,2008-06,16201286470.9695,16318266672,Age 45-64
101,2008-06,3706743932.07981,3738207360,Younger than 30
101,2008-06,5437160782.805,5449986480,Age 65 and older
102,2008-07,10919888315.2886,11490464688,Age 30-44
102,2008-07,20154805397.2135,20921844144,Age 45-64
102,2008-07,3470219497.62852,3832659024,Younger than 30
102,2008-07,8493698173.88442,8676341136,Age 65 and older
103,2008-08,14383645465.0884,15052380888,Age 45-64
103,2008-08,3084635681.71062,3478483944,Younger than 30
103,2008-08,5074252623.2044,5275332144,Age 65 and older
103,2008-08,9177262180.65987,9683944008,Age 30-44
104,2008-09,13573795892.4304,13450847856,Age 45-64
104,2008-09,3003727390.19467,3180700512,Younger than 30
104,2008-09,4673375654.92583,4733901456,Age 65 and older
104,2008-09,8816028663.87968,9033501168,Age 30-44
105,2008-10,12212536583.1952,12901914552,Age 45-64
105,2008-10,2674352211.37438,2855534496,Younger than 30
105,2008-10,4418298937.43113,4760073720,Age 65 and older
105,2008-10,7837683591.77663,8315317632,Age 30-44
106,2008-11,11452620071.6795,12024292296,Age 45-64
106,2008-11,2406464787.57993,2482572624,Younger than 30
106,2008-11,4093265600.61355,4112531832,Age 65 and older
106,2008-11,7031269488.76606,7403999304,Age 30-44
107,2008-12,10096638004.9202,10376039568,Age 45-64
107,2008-12,2078347282.38203,2115900072,Younger than 30
107,2008-12,3671658309.66614,3521883624,Age 65 and older
107,2008-12,5930032401.8887,6097457712,Age 30-44
108,2009-01,1988981094.32845,1742838720,Younger than 30
108,2009-01,3348048695.5665,3001632480,Age 65 and older
108,2009-01,5534273128.27041,4972718568,Age 30-44
108,2009-01,9572818909.04059,8558458944,Age 45-64
109,2009-02,1852692382.17097,1484532024,Younger than 30
109,2009-02,3353665212.27285,3046504288,Age 65 and older
109,2009-02,5331811509.44607,4507300968,Age 30-44
109,2009-02,9074842920.07526,7859772720,Age 45-64
110,2009-03,1773614724.56226,1647352224,Younger than 30
110,2009-03,3272846166.03821,3403643856,Age 65 and older
110,2009-03,5160204108.988,5090465784,Age 30-44
110,2009-03,8628451020.76242,8793350256,Age 45-64
111,2009-04,1722608029.37436,1672515264,Younger than 30
111,2009-04,3244786297.232,3322240080,Age 65 and older
111,2009-04,4985015815.65991,5065848768,Age 30-44
111,2009-04,8366187554.96773,8444032164,Age 45-64
112,2009-05,1660656875.41596,1647151800,Younger than 30
112,2009-05,3191742735.28391,3216596904,Age 65 and older
112,2009-05,4793362171.87047,4704533256,Age 30-44
112,2009-05,8140546458.99139,8076564744,Age 45-64
113,2009-06,1592592591.4839,1626048552,Younger than 30
113,2009-06,3052018203.15831,3131205960,Age 65 and older
113,2009-06,4480986729.42761,4481721888,Age 30-44
113,2009-06,8039211356.0411,8145901392,Age 45-64
114,2009-07,1494656056.59652,1639406292,Younger than 30
114,2009-07,2894104342.35915,2953105512,Age 65 and older
114,2009-07,4273544595.91118,4477889808,Age 30-44
114,2009-07,7523943785.55987,7776314616,Age 45-64
115,2009-08,1488414780.50715,1676342520,Younger than 30
115,2009-08,2868848633.81298,2933781228,Age 65 and older
115,2009-08,4206326971.68343,4424510184,Age 30-44
115,2009-08,7404708260.79318,7616427576,Age 45-64
116,2009-09,1408080785.54443,1482437352,Younger than 30
116,2009-09,2767192959.97147,2742857160,Age 65 and older
116,2009-09,3971943013.18893,4005136584,Age 30-44
116,2009-09,6945352076.6886,6846686256,Age 45-64
117,2009-10,1420908908.06937,1503648576,Younger than 30
117,2009-10,2836033021.98655,2978914608,Age 65 and older
117,2009-10,4235358553.52679,4439394528,Age 30-44
117,2009-10,7246275674.44152,7549262796,Age 45-64
118,2009-11,1544205132.67553,1632773328,Younger than 30
118,2009-11,2770175682.08726,2841251064,Age 65 and older
118,2009-11,4341430987.94176,4681577424,Age 30-44
118,2009-11,7424988761.44906,7955791920,Age 45-64
119,2009-12,1463619903.8447,1497829416,Younger than 30
119,2009-12,2771081534.853,2679008160,Age 65 and older
119,2009-12,4160066271.27266,4281896448,Age 30-44
119,2009-12,7327675814.51062,7606506648,Age 45-64
120,2010-01,1528230289.39979,1318690296,Younger than 30
120,2010-01,2998881588.30689,2686238952,Age 65 and older
120,2010-01,4370385378.7704,3900989496,Age 30-44
120,2010-01,7927984452.74864,7051366920,Age 45-64
121,2010-02,1407560402.22779,1123571568,Younger than 30
121,2010-02,2860658753.23985,2621799720,Age 65 and older
121,2010-02,4276927642.11456,3619067532,Age 30-44
121,2010-02,7308309473.19426,6382131960,Age 45-64
122,2010-03,1451836355.76118,1365690960,Younger than 30
122,2010-03,2889507898.64802,3087635880,Age 65 and older
122,2010-03,4171560064.73154,4180738296,Age 30-44
122,2010-03,7557353992.39096,7850387424,Age 45-64
123,2010-04,1555264429.21092,1506334296,Younger than 30
123,2010-04,2861914243.00222,2919531816,Age 65 and older
123,2010-04,4442776033.06677,4548817224,Age 30-44
123,2010-04,7623653081.15339,7681853544,Age 45-64
124,2010-05,1561454755.57463,1552350600,Younger than 30
124,2010-05,3103468666.72484,3161797656,Age 65 and older
124,2010-05,4317360600.52815,4253698320,Age 30-44
124,2010-05,7813347116.20417,7761144408,Age 45-64
