month,date,vol,vol_unadj,income_level_group
123,2010-04,1878500590.977561,1865282731.313133,Moderate
123,2010-04,299542683.6426542,293609613.1313131,Low
123,2010-04,6057180233.572705,5855699048.9899,Middle
123,2010-04,6752620056.127521,6646677976.262622,High
124,2010-05,1843260935.485909,1846327790.909092,Moderate
124,2010-05,307320190.5314507,319588347.4747475,Low
124,2010-05,5983900203.388234,5860163844.444442,Middle
124,2010-05,6627507097.406669,6524892475.757578,High
125,2010-06,1891851910.952099,1854435265.656565,Moderate
125,2010-06,305806894.5889046,300414122.2222222,Low
125,2010-06,6150339309.55759,5849588823.737374,Middle
125,2010-06,6599834243.043963,6242979711.111112,High
126,2010-07,1938378904.686001,1993095261.11111,Moderate
126,2010-07,323136951.2831373,326573714.6464647,Low
126,2010-07,6373597854.99367,6542768793.434341,Middle
126,2010-07,6854741735.321241,6913755374.747475,High
127,2010-08,1929805996.558515,2007146167.171717,Moderate
127,2010-08,316535919.1718325,330868499.4949497,Low
127,2010-08,6301396825.236863,6521248730.303024,Middle
127,2010-08,7033363822.296942,7223254680.303028,High
128,2010-09,1950802365.81523,1919844890.909092,Moderate
128,2010-09,321484307.0329828,314942866.1616161,Low
128,2010-09,6266256735.234104,6044280688.888888,Middle
128,2010-09,7014323509.795275,6753075577.272728,High
129,2010-10,2049235235.557443,2154948510.101012,Moderate
129,2010-10,326957596.3416564,346422285.8585859,Low
129,2010-10,6423698670.644488,6694208094.949497,Middle
129,2010-10,7433819745.633931,7638732060.101016,High
130,2010-11,2101371714.663717,2315742903.030303,Moderate
130,2010-11,353123424.5338399,388278555.5555556,Low
130,2010-11,6738019706.843845,7560533521.717173,Middle
130,2010-11,7826860831.917737,8484769244.444444,High
131,2010-12,2143544040.418381,2211023510.606061,Moderate
131,2010-12,344203800.4245971,351586474.2424242,Low
131,2010-12,6929962216.712662,7412601938.888895,Middle
131,2010-12,7970320619.106126,8415653468.686861,High
132,2011-01,2169122810.941291,1972722849.49495,Moderate
132,2011-01,347035239.4023791,308079714.6464647,Low
132,2011-01,6738365252.824758,6214578442.424244,Middle
132,2011-01,7410495516.345024,7228285975.757572,High
133,2011-02,2206981036.371388,1928042598.989901,Moderate
133,2011-02,368387089.9721812,316822460.6060606,Low
133,2011-02,6883839615.429711,6168156945.959601,Middle
133,2011-02,8127790180.170514,7397572878.282825,High
134,2011-03,2291140859.593338,2292923487.37374,Moderate
134,2011-03,374825849.6153333,385424958.080808,Low
134,2011-03,7343409773.071512,7490448368.686862,Middle
134,2011-03,8542881557.984112,8810237168.686871,High
135,2011-04,2153845851.901095,2146007963.131314,Moderate
135,2011-04,349040049.9228144,344462254.0404041,Low
135,2011-04,7030145273.239609,6831468361.111111,Middle
135,2011-04,8007736187.930143,7887847982.323233,High
136,2011-05,2406327803.205022,2416017487.373737,Moderate
136,2011-05,378177672.6914058,393481180.8080808,Low
136,2011-05,7441656924.668038,7301769016.161617,Middle
136,2011-05,8732377454.130947,8606276371.212126,High
137,2011-06,2372435324.587407,2323421585.858587,Moderate
137,2011-06,375306258.7504353,368477929.79798,Low
137,2011-06,7631155740.795354,7262200392.929295,Middle
137,2011-06,8634471145.006096,8187945501.515158,High
138,2011-07,2228752990.731098,2299493714.141416,Moderate
138,2011-07,384005897.7503289,389907516.6666668,Low
138,2011-07,7098913555.811245,7294015368.18182,Middle
138,2011-07,8302563085.475193,8398360236.868684,High
139,2011-08,2455079124.670616,2550582312.626264,Moderate
139,2011-08,400770112.1400088,417417684.8484848,Low
139,2011-08,7872872989.602949,8136694165.656565,Middle
139,2011-08,9083695669.472256,9324829157.070704,High
140,2011-09,2485975034.787246,2448526315.151517,Moderate
140,2011-09,414891369.7318273,405851340.9090911,Low
140,2011-09,8206105967.812978,7928578425.757581,Middle
140,2011-09,9962418700.98378,9600867534.343433,High
141,2011-10,2392070336.857124,2506768899.999999,Moderate
141,2011-10,406916353.8915545,429260082.3232323,Low
141,2011-10,7667169588.400083,7961524430.30303,Middle
141,2011-10,9328564563.54207,9553387503.535349,High
142,2011-11,2464204656.225523,2708304557.575759,Moderate
142,2011-11,406449050.4969574,447107530.8080811,Low
142,2011-11,7675411652.453016,8580097248.484847,Middle
142,2011-11,9209272809.271971,9954879560.606054,High
143,2011-12,2445160643.974195,2516123671.717173,Moderate
143,2011-12,408350621.7998995,418505832.3232322,Low
143,2011-12,7599221294.464874,8126061474.242431,Middle
143,2011-12,9032436149.770819,9531144875.757568,High
144,2012-01,2325974177.082156,2120043486.868689,Moderate
144,2012-01,399650598.8196459,355939257.0707071,Low
144,2012-01,7290645924.72381,6743981479.797981,Middle
144,2012-01,8447826087.625428,8246448499.494949,High
145,2012-02,2470418981.385264,2151554131.313132,Moderate
145,2012-02,458536213.2302539,390353681.8181817,Low
145,2012-02,7778031125.001416,6935594729.797975,Middle
145,2012-02,8991627683.213978,8155922978.787877,High
146,2012-03,2484206503.979985,2484247892.929293,Moderate
146,2012-03,412322186.9641817,422628713.6363637,Low
146,2012-03,7600983104.858855,7731451587.878788,Middle
146,2012-03,8901641670.761787,9155745653.030304,High
147,2012-04,2396230114.956969,2396494552.525253,Moderate
147,2012-04,437112495.2921001,435778117.1717172,Low
147,2012-04,7525903289.783588,7372671890.909094,Middle
147,2012-04,8844637757.748943,8720473647.979799,High
148,2012-05,2445628676.598832,2467023571.717172,Moderate
148,2012-05,426385138.2306656,442376815.1515152,Low
148,2012-05,7688625238.74132,7573203264.646463,Middle
148,2012-05,8928954622.779142,8819309520.707069,High
149,2012-06,2521668580.922004,2477732261.111112,Moderate
149,2012-06,446228339.3956268,441244337.8787878,Low
149,2012-06,7471092922.929124,7151549560.606056,Middle
149,2012-06,8982786580.552195,8604878515.656563,High
150,2012-07,2403075641.843091,2489890103.535356,Moderate
150,2012-07,412055288.0112144,420807640.9090908,Low
150,2012-07,7378030829.011256,7579343856.565658,Middle
150,2012-07,8734639147.242487,8870695811.111124,High
151,2012-08,2513066997.343845,2604317345.959598,Moderate
151,2012-08,442781970.3794317,459031096.4646465,Low
151,2012-08,7529341424.472653,7752565890.909092,Middle
151,2012-08,8679595237.799963,8892981073.232327,High
152,2012-09,2477706850.805584,2441992178.787879,Moderate
152,2012-09,414608815.2243635,405494204.0404041,Low
152,2012-09,7600932397.939441,7361784082.323236,Middle
152,2012-09,8819983876.456429,8524002020.20202,High
153,2012-10,2632969473.378212,2744471986.363636,Moderate
153,2012-10,453615935.4154296,475886321.2121213,Low
153,2012-10,8047109709.526613,8344459139.89899,Middle
153,2012-10,8756253041.069849,8934210933.33334,High
154,2012-11,2589881416.293878,2832475940.404041,Moderate
154,2012-11,422919909.5883425,463348670.2020203,Low
154,2012-11,7848122940.419471,8704897702.020208,Middle
154,2012-11,8833249986.215212,9486422401.515163,High
155,2012-12,2642811102.582051,2705418284.848485,Moderate
155,2012-12,440090397.4420113,451296880.8080809,Low
155,2012-12,7787300923.859843,8280022687.878784,Middle
155,2012-12,8866055627.119537,9299573456.060602,High
156,2013-01,2750081677.781373,2513336548.989901,Moderate
156,2013-01,467629023.3818549,418797890.4040403,Low
156,2013-01,8264863124.125569,7683267666.666664,Middle
156,2013-01,9350142840.948671,9140747663.13131,High
157,2013-02,2704514479.712537,2349988553.030304,Moderate
157,2013-02,481685946.7352056,405065246.969697,Low
157,2013-02,8213169861.816311,7295171192.424245,Middle
157,2013-02,9373632179.622271,8483827719.696977,High
158,2013-03,2662728638.743644,2658851062.626262,Moderate
158,2013-03,481761381.5501193,491317702.0202021,Low
158,2013-03,8099825689.496316,8195016543.939394,Middle
158,2013-03,9433768160.643499,9665180921.212126,High
159,2013-04,2737978129.071409,2745548371.212122,Moderate
159,2013-04,471476771.9567508,474387373.7373738,Low
159,2013-04,8272564586.917018,8160781172.222222,Middle
159,2013-04,9328681991.793865,9200579542.424244,High
160,2013-05,2651722227.396796,2694605755.050506,Moderate
160,2013-05,473315489.2145317,490748010.1010101,Low
160,2013-05,7940611941.410325,7888241208.080803,Middle
160,2013-05,9199148202.592726,9134205066.161612,High
161,2013-06,2673248865.115683,2651068214.141415,Moderate
161,2013-06,467734843.3425726,468335983.3333333,Low
161,2013-06,8099822739.291739,7837654742.424241,Middle
161,2013-06,9554711798.584097,9283448205.050507,High
162,2013-07,2863007719.336215,2984959593.939394,Moderate
162,2013-07,502513902.016675,520264028.7878786,Low
162,2013-07,8332332297.867134,8593981131.81819,Middle
162,2013-07,9633849683.220369,9843682592.929293,High
163,2013-08,10195628290.21111,10430031123.23233,High
163,2013-08,2935594948.816822,3034886806.565655,Moderate
163,2013-08,503116351.2027862,520185990.9090909,Low
163,2013-08,8682033582.036728,8900220926.767675,Middle
164,2013-09,10364358648.93576,10044887124.24243,High
164,2013-09,3091692474.147199,3038185404.040405,Moderate
164,2013-09,554531078.4335911,539535464.1414142,Low
164,2013-09,9172800202.317993,8877816243.939396,Middle
165,2013-10,10570980891.4246,10721926967.67677,High
165,2013-10,3078382802.483721,3191432521.212123,Moderate
165,2013-10,532831468.2079664,553177625.2525256,Low
165,2013-10,9127772150.865913,9446209823.232323,Middle
166,2013-11,11055414778.19711,11770050172.22222,High
166,2013-11,3131124061.471083,3391443856.060604,Moderate
166,2013-11,562542298.5207455,610829285.3535354,Low
166,2013-11,9420634911.05438,10318240333.33335,Middle
167,2013-12,10083205958.92686,10593598399.49495,Middle
167,2013-12,11537137829.08605,11973476045.95959,High
167,2013-12,3444795676.289526,3488963208.080811,Moderate
167,2013-12,580510981.1074212,591793230.808081,Low
168,2014-01,11327465344.7223,11131887604.54546,High
168,2014-01,3203942907.314523,2957885060.101012,Moderate
168,2014-01,564418263.8327239,511733554.040404,Low
168,2014-01,9663516393.83897,9096856929.797981,Middle
169,2014-02,11474670753.79433,10346104037.37374,High
169,2014-02,3262909075.091573,2828216404.040407,Moderate
169,2014-02,542062153.5365014,451616919.6969697,Low
169,2014-02,9537480147.360415,8425405891.919195,Middle
170,2014-03,11177776583.28041,11451349980.80809,High
170,2014-03,3236383316.917105,3242187821.717174,Moderate
170,2014-03,550191501.1307307,563096958.5858589,Low
170,2014-03,9365791569.075888,9485403746.464643,Middle
171,2014-04,10033379747.793,9910286112.121212,Middle
171,2014-04,11739351255.55063,11537076618.18182,High
171,2014-04,3445047958.325397,3449084052.020202,Moderate
171,2014-04,620384358.1255447,623592817.6767676,Low
