month,date,vol,vol_unadj,credit_score_group
84,2007-01,25447797739.64317,22610679958.58585,Super-prime
84,2007-01,2566252058.092002,2139431090.40404,Near-prime
84,2007-01,468099511.9712306,405278907.0707071,Deep subprime
84,2007-01,8426961916.102775,7433527367.676766,Prime
84,2007-01,844549632.3246857,736938927.7777781,Subprime
85,2007-02,2436446831.148396,1961024501.515152,Near-prime
85,2007-02,28986127892.9644,25083224440.90909,Super-prime
85,2007-02,467192357.5409716,394154492.9292929,Deep subprime
85,2007-02,782290525.4647372,641358247.4747477,Subprime
85,2007-02,8324089129.498728,7269027633.33333,Prime
86,2007-03,2365727813.368752,2286670587.878787,Near-prime
86,2007-03,26068303017.49585,25202026299.49495,Super-prime
86,2007-03,471008855.9174654,469571332.8282828,Deep subprime
86,2007-03,8290566783.96716,8084664958.585858,Prime
86,2007-03,833264105.9674391,822309008.5858586,Subprime
87,2007-04,2406371468.754272,2335198938.383839,Near-prime
87,2007-04,25311900487.59018,24985670964.64646,Super-prime
87,2007-04,469067344.7912011,428783613.6363639,Deep subprime
87,2007-04,7922403538.815534,7950261859.595961,Prime
87,2007-04,820232316.1242329,766621245.9595959,Subprime
88,2007-05,23174715408.48368,23448741444.94949,Super-prime
88,2007-05,2356319518.563855,2376318119.191921,Near-prime
88,2007-05,479632176.025602,490326885.8585861,Deep subprime
88,2007-05,7667312898.958196,7822446744.949495,Prime
88,2007-05,829809439.248021,832050534.8484858,Subprime
89,2007-06,2254913030.895014,2344531158.585859,Near-prime
89,2007-06,22677297473.97161,22998769347.97981,Super-prime
89,2007-06,512723801.240311,505758275.2525254,Deep subprime
89,2007-06,7491322459.72596,7732636319.696967,Prime
89,2007-06,819195094.4988341,839465989.3939393,Subprime
90,2007-07,22973157546.79884,24602593478.78789,Super-prime
90,2007-07,2321555336.511986,2391879864.141413,Near-prime
90,2007-07,465032980.4705672,440096316.6666665,Deep subprime
90,2007-07,7647694395.100256,8261764220.707071,Prime
90,2007-07,821750393.8270878,814944086.8686874,Subprime
91,2007-08,2224753395.518469,2455849868.181818,Near-prime
91,2007-08,23393271393.12019,24760406635.35354,Super-prime
91,2007-08,437349244.705623,489378080.8080811,Deep subprime
91,2007-08,7825728276.377844,8292068531.313131,Prime
91,2007-08,791081765.2449815,851517118.6868688,Subprime
92,2007-09,2061373919.486133,2213625743.939395,Near-prime
92,2007-09,23546795450.47587,23307370854.04039,Super-prime
92,2007-09,383632198.7209019,393923096.4646466,Deep subprime
92,2007-09,715242146.4326792,749144171.7171718,Subprime
92,2007-09,7706902788.742641,7584712024.747472,Prime
93,2007-10,2019728718.5161,2226549747.979798,Near-prime
93,2007-10,25151781629.08966,26560220420.20201,Super-prime
93,2007-10,352040227.0340427,383545355.5555558,Deep subprime
93,2007-10,684345841.8445605,744124533.3333338,Subprime
93,2007-10,7642701143.460922,8114490076.26262,Prime
94,2007-11,1962849419.244163,2137175073.737375,Near-prime
94,2007-11,23624886411.84911,25378836281.81818,Super-prime
94,2007-11,337626239.7032481,366921929.2929295,Deep subprime
94,2007-11,637044987.5683134,720880726.2626264,Subprime
94,2007-11,7160044740.594388,7541721252.020203,Prime
95,2007-12,1953280514.397383,1902125578.787879,Near-prime
95,2007-12,24415276920.50832,24715795829.79799,Super-prime
95,2007-12,306325629.8190996,336380348.9898992,Deep subprime
95,2007-12,614894888.0602375,627704626.7676773,Subprime
95,2007-12,7197684163.251587,7008842780.303036,Prime
96,2008-01,2001458925.764044,1668061442.424242,Near-prime
96,2008-01,23926915632.02968,21352051749.49495,Super-prime
96,2008-01,318940312.7356009,276956044.949495,Deep subprime
96,2008-01,627575189.3952622,547247460.6060605,Subprime
96,2008-01,7457272224.554102,6575111596.464648,Prime
97,2008-02,1961692180.818554,1587116811.616161,Near-prime
97,2008-02,23407693243.71048,20283648808.0808,Super-prime
97,2008-02,325755666.9187493,275270118.1818184,Deep subprime
