month,date,num,num_unadj
60,2005-01,205212.615470837,150060
61,2005-02,214740.24921958,172320
62,2005-03,226220.159547991,239160
63,2005-04,236224.594908238,241020
64,2005-05,247621.256949156,261852
65,2005-06,250617.959948774,292224
66,2005-07,259797.533197785,276648
67,2005-08,266218.602366048,318252
68,2005-09,287470.103722762,305868
69,2005-10,312459.731193814,302640
70,2005-11,319598.676587089,302640
71,2005-12,330571.870946972,301800
72,2006-01,329826.833622733,248808
73,2006-02,321718.151864241,257916
74,2006-03,335385.286095627,354000
75,2006-04,328869.534008687,322548
76,2006-05,329175.91616858,362724
77,2006-06,328918.365651742,383664
78,2006-07,320397.148519642,341076
79,2006-08,316397.091836804,378984
80,2006-09,313079.582261941,321380
81,2006-10,308530.694158468,312948
82,2006-11,298347.036049334,283248
83,2006-12,313144.603973959,272676
84,2007-01,303774.948851033,235104
85,2007-02,280079.05323924,223896
86,2007-03,248420.209976732,250200
87,2007-04,218910.385562016,225408
88,2007-05,207289.694418732,229056
89,2007-06,198823.823719997,221952
90,2007-07,187304.781936243,207480
91,2007-08,169032.277634031,202692
92,2007-09,135905.808709641,135200
93,2007-10,123453.909821943,131592
94,2007-11,117879.425651594,112368
95,2007-12,101398.24277722,87552
96,2008-01,89108.3823697049,67992
97,2008-02,82978.9808495387,69240
98,2008-03,77395.2783054879,73992
99,2008-04,74357.4020843205,80304
100,2008-05,64694.952150181,69192
101,2008-06,58999.8559176044,65424
102,2008-07,53829.0620384351,62016
103,2008-08,51759.642203805,57048
104,2008-09,47238.4636471989,51432
105,2008-10,42146.5593273862,45600
106,2008-11,33369.4786170336,29496
107,2008-12,30253.5665883062,28104
108,2009-01,32440.0682162563,23472
109,2009-02,33318.2340902453,26304
110,2009-03,32770.0057212247,32256
111,2009-04,30628.4852167467,33492
112,2009-05,31674.3100979572,32904
113,2009-06,34121.9510198192,39000
114,2009-07,36611.8366790812,41952
115,2009-08,32890.5480071652,36060
116,2009-09,32643.7719527141,35688
117,2009-10,31675.71678392,33576
118,2009-11,32068.9203180707,29568
119,2009-12,29556.8424784635,27312
120,2010-01,29463.3447386864,20424
121,2010-02,29632.4353315907,23136
122,2010-03,26914.7469140778,27360
123,2010-04,30368.1040642127,33432
124,2010-05,31301.5772184128,32976
125,2010-06,26660.5895989761,30168
126,2010-07,27034.7959030803,29664
127,2010-08,25454.0544636306,28848
128,2010-09,29757.0270782151,32424
129,2010-10,29725.7302215852,30816
130,2010-11,30632.9480699944,29472
131,2010-12,31743.7155237655,29232
132,2011-01,29468.1600642605,20568
133,2011-02,23606.5025364834,18168
134,2011-03,25797.1136781629,26064
135,2011-04,25933.1787862769,27504
136,2011-05,27166.1664581225,30264
137,2011-06,25967.4031261634,29208
138,2011-07,26976.9228834901,28380
139,2011-08,27840.4742541863,32616
140,2011-09,28383.4277347778,30696
141,2011-10,30288.3789691447,31728
142,2011-11,29404.8734621047,28296
143,2011-12,30110.6327650936,26712
144,2012-01,27634.934517481,20352
145,2012-02,31344.1150142461,24936
146,2012-03,32190.6683752849,31032
147,2012-04,32476.9751144293,34152
148,2012-05,31379.9596562543,37008
149,2012-06,31733.9034815546,34320
150,2012-07,30941.2996470398,33984
151,2012-08,30962.734356137,36264
152,2012-09,30339.9239268766,29904
153,2012-10,32913.309113853,37248
154,2012-11,31148.2421939833,30216
155,2012-12,33936.8764255686,28992
156,2013-01,36397.992536702,28200
157,2013-02,36634.5293056302,27528
158,2013-03,40641.3655010276,37368
159,2013-04,39294.9478767486,42576
160,2013-05,37080.7190456767,44208
161,2013-06,35881.2339042076,37656
162,2013-07,38467.7226893434,44136
163,2013-08,35667.4470230774,40152
164,2013-09,34476.6957872281,35064
165,2013-10,32814.2076850985,36504
166,2013-11,29293.7802312416,27672
167,2013-12,28783.3205911046,25824
168,2014-01,30914.3371397418,24120
169,2014-02,30464.3902044617,22728
170,2014-03,31100.1926329338,28440
171,2014-04,30960.3004175851,33024
172,2014-05,33480.0824867899,38496
173,2014-06,36679.4423588121,40656
174,2014-07,35598.7238110666,41016
175,2014-08,36138.9689781238,39144
176,2014-09,36830.8867741655,38760
177,2014-10,37864.3249328288,41184
178,2014-11,38201.1404494824,35400
179,2014-12,39054.2743973714,36720
180,2015-01,38260.6806920645,28776
181,2015-02,35235.0960309972,26208
182,2015-03,40257.6525522721,38064
183,2015-04,40202.3214377179,42312
184,2015-05,43491.9751849203,48048
185,2015-06,43241.1054836362,50568
186,2015-07,42011.3296984474,48552
187,2015-08,45760.8105796452,49488
188,2015-09,45336.7313246876,47520
189,2015-10,42849.8586244359,43848
190,2015-11,46452.675923436,45864
191,2015-12,45899.3671566684,43536
192,2016-01,46566.979301697,33709.3281935449
193,2016-02,46967.0854783341,36547.1048517263
194,2016-03,44661.7624013667,43670.414593739
195,2016-04,46360.9045823236,46319.2005083186
196,2016-05,46666.5032602805,53761.4268210181
197,2016-06,49822.8737694569,58619.6489212389
198,2016-07,52441.8691349757,55813.9809765884
199,2016-08,50025.1119550545,58748.4700406229
200,2016-09,49303.1537338725,51571.0171898514
201,2016-10,56525.2388904671,54839.8508786872
202,2016-11,66669.3588335426,69753.4088770763
