month,date,vol,vol_unadj
60,2005-01,9758869313.1625,7334665584
61,2005-02,10146232944.4841,8249714376
62,2005-03,11361275528.4351,11848725672
63,2005-04,11210563695.6364,11826770916
64,2005-05,12017793083.5669,12899910888
65,2005-06,12721886042.6134,14434602792
66,2005-07,12778799046.0983,13586927760
67,2005-08,13398403243.9979,15725922648
68,2005-09,14673694832.5931,15472021344
69,2005-10,16022098669.3701,15352754784
70,2005-11,17992571169.242,16021563912
71,2005-12,16865606598.294,16090339992
72,2006-01,16681131360.2109,12918921072
73,2006-02,16486363989.8313,13381070724
74,2006-03,16999852841.5148,18703355736
75,2006-04,17745236753.2324,17233376064
76,2006-05,17048099670.9105,18991059348
77,2006-06,17185623046.8456,20389699248
78,2006-07,16999816909.5237,18278768928
79,2006-08,18382552124.2853,20496594504
80,2006-09,17428336351.2621,17552233616
81,2006-10,17113255353.0842,17042898984
82,2006-11,16301648563.7487,14765058360
83,2006-12,16157594070.749,14787421584
84,2007-01,15754907135.0737,12631659720
85,2007-02,14878587166.006,11987255136
86,2007-03,12881388411.3908,13487556708
87,2007-04,10685972993.9,11423811720
88,2007-05,11028440339.2418,11774390232
89,2007-06,10289190281.3207,11576679192
90,2007-07,9329430405.08209,10473817536
91,2007-08,9027494373.66841,10509153288
92,2007-09,7136971770.78755,6646912616
93,2007-10,5984901617.82625,6232619856
94,2007-11,5497496392.29933,5250772896
95,2007-12,4394617013.4546,4056952152
96,2008-01,4475656149.52353,3438847704
97,2008-02,4369570110.0708,3748792440
98,2008-03,3762621438.96818,3770005392
99,2008-04,3933703795.77823,4101938112
100,2008-05,3208790613.26359,3482924256
101,2008-06,2853042606.80818,3225354144
102,2008-07,2774246130.33239,3097362720
103,2008-08,2383294218.05629,2525955624
104,2008-09,2331636321.61297,2469632496
105,2008-10,2156068718.54309,2281713744
106,2008-11,1884046686.79501,1604740800
107,2008-12,1448870340.03336,1444101168
108,2009-01,1624111601.05134,1263679224
109,2009-02,2118499120.942,1645499736
110,2009-03,1800574849.4913,1851155472
111,2009-04,1628641509.80461,1720300560
112,2009-05,1559975746.93037,1643745552
113,2009-06,1694766732.80935,1948938528
114,2009-07,1590727987.286,1869612480
115,2009-08,1500460318.48224,1582580060
116,2009-09,1444805095.99496,1456180752
117,2009-10,1343722223.57865,1387396776
118,2009-11,1396821902.63606,1323402528
119,2009-12,1346538978.41157,1288914792
120,2010-01,1345781267.68668,1009667208
121,2010-02,1210971445.476,916654200
122,2010-03,1174656697.25467,1249621656
123,2010-04,1495533400.99306,1646229420
124,2010-05,1315347111.91244,1409503740
125,2010-06,1293119925.69613,1401993648
