month,date,vol,vol_unadj,age_group
60,2005-01,1263439935.89761,848564712,Younger than 30
60,2005-01,3571976485.53793,2733142152,Age 45-64
60,2005-01,389916910.582014,284216304,Age 65 and older
60,2005-01,4543504569.87056,3403205976,Age 30-44
61,2005-02,1262662312.65319,967383456,Younger than 30
61,2005-02,3860438254.125,3235226784,Age 45-64
61,2005-02,411300878.678977,343444152,Age 65 and older
61,2005-02,4475678559.08355,3608788896,Age 30-44
62,2005-03,1526697287.17752,1568743704,Younger than 30
62,2005-03,3798303895.68933,4176480048,Age 45-64
62,2005-03,462917605.545065,507216312,Age 65 and older
62,2005-03,5674952082.84571,5501658720,Age 30-44
63,2005-04,1688250298.9911,1609092876,Younger than 30
63,2005-04,3865016299.27713,4194475368,Age 45-64
63,2005-04,489690187.276381,551075928,Age 65 and older
63,2005-04,4956996858.43518,5437827000,Age 30-44
64,2005-05,1598952891.66234,1700887896,Younger than 30
64,2005-05,4197399333.91243,4611452232,Age 45-64
64,2005-05,452821989.33281,509929800,Age 65 and older
64,2005-05,5810165509.35087,6032633808,Age 30-44
65,2005-06,1814811654.66994,2153461320,Younger than 30
65,2005-06,4260970387.04304,4872543696,Age 45-64
65,2005-06,441762038.939656,514855128,Age 65 and older
65,2005-06,5739577121.23061,6760151400,Age 30-44
66,2005-07,1759178182.66687,1975590984,Younger than 30
66,2005-07,4275477688.86318,4516405752,Age 45-64
66,2005-07,564276252.899792,573995400,Age 65 and older
66,2005-07,5926276418.23478,6435357696,Age 30-44
67,2005-08,1813121900.08196,2207219400,Younger than 30
67,2005-08,4909856997.75516,5445655152,Age 45-64
67,2005-08,597518601.02843,671780088,Age 65 and older
67,2005-08,6146730022.62761,7313073312,Age 30-44
68,2005-09,2197878422.86011,2137153080,Younger than 30
68,2005-09,513659542.741007,569209272,Age 65 and older
68,2005-09,5277013039.10114,5414331240,Age 45-64
68,2005-09,7026632500.93155,7247320896,Age 30-44
69,2005-10,2082061658.97569,2143319040,Younger than 30
69,2005-10,5469421765.66205,5237301312,Age 45-64
69,2005-10,7389644593.25966,7193260392,Age 30-44
69,2005-10,743751356.483385,682693464,Age 65 and older
70,2005-11,2373939749.03289,2374194768,Younger than 30
70,2005-11,6329833645.28781,5770050984,Age 45-64
70,2005-11,7548568662.02507,7095154368,Age 30-44
70,2005-11,794288819.838557,720797304,Age 65 and older
71,2005-12,2245464199.30778,2212536720,Younger than 30
71,2005-12,6578231463.83263,5876520144,Age 45-64
71,2005-12,777368735.939708,640668480,Age 65 and older
71,2005-12,7806159439.55027,7273060416,Age 30-44
72,2006-01,2236275480.83564,1498317864,Younger than 30
72,2006-01,6360461949.22987,5006751120,Age 45-64
72,2006-01,7450243313.67976,5721838968,Age 30-44
72,2006-01,765913737.362136,592394544,Age 65 and older
73,2006-02,1899676772.71013,1462645080,Younger than 30
73,2006-02,6152518582.49245,5133785400,Age 45-64
73,2006-02,7457947857.87345,6005649984,Age 30-44
73,2006-02,832799788.585219,691811124,Age 65 and older
74,2006-03,2070977654.21139,2132178024,Younger than 30
74,2006-03,6407931730.40073,7026176712,Age 45-64
74,2006-03,7683118919.44269,8569292904,Age 30-44
74,2006-03,799853476.09127,872612784,Age 65 and older
