month,date,vol,vol_unadj,income_level_group
60,2005-01,1536177643.40681,1151611176,Moderate
60,2005-01,291883643.083204,229086984,Low
60,2005-01,3083243974.15368,2441240184,High
60,2005-01,3880287394.59024,2780198952,Middle
61,2005-02,1741345752.46851,1420271376,Moderate
61,2005-02,3090063137.80126,2494485624,High
61,2005-02,373615210.924341,297213816,Low
61,2005-02,4020374534.02094,3182730048,Middle
62,2005-03,1915246401.68548,2010960600,Moderate
62,2005-03,357022647.510902,367404384,Low
62,2005-03,3678054094.55189,3588266352,High
62,2005-03,4456856457.59794,4700660304,Middle
63,2005-04,1733256140.21644,1917805104,Moderate
63,2005-04,3323762429.54152,3794730096,High
63,2005-04,398624207.880967,370974000,Low
63,2005-04,4363794456.64817,4613901084,Middle
64,2005-05,2064091365.47704,2034613632,Moderate
64,2005-05,3931370757.42296,4127969160,High
64,2005-05,4422607894.0303,4792998888,Middle
64,2005-05,470009223.908517,501967560,Low
65,2005-06,2130648133.51543,2394622032,Moderate
65,2005-06,3901104741.37018,4457444904,High
65,2005-06,4795769990.83992,5419610736,Middle
65,2005-06,514463910.355117,527622936,Low
66,2005-07,2182596550.62506,2167685904,Moderate
66,2005-07,4121888274.74067,4406372736,High
66,2005-07,458290441.586067,472637736,Low
66,2005-07,4730603083.60795,4916838096,Middle
67,2005-08,2190581626.40376,2549977008,Moderate
67,2005-08,435487026.763462,456433416,Low
67,2005-08,4365183356.02969,4958708424,High
67,2005-08,5130645201.14325,6168182688,Middle
68,2005-09,2296848812.90036,2547509928,Moderate
68,2005-09,4624371351.29919,4810877040,High
68,2005-09,522317789.714505,540695784,Low
68,2005-09,5708560958.14427,6014332248,Middle
69,2005-10,2564881234.63071,2477496840,Moderate
69,2005-10,416892782.231468,478318776,Low
69,2005-10,4892130882.06209,4892139984,High
69,2005-10,6227664716.3634,5878079664,Middle
70,2005-11,2732930664.02347,2578409640,Moderate
70,2005-11,522414381.30172,536733360,Low
70,2005-11,5885369519.15567,5175574896,High
70,2005-11,6447852846.03902,6160791984,Middle
71,2005-12,2563377368.13554,2467892256,Moderate
71,2005-12,450364555.984118,492341880,Low
71,2005-12,5926163280.65854,5651320848,High
71,2005-12,6411196503.30326,6001662216,Middle
72,2006-01,2405905200.67685,1912745496,Moderate
72,2006-01,5404360530.38016,4128898440,High
72,2006-01,550335876.208204,420469344,Low
72,2006-01,6880247883.79378,5238921480,Middle
73,2006-02,2505071817.46348,2044487184,Moderate
73,2006-02,557619639.529484,438158688,Low
73,2006-02,5668797731.22365,4564097316,High
73,2006-02,6628204561.62945,5237017464,Middle
