month,date,vol,vol_unadj,credit_score_group
60,2005-01,1557998614.15039,1265383104,Near-prime
60,2005-01,2984082729.93366,2252402400,Prime
60,2005-01,372949295.697128,291076176,Deep subprime
60,2005-01,3956607063.11868,2881140336,Super-prime
60,2005-01,708849077.56338,597871272,Subprime
61,2005-02,1678634032.93861,1332938928,Near-prime
61,2005-02,3160851030.8908,2664308232,Prime
61,2005-02,360699077.552457,285048024,Deep subprime
61,2005-02,4024036554.42916,3226958664,Super-prime
61,2005-02,788932617.8824,624472080,Subprime
62,2005-03,1014181564.32232,1005750696,Subprime
62,2005-03,2130169137.79859,2028141072,Near-prime
62,2005-03,3390872712.40405,3629746224,Prime
62,2005-03,4369756389.74313,4553982384,Super-prime
62,2005-03,455327344.074117,511671096,Deep subprime
63,2005-04,1867968045.28139,1964580960,Near-prime
63,2005-04,3601185358.17889,3639075564,Prime
63,2005-04,399997581.582093,351797040,Deep subprime
63,2005-04,4286634757.96636,4913805480,Super-prime
63,2005-04,939938890.055421,865836216,Subprime
64,2005-05,2089071366.39444,2158600368,Near-prime
64,2005-05,3831711004.66625,3828416256,Prime
64,2005-05,4709454355.20264,5385759432,Super-prime
64,2005-05,512621045.768054,451226448,Deep subprime
64,2005-05,979367970.074116,939073872,Subprime
65,2005-06,1016883874.61139,1057322808,Subprime
65,2005-06,2290118934.99479,2483846448,Near-prime
65,2005-06,4148014152.72791,4701350664,Prime
65,2005-06,4747201449.19198,5476787544,Super-prime
65,2005-06,504599134.437438,507260064,Deep subprime
66,2005-07,2001029081.17278,2115503280,Near-prime
66,2005-07,4188318951.05398,4446679704,Prime
66,2005-07,467480201.393394,437941824,Deep subprime
66,2005-07,5095507465.42487,5488118208,Super-prime
66,2005-07,914494189.515392,942558672,Subprime
67,2005-08,2131563758.59423,2498992584,Near-prime
67,2005-08,4160754519.05877,5057835864,Prime
67,2005-08,421932863.069327,499794456,Deep subprime
67,2005-08,5738253730.95278,6444799992,Super-prime
67,2005-08,901921066.444872,1016648088,Subprime
68,2005-09,1055525577.42577,1115725200,Subprime
68,2005-09,2292879956.18212,2412623616,Near-prime
68,2005-09,421265971.740539,495177384,Deep subprime
68,2005-09,4788749954.78832,4969144944,Prime
