month,date,num,num_unadj
60,2005-01,205132.67367828,150060
61,2005-02,214738.824942675,172320
62,2005-03,226267.176178497,239160
63,2005-04,236241.046369125,241020
64,2005-05,247585.580036687,261852
65,2005-06,250663.536710714,292224
66,2005-07,259762.803904789,276648
67,2005-08,266260.685911042,318252
68,2005-09,287388.41533599,305868
69,2005-10,312413.958618255,302640
70,2005-11,319608.075276754,302640
71,2005-12,330652.646626528,301800
72,2006-01,329803.873850919,248808
73,2006-02,321715.629212603,257916
74,2006-03,335462.175756794,354000
75,2006-04,328769.841175397,322548
76,2006-05,329242.542645022,362724
77,2006-06,328972.068258637,383664
78,2006-07,320351.381384995,341076
79,2006-08,316457.794545605,378984
80,2006-09,312898.586503969,321380
81,2006-10,308573.824986839,312948
82,2006-11,298362.608376949,283248
83,2006-12,313114.115033655,272676
84,2007-01,303858.013636319,235104
85,2007-02,280087.046077966,223896
86,2007-03,248385.811186195,250200
87,2007-04,218906.881007726,225408
88,2007-05,207331.483799966,229056
89,2007-06,198796.239539527,221952
90,2007-07,187339.552673171,207480
91,2007-08,169057.933377983,202692
92,2007-09,135793.137653343,135200
93,2007-10,123510.38675701,131592
94,2007-11,117890.406765992,112368
95,2007-12,101383.63733046,87552
96,2008-01,89138.6760524001,67992
97,2008-02,82991.4793508964,69240
98,2008-03,77352.6286216213,73992
99,2008-04,74376.3964187439,80304
100,2008-05,64687.1558122153,69192
101,2008-06,58991.6286478773,65424
102,2008-07,53858.0244526523,62016
103,2008-08,51731.3481324458,57048
104,2008-09,47231.4418646583,51432
105,2008-10,42169.2090697139,45600
106,2008-11,33354.3934107836,29496
107,2008-12,30267.4289769669,28104
108,2009-01,32442.3127734353,23472
109,2009-02,33320.8604358024,26304
110,2009-03,32757.9430371677,32256
111,2009-04,30634.3645125588,33492
112,2009-05,31658.6175675795,32904
113,2009-06,34128.3616747951,39000
114,2009-07,36630.9045817459,41952
115,2009-08,32869.1234716718,36060
116,2009-09,32644.8977888071,35688
117,2009-10,31685.8012170863,33576
118,2009-11,32068.3763340398,29568
119,2009-12,29571.9237272614,27312
120,2010-01,29457.221341975,20424
121,2010-02,29634.511287483,23136
122,2010-03,26905.3252176629,27360
123,2010-04,30373.480810368,33432
124,2010-05,31282.9515547319,32976
125,2010-06,26661.4937758226,30168
126,2010-07,27050.930345278,29664
127,2010-08,25440.7094396231,28848
128,2010-09,29755.7881117474,32424
129,2010-10,29716.6439662918,30816
130,2010-11,30677.5183359116,29472
131,2010-12,31745.007929338,29232
132,2011-01,29459.37885942,20568
133,2011-02,23610.4148621719,18168
134,2011-03,25786.0953439009,26064
135,2011-04,25935.8938657439,27504
136,2011-05,27164.0326467876,30264
137,2011-06,25953.5003996165,29208
138,2011-07,26994.8491110071,28380
139,2011-08,27824.1225543212,32616
140,2011-09,28371.5424006193,30696
141,2011-10,30260.4525600533,31728
142,2011-11,29479.8409447297,28296
143,2011-12,30092.0560402846,26712
144,2012-01,27640.1080682719,20352
145,2012-02,31365.903201076,24936
146,2012-03,32180.0015041748,31032
147,2012-04,32500.977682353,34152
148,2012-05,31405.3611518092,37008
149,2012-06,31686.7766955394,34320
150,2012-07,30971.8661795982,33984
151,2012-08,30926.3638670333,36264
152,2012-09,30288.0904732747,29904
153,2012-10,32816.9085962201,37248
154,2012-11,31275.8384989445,30216
155,2012-12,33911.7482297831,28992
156,2013-01,36446.627510481,28200
157,2013-02,36686.157726469,27528
158,2013-03,40670.3303027046,37368
159,2013-04,39400.5902496438,42576
160,2013-05,37152.6812121772,44208
161,2013-06,35812.8744038212,37656
162,2013-07,38453.5475621763,44136
163,2013-08,35570.241355298,40152
164,2013-09,34400.740773702,35064
165,2013-10,32525.4040923041,36504
166,2013-11,29516.4971998979,27672
167,2013-12,28750.5674555478,25824
168,2014-01,31056.7095413603,24120
169,2014-02,30560.2233917074,22728
170,2014-03,31173.4011036151,28440
171,2014-04,31103.7326996509,33024
172,2014-05,33575.1794280001,38496
173,2014-06,36635.6336989074,40656
174,2014-07,35519.7958864761,41016
175,2014-08,35962.1685869728,39144
176,2014-09,36694.2757641935,38760
177,2014-10,37278.2778261072,41184
178,2014-11,38685.3696754084,35400
179,2014-12,38926.0023678043,36720
180,2015-01,38536.162940757,28776
181,2015-02,35421.9484232561,26208
182,2015-03,40448.1488730689,38064
183,2015-04,40480.3635117953,42312
184,2015-05,43666.989015863,48048
185,2015-06,43234.9736077591,50568
186,2015-07,41826.747312531,48552
187,2015-08,45447.1059857229,49488
188,2015-09,45081.9730421357,47520
189,2015-10,41917.4028427149,43848
190,2015-11,47296.8341660419,45864
191,2015-12,45577.9785694777,43536
192,2016-01,46950.5649717348,33648
193,2016-02,47397.0536966121,36600
194,2016-03,44688.4297989149,43403.2190940792
195,2016-04,46172.1292725763,45753.8249810439
196,2016-05,46750.6767544108,53564.1097742038
197,2016-06,49793.2830171249,58543.556999689
198,2016-07,51674.3569676758,55347.2324009032
199,2016-08,49680.2200870085,58788.7785023454
200,2016-09,48681.434831513,51288.2765940331
201,2016-10,53850.7706112499,53619.5709277262
202,2016-11,62411.8378006651,63896.6171666836
203,2016-12,63996.1220781662,59172.4093268087
204,2017-01,61931.5068609236,46235.817985883
