month,date,vol,vol_unadj
60,2005-01,9771500119.59816,7334665584
61,2005-02,10146947989.3899,8249714376
62,2005-03,11351168922.84,11848725672
63,2005-04,11191866590.8444,11826770916
64,2005-05,12024161145.6874,12899910888
65,2005-06,12719456318.6602,14434602792
66,2005-07,12779317722.8806,13586927760
67,2005-08,13389631784.3166,15725922648
68,2005-09,14682563375.0872,15472021344
69,2005-10,16039037427.1928,15352754784
70,2005-11,17990714632.5594,16021563912
71,2005-12,16871509217.6208,16090339992
72,2006-01,16689552928.8872,12918921072
73,2006-02,16488577481.3048,13381070724
74,2006-03,16989309576.4716,18703355736
75,2006-04,17723027310.9049,17233376064
76,2006-05,17033005359.5693,18991059348
77,2006-06,17198166940.9424,20389699248
78,2006-07,17017920287.0318,18278768928
79,2006-08,18379370881.8045,20496594504
80,2006-09,17424369097.6722,17552233616
81,2006-10,17116724266.5311,17042898984
82,2006-11,16324665642.0634,14765058360
83,2006-12,16149334734.0136,14787421584
84,2007-01,15741205792.4591,12631659720
85,2007-02,14881624184.4926,11987255136
86,2007-03,12892938353.1115,13487556708
87,2007-04,10675250184.738,11423811720
88,2007-05,11024492986.3539,11774390232
89,2007-06,10288361253.9596,11576679192
90,2007-07,9332689344.80836,10473817536
91,2007-08,9025978071.60578,10509153288
92,2007-09,7141071097.90437,6646912616
93,2007-10,5977865399.88094,6232619856
94,2007-11,5506004925.39816,5250772896
95,2007-12,4397102913.27619,4056952152
96,2008-01,4476500513.27361,3438847704
97,2008-02,4368566681.03616,3748792440
98,2008-03,3765959634.76669,3770005392
99,2008-04,3920461692.77237,4101938112
100,2008-05,3212302356.71042,3482924256
101,2008-06,2855767143.69228,3225354144
102,2008-07,2772995940.90305,3097362720
103,2008-08,2383440368.04929,2525955624
104,2008-09,2332252654.31886,2469632496
105,2008-10,2155381702.20043,2281713744
106,2008-11,1885129178.78169,1604740800
107,2008-12,1446495518.97852,1444101168
108,2009-01,1627972324.83216,1263679224
109,2009-02,2118813730.14209,1645499736
110,2009-03,1800975992.32953,1851155472
111,2009-04,1626332835.71133,1720300560
112,2009-05,1559977889.4169,1643745552
113,2009-06,1695204785.27947,1948938528
114,2009-07,1590175402.24515,1869612480
115,2009-08,1501691093.44846,1582580060
116,2009-09,1442473894.08509,1456180752
117,2009-10,1345347228.54658,1387396776
118,2009-11,1397558532.07081,1323402528
119,2009-12,1344980851.52199,1288914792
120,2010-01,1348270187.00389,1009667208
121,2010-02,1211132506.22665,916654200
122,2010-03,1173355048.05266,1249621656
123,2010-04,1495656920.39542,1646229420
124,2010-05,1316723969.10179,1409503740
125,2010-06,1291345989.97755,1401993648
126,2010-07,1175923793.90233,1315123896
127,2010-08,1367522819.13616,1489080816
128,2010-09,1854350133.58519,1890390000
129,2010-10,1620930006.03668,1629761904
130,2010-11,1662737119.83365,1638689520
131,2010-12,1637874699.15723,1654414296
132,2011-01,1760413670.23919,1336038864
133,2011-02,1409386709.00838,1044392184
134,2011-03,1355567778.4103,1363528584
135,2011-04,1289671186.99264,1351380648
136,2011-05,1376452694.07469,1550176944
137,2011-06,1323260951.80439,1449421704
138,2011-07,1388320851.75681,1478639376
139,2011-08,1604387295.41633,1815213792
140,2011-09,1625172150.66503,1730155560
141,2011-10,2019521794.67972,2067927072
142,2011-11,1713977264.67955,1607869584
143,2011-12,1680981340.70311,1620912432
144,2012-01,1644388663.01435,1305406392
145,2012-02,1882597121.28813,1427789808
146,2012-03,2137024595.94854,2129123064
147,2012-04,2257044849.89421,2375651904
148,2012-05,2178523150.12437,2472711192
149,2012-06,2131029969.29719,2341921704
150,2012-07,2103334640.64053,2320289232
151,2012-08,2015971308.01987,2319804384
152,2012-09,2074456008.43381,1944206616
153,2012-10,2411720814.23924,2659382472
154,2012-11,2418719560.20436,2394507000
155,2012-12,2797554625.95629,2573512044
156,2013-01,2912801879.94867,2296287336
157,2013-02,2861146762.15043,2097442776
158,2013-03,3009543650.73546,2816235408
159,2013-04,2861377486.5088,3098089848
160,2013-05,2574848546.15726,3113440536
161,2013-06,2511733329.59518,2579525808
162,2013-07,2650078235.09084,3043809912
163,2013-08,2362291397.88418,2610195312
164,2013-09,2078123633.71535,2141959080
165,2013-10,1861648709.19845,1949842896
166,2013-11,1618143008.86946,1529710596
167,2013-12,1469040895.29192,1387534824
168,2014-01,1456282018.90156,1204955904
169,2014-02,1408295121.92688,1037341296
170,2014-03,1275272801.85097,1180817688
171,2014-04,1224723625.8037,1256588424
172,2014-05,1433135526.15069,1658335776
173,2014-06,1466169608.72803,1680766512
174,2014-07,1338917654.39412,1476048024
175,2014-08,1392654097.41489,1485349392
176,2014-09,1491744313.82231,1588967340
177,2014-10,1425532221.00398,1559959500
178,2014-11,1435090864.30326,1259106840
179,2014-12,1515078514.36857,1470054768
180,2015-01,1489819299.20641,1174402536
181,2015-02,1493435228.66162,1107650976
182,2015-03,1480819284.19466,1396675512
183,2015-04,1354028895.71325,1397302656
184,2015-05,1689485160.49376,1874286936
185,2015-06,1648733187.47314,1975207608
186,2015-07,1596820244.18641,1864386312
187,2015-08,1663944259.7614,1782524196
188,2015-09,1625608325.28406,1652749608
189,2015-10,1534666540.8262,1599173400
190,2015-11,1600395494.73533,1560294216
191,2015-12,1504138951.36944,1387538472
192,2016-01,1551564065.08002,1171441776
193,2016-02,1558770681.90209,1260744552.596
194,2016-03,1442465667.79831,1332247182.94242
195,2016-04,1612446050.58748,1646188801.49231
196,2016-05,1524137645.54058,1761918473.36979
197,2016-06,1610574829.63508,1866243776.42568
198,2016-07,1693898064.13702,1815860060.83096
199,2016-08,1609527471.12064,1864411598.90629
200,2016-09,1628422127.31008,1753356148.63034
201,2016-10,1958838412.41602,1965619273.4538
202,2016-11,1921773549.40931,1861179561.36887
203,2016-12,1852674895.6241,1716120265.43418
