month,date,vol,vol_unadj,age_group
60,2005-01,1228294823.17089,848564712,Younger than 30
60,2005-01,3575280109.2244,2733142152,Age 45-64
60,2005-01,389713464.062638,284216304,Age 65 and older
60,2005-01,4546439611.38573,3403205976,Age 30-44
61,2005-02,1282261736.83295,967383456,Younger than 30
61,2005-02,3860800985.86755,3235226784,Age 45-64
61,2005-02,411268267.516894,343444152,Age 65 and older
61,2005-02,4476374860.64687,3608788896,Age 30-44
62,2005-03,1543800771.61763,1568743704,Younger than 30
62,2005-03,3796805848.2181,4176480048,Age 45-64
62,2005-03,462999530.483895,507216312,Age 65 and older
62,2005-03,5668804168.64104,5501658720,Age 30-44
63,2005-04,1699105271.48426,1609092876,Younger than 30
63,2005-04,3864780491.09939,4194475368,Age 45-64
63,2005-04,489706679.149998,551075928,Age 65 and older
63,2005-04,4959602441.95573,5437827000,Age 30-44
64,2005-05,1612882039.14102,1700887896,Younger than 30
64,2005-05,4198993368.73361,4611452232,Age 45-64
64,2005-05,452729973.011677,509929800,Age 65 and older
64,2005-05,5811956361.50534,6032633808,Age 30-44
65,2005-06,1797423563.17884,2153461320,Younger than 30
65,2005-06,4259546163.39645,4872543696,Age 45-64
65,2005-06,441872926.926015,514855128,Age 65 and older
65,2005-06,5738858760.65086,6760151400,Age 30-44
66,2005-07,1789347173.12873,1975590984,Younger than 30
66,2005-07,4277278453.37241,4516405752,Age 45-64
66,2005-07,564169316.018521,573995400,Age 65 and older
66,2005-07,5927953448.30434,6435357696,Age 30-44
67,2005-08,1794467805.61433,2207219400,Younger than 30
67,2005-08,4907697732.50104,5445655152,Age 45-64
67,2005-08,597600938.634882,671780088,Age 65 and older
67,2005-08,6145419289.30358,7313073312,Age 30-44
68,2005-09,2177936046.48066,2137153080,Younger than 30
68,2005-09,513917688.480984,569209272,Age 65 and older
68,2005-09,5273875251.30112,5414331240,Age 45-64
68,2005-09,7024481319.75514,7247320896,Age 30-44
69,2005-10,2067498727.72839,2143319040,Younger than 30
69,2005-10,5473941442.8424,5237301312,Age 45-64
69,2005-10,7393115323.08297,7193260392,Age 30-44
69,2005-10,743434070.547111,682693464,Age 65 and older
70,2005-11,2362636939.72924,2374194768,Younger than 30
70,2005-11,6328492819.63785,5770050984,Age 45-64
70,2005-11,7547796200.47364,7095154368,Age 30-44
70,2005-11,794295720.095785,720797304,Age 65 and older
71,2005-12,2252190471.76459,2212536720,Younger than 30
71,2005-12,6577880699.40635,5876520144,Age 45-64
71,2005-12,777385047.834113,640668480,Age 65 and older
71,2005-12,7804402533.46549,7273060416,Age 30-44
72,2006-01,2205780005.06952,1498317864,Younger than 30
72,2006-01,6361962592.8875,5006751120,Age 45-64
72,2006-01,7452029606.15153,5721838968,Age 30-44
72,2006-01,765729663.729515,592394544,Age 65 and older
73,2006-02,1914716595.87295,1462645080,Younger than 30
73,2006-02,6153117841.28167,5133785400,Age 45-64
73,2006-02,7459037030.7021,6005649984,Age 30-44
73,2006-02,832687057.482972,691811124,Age 65 and older
74,2006-03,2089029418.24831,2132178024,Younger than 30
74,2006-03,6404977412.46849,7026176712,Age 45-64
74,2006-03,7681769630.30912,8569292904,Age 30-44
74,2006-03,800048241.731593,872612784,Age 65 and older
75,2006-04,2022107925.06906,1915901256,Younger than 30
75,2006-04,6392064688.123,6778481232,Age 45-64
75,2006-04,808206519.461,872554776,Age 65 and older
75,2006-04,8243474067.38031,7591139544,Age 30-44
76,2006-05,2077091060.29964,2187705768,Younger than 30
76,2006-05,6484702627.72524,7290951984,Age 45-64
76,2006-05,7870652440.29268,8449880412,Age 30-44
76,2006-05,797132666.143354,940752576,Age 65 and older
77,2006-06,2100272067.61998,2511668472,Younger than 30
77,2006-06,6417530307.65563,7330510032,Age 45-64
77,2006-06,7926727026.52427,9400542720,Age 30-44
77,2006-06,862134002.970846,1008882648,Age 65 and older
