month,date,vol,vol_unadj,income_level_group
60,2005-01,1535569175.36117,1151611176,Moderate
60,2005-01,291843895.485653,229086984,Low
60,2005-01,3072690121.25088,2441240184,High
60,2005-01,3880202919.67268,2780198952,Middle
61,2005-02,1741154479.83768,1420271376,Moderate
61,2005-02,3092528671.46157,2494485624,High
61,2005-02,373580406.26448,297213816,Low
61,2005-02,4026028151.77169,3182730048,Middle
62,2005-03,1915358317.02878,2010960600,Moderate
62,2005-03,357006045.251156,367404384,Low
62,2005-03,3641725715.88917,3588266352,High
62,2005-03,4465098645.56604,4700660304,Middle
63,2005-04,1733167380.73911,1917805104,Moderate
63,2005-04,3368671235.1212,3794730096,High
63,2005-04,398625542.169289,370974000,Low
63,2005-04,4369510849.59054,4613901084,Middle
64,2005-05,2063797398.35233,2034613632,Moderate
64,2005-05,3938663306.621,4127969160,High
64,2005-05,4425663217.38762,4792998888,Middle
64,2005-05,470060087.027938,501967560,Low
65,2005-06,2130934349.42686,2394622032,Moderate
65,2005-06,3863744092.40226,4457444904,High
65,2005-06,4801874809.21364,5419610736,Middle
65,2005-06,514843903.670612,527622936,Low
66,2005-07,2182433446.79665,2167685904,Moderate
66,2005-07,4115148236.34719,4406372736,High
66,2005-07,458297746.416551,472637736,Low
66,2005-07,4735512618.18354,4916838096,Middle
67,2005-08,2190966981.381,2549977008,Moderate
67,2005-08,4242597016.29933,4958708424,High
67,2005-08,435482173.043812,456433416,Low
67,2005-08,5088531663.11631,6168182688,Middle
68,2005-09,2297556836.25621,2547509928,Moderate
68,2005-09,4707369042.17522,4810877040,High
68,2005-09,522300024.459291,540695784,Low
68,2005-09,5706586009.72469,6014332248,Middle
69,2005-10,2564629045.05751,2477496840,Moderate
69,2005-10,416873482.541124,478318776,Low
69,2005-10,4963675560.89026,4892139984,High
69,2005-10,6229369464.41561,5878079664,Middle
70,2005-11,2732754139.70302,2578409640,Moderate
70,2005-11,522387169.060222,536733360,Low
70,2005-11,5895119502.71751,5175574896,High
70,2005-11,6463929122.37042,6160791984,Middle
71,2005-12,2563395395.02396,2467892256,Moderate
71,2005-12,450141440.158766,492341880,Low
71,2005-12,5981584313.02034,5651320848,High
71,2005-12,6409230154.89312,6001662216,Middle
72,2006-01,2405650728.28068,1912745496,Moderate
72,2006-01,5419176107.83899,4128898440,High
72,2006-01,550276137.933932,420469344,Low
72,2006-01,6885242593.05231,5238921480,Middle
73,2006-02,2504136664.91409,2044487184,Moderate
73,2006-02,557574382.431026,438158688,Low
73,2006-02,5627046757.64366,4564097316,High
73,2006-02,6637499164.58863,5237017464,Middle
74,2006-03,2675382910.77521,2808608520,Moderate
74,2006-03,556645944.923494,569081040,Low
74,2006-03,5640426978.70506,6468556536,High
74,2006-03,6450219585.10812,7177633128,Middle
75,2006-04,2553903206.03776,2701821192,Moderate
75,2006-04,581500709.389567,540872976,Low
75,2006-04,6296555853.68588,6154049664,High
75,2006-04,6770572843.06113,6395927568,Middle
76,2006-05,2774073855.64715,2858531688,Moderate
76,2006-05,434054733.196822,471596448,Low
76,2006-05,5634215639.28435,6215979768,High
76,2006-05,6674200037.4725,7591796772,Middle
77,2006-06,2868355201.2643,3204298272,Moderate
77,2006-06,508960271.710613,537535584,Low
77,2006-06,5991226003.20787,6942495888,High
77,2006-06,6422221401.11589,7698022632,Middle
78,2006-07,2571999436.29171,2591131824,Moderate
78,2006-07,5518271487.35389,6283382880,High
78,2006-07,566717268.033288,573526248,Low
78,2006-07,6784349363.36513,6905084616,Middle
79,2006-08,2527922247.68751,2950639416,Moderate
79,2006-08,582999561.557061,611329272,Low
79,2006-08,6436061029.13405,7013522448,High
79,2006-08,6853841520.94854,7894379712,Middle
80,2006-09,2814621223.14337,2902057344,Moderate
80,2006-09,528535774.783009,535370352,Low
80,2006-09,6016649738.89242,6011236320,High
80,2006-09,6494679506.29325,6554043440,Middle
81,2006-10,2545961669.589,2634534120,Moderate
81,2006-10,473553244.406923,556948560,Low
81,2006-10,5964156764.65728,5705523960,High
81,2006-10,6436794926.08553,6480601752,Middle
82,2006-11,2472030234.85624,2325040416,Moderate
82,2006-11,394461717.362189,412598256,Low
82,2006-11,4978868363.4526,4668877680,High
82,2006-11,6349423639.73829,5980139784,Middle
83,2006-12,2516418220.29691,2257240008,Moderate
83,2006-12,501305499.619929,542446656,Low
83,2006-12,5677487297.55444,5023443240,High
83,2006-12,6167036002.80828,5582833512,Middle
84,2007-01,2392622332.90191,2032706280,Moderate
84,2007-01,468501855.321282,345420600,Low
84,2007-01,5600070407.79324,4506628032,High
84,2007-01,5824411677.17642,4632667776,Middle
85,2007-02,2049736225.05474,1666467072,Moderate
85,2007-02,359385016.449305,271486944,Low
85,2007-02,4942494689.25133,4028599176,High
85,2007-02,6165231546.84,4824882696,Middle
86,2007-03,1645686661.42048,1622570376,Moderate
86,2007-03,335429103.483762,346297008,Low
