month,date,num,num_unadj
60,2005-01,413625.889137834,328680
61,2005-02,404499.068284548,351936
62,2005-03,407834.53128884,442784
63,2005-04,406311.025944839,450020
64,2005-05,423463.768335673,468924
65,2005-06,426935.536926215,473664
66,2005-07,415000.753878401,415536
67,2005-08,403422.9383388,451968
68,2005-09,395136.519707737,388248
69,2005-10,399394.937991389,395988
70,2005-11,401976.78057068,373800
71,2005-12,391395.766621392,349704
72,2006-01,365825.452371872,294096
73,2006-02,357233.951518416,310776
74,2006-03,354075.704581624,396408
75,2006-04,338940.396672328,347880
76,2006-05,335425.853859151,388536
77,2006-06,331530.888857052,370968
78,2006-07,316407.610639529,315360
79,2006-08,317338.575853086,351648
80,2006-09,315327.016083857,309312
81,2006-10,311811.390701356,313752
82,2006-11,312719.077957907,287784
83,2006-12,297705.895265356,257196
84,2007-01,301866.312903585,252900
85,2007-02,289885.845442585,251520
86,2007-03,278267.137469673,305808
87,2007-04,280391.235749524,294012
88,2007-05,270461.728271586,308288
89,2007-06,263775.158840478,292176
90,2007-07,268148.724632156,272088
91,2007-08,260283.511364858,291792
92,2007-09,235713.37707784,220536
93,2007-10,233699.304652118,247428
94,2007-11,219481.283626091,203304
95,2007-12,204031.470834383,176736
96,2008-01,185494.692025634,152784
97,2008-02,200115.701827492,181416
98,2008-03,188188.885728218,192240
99,2008-04,180639.913554345,202088
100,2008-05,161720.339158306,181920
101,2008-06,144222.577382591,153624
102,2008-07,130221.489306334,137928
103,2008-08,120458.406451101,128112
104,2008-09,116781.036818862,117360
105,2008-10,103225.270859796,110064
106,2008-11,94531.1152981902,82416
107,2008-12,85222.702355777,79416
108,2009-01,88939.0778443501,72360
109,2009-02,91274.7541652867,77472
110,2009-03,83534.8583225248,87432
111,2009-04,80556.0781730361,87360
112,2009-05,76913.2303506112,82608
113,2009-06,78443.335519002,87432
114,2009-07,77251.6587787644,83064
115,2009-08,75879.4285474037,80448
116,2009-09,72855.5625085039,73824
117,2009-10,63894.4911767137,67584
118,2009-11,63722.20667578,57048
119,2009-12,65043.9919252184,60720
120,2010-01,62542.1863181681,48768
121,2010-02,63646.735598151,53016
122,2010-03,64528.661055611,69768
123,2010-04,65535.3611046849,71112
124,2010-05,66408.5423484778,70272
125,2010-06,64590.4817294571,72096
126,2010-07,68268.6263065166,72528
127,2010-08,67475.9331774609,73032
128,2010-09,69324.9098809085,70416
129,2010-10,72070.8101046352,74064
130,2010-11,74199.9174968022,70224
131,2010-12,70970.3212192937,67728
132,2011-01,68121.268241332,52560
133,2011-02,63946.1555940786,52128
134,2011-03,62956.6519190955,66168
135,2011-04,63474.5876068952,67680
136,2011-05,63346.059177389,67680
137,2011-06,64461.2103095337,71904
138,2011-07,63745.5863471998,65280
139,2011-08,60189.6772707109,68808
140,2011-09,61128.9994208598,63288
141,2011-10,66756.4539719531,68712
142,2011-11,67588.1611141242,64464
143,2011-12,66885.6913735735,63216
144,2012-01,67884.7308290253,52944
145,2012-02,68426.0624546782,57024
146,2012-03,68361.4750146531,70272
147,2012-04,67060.4777599743,68256
148,2012-05,66254.6572588073,73176
149,2012-06,67031.7083380871,75600
150,2012-07,66180.3593059721,68592
151,2012-08,68766.0120907287,79008
152,2012-09,69035.6182624948,67656
153,2012-10,65508.3064623756,72144
154,2012-11,64792.2091296534,62256
155,2012-12,71145.0272471609,64272
156,2013-01,73545.082360363,59232
157,2013-02,75680.2356135907,59448
158,2013-03,77237.0856068979,73800
159,2013-04,77901.8917283838,84048
160,2013-05,78807.6573206937,88320
161,2013-06,80516.9567061561,86712
162,2013-07,82212.1189504911,89472
163,2013-08,85875.8930395572,97248
164,2013-09,84463.3114551886,85416
165,2013-10,85961.3616972502,93600
166,2013-11,84139.3171329475,80208
167,2013-12,83544.6006974537,76320
168,2014-01,78574.2783224177,63744
169,2014-02,82494.8436681542,64248
170,2014-03,84710.9715847462,81456
171,2014-04,90200.523515881,94512
172,2014-05,93578.9871143599,103680
173,2014-06,94783.1403441299,105000
174,2014-07,95551.147907507,103008
175,2014-08,100339.655023227,109128
176,2014-09,95573.0618995582,102192
177,2014-10,97558.3643032197,107376
178,2014-11,99289.661682121,89040
179,2014-12,95030.6379892776,90672
180,2015-01,98677.932572475,78576
181,2015-02,100105.258820722,77664
182,2015-03,104467.826360493,101232
183,2015-04,103351.141366496,107280
184,2015-05,103028.692222562,110616
185,2015-06,105608.251302693,123096
186,2015-07,109360.918160243,119448
187,2015-08,104763.278355659,112704
188,2015-09,108862.420666096,116832
189,2015-10,107578.297575339,116496
190,2015-11,109320.112762475,99576
191,2015-12,112063.021487978,105408
192,2016-01,114161.232529024,87310.1521540634
193,2016-02,114118.306620776,92651.4441897897
194,2016-03,110039.879201183,107955.951753954
195,2016-04,110725.845087844,117381.996082322
196,2016-05,113737.267165515,123663.546101132
197,2016-06,112027.930678949,129732.745644987
198,2016-07,111192.000102554,115282.423164232
199,2016-08,109170.783320987,124169.268644739
200,2016-09,112686.785176005,121452.24842907
201,2016-10,112236.177543009,116372.785379528
202,2016-11,110702.524096011,105077.613184838
