month,date,vol,vol_unadj
60,2005-01,34509602725.222,27540920376
61,2005-02,33822742091.942,29349046368
62,2005-03,35169098777.1732,37987708968
63,2005-04,35368174597.3019,39309938648
64,2005-05,37323231285.2277,41439037128
65,2005-06,39200099726.5583,43561626480
66,2005-07,36257701580.2663,35947689444
67,2005-08,35765449852.0745,40055229216
68,2005-09,36157210717.187,35075172120
69,2005-10,36941689357.6505,36367739520
70,2005-11,39016212009.7803,36090857220
71,2005-12,36738118024.4885,34119898464
72,2006-01,34712984882.1799,27853096872
73,2006-02,33883941332.78,29402127576
74,2006-03,34133044917.926,38473900068
75,2006-04,33133563534.594,33366887280
76,2006-05,32148857193.8158,37754562240
77,2006-06,33561612761.114,37783336908
78,2006-07,32222079802.6615,31975738764
79,2006-08,32836898404.8356,36097493640
80,2006-09,31906995132.1902,30941788728
81,2006-10,32030051834.3344,31662418128
82,2006-11,30976983964.5149,28474369152
83,2006-12,29218766353.099,25986340512
84,2007-01,29848113245.0827,25166326608
85,2007-02,29520570479.0726,25635512592
86,2007-03,27932908648.0934,31281390144
87,2007-04,28390313154.9829,29073364680
88,2007-05,26787313056.942,30989612608
89,2007-06,25675655181.2902,28838981352
90,2007-07,26509673105.6329,26565981372
91,2007-08,26239375296.9938,29006151564
92,2007-09,24335246068.336,22151989836
93,2007-10,23326886116.649,24300077964
94,2007-11,22093159996.7922,20565404616
95,2007-12,20017945415.2449,17968910856
96,2008-01,18807733030.4525,15593384904
97,2008-02,20013466094.2,18285201192
98,2008-03,18639744209.2197,19168849152
99,2008-04,18356313075.0459,20253767684
100,2008-05,16385466655.6572,18955041300
101,2008-06,14525717939.9538,15548712096
102,2008-07,13283583243.1801,13869227568
103,2008-08,12062767772.5062,12523969416
104,2008-09,11787347810.4474,11584361748
105,2008-10,10249646059.5594,10651612728
106,2008-11,8913899085.84151,7792285512
107,2008-12,8961047015.25788,8671120584
108,2009-01,8476910533.78887,7067217144
109,2009-02,7806147374.51935,6750359016
110,2009-03,7537142324.4384,7986234360
111,2009-04,6999807465.3428,7420493616
112,2009-05,7077846233.11584,7714569480
113,2009-06,6908132724.75878,7817660016
114,2009-07,6544367829.47202,6897903936
115,2009-08,6154441767.55907,6341428872
116,2009-09,5653964758.14803,5557979280
117,2009-10,5328585861.14649,5543311176
118,2009-11,5076832272.8694,4551459552
119,2009-12,5257925312.77998,5088097608
120,2010-01,4903729581.57999,3910134336
121,2010-02,5076788544.41221,4351152912
122,2010-03,5170891593.62484,5705438952
123,2010-04,5178788818.74976,5517634224
124,2010-05,5286820441.8672,5673294144
125,2010-06,5085778693.9882,5712265344
126,2010-07,5444563582.30416,5687868600
127,2010-08,5399274182.66947,5585761656
128,2010-09,5451388326.06904,5404203624
129,2010-10,5718820997.27562,5741140560
130,2010-11,5732692537.39889,5470762344
131,2010-12,5564222858.55355,5528718000
132,2011-01,6076387224.75589,4855883808
133,2011-02,5088170597.24459,4305363936
134,2011-03,5309786755.62512,5668248888
135,2011-04,5250623166.21534,5550306744
136,2011-05,4975827932.5185,5283909264
137,2011-06,5216509675.63852,5845432800
138,2011-07,5040121741.9445,4998724128
139,2011-08,4961782070.86427,5439708648
140,2011-09,5277379057.21671,5368986696
141,2011-10,5366556899.95258,5469755760
142,2011-11,5484716548.55337,5231946000
143,2011-12,5491350676.77665,5460079584
144,2012-01,5730221600.71655,4609033176
145,2012-02,5631208947.09018,4896067464
146,2012-03,5315660516.18359,5603704800
147,2012-04,5502761300.30155,5505957312
148,2012-05,5274668760.86841,5728727928
149,2012-06,6080583790.46802,6904472472
150,2012-07,5517323788.0763,5525458248
151,2012-08,5748970138.01767,6321371760
152,2012-09,5808515654.04443,5602210680
153,2012-10,5678134997.36171,6210882072
154,2012-11,5314190315.08917,5134277712
155,2012-12,6327484681.51858,5990495928
156,2013-01,6210271414.48855,5187941592
157,2013-02,6431908520.25653,5320065192
158,2013-03,6754982804.61568,6452965176
159,2013-04,6868101763.57134,7427988864
160,2013-05,6980321454.05643,7608998520
161,2013-06,7056354883.20773,7544244168
162,2013-07,7219941283.03363,7675401552
163,2013-08,8075334634.25222,8888086512
164,2013-09,7449455412.67898,7408225320
165,2013-10,8125756272.87466,8752987824
166,2013-11,7544152221.20212,7296805392
167,2013-12,7572751555.20701,7196630640
168,2014-01,7458678589.15051,6289818456
169,2014-02,7417543821.83744,6100210176
170,2014-03,7783412986.24268,7606463232
171,2014-04,8366544572.22689,8574364200
172,2014-05,8494496542.03871,9196840416
173,2014-06,8629659943.823,9447344952
174,2014-07,8815630521.57983,9310430856
175,2014-08,9226048077.06297,9703693800
176,2014-09,9276919706.70987,9819585216
177,2014-10,9449381358.58411,10247142792
178,2014-11,9835314283.73963,8879316720
179,2014-12,9115151906.51474,9123086784
180,2015-01,9433270031.3487,7907471424
181,2015-02,9983481482.22607,8193741264
182,2015-03,10352379915.0233,10126334688
183,2015-04,10174882224.8302,10295109336
184,2015-05,10469581309.536,10826094432
185,2015-06,10539565807.9718,12243171936
186,2015-07,11050141742.9547,11895009864
187,2015-08,10833366220.8015,11399977176
188,2015-09,10876663588.5807,11429875656
189,2015-10,10621994097.8721,11378394840
190,2015-11,11168704987.9847,10232062752
191,2015-12,11818055226.0051,11612122392
192,2016-01,12234720576.678,9761770557.5645
193,2016-02,12028603935.4781,10410084699.8486
194,2016-03,11473020325.9971,11293523296.315
195,2016-04,11387079138.186,11948130902.8575
196,2016-05,11724881258.1925,12229523066.9564
197,2016-06,11972954702.0759,13733847861.847
198,2016-07,11760245124.4078,12059035296.1073
199,2016-08,11139546854.7346,12426514851.1105
200,2016-09,11990126696.6738,12702720335.226
201,2016-10,11754398517.1934,11919289992.8202
202,2016-11,11636012476.5791,11098554088.4656
