month,date,vol,vol_unadj,age_group
60,2005-01,13947570676.4166,10556158896,Age 30-44
60,2005-01,16055482791.3914,12882408264,Age 45-64
60,2005-01,1891197032.93647,1208630160,Younger than 30
60,2005-01,3172931329.79961,2683963128,Age 65 and older
61,2005-02,13292078707.1621,11228947644,Age 30-44
61,2005-02,16091588204.885,13984328856,Age 45-64
61,2005-02,1823649794.85246,1274188836,Younger than 30
61,2005-02,3027128403.25048,2687147856,Age 65 and older
62,2005-03,12970512351.9443,13950401472,Age 30-44
62,2005-03,16691996825.6301,18717907608,Age 45-64
62,2005-03,1860530098.94886,1675881840,Younger than 30
62,2005-03,3036530717.10255,3354601848,Age 65 and older
63,2005-04,14026851701.8759,14894460104,Age 30-44
63,2005-04,1679412243.23789,1796569488,Younger than 30
63,2005-04,17486258587.4177,18733302264,Age 45-64
63,2005-04,3220332531.47263,3677136072,Age 65 and older
64,2005-05,14434707767.5047,15414590772,Age 30-44
64,2005-05,1737359992.93166,1897835760,Younger than 30
64,2005-05,17830498616.7115,20170165620,Age 45-64
64,2005-05,3261162157.35791,3753774696,Age 65 and older
65,2005-06,14521898746.8703,16512343656,Age 30-44
65,2005-06,1575564050.68068,1802804256,Younger than 30
65,2005-06,18470936855.6758,20951700576,Age 45-64
65,2005-06,3749991268.21499,4094332104,Age 65 and older
66,2005-07,13211183881.7997,13358927532,Age 30-44
66,2005-07,1607445838.75931,1958924352,Younger than 30
66,2005-07,17489690611.9087,17218522752,Age 45-64
66,2005-07,3705540652.08707,3253752288,Age 65 and older
67,2005-08,13530260241.8821,15488557824,Age 30-44
67,2005-08,1538085725.17441,1842441936,Younger than 30
67,2005-08,17528895184.5656,19257260160,Age 45-64
67,2005-08,2914036070.1832,3298928880,Age 65 and older
68,2005-09,13351085301.9159,13446896976,Age 30-44
68,2005-09,1513801913.05816,1685559024,Younger than 30
68,2005-09,17343990551.3448,16520331624,Age 45-64
68,2005-09,3340950260.27549,3244349208,Age 65 and older
69,2005-10,13410337092.8365,13225935024,Age 30-44
69,2005-10,1717111455.63286,1638240504,Younger than 30
69,2005-10,18195821290.1518,17997922464,Age 45-64
69,2005-10,3312722218.20261,3333519672,Age 65 and older
70,2005-11,13756891761.0507,13161599964,Age 30-44
70,2005-11,1723759723.34589,1641396864,Younger than 30
70,2005-11,19307535735.0498,17849125368,Age 45-64
70,2005-11,3552871505.5181,3210418488,Age 65 and older
71,2005-12,13238585858.6117,12532501008,Age 30-44
71,2005-12,1735167550.80449,1736191056,Younger than 30
71,2005-12,18395694421.9869,16661992656,Age 45-64
71,2005-12,3469834441.40474,3003007776,Age 65 and older
72,2006-01,12592027437.3887,9534978528,Age 30-44
72,2006-01,1578814271.67184,1013680896,Younger than 30
72,2006-01,17365725678.4651,14298359760,Age 45-64
72,2006-01,3296141856.24285,2858950176,Age 65 and older
73,2006-02,12111381578.2204,10261501440,Age 30-44
73,2006-02,1527568065.61458,1057230984,Younger than 30
73,2006-02,17433002170.6097,15118096584,Age 45-64
73,2006-02,3156856825.65922,2806078368,Age 65 and older
74,2006-03,12213408301.022,13592163396,Age 30-44
74,2006-03,1254397605.49783,1358047848,Younger than 30
74,2006-03,17724081934.8378,19800108792,Age 45-64
74,2006-03,2922153418.00987,3546005280,Age 65 and older
75,2006-04,11771673319.2466,11461314936,Age 30-44
75,2006-04,1425206287.15036,1263087288,Younger than 30
75,2006-04,16391003821.1942,17128324512,Age 45-64
75,2006-04,3219596874.54251,3292038624,Age 65 and older
76,2006-05,11302022547.8334,12998386404,Age 30-44
76,2006-05,1209692794.75811,1430849976,Younger than 30
76,2006-05,16434873637.699,19060313316,Age 45-64
76,2006-05,3433452589.09384,4049801016,Age 65 and older
77,2006-06,11262278341.6758,12921599172,Age 30-44
77,2006-06,1165712953.41389,1493080080,Younger than 30
77,2006-06,16768538801.5242,19035902976,Age 45-64
77,2006-06,3736012624.55013,4064349528,Age 65 and older
78,2006-07,1124358558.85557,1228354776,Younger than 30
78,2006-07,11270855017.7457,11334271524,Age 30-44
78,2006-07,16517881776.9357,16249812456,Age 45-64
78,2006-07,3429947835.07328,3024345120,Age 65 and older
79,2006-08,10875501468.0279,12215894760,Age 30-44
79,2006-08,1283377182.82867,1399744296,Younger than 30
79,2006-08,16462476929.6715,18102625992,Age 45-64
79,2006-08,3745672243.1248,4208126496,Age 65 and older
80,2006-09,10731236274.9289,10677618024,Age 30-44
80,2006-09,1230994382.21589,1379752248,Younger than 30
80,2006-09,16268701049.0928,15179455272,Age 45-64
80,2006-09,3737699839.27457,3532090368,Age 65 and older
81,2006-10,1022392338.65154,1005200520,Younger than 30
81,2006-10,10355871073.3695,10281976248,Age 30-44
81,2006-10,16126246225.8585,16364427840,Age 45-64
81,2006-10,3737483070.00628,3842771256,Age 65 and older
82,2006-11,1126387295.30817,1032873792,Younger than 30
82,2006-11,15873401182.9883,14669697216,Age 45-64
82,2006-11,3604325513.95205,3225982584,Age 65 and older
82,2006-11,9788385724.18698,9406764480,Age 30-44
83,2006-12,15025690078.2347,13326926028,Age 45-64
83,2006-12,3480994624.73073,2982201696,Age 65 and older
83,2006-12,912647122.789133,941764992,Younger than 30
83,2006-12,9684624676.30524,8662143468,Age 30-44
84,2007-01,1065662445.34918,728450856,Younger than 30
84,2007-01,15926285701.0209,13433142744,Age 45-64
84,2007-01,3617823435.61005,3215133864,Age 65 and older
84,2007-01,9443042741.74534,7682658216,Age 30-44
85,2007-02,15662198619.9444,13538138208,Age 45-64
85,2007-02,3889871406.0751,3472640760,Age 65 and older
85,2007-02,9342746350.87181,7903018056,Age 30-44
85,2007-02,948555801.219326,652252848,Younger than 30
86,2007-03,14813062637.4203,16104071544,Age 45-64
86,2007-03,3868114770.76124,4581602424,Age 65 and older
86,2007-03,8730447395.1512,9535269168,Age 30-44
86,2007-03,926132328.180077,903587952,Younger than 30
87,2007-04,14795737287.894,15781467504,Age 45-64
87,2007-04,3850229896.78078,4069991784,Age 65 and older
87,2007-04,800263085.750051,768441024,Younger than 30
87,2007-04,8351344395.81378,8370364368,Age 30-44
88,2007-05,14478687849.763,16807909744,Age 45-64
88,2007-05,3666577992.49555,4311735024,Age 65 and older
88,2007-05,7962434553.19141,8938071912,Age 30-44
88,2007-05,812507123.365686,852220080,Younger than 30
89,2007-06,13938014628.191,15370031232,Age 45-64
89,2007-06,3509556464.95493,3716517936,Age 65 and older
89,2007-06,662309934.10569,878295984,Younger than 30
89,2007-06,7856885496.46189,8817807168,Age 30-44
90,2007-07,14368309878.7742,14513272644,Age 45-64
90,2007-07,3569686807.74074,3245770512,Age 65 and older
90,2007-07,659904362.059105,728483424,Younger than 30
90,2007-07,7848054904.0193,8033149632,Age 30-44
91,2007-08,13956247341.9635,15363938352,Age 45-64
91,2007-08,3697143984.39627,4092196560,Age 65 and older
91,2007-08,560823628.523193,751851144,Younger than 30
91,2007-08,7586312995.42807,8731208604,Age 30-44
92,2007-09,13096317221.5285,11990996568,Age 45-64
92,2007-09,3580789567.79409,3293469024,Age 65 and older
92,2007-09,555383779.371227,523988376,Younger than 30
92,2007-09,6847331018.99809,6294781836,Age 30-44
93,2007-10,12555214551.1404,13064204412,Age 45-64
93,2007-10,3399694315.95444,3593035728,Age 65 and older
93,2007-10,481447561.893244,527058624,Younger than 30
93,2007-10,6552784666.23685,7034022324,Age 30-44
94,2007-11,11845584477.6942,11000727408,Age 45-64
94,2007-11,3631168808.90229,3203942136,Age 65 and older
94,2007-11,434615879.747796,427153680,Younger than 30
94,2007-11,6075591612.62056,5891607288,Age 30-44
95,2007-12,10978897516.7572,9808418736,Age 45-64
95,2007-12,3042833238.77411,2649984912,Age 65 and older
95,2007-12,463030766.444269,424815744,Younger than 30
95,2007-12,5617452560.25197,5032632744,Age 30-44
96,2008-01,10724702179.8817,9077960472,Age 45-64
96,2008-01,2331480404.02902,2078775888,Age 65 and older
96,2008-01,359747647.594514,215976552,Younger than 30
96,2008-01,5247838763.44593,4202708352,Age 30-44
97,2008-02,11876799435.8511,10620136344,Age 45-64
97,2008-02,3007241487.55976,2799099432,Age 65 and older
97,2008-02,338427935.035204,276988104,Younger than 30
97,2008-02,5092974089.35975,4567389312,Age 30-44
98,2008-03,10346186091.7849,10904482800,Age 45-64
98,2008-03,2809147072.91588,3032890344,Age 65 and older
98,2008-03,309422828.119962,283705992,Younger than 30
98,2008-03,4827145239.92377,4923807480,Age 30-44
99,2008-04,10289899035.3533,11199499296,Age 45-64
99,2008-04,289809208.065496,277806800,Younger than 30
99,2008-04,3028016983.47701,3554160936,Age 65 and older
99,2008-04,4928466777.74631,5178799596,Age 30-44
100,2008-05,239130002.603243,266011224,Younger than 30
100,2008-05,2520807921.75998,2876980704,Age 65 and older
100,2008-05,4123425764.07902,4596110268,Age 30-44
100,2008-05,9903574556.41623,11157268704,Age 45-64
101,2008-06,2264776840.39214,2397505776,Age 65 and older
101,2008-06,233987117.140877,290084880,Younger than 30
101,2008-06,3563709107.52242,3742572624,Age 30-44
101,2008-06,8275990121.75638,9108029160,Age 45-64
102,2008-07,208331976.232103,219687000,Younger than 30
102,2008-07,2254307062.97585,2114007504,Age 65 and older
102,2008-07,3121171891.65314,3440584152,Age 30-44
102,2008-07,7777886070.23539,8068592112,Age 45-64
103,2008-08,145472367.36219,182230728,Younger than 30
103,2008-08,2157182198.71311,2232620784,Age 65 and older
103,2008-08,2559910683.78705,2684299920,Age 30-44
103,2008-08,7076778310.19789,7416369984,Age 45-64
104,2008-09,112954878.572392,119978736,Younger than 30
104,2008-09,2079880291.38727,1997829576,Age 65 and older
104,2008-09,2793795023.5485,2811415656,Age 30-44
104,2008-09,6839577409.64211,6613641780,Age 45-64
105,2008-10,127180138.863573,156146544,Younger than 30
105,2008-10,1417563494.55951,1506949272,Age 65 and older
105,2008-10,2457670293.09097,2689317336,Age 30-44
105,2008-10,5995487994.73549,6265253976,Age 45-64
106,2008-11,123496235.455213,98177568,Younger than 30
106,2008-11,1372063850.25354,1144950072,Age 65 and older
106,2008-11,2311147547.55336,2043636504,Age 30-44
106,2008-11,5041786410.91319,4494168168,Age 45-64
107,2008-12,100081080.889587,102961224,Younger than 30
107,2008-12,1407529281.30838,1316408304,Age 65 and older
107,2008-12,2055575706.42577,2020200192,Age 30-44
107,2008-12,5471116419.46014,5203350864,Age 45-64
108,2009-01,100591464.507457,63316200,Younger than 30
108,2009-01,1474136498.48914,1288019376,Age 65 and older
