month,date,vol,vol_unadj,income_level_group
60,2005-01,11078529872.5667,8939463648,Middle
60,2005-01,17542041980.3938,13872932280,High
60,2005-01,3499863872.24154,2707496016,Moderate
60,2005-01,603700125.703098,439764264,Low
61,2005-02,11353180301.4399,9815667672,Middle
61,2005-02,16804570359.8205,14803903728,High
61,2005-02,3108551783.84859,2583611376,Moderate
61,2005-02,559481374.870057,426047736,Low
62,2005-03,11361047907.4476,12485798976,Middle
62,2005-03,17853833623.0422,19430671920,High
62,2005-03,3276872163.35866,3436812240,Moderate
62,2005-03,424550693.494116,453393360,Low
63,2005-04,12411387387.7754,13225237704,Middle
63,2005-04,18057851191.7617,20145914360,High
63,2005-04,3179874010.17698,3269926056,Moderate
63,2005-04,476862873.179882,473076096,Low
64,2005-05,12159062024.5923,13311891900,Middle
64,2005-05,19067646796.1883,21335775852,High
64,2005-05,3548957888.73448,3929611056,Moderate
64,2005-05,570946050.088145,615617568,Low
65,2005-06,13838987864.5072,15121156944,Middle
65,2005-06,18804310102.3568,21200854776,High
65,2005-06,3438970586.94085,3964829616,Moderate
65,2005-06,450328576.081678,539663928,Low
66,2005-07,11841299950.4875,12094070328,Middle
66,2005-07,19037209562.2137,18266111124,High
66,2005-07,3278842357.76648,3226340136,Moderate
66,2005-07,413099856.309573,380853792,Low
67,2005-08,11629533258.141,13077292776,Middle
67,2005-08,18722789768.9128,20420527416,High
67,2005-08,3236450317.48487,3738556320,Moderate
67,2005-08,452745610.495376,523551960,Low
68,2005-09,11963880334.1016,11815762032,Middle
68,2005-09,18795977239.7921,17852273424,High
68,2005-09,2952282846.91749,3120493584,Moderate
68,2005-09,400447677.844287,487734480,Low
69,2005-10,12136653587.3751,12207297384,Middle
69,2005-10,19057629549.7219,18803565120,High
69,2005-10,3369349461.7689,3170468424,Moderate
69,2005-10,532774638.842798,486784152,Low
70,2005-11,13280509408.062,12121902792,Middle
70,2005-11,19992765099.3563,18630289884,High
70,2005-11,3347503936.54614,3177282912,Moderate
70,2005-11,547287862.350956,525912912,Low
71,2005-12,12425826202.9238,11525937240,Middle
71,2005-12,18390537994.693,17288997768,High
71,2005-12,3305674202.6282,3158471496,Moderate
71,2005-12,457060334.954508,452414352,Low
72,2006-01,11585525012.4568,9283262592,Middle
72,2006-01,17657406342.08,14391750456,High
72,2006-01,3189845323.58265,2549117688,Moderate
72,2006-01,484724531.083129,373415064,Low
73,2006-02,11239769887.5946,9704321592,Middle
73,2006-02,17260239375.5547,15200062392,High
73,2006-02,3222304803.30374,2672896272,Moderate
73,2006-02,546610915.896557,419109816,Low
74,2006-03,11500971625.5141,12700942596,Middle
74,2006-03,17490401182.2813,20185954776,High
74,2006-03,3225281551.33551,3395373312,Moderate
74,2006-03,361256558.138076,395387136,Low
75,2006-04,10675552609.7625,10805855088,Middle
75,2006-04,17105556926.4656,17487289176,High
75,2006-04,3017755465.88299,3014596104,Moderate
75,2006-04,505304424.05001,461203680,Low
76,2006-05,10726263102.8559,12339479040,Middle
76,2006-05,17299412190.4092,19960010784,High
76,2006-05,2864096880.15165,3274614456,Moderate
76,2006-05,379595716.507024,446293824,Low
77,2006-06,11079695607.5336,12156234396,Middle
77,2006-06,17573997220.4593,19782299568,High
77,2006-06,3110427856.48242,3580915752,Moderate
77,2006-06,362811723.540882,434299512,Low
78,2006-07,10710670955.2158,11001378432,Middle
78,2006-07,16697788824.384,15991567068,High
78,2006-07,3041262662.98142,2981573880,Moderate
78,2006-07,516167329.064114,482348136,Low
79,2006-08,10207955966.6681,11414683104,Middle
79,2006-08,16990903351.9075,18501520944,High
79,2006-08,3283323966.15019,3798968280,Moderate
79,2006-08,392110652.541108,457379304,Low
80,2006-09,10358182811.0632,10339408440,Middle
80,2006-09,16615116308.132,15287911272,High
80,2006-09,3277868754.59085,3343132752,Moderate
80,2006-09,479758206.102536,526490016,Low
81,2006-10,10496287913.3728,10404317424,Middle
81,2006-10,16202978580.2965,16519551432,High
81,2006-10,3132861858.88644,3036214224,Moderate
81,2006-10,427011470.485688,421384776,Low
82,2006-11,10122960539.5113,9235080432,Middle
82,2006-11,15761472148.8456,14711111400,High
82,2006-11,3006648767.69407,2859088248,Moderate
82,2006-11,463110422.520992,437157168,Low
83,2006-12,15027568718.0428,13776710484,High
83,2006-12,2334047516.43103,2171558640,Moderate
83,2006-12,361613103.605777,329829384,Low
83,2006-12,9864672143.78907,8734432212,Middle
84,2007-01,15935486001.9053,13361041608,High
84,2007-01,2682581027.96662,2205600024,Moderate
84,2007-01,433068971.382287,344712648,Low
84,2007-01,9641358710.37525,8140319928,Middle
85,2007-02,15727855591.6187,13924632576,High
85,2007-02,2743488092.55883,2273783640,Moderate
85,2007-02,351518499.57369,278262120,Low
85,2007-02,9626047540.54057,8260315680,Middle
86,2007-03,14589343098.8367,16330579512,High
86,2007-03,2671325141.88109,2746247376,Moderate
86,2007-03,453724877.259031,468796368,Low
86,2007-03,9352188779.37144,10346987040,Middle
87,2007-04,14948880940.2403,15730304928,High
87,2007-04,2503198747.53021,2590884576,Moderate
87,2007-04,355743743.679777,359496408,Low
87,2007-04,8981873319.69441,9112465728,Middle
88,2007-05,13851932714.8631,15902359488,High
88,2007-05,2573623217.7013,2925108000,Moderate
88,2007-05,294850122.21971,346279008,Low
88,2007-05,8785720958.05791,10043070064,Middle
89,2007-06,14029544543.3149,15229921032,High
89,2007-06,2276767360.35745,2534168160,Moderate
89,2007-06,429390334.912905,473004816,Low
89,2007-06,8346331785.76827,9198894408,Middle
90,2007-07,14107035278.1035,13904995668,High
90,2007-07,2465181614.78907,2498306976,Moderate
90,2007-07,307017128.065679,308471208,Low
90,2007-07,8459558398.88755,8632184856,Middle
91,2007-08,14001068938.6533,15204601116,High
91,2007-08,2124072017.61718,2454092448,Moderate
91,2007-08,347220017.067266,409343640,Low
91,2007-08,8429677015.8145,9531130032,Middle
92,2007-09,13019321596.5111,11645619528,High
92,2007-09,2171409111.4023,2115058932,Moderate
92,2007-09,333487802.046311,328122144,Low
92,2007-09,7393067239.49612,7064199984,Middle
93,2007-10,12386277308.5271,13100418300,High
93,2007-10,1951475024.22725,1954507908,Moderate
93,2007-10,303454384.365079,320045760,Low
93,2007-10,7670635867.25018,7972756440,Middle
94,2007-11,11731378277.4683,10990312752,High
94,2007-11,1751059028.91457,1684643184,Moderate
94,2007-11,395870130.405971,375807768,Low
94,2007-11,7339614414.12834,6648747552,Middle
95,2007-12,10386556486.394,9631708104,High
95,2007-12,1707738721.6611,1592965440,Moderate
95,2007-12,246797852.526016,232583976,Low
95,2007-12,6302734085.06239,5635076376,Middle
96,2008-01,10757328006.1354,9037368744,High
96,2008-01,1397800128.14372,1150436064,Moderate
96,2008-01,237916938.158642,179664432,Low
96,2008-01,5578601524.56807,4687796256,Middle
97,2008-02,11178518338.9216,10347341880,High
97,2008-02,149045614.27392,127630296,Low
97,2008-02,1574920426.30788,1370075304,Moderate
97,2008-02,6413866831.43658,5690546064,Middle
98,2008-03,10402736679.332,10639692816,High
98,2008-03,1251242316.6865,1249481136,Moderate
98,2008-03,196020057.461098,188309616,Low
98,2008-03,5943506111.13527,6246634848,Middle
99,2008-04,1309332227.34169,1407713352,Moderate
99,2008-04,158532005.922429,174739368,Low
99,2008-04,6396177996.12079,6764449544,Middle
99,2008-04,9714502901.74089,11105650500,High
100,2008-05,1025137893.59672,1115214528,Moderate
100,2008-05,156783471.430387,168054072,Low
100,2008-05,5246674758.2782,6044908296,Middle
100,2008-05,9853983998.7237,10837074228,High
101,2008-06,1000193151.83041,1107475764,Moderate
101,2008-06,124243281.41087,139129080,Low
101,2008-06,4507399875.37383,4746081708,Middle
101,2008-06,8198129478.72081,8839324848,High
102,2008-07,4137694173.30919,4414700664,Middle
102,2008-07,7683580497.48228,7800232872,High
102,2008-07,85560895.1363967,92955840,Low
