month,date,vol,vol_unadj,credit_score_group
60,2005-01,1723960064.54922,1378775280,Near-prime
60,2005-01,24379246182.6231,19215280944,Super-prime
60,2005-01,276144643.739465,211377360,Subprime
60,2005-01,7872495954.25274,6498956016,Prime
60,2005-01,84957709.0706091,91080888,Deep subprime
61,2005-02,1747611005.88577,1397990352,Near-prime
61,2005-02,23961380251.662,20825962272,Super-prime
61,2005-02,360622782.031859,289643520,Subprime
61,2005-02,56067529.1998473,57980448,Deep subprime
61,2005-02,7717632868.0706,6612003144,Prime
62,2005-03,1665132513.9165,1727393664,Near-prime
62,2005-03,24966577207.608,27034736064,Super-prime
62,2005-03,310266730.3557,355099080,Subprime
62,2005-03,69133602.8760377,80460480,Deep subprime
62,2005-03,8129541363.19862,8537526096,Prime
63,2005-04,1871011517.50876,1875601992,Near-prime
63,2005-04,24940409312.0541,28040881184,Super-prime
63,2005-04,318005104.91912,333953040,Subprime
63,2005-04,8390871179.52863,8717884752,Prime
63,2005-04,85695249.0048107,88521960,Deep subprime
64,2005-05,1770565165.22946,1978459908,Near-prime
64,2005-05,25999610755.5723,29258586372,Super-prime
64,2005-05,487295664.034937,407719128,Subprime
64,2005-05,8611531660.35558,9496628808,Prime
64,2005-05,94715088.960691,89247576,Deep subprime
65,2005-06,2254996819.3932,2642503344,Near-prime
65,2005-06,27708118351.9137,30654075912,Super-prime
65,2005-06,467472560.260346,720319560,Subprime
65,2005-06,8171596580.73784,9261272088,Prime
65,2005-06,84459222.5985137,89740968,Deep subprime
66,2005-07,1695649554.8533,1665382224,Near-prime
66,2005-07,26162586720.1476,25586250252,Super-prime
66,2005-07,411613698.295198,377045736,Subprime
66,2005-07,7701562715.9706,8070466416,Prime
66,2005-07,91425362.7032728,95943168,Deep subprime
67,2005-08,124589511.697881,141357312,Deep subprime
67,2005-08,1696642714.5236,1890710400,Near-prime
67,2005-08,25574455348.8641,28918201488,Super-prime
67,2005-08,408827213.026409,428959440,Subprime
67,2005-08,7982028911.24273,8494460592,Prime
68,2005-09,118983267.01192,77707152,Deep subprime
68,2005-09,1753194642.11498,1700100912,Near-prime
68,2005-09,25592167593.4188,24865609728,Super-prime
68,2005-09,503568103.868544,486657456,Subprime
68,2005-09,7715356912.18766,7786353432,Prime
69,2005-10,104169403.730897,116259384,Deep subprime
69,2005-10,1736409506.33506,1895187336,Near-prime
69,2005-10,26347943439.7322,25710477408,Super-prime
69,2005-10,391422216.260256,395489184,Subprime
69,2005-10,7881726792.64875,8096651712,Prime
70,2005-11,148299093.91197,121916520,Deep subprime
70,2005-11,2078621963.00449,1989804984,Near-prime
70,2005-11,27585418724.3503,25243189284,Super-prime
70,2005-11,392711578.791503,386298936,Subprime
70,2005-11,8623398037.6201,8172500760,Prime
71,2005-12,2045502267.94097,1961993928,Near-prime
71,2005-12,25473271323.7771,23594763816,Super-prime
71,2005-12,448799938.20095,412317696,Subprime
71,2005-12,8707773774.9436,7845534168,Prime
71,2005-12,96072601.6195324,88116288,Deep subprime
72,2006-01,111467011.21113,115839144,Deep subprime
72,2006-01,1766926010.28481,1408779168,Near-prime
72,2006-01,24414003490.1838,19544201784,Super-prime
72,2006-01,494612416.739445,402463560,Subprime
72,2006-01,7609204883.85268,6265793472,Prime
73,2006-02,114443995.918005,122581920,Deep subprime
73,2006-02,1781160718.1386,1448324736,Near-prime
73,2006-02,23655088176.5678,20570588136,Super-prime
73,2006-02,417910726.746858,335489352,Subprime
73,2006-02,7945280380.86086,6773631720,Prime
74,2006-03,2073830869.82134,2119857720,Near-prime
74,2006-03,23652597043.4066,26901191544,Super-prime
74,2006-03,429266580.020563,490318368,Subprime
74,2006-03,8304537214.29028,8663404884,Prime
74,2006-03,88164605.8567345,104133912,Deep subprime
75,2006-04,102688396.94887,105245616,Deep subprime
75,2006-04,1771712366.81813,1745728248,Near-prime
75,2006-04,23240643863.264,23492370960,Super-prime
75,2006-04,417931729.68028,414717936,Subprime
