month,date,num,num_unadj
60,2005-01,413587.23946432,328680
61,2005-02,404532.21325686,351936
62,2005-03,403437.958967729,442784
63,2005-04,412093.40652998,450020
64,2005-05,423328.371421791,468924
65,2005-06,428192.401968229,473664
66,2005-07,414683.932346816,415536
67,2005-08,402295.591602604,451968
68,2005-09,395817.392176368,388248
69,2005-10,399090.959273298,395988
70,2005-11,401750.638525491,373800
71,2005-12,390160.477430704,349704
72,2006-01,365373.192220794,294096
73,2006-02,357320.392743897,310776
74,2006-03,356985.90840321,396408
75,2006-04,338824.108248114,347880
76,2006-05,335051.561919168,388536
77,2006-06,330829.593746047,370968
78,2006-07,316165.192434545,315360
79,2006-08,317317.731838469,351648
80,2006-09,315811.496011305,309312
81,2006-10,311074.774853604,313752
82,2006-11,313057.405471617,287784
83,2006-12,297555.597332263,257196
84,2007-01,301408.682950791,252900
85,2007-02,290053.118168594,251520
86,2007-03,279479.021509977,305808
87,2007-04,280145.985129328,294012
88,2007-05,270775.023443066,308288
89,2007-06,263118.722028546,292176
90,2007-07,267617.892300587,272088
91,2007-08,259879.012714337,291792
92,2007-09,237350.28732463,220536
93,2007-10,232961.761003785,247428
94,2007-11,218621.569041892,203304
95,2007-12,203957.747508044,176736
96,2008-01,185808.203070473,152784
97,2008-02,199796.598270135,181416
98,2008-03,185341.030206911,192240
99,2008-04,184733.299047656,202088
100,2008-05,161246.008322215,181920
101,2008-06,144301.205036332,153624
102,2008-07,130302.346424039,137928
103,2008-08,120280.909536515,128112
104,2008-09,116729.49490508,117360
105,2008-10,103026.817108491,110064
106,2008-11,94675.9658532757,82416
107,2008-12,85066.7463254427,79416
108,2009-01,88773.7621692342,72360
109,2009-02,91368.7484746725,77472
110,2009-03,83792.4771451446,87432
111,2009-04,80931.0136589655,87360
112,2009-05,76873.1607820912,82608
113,2009-06,78140.8833994614,87432
114,2009-07,77219.4223507779,83064
115,2009-08,75751.4377312352,80448
116,2009-09,73160.6168647769,73824
117,2009-10,63624.2446560336,67584
118,2009-11,63654.9905247425,57048
119,2009-12,65134.5174304036,60720
120,2010-01,62597.508675467,48768
121,2010-02,63699.0255656922,53016
122,2010-03,64719.0640336959,69768
123,2010-04,65440.2337954584,71112
124,2010-05,66410.6920959634,70272
125,2010-06,64656.1392503881,72096
126,2010-07,68111.0618868521,72528
127,2010-08,67279.4374662576,73032
128,2010-09,69666.5900523513,70416
129,2010-10,71976.5747356909,74064
130,2010-11,73840.201496847,70224
131,2010-12,71010.1845981269,67728
132,2011-01,68178.3704766659,52560
133,2011-02,63974.9067648721,52128
134,2011-03,63346.2649784767,66168
135,2011-04,63264.2822213361,67680
136,2011-05,63300.6044879077,67680
137,2011-06,64622.6467702598,71904
138,2011-07,63808.4549123232,65280
139,2011-08,59942.9400382303,68808
140,2011-09,61127.331629903,63288
141,2011-10,66745.362546858,68712
142,2011-11,67611.095384356,64464
143,2011-12,66779.9136162169,63216
144,2012-01,67856.8051908013,52944
145,2012-02,68592.1850955295,57024
146,2012-03,68522.4414705136,70272
147,2012-04,66896.9660967721,68256
148,2012-05,66369.5000484471,73176
149,2012-06,66855.505198774,75600
150,2012-07,66223.3436330921,68592
151,2012-08,68548.6996955011,79008
152,2012-09,69437.5459189883,67656
153,2012-10,65482.2023542247,72144
154,2012-11,64638.9491904099,62256
155,2012-12,71222.8953400397,64272
156,2013-01,73663.8242152867,59232
157,2013-02,75642.4099062725,59448
158,2013-03,75888.0857299552,73800
159,2013-04,78860.8468668793,84048
160,2013-05,78829.3872907552,88320
161,2013-06,80768.6008692008,86712
162,2013-07,82261.0145305984,89472
163,2013-08,85372.9882133354,97248
164,2013-09,84924.2469494828,85416
165,2013-10,86401.3765792714,93600
166,2013-11,83988.8803682164,80208
167,2013-12,83449.980953002,76320
168,2014-01,78525.0049189803,63744
169,2014-02,82356.6632057306,64248
170,2014-03,84785.3615805705,81456
171,2014-04,89617.7866495476,94512
172,2014-05,93396.2262039429,103680
173,2014-06,94892.2475233042,105000
174,2014-07,95935.9794421022,103008
175,2014-08,100106.818963518,109128
176,2014-09,95886.1799014146,102192
177,2014-10,98171.7289615073,107376
178,2014-11,99831.4124114119,89040
179,2014-12,94699.6671778453,90672
180,2015-01,98276.3993238131,78576
181,2015-02,99827.7275668987,77664
182,2015-03,104034.343369837,101232
183,2015-04,102646.132071145,107280
184,2015-05,103137.626433873,110616
185,2015-06,105352.455133174,123096
186,2015-07,109722.371467784,119448
187,2015-08,104582.275376045,112704
188,2015-09,110014.595812093,116832
189,2015-10,108296.746128631,116496
190,2015-11,109763.892380175,99576
191,2015-12,111753.699249442,105408
192,2016-01,113798.745052055,87240
193,2016-02,113445.503713985,92718.4874989095
194,2016-03,107170.685681512,107884.6900534
195,2016-04,111312.294568011,117133.45830914
196,2016-05,113696.213194645,123605.568405725
197,2016-06,112479.105449342,129656.465333216
198,2016-07,111361.124350229,114961.751210206
199,2016-08,108798.342127499,124081.457445253
200,2016-09,112925.178877387,120701.024244677
201,2016-10,113317.673507517,116199.815374419
202,2016-11,109318.344270486,103165.430060702
203,2016-12,118259.931558705,111370.490768467
