month,date,vol,vol_unadj
60,2005-01,34536284307.0088,27540920376
61,2005-02,33836455052.1891,29349046368
62,2005-03,35177802547.6637,37987708968
63,2005-04,35380371431.2135,39309938648
64,2005-05,37304023275.5381,41439037128
65,2005-06,39333290821.6727,43561626480
66,2005-07,36277151700.8909,35947689444
67,2005-08,35682199153.6924,40055229216
68,2005-09,36076462944.2151,35075172120
69,2005-10,36957857173.4223,36367739520
70,2005-11,39070516831.3841,36090857220
71,2005-12,36658122723.5634,34119898464
72,2006-01,34720444597.5976,27853096872
73,2006-02,33897737701.03,29402127576
74,2006-03,34162410552.4543,38473900068
75,2006-04,33209314986.8436,33366887280
76,2006-05,32090229547.443,37754562240
77,2006-06,33599594554.8037,37783336908
78,2006-07,32187341893.1255,31975738764
79,2006-08,32860945282.5115,36097493640
80,2006-09,31835064128.2844,30941788728
81,2006-10,32027873193.8284,31662418128
82,2006-11,31031309107.0952,28474369152
83,2006-12,29225062410.3095,25986340512
84,2007-01,29811355918.8189,25166326608
85,2007-02,29529991052.6714,25635512592
86,2007-03,27940085997.263,31281390144
87,2007-04,28371320407.7948,29073364680
88,2007-05,26819420007.8543,30989612608
89,2007-06,25696025801.7732,28838981352
90,2007-07,26476297219.0878,26565981372
91,2007-08,26232383667.022,29006151564
92,2007-09,24358902332.3158,22151989836
93,2007-10,23295437323.7883,24300077964
94,2007-11,22086549371.7961,20565404616
95,2007-12,19997628650.4901,17968910856
96,2008-01,18838138336.0793,15593384904
97,2008-02,19988541473.0897,18285201192
98,2008-03,18623057531.0034,19168849152
99,2008-04,18406794651.7239,20253767684
100,2008-05,16375593249.8931,18955041300
101,2008-06,14534202582.2416,15548712096
102,2008-07,13293783512.4015,13869227568
103,2008-08,12078800672.2799,12523969416
104,2008-09,11732674622.3016,11584361748
105,2008-10,10255311472.4489,10651612728
106,2008-11,8944289332.63745,7792285512
107,2008-12,8939515722.1793,8671120584
108,2009-01,8474055957.91916,7067217144
109,2009-02,7801457076.45688,6750359016
110,2009-03,7538617943.33089,7986234360
111,2009-04,7012423628.34572,7420493616
112,2009-05,7090071235.5092,7714569480
113,2009-06,6890479689.64183,7817660016
114,2009-07,6544130484.72167,6897903936
115,2009-08,6154389878.76824,6341428872
116,2009-09,5649530080.86808,5557979280
117,2009-10,5327842780.4137,5543311176
118,2009-11,5079185338.46209,4551459552
119,2009-12,5261093536.65309,5088097608
120,2010-01,4911267170.44921,3910134336
121,2010-02,5071348449.16899,4351152912
122,2010-03,5164964662.29527,5705438952
123,2010-04,5177660336.63226,5517634224
124,2010-05,5288852937.97864,5673294144
125,2010-06,5090327100.66746,5712265344
126,2010-07,5441696203.50536,5687868600
127,2010-08,5397873376.32185,5585761656
128,2010-09,5451165762.58016,5404203624
129,2010-10,5728056702.7731,5741140560
130,2010-11,5721680980.46565,5470762344
131,2010-12,5560765743.88651,5528718000
132,2011-01,6074432564.36592,4855883808
133,2011-02,5082036545.92201,4305363936
134,2011-03,5319336404.66762,5668248888
135,2011-04,5250144559.57269,5550306744
136,2011-05,4977983501.70757,5283909264
137,2011-06,5221276865.24052,5845432800
138,2011-07,5049419062.60516,4998724128
139,2011-08,4953948546.50681,5439708648
140,2011-09,5268225008.8037,5368986696
141,2011-10,5364178272.50038,5469755760
142,2011-11,5498659655.5341,5231946000
143,2011-12,5477585776.87014,5460079584
144,2012-01,5726686912.85404,4609033176
145,2012-02,5630896522.79834,4896067464
146,2012-03,5315328451.68346,5603704800
147,2012-04,5503586001.68773,5505957312
148,2012-05,5287870543.96811,5728727928
149,2012-06,6073938883.13088,6904472472
150,2012-07,5518089682.36018,5525458248
151,2012-08,5751921807.4257,6321371760
152,2012-09,5826466194.13397,5602210680
153,2012-10,5653135882.78255,6210882072
154,2012-11,5323079985.47477,5134277712
155,2012-12,6307045264.8509,5990495928
156,2013-01,6223333954.86673,5187941592
157,2013-02,6425528183.93102,5320065192
158,2013-03,6755698668.11812,6452965176
159,2013-04,6861737393.9447,7427988864
160,2013-05,6991850668.02248,7608998520
161,2013-06,7075498399.10868,7544244168
162,2013-07,7218171523.26065,7675401552
163,2013-08,8062988256.27677,8888086512
164,2013-09,7461473815.47651,7408225320
165,2013-10,8098399787.52544,8752987824
166,2013-11,7576634818.22642,7296805392
167,2013-12,7530037079.8153,7196630640
168,2014-01,7471482763.91293,6289818456
169,2014-02,7409168680.63289,6100210176
170,2014-03,7781789718.79208,7606463232
171,2014-04,8375688262.19153,8574364200
172,2014-05,8499314431.26775,9196840416
173,2014-06,8632603518.65191,9447344952
174,2014-07,8846317475.40416,9310430856
175,2014-08,9222080025.07574,9703693800
176,2014-09,9285235438.18107,9819585216
177,2014-10,9386059125.01141,10247142792
178,2014-11,9934559178.14495,8879316720
179,2014-12,9041563102.85173,9123086784
180,2015-01,9447668429.81688,7907471424
181,2015-02,9968125304.8047,8193741264
182,2015-03,10343050913.4199,10126334688
183,2015-04,10187078201.9721,10295109336
184,2015-05,10491885171.4705,10826094432
185,2015-06,10526552706.7012,12243171936
186,2015-07,11082813682.7116,11895009864
187,2015-08,10796107430.1408,11399977176
188,2015-09,10942174775.6761,11429875656
189,2015-10,10534004214.0155,11378394840
190,2015-11,11275319811.5479,10232062752
191,2015-12,11739370056.779,11612122392
192,2016-01,12259974390.8973,9746914032
193,2016-02,11963731726.4514,10404815914.8174
194,2016-03,11452487195.8068,11282590476.0128
195,2016-04,11377222824.7834,11929753675.3586
196,2016-05,11686032744.4535,12196191207.1812
197,2016-06,11997838665.4872,13711345503.324
198,2016-07,11766925590.0259,12011731797.0307
199,2016-08,11065129280.1944,12405585834.8406
200,2016-09,11936927114.4115,12581919490.6067
201,2016-10,11669709317.3565,11941691884.6688
202,2016-11,11618642105.7652,10944872123.5319
203,2016-12,12101846201.6733,12041293094.5884
