month,date,vol,vol_unadj,age_group
60,2005-01,14023742297.0399,10556158896,Age 30-44
60,2005-01,16050051242.8154,12882408264,Age 45-64
60,2005-01,1892733497.05195,1208630160,Younger than 30
60,2005-01,3176786245.75645,2683963128,Age 65 and older
61,2005-02,13301325279.8019,11228947644,Age 30-44
61,2005-02,16091814993.2941,13984328856,Age 45-64
61,2005-02,1824015119.42161,1274188836,Younger than 30
61,2005-02,3027969595.39775,2687147856,Age 65 and older
62,2005-03,12884821454.6952,13950401472,Age 30-44
62,2005-03,16696063369.6193,18717907608,Age 45-64
62,2005-03,1857267154.1479,1675881840,Younger than 30
62,2005-03,3033354008.6178,3354601848,Age 65 and older
63,2005-04,14085432057.0511,14894460104,Age 30-44
63,2005-04,1697362729.10929,1796569488,Younger than 30
63,2005-04,17488540919.7415,18733302264,Age 45-64
63,2005-04,3223287709.77386,3677136072,Age 65 and older
64,2005-05,14387185353.5467,15414590772,Age 30-44
64,2005-05,1722137878.32586,1897835760,Younger than 30
64,2005-05,17825900534.028,20170165620,Age 45-64
64,2005-05,3262956406.83864,3753774696,Age 65 and older
65,2005-06,14504200372.7857,16512343656,Age 30-44
65,2005-06,1576377583.13784,1802804256,Younger than 30
65,2005-06,18474431190.2082,20951700576,Age 45-64
65,2005-06,3745948504.78396,4094332104,Age 65 and older
66,2005-07,13256390730.0285,13358927532,Age 30-44
66,2005-07,1616250996.20535,1958924352,Younger than 30
66,2005-07,17485885972.5967,17218522752,Age 45-64
66,2005-07,3707958018.60426,3253752288,Age 65 and older
67,2005-08,13519907033.3343,15488557824,Age 30-44
67,2005-08,1537201797.36397,1842441936,Younger than 30
67,2005-08,17531223390.7982,19257260160,Age 45-64
67,2005-08,2910355966.1312,3298928880,Age 65 and older
68,2005-09,13342590231.0849,13446896976,Age 30-44
68,2005-09,1499565821.35237,1685559024,Younger than 30
68,2005-09,17350189812.3105,16520331624,Age 45-64
68,2005-09,3336426443.97561,3244349208,Age 65 and older
69,2005-10,13457633749.448,13225935024,Age 30-44
69,2005-10,1719591028.57102,1638240504,Younger than 30
69,2005-10,18188005802.1666,17997922464,Age 45-64
69,2005-10,3319032908.81622,3333519672,Age 65 and older
70,2005-11,13719929699.3209,13161599964,Age 30-44
70,2005-11,1726286376.08621,1641396864,Younger than 30
70,2005-11,19308376417.5682,17849125368,Age 45-64
70,2005-11,3552247079.96927,3210418488,Age 65 and older
71,2005-12,13271595826.8187,12532501008,Age 30-44
71,2005-12,1749842382.6515,1736191056,Younger than 30
71,2005-12,18393067091.1238,16661992656,Age 45-64
71,2005-12,3469992778.06055,3003007776,Age 65 and older
72,2006-01,12558286647.677,9534978528,Age 30-44
72,2006-01,1567335839.30581,1013680896,Younger than 30
72,2006-01,17367380458.8739,14298359760,Age 45-64
72,2006-01,3296774977.43399,2858950176,Age 65 and older
