month,date,vol,vol_unadj,income_level_group
60,2005-01,11336717471.0032,8939463648,Middle
60,2005-01,17553752993.8591,13872932280,High
60,2005-01,3488106044.79518,2707496016,Moderate
60,2005-01,601817539.481073,439764264,Low
61,2005-02,11432903756.6457,9815667672,Middle
61,2005-02,16810365746.8829,14803903728,High
61,2005-02,3109140019.22221,2583611376,Moderate
61,2005-02,568247740.038055,426047736,Low
62,2005-03,11497746619.3056,12485798976,Middle
62,2005-03,17759431891.008,19430671920,High
62,2005-03,3286603099.47494,3436812240,Moderate
62,2005-03,430673481.634882,453393360,Low
63,2005-04,12293925832.3401,13225237704,Middle
63,2005-04,18147952522.1483,20145914360,High
63,2005-04,3168349101.55125,3269926056,Moderate
63,2005-04,479640524.776958,473076096,Low
64,2005-05,11863756489.5265,13311891900,Middle
64,2005-05,19060248225.1512,21335775852,High
64,2005-05,3548086599.84917,3929611056,Moderate
64,2005-05,573849434.024357,615617568,Low
65,2005-06,13470146851.501,15121156944,Middle
65,2005-06,18798864111.8613,21200854776,High
65,2005-06,3446905914.91231,3964829616,Moderate
65,2005-06,456025870.050908,539663928,Low
66,2005-07,11974775048.6011,12094070328,Middle
66,2005-07,19041273129.6278,18266111124,High
66,2005-07,3271542724.27667,3226340136,Moderate
66,2005-07,411925676.814164,380853792,Low
67,2005-08,11698182780.1759,13077292776,Middle
67,2005-08,18721930483.3207,20420527416,High
67,2005-08,3228461500.88317,3738556320,Moderate
67,2005-08,457868139.430859,523551960,Low
68,2005-09,11981919094.417,11815762032,Middle
68,2005-09,18784576994.2078,17852273424,High
68,2005-09,2969383571.57247,3120493584,Moderate
68,2005-09,401483498.093322,487734480,Low
69,2005-10,12289293855.5649,12207297384,Middle
69,2005-10,19066307705.3856,18803565120,High
69,2005-10,3358373843.51873,3170468424,Moderate
69,2005-10,530271057.98237,486784152,Low
70,2005-11,13024056139.5453,12121902792,Middle
70,2005-11,19990970974.8344,18630289884,High
70,2005-11,3352902872.69158,3177282912,Moderate
70,2005-11,509070164.292624,525912912,Low
71,2005-12,12955945593.6232,11525937240,Middle
71,2005-12,18398387660.3036,17288997768,High
71,2005-12,3306385948.60568,3158471496,Moderate
71,2005-12,459344236.617862,452414352,Low
72,2006-01,11461091529.8174,9283262592,Middle
72,2006-01,17660902701.4081,14391750456,High
72,2006-01,3192213148.30433,2549117688,Moderate
72,2006-01,489199667.470151,373415064,Low
73,2006-02,11304223879.0402,9704321592,Middle
73,2006-02,17273992571.786,15200062392,High
73,2006-02,3223940617.09335,2672896272,Moderate
73,2006-02,560060220.969971,419109816,Low
74,2006-03,11280702975.3214,12700942596,Middle
74,2006-03,17554454590.285,20185954776,High
74,2006-03,3235892121.30895,3395373312,Moderate
74,2006-03,366286492.211954,395387136,Low
75,2006-04,10676999514.0517,10805855088,Middle
75,2006-04,17041725761.1919,17487289176,High
75,2006-04,2992769148.68657,3014596104,Moderate
75,2006-04,502577094.605899,461203680,Low
76,2006-05,10758422816.2176,12339479040,Middle
76,2006-05,17279900189.0883,19960010784,High
76,2006-05,2875411251.57568,3274614456,Moderate
76,2006-05,385698370.379476,446293824,Low
77,2006-06,10843942456.5803,12156234396,Middle
77,2006-06,17570554488.123,19782299568,High
77,2006-06,3118588778.60325,3580915752,Moderate
77,2006-06,367225497.364133,434299512,Low
78,2006-07,10856322653.2504,11001378432,Middle
78,2006-07,16703725273.0937,15991567068,High
78,2006-07,3035316299.65675,2981573880,Moderate
78,2006-07,511325535.753936,482348136,Low
79,2006-08,10185369597.7784,11414683104,Middle
79,2006-08,16989230957.9613,18501520944,High
79,2006-08,3271171506.96281,3798968280,Moderate
79,2006-08,396517711.648222,457379304,Low
80,2006-09,10650304775.2422,10339408440,Middle
80,2006-09,16612238068.119,15287911272,High
80,2006-09,3284419140.50736,3343132752,Moderate
80,2006-09,475851638.199079,526490016,Low
81,2006-10,10298128259.3342,10404317424,Middle
81,2006-10,16201258296.2109,16519551432,High
81,2006-10,3135953706.59341,3036214224,Moderate
81,2006-10,429702826.647245,421384776,Low
82,2006-11,10022397223.5329,9235080432,Middle
82,2006-11,15757546566.0253,14711111400,High
82,2006-11,3011795640.06589,2859088248,Moderate
82,2006-11,431295961.841024,437157168,Low
83,2006-12,10010727126.4541,8734432212,Middle
83,2006-12,15037838295.764,13776710484,High
83,2006-12,2325869136.54923,2171558640,Moderate
83,2006-12,359885562.320281,329829384,Low
84,2007-01,15938941246.5183,13361041608,High
84,2007-01,2695027672.42675,2205600024,Moderate
84,2007-01,442450229.667492,344712648,Low
84,2007-01,9752349525.8385,8140319928,Middle
85,2007-02,15762109135.5521,13924632576,High
85,2007-02,2745609703.56051,2273783640,Moderate
85,2007-02,362594231.758434,278262120,Low
85,2007-02,9652441562.67364,8260315680,Middle
86,2007-03,14638094250.6797,16330579512,High
86,2007-03,2670007898.13365,2746247376,Moderate
86,2007-03,455359276.470852,468796368,Low
86,2007-03,9438197506.65133,10346987040,Middle
87,2007-04,14886751476.995,15730304928,High
87,2007-04,2492260420.19904,2590884576,Moderate
87,2007-04,355425356.822475,359496408,Low
87,2007-04,8812006364.95634,9112465728,Middle
88,2007-05,13830512105.2236,15902359488,High
88,2007-05,2583443958.54639,2925108000,Moderate
88,2007-05,299651605.738133,346279008,Low
88,2007-05,8735885201.35781,10043070064,Middle
89,2007-06,14033804792.2231,15229921032,High
89,2007-06,2274321734.38086,2534168160,Moderate
89,2007-06,430126512.447235,473004816,Low
89,2007-06,8428023466.16846,9198894408,Middle
90,2007-07,14105916597.0281,13904995668,High
90,2007-07,2469671285.96132,2498306976,Moderate
90,2007-07,304320027.662538,308471208,Low
90,2007-07,8289707918.86642,8632184856,Middle
