month,date,vol,vol_unadj,credit_score_group
60,2005-01,1711682891.13359,1378775280,Near-prime
60,2005-01,24345361794.8991,19215280944,Super-prime
60,2005-01,268545006.862392,211377360,Subprime
60,2005-01,7833942075.75313,6498956016,Prime
60,2005-01,85108190.4406803,91080888,Deep subprime
61,2005-02,1735999582.15222,1397990352,Near-prime
61,2005-02,24475403973.2976,20825962272,Super-prime
61,2005-02,358777904.993884,289643520,Subprime
61,2005-02,56095542.1460513,57980448,Deep subprime
61,2005-02,7678573882.87753,6612003144,Prime
62,2005-03,1657441160.43057,1727393664,Near-prime
62,2005-03,25205353075.4918,27034736064,Super-prime
62,2005-03,313031529.110505,355099080,Subprime
62,2005-03,69498711.2733442,80460480,Deep subprime
62,2005-03,8141675206.2723,8537526096,Prime
63,2005-04,1849124939.98669,1875601992,Near-prime
63,2005-04,25434497816.9576,28040881184,Super-prime
63,2005-04,321085893.794844,333953040,Subprime
63,2005-04,8416295089.35612,8717884752,Prime
63,2005-04,85717017.3631792,88521960,Deep subprime
64,2005-05,1778011331.6525,1978459908,Near-prime
64,2005-05,26327470570.1203,29258586372,Super-prime
64,2005-05,482774620.611575,407719128,Subprime
64,2005-05,8649278926.9701,9496628808,Prime
64,2005-05,94681694.4093072,89247576,Deep subprime
65,2005-06,2247799462.60842,2642503344,Near-prime
65,2005-06,26991558707.4849,30654075912,Super-prime
65,2005-06,478275974.216754,720319560,Subprime
65,2005-06,8430305060.65905,9261272088,Prime
65,2005-06,84449278.1879921,89740968,Deep subprime
66,2005-07,1715747983.14629,1665382224,Near-prime
66,2005-07,26304331403.4959,25586250252,Super-prime
66,2005-07,405591647.004498,377045736,Subprime
66,2005-07,7815305587.95292,8070466416,Prime
66,2005-07,91377773.9477727,95943168,Deep subprime
67,2005-08,123718764.814956,141357312,Deep subprime
67,2005-08,1716164654.36601,1890710400,Near-prime
67,2005-08,25737472866.5994,28918201488,Super-prime
67,2005-08,410136442.997154,428959440,Subprime
67,2005-08,7907021899.40294,8494460592,Prime
68,2005-09,118825900.371875,77707152,Deep subprime
68,2005-09,1768245189.56253,1700100912,Near-prime
68,2005-09,25530645325.7404,24865609728,Super-prime
68,2005-09,510859380.45303,486657456,Subprime
68,2005-09,7469434739.6623,7786353432,Prime
69,2005-10,104056635.64948,116259384,Deep subprime
69,2005-10,1742778714.87911,1895187336,Near-prime
69,2005-10,25862786307.1452,25710477408,Super-prime
69,2005-10,382090516.556516,395489184,Subprime
69,2005-10,7885270313.84858,8096651712,Prime
70,2005-11,148246220.744077,121916520,Deep subprime
70,2005-11,2076217815.78428,1989804984,Near-prime
70,2005-11,26980181665.1272,25243189284,Super-prime
70,2005-11,390914814.989554,386298936,Subprime
70,2005-11,8569672420.84371,8172500760,Prime
71,2005-12,2033274070.06695,1961993928,Near-prime
71,2005-12,25300914401.3611,23594763816,Super-prime
71,2005-12,450192172.739749,412317696,Subprime
71,2005-12,8701398631.63765,7845534168,Prime
71,2005-12,96210794.893439,88116288,Deep subprime
72,2006-01,111811254.60584,115839144,Deep subprime
72,2006-01,1752992763.42134,1408779168,Near-prime
72,2006-01,24441143936.4763,19544201784,Super-prime
72,2006-01,490132115.591963,402463560,Subprime
72,2006-01,7558904908.03128,6265793472,Prime
73,2006-02,114526086.339381,122581920,Deep subprime
73,2006-02,1766866406.07077,1448324736,Near-prime
73,2006-02,24164920504.3902,20570588136,Super-prime
73,2006-02,416243979.318978,335489352,Subprime
73,2006-02,7893666582.02132,6773631720,Prime
74,2006-03,2060085371.6688,2119857720,Near-prime
74,2006-03,24137174239.3283,26901191544,Super-prime
74,2006-03,434158259.350653,490318368,Subprime
74,2006-03,8289742671.89449,8663404884,Prime
74,2006-03,88646911.7066087,104133912,Deep subprime
75,2006-04,102750751.169279,105245616,Deep subprime
75,2006-04,1741345218.1791,1745728248,Near-prime
75,2006-04,23292543958.6275,23492370960,Super-prime
75,2006-04,412705937.320093,414717936,Subprime
75,2006-04,7120359354.39826,7377487056,Prime
76,2006-05,1949149682.87381,2205774552,Near-prime
76,2006-05,23212743755.6844,27053077752,Super-prime
76,2006-05,571110262.670506,513854808,Subprime
76,2006-05,6987176067.27232,7638393072,Prime
76,2006-05,99106391.4744825,92726568,Deep subprime
77,2006-06,140355990.711703,147269808,Deep subprime
77,2006-06,1797090387.42435,2075192232,Near-prime
77,2006-06,23806288447.5714,27156124968,Super-prime
77,2006-06,285320653.882196,424243416,Subprime
77,2006-06,7006155066.51756,7706887164,Prime
78,2006-07,115016665.896453,121741152,Deep subprime
78,2006-07,1592387099.06143,1579385328,Near-prime
78,2006-07,22625935357.2594,22227104124,Super-prime
78,2006-07,443598155.117003,416044968,Subprime
78,2006-07,7099446219.18402,7387346712,Prime
79,2006-08,105448000.487987,123072456,Deep subprime
79,2006-08,1709214387.16614,1893479760,Near-prime
79,2006-08,23424913051.6198,26184728376,Super-prime
79,2006-08,479916946.369143,498158376,Subprime
79,2006-08,6677982197.68082,7183302792,Prime
80,2006-09,1531156554.22015,1473271992,Near-prime
80,2006-09,174440025.429368,106076472,Deep subprime
80,2006-09,22498144834.209,21505847496,Super-prime
80,2006-09,422419895.854966,370406952,Subprime
80,2006-09,6952148316.36608,7282021464,Prime
81,2006-10,108441119.921742,127594128,Deep subprime
81,2006-10,1756561033.33661,1873427400,Near-prime
81,2006-10,22280180595.0311,22349582424,Super-prime
81,2006-10,390967582.941674,449858352,Subprime
81,2006-10,6540095360.02662,6692575512,Prime
82,2006-11,119475982.529431,95747616,Deep subprime
82,2006-11,1587659251.75384,1502994696,Near-prime
82,2006-11,21519357329.8387,20280744336,Super-prime
82,2006-11,406389432.709017,397770816,Subprime
82,2006-11,6322470817.96981,6019107120,Prime
83,2006-12,124459007.329881,111817392,Deep subprime
83,2006-12,1263525423.2594,1224013500,Near-prime
83,2006-12,21175339557.0869,18700373868,Super-prime
83,2006-12,375106075.644089,314992176,Subprime
83,2006-12,6110651343.11664,5518301232,Prime
84,2007-01,122394470.110696,125339952,Deep subprime
84,2007-01,1564129404.5347,1272945648,Near-prime
84,2007-01,21392181224.4768,17943213048,Super-prime
84,2007-01,410874113.709639,342357672,Subprime
84,2007-01,6476256873.68202,5354084856,Prime
85,2007-02,120937605.646767,130613064,Deep subprime
85,2007-02,1315906163.69288,1122203208,Near-prime
85,2007-02,22048473266.2693,18797114424,Super-prime
85,2007-02,320271863.855593,260682168,Subprime
85,2007-02,6081806227.16391,5219494968,Prime
86,2007-03,1298960321.13378,1326194424,Near-prime
86,2007-03,20808724465.1961,23101432680,Super-prime
86,2007-03,365973935.734042,383823024,Subprime
86,2007-03,5947222952.88295,6194711664,Prime
86,2007-03,96400044.4861242,112785312,Deep subprime
87,2007-04,1268660181.98855,1232602920,Near-prime
87,2007-04,130502147.31269,129003816,Deep subprime
87,2007-04,21063776447.7448,21689531904,Super-prime
87,2007-04,231288858.074067,270929568,Subprime
87,2007-04,5435955353.28129,5640499176,Prime
88,2007-05,1052507776.93911,1213373592,Near-prime
88,2007-05,19930611157.9785,23186251672,Super-prime
88,2007-05,281312711.078716,242001672,Subprime
88,2007-05,5554653536.48665,6017511720,Prime
88,2007-05,91453876.2325301,86811360,Deep subprime
89,2007-06,111865588.674976,120084600,Deep subprime
89,2007-06,1125807003.44207,1241723976,Near-prime
89,2007-06,19217332215.9332,21368943480,Super-prime
89,2007-06,298557486.066958,395932800,Subprime
89,2007-06,5098774737.797,5629736496,Prime
90,2007-07,1045741783.82318,1081235904,Near-prime
90,2007-07,19943090489.6249,19819446720,Super-prime
90,2007-07,354858629.061352,368868984,Subprime
90,2007-07,4875214746.00982,5099376108,Prime
90,2007-07,94535004.102407,99652968,Deep subprime
91,2007-08,20268849585.2492,22574308764,Super-prime
91,2007-08,232499331.431441,242379456,Subprime
91,2007-08,4616685929.80955,4967244144,Prime
91,2007-08,69143284.3143174,82569240,Deep subprime
91,2007-08,948999285.845242,1054709112,Near-prime
92,2007-09,174923392.554417,140150208,Subprime
92,2007-09,18907860803.1515,17168859252,Super-prime
92,2007-09,226007703.345802,131432304,Deep subprime
92,2007-09,3582244445.2057,3755489280,Prime
92,2007-09,899472602.464526,890796816,Near-prime
93,2007-10,159932991.360818,211711560,Subprime
93,2007-10,17995288703.3347,18901467588,Super-prime
93,2007-10,4022205771.54046,4120641192,Prime
93,2007-10,72102640.0219372,88411968,Deep subprime
93,2007-10,865012642.749761,887435388,Near-prime
94,2007-11,160043941.892142,152215824,Subprime
94,2007-11,17251131769.8271,16381053264,Super-prime
