month,date,younger-than-30_yoy,30-44_yoy,45-64_yoy,65-and-older_yoy
60,2005-01,NA,NA,NA,NA
61,2005-02,NA,NA,NA,NA
62,2005-03,NA,NA,NA,NA
63,2005-04,NA,NA,NA,NA
64,2005-05,NA,NA,NA,NA
65,2005-06,NA,NA,NA,NA
66,2005-07,NA,NA,NA,NA
67,2005-08,NA,NA,NA,NA
68,2005-09,NA,NA,NA,NA
69,2005-10,NA,NA,NA,NA
70,2005-11,NA,NA,NA,NA
71,2005-12,NA,NA,NA,NA
72,2006-01,-0.161297699206844,-0.0967378738858271,0.109913571048426,0.0651972622777401
73,2006-02,-0.170271349010627,-0.0861564444569246,0.0810741609178873,0.0442590130403304
74,2006-03,-0.189651790725294,-0.0256794097803582,0.0578163546195447,0.0570569744704916
75,2006-04,-0.296944929524485,-0.230498127762147,-0.0856751110606006,-0.104727548956475
76,2006-05,-0.246062274640668,-0.156747876329545,-0.0550244517030396,0.0788609716815034
77,2006-06,-0.171801333932507,-0.217458197261735,-0.091438763791543,-0.00732294675625067
78,2006-07,-0.372944251397003,-0.151558274655666,-0.0562597796542958,-0.070505418880861
79,2006-08,-0.240277661591394,-0.211295531913818,-0.059958382366269,0.275603885101033
80,2006-09,-0.181427509595179,-0.205941858329294,-0.0811652200765773,0.0886899472135985
81,2006-10,-0.386414560288518,-0.22258984114604,-0.0907601767519205,0.152766935283891
82,2006-11,-0.370734881579498,-0.285287160700093,-0.178127952291718,0.00484799600369112
83,2006-12,-0.457568342639821,-0.308825631654001,-0.20016013071516,-0.00692841362792396
84,2007-01,-0.2813805026074,-0.194265808419029,-0.0605116272441588,0.124585482807658
85,2007-02,-0.383055493197691,-0.22983804054312,-0.104507757786924,0.237542329395128
86,2007-03,-0.334642035381363,-0.298473032570657,-0.186667522225602,0.292046137054821
87,2007-04,-0.39161684920702,-0.269685510367691,-0.0786333191583567,0.236313497152942
88,2007-05,-0.404395922497468,-0.312370656310888,-0.118172431620483,0.0646782414654814
89,2007-06,-0.411755607910863,-0.31759165018,-0.192576719298362,-0.0855811218015893
90,2007-07,-0.406943793248214,-0.291251350826559,-0.106865221780379,0.0732143268093688
91,2007-08,-0.462865363232029,-0.285258364160957,-0.151286760341306,-0.0275490615860042
92,2007-09,-0.620230098005247,-0.410469467829691,-0.21005093047584,-0.0675581084113418
93,2007-10,-0.475668174146985,-0.315888098324656,-0.201670566198054,-0.0649883928454158
94,2007-11,-0.586441554323028,-0.373683980232914,-0.250105353503705,-0.00683216583663981
95,2007-12,-0.548915337044085,-0.419008382556612,-0.264014918714757,-0.111399837390475
96,2008-01,-0.703512529059338,-0.452961691924888,-0.324211716870594,-0.353440330657411
97,2008-02,-0.575336305775701,-0.422070242072594,-0.215539376180669,-0.193956523161929
98,2008-03,-0.686022825589866,-0.483621553492783,-0.322874170658863,-0.33802847490374
99,2008-04,-0.638479998694083,-0.381293409902368,-0.290338538341802,-0.126740021940054
100,2008-05,-0.6878608821327,-0.48578280492134,-0.336189396900893,-0.332755680025295
101,2008-06,-0.669718539894861,-0.575566515269026,-0.407416353127681,-0.354905366451594
102,2008-07,-0.698432397001253,-0.571701722286554,-0.444054259165615,-0.348688548317183
103,2008-08,-0.757623926685147,-0.692562617416992,-0.517287181575122,-0.454419954842052
104,2008-09,-0.771027867228872,-0.553373614964469,-0.448449364279728,-0.393396579278105
105,2008-10,-0.703739703915745,-0.617670059586805,-0.520425907432594,-0.580591626112547
106,2008-11,-0.770158674507966,-0.653127507639134,-0.591466272972846,-0.642643336427597
107,2008-12,-0.757633219921341,-0.598579849799586,-0.469501557381308,-0.503239321084859
108,2009-01,-0.70683762003942,-0.648698563796986,-0.535989686120325,-0.380395268467728
109,2009-02,-0.730334122941251,-0.652595219805077,-0.639229522117706,-0.557821984510338
110,2009-03,-0.824148853366481,-0.641830145641681,-0.599052860718896,-0.412317775508734
111,2009-04,-0.590897530226042,-0.68301340849954,-0.622744155222276,-0.59942369250102
112,2009-05,-0.0930295482569563,-0.606710401927198,-0.628612678789886,-0.475444982337984
113,2009-06,0.069875079321611,-0.571347963774343,-0.522961308569197,-0.433052594239089
114,2009-07,1.25742042087151,-0.564311901184389,-0.540227663450389,-0.442749872093169
115,2009-08,-0.50594439813685,-0.513429414400161,-0.492806792525846,-0.473120153485053
116,2009-09,-0.389869884943612,-0.603823738541492,-0.500057226262412,-0.479082654245379
117,2009-10,-0.68388864245372,-0.615618315413262,-0.463012563435146,-0.27753077012668
118,2009-11,-0.60878639813119,-0.533852965468462,-0.394618968784436,-0.271168309948803
119,2009-12,-0.381166564220332,-0.421290057970651,-0.460610205739145,-0.208919703077169
120,2010-01,-0.257604215035015,-0.430648924584664,-0.457254202620772,-0.429621617741875
121,2010-02,-0.354173494502387,-0.505794306096436,-0.358871187738871,-0.154493383014895
122,2010-03,0.533478516666979,-0.365809054729615,-0.227240358212358,-0.368214615918831
123,2010-04,-0.570493320947393,-0.298992953522594,-0.251599943075872,-0.195370416400258
124,2010-05,-0.785769068546895,-0.4216194628115,-0.154878142490318,-0.296663609073392
125,2010-06,-0.772623484111322,-0.321464723713451,-0.21470187798265,-0.165267563884482
126,2010-07,-0.900180656014108,-0.133534110697999,-0.125841904195559,-0.0729439238027763
127,2010-08,-0.271241354418077,-0.172204494042554,-0.0999356538854079,-0.1052035018793
128,2010-09,-0.10507850536538,0.0778653393265953,-0.0696064745861886,-0.0105251590826856
129,2010-10,0.685210541004953,0.115344507979888,-0.0305772837322694,0.131506042740951
130,2010-11,0.216805073890087,0.1369251338185,0.249753567867282,0.110693900737907
131,2010-12,0.227078826605274,-0.0225459926293877,0.174304831568598,-0.0359276576715353
132,2011-01,-0.240606156532572,0.128896149735353,0.308218889320419,0.194838012389562
133,2011-02,0.245687519278799,0.0318973114004835,0.0490874417955545,-0.184471316045374
134,2011-03,-0.26823183968479,-0.130565262943219,0.0134796211968109,0.0659846526710297
135,2011-04,0.575315437832087,-0.149131554401092,0.0480475356192178,0.00954750804925908
136,2011-05,-0.014942921022755,-0.0730706394240214,-0.11160720992269,0.0759820271331337
137,2011-06,-0.220891635088321,-0.0135634045242451,0.0137091844195694,0.0938496255882191
138,2011-07,-0.108381795042725,-0.144511202522362,-0.0967369663987634,-0.164774687381591
139,2011-08,-0.297811487223007,0.0207343192753711,-0.0529751657349582,0.010084805716716
140,2011-09,-0.0788332687941753,-0.10855086691813,-0.0329697895032752,0.081377335261785
141,2011-10,-0.441829888095283,-0.108838981257848,-0.0226570067861017,-0.0267862105581168
142,2011-11,-0.204487309185884,-0.0695645925037066,-0.0808744410527229,0.124672292292449
143,2011-12,-0.447586044310034,-0.129083741966466,-0.0367741427395351,0.230122640298393
144,2012-01,-0.329669487388777,-0.191919681902555,-0.0954641097201946,0.242060075721858
145,2012-02,-0.602050797046258,0.0430896446111926,0.097508982974597,0.402184472080571
146,2012-03,-0.0687001858812555,0.0859501261067335,-0.0512948241204336,0.0365053725958195
147,2012-04,-0.367855011635223,-0.0567617536356783,-0.0221418540715768,0.113202213829948
148,2012-05,0.0741557282076954,-0.0430934246317102,0.0998003437226187,0.145279492428754
149,2012-06,0.204812955377929,0.421028372646285,0.131748452566281,0.122089701675616
150,2012-07,0.455032260800816,-0.0876809812738868,0.113149797157396,0.297513977829651
151,2012-08,3.42184931995664,-0.00847850933804706,0.13830589073159,0.28745911594157
152,2012-09,0.35020372450958,-0.175682246870426,0.129344502496187,0.14631331451882
153,2012-10,0.0163468780223297,0.216800370761674,0.0743614247627233,0.109349376833993
154,2012-11,0.282669501837503,0.0751312546534735,-0.0337076562684296,-0.0630340155278514
155,2012-12,0.154688653909309,0.21430761738866,0.0994984092747111,-0.00526652483226275
156,2013-01,0.721324974924774,0.293737522752696,0.092522033343406,0.0953709117411632
157,2013-02,0.515022260404581,0.0750225369753115,0.0946983469114615,0.0689455121858065
158,2013-03,0.210656149348859,0.0767577683453549,0.143486998332818,0.236283502017021
159,2013-04,0.58620551753625,0.346908239087179,0.294465496522346,0.484872236992679
160,2013-05,0.494526992898234,0.593870002211001,0.291621072448402,0.222340246730366
161,2013-06,-0.162261603779122,-0.0531835895579431,0.109123384186673,0.205341230693615
162,2013-07,0.545753373055616,0.417280880226852,0.317551966541806,0.556514199283278
163,2013-08,-0.667236736481664,0.499325803996116,0.393185965651038,0.529168090023267
164,2013-09,0.522778886275231,0.449318114511581,0.260431723737909,0.386931344131626
165,2013-10,0.953278001081283,0.34837527866833,0.490030645196726,0.397268445198522
166,2013-11,0.533336185203825,0.251322472611099,0.388727504025659,0.707528626912019
167,2013-12,0.866136821361284,0.189476775086211,0.181907627558601,0.240079974067153
168,2014-01,0.231535386248726,0.137122544646594,0.225279694475627,0.243176205188968
169,2014-02,0.882846543671955,0.134274517666283,0.124715741550925,0.170183178705492
170,2014-03,0.67899431569742,0.131074680411233,0.180762341024429,0.182117654371936
171,2014-04,0.133386226703391,0.240180595234308,0.165040971506923,0.0666299277131062
172,2014-05,0.511626070068845,0.169865617920802,0.17324398022693,0.349374253940619
173,2014-06,0.575228909034528,0.239453287325416,0.128837309492509,0.588353499125031
174,2014-07,-0.0707559896525881,0.177381341199352,0.284979857183645,0.0544039676800925
175,2014-08,0.537815628829029,0.114208916639519,0.125722502802757,-0.0218291957740995
176,2014-09,0.0571945252178367,0.376882621358629,0.355818135623269,0.234272469936936
177,2014-10,0.556218431861252,0.188124238342218,0.128617894953001,0.259105120048154
178,2014-11,0.294074418583279,0.295849499007206,0.213196211540704,0.15909256501527
179,2014-12,0.354768092048852,0.189350995753325,0.241999013405876,0.408382671508695
180,2015-01,0.940882786147992,0.272406855112757,0.23311385584495,0.283468144650269
181,2015-02,-0.0160073828806816,0.313412115519089,0.312805173116389,0.469836804775432
182,2015-03,-0.287964755961438,0.380269190398813,0.287659985215813,0.441587668435773
183,2015-04,-0.302024557231091,0.374838152041867,0.134642475079031,0.24868522000383
184,2015-05,0.395417118053188,0.172671314099459,0.106517613577536,0.328794058512349
185,2015-06,0.36208255152263,0.417473244341632,0.347811616732552,0.116205174892442
186,2015-07,0.650305232134606,0.374460564076667,0.195042030928358,0.452120656632025
187,2015-08,-0.194094352054228,0.105710805799376,0.160085838581623,0.296207144923301
188,2015-09,-0.148092817891435,0.301552147872305,0.0678182374261513,0.314664551957814
189,2015-10,0.0142390565968282,0.138067528558046,0.0961025330366649,0.127153690042386
190,2015-11,0.550512376395203,0.156014342862187,0.154282049457976,0.125355822854509
191,2015-12,-0.140755785456293,0.343581916807714,0.27857005244522,0.225734267833744
192,2016-01,-0.425123492198228,0.116550016308601,0.267568880224926,0.272013454893555
193,2016-02,0.438590237110593,0.429041700744664,0.283373897412961,0.148886381393042
194,2016-03,0.254326215432172,0.10644670695711,0.134017456031348,0.0827789231937954
195,2016-04,0.985088097041178,0.0303085733196142,0.205101566728126,0.152953277646874
196,2016-05,-0.39475641612153,0.0788320810290275,0.1633881442461,0.125023322131768
197,2016-06,0.304288084176839,0.0263455844154237,0.102730083312598,0.208035906974516
198,2016-07,-0.214748591484252,-0.0144825183226797,0.0298550720355224,-0.00954388292362118
199,2016-08,0.552284000461396,0.23394746484941,0.0257046529762395,0.11960483208367
200,2016-09,0.569572115071689,0.0152457793017939,0.15147562346228,0.0547648854350227
201,2016-10,-0.219621786164778,-0.053868907377681,0.0355242618437792,0.168378768697063
202,2016-11,-0.308915542935952,0.0530287714011306,0.0407429067216778,0.164835086348185
203,2016-12,0.105054277872943,-0.135179175595121,0.0471731421231225,0.0708348406696384
204,2017-01,0.854918184805822,0.247443129645542,0.0651099109046929,0.171797059420137
