month,date,low_yoy,moderate_yoy,middle_yoy,high_yoy
60,2005-01,NA,NA,NA,NA
61,2005-02,NA,NA,NA,NA
62,2005-03,NA,NA,NA,NA
63,2005-04,NA,NA,NA,NA
64,2005-05,NA,NA,NA,NA
65,2005-06,NA,NA,NA,NA
66,2005-07,NA,NA,NA,NA
67,2005-08,NA,NA,NA,NA
68,2005-09,NA,NA,NA,NA
69,2005-10,NA,NA,NA,NA
70,2005-11,NA,NA,NA,NA
71,2005-12,NA,NA,NA,NA
72,2006-01,-0.150874469418006,-0.0584962367678697,0.0384585650255334,0.0373978741861198
73,2006-02,-0.0162843724159586,0.0345581757494167,-0.0113437092331095,0.0267604188245771
74,2006-03,-0.127937965390583,-0.012057373259355,0.0172310655019792,0.0388706504391434
75,2006-04,-0.0250962077779554,-0.0780843198369866,-0.182936796309397,-0.131968454570557
76,2006-05,-0.275046965521296,-0.16668229773018,-0.0730484342349564,-0.064481604866084
77,2006-06,-0.195240798084248,-0.0968298517673301,-0.196077757739064,-0.0669102837120439
78,2006-07,0.26649161996528,-0.0758649880925016,-0.090349391591532,-0.124522622278995
79,2006-08,-0.126391764439197,0.0161591680929927,-0.127137145315833,-0.0939743833695701
80,2006-09,0.0794603161949921,0.0713474205303797,-0.124947810221776,-0.143643450393974
81,2006-10,-0.134349846294914,-0.0423452253880576,-0.147696898280135,-0.121467055498463
82,2006-11,-0.16876509774683,-0.100146783529486,-0.238149274873347,-0.210365942151327
83,2006-12,-0.270957292707637,-0.312465335606119,-0.242193321885553,-0.203151584095918
84,2007-01,-0.076864644110876,-0.134759436811063,-0.123118639882594,-0.0716180322297273
85,2007-02,-0.336063939862482,-0.149318413954524,-0.148800294622388,-0.0839095118893246
86,2007-03,0.185664189135379,-0.191179548271127,-0.185337075434177,-0.190992960540258
87,2007-04,-0.220525716533745,-0.140553332314663,-0.156710352508847,-0.100472076050033
88,2007-05,-0.224100829143448,-0.106732093410144,-0.186102587358502,-0.203289033253059
89,2007-06,0.0891212237880663,-0.29231282289045,-0.243277637766931,-0.230123829656486
90,2007-07,-0.360480149134442,-0.162084497466821,-0.215354247710329,-0.130479482787859
91,2007-08,-0.105023693857385,-0.354010808429282,-0.165011420364351,-0.178197232431812
92,2007-09,-0.376774233074916,-0.367342223926141,-0.316769423996176,-0.238246525584623
93,2007-10,-0.240490453788962,-0.356268114235671,-0.233706920397395,-0.206974937913677
94,2007-11,-0.140337170452161,-0.410776080389107,-0.280055263085553,-0.252924374428978
95,2007-12,-0.294835489854354,-0.266441434894892,-0.35484342436614,-0.300870253810873
96,2008-01,-0.478799420205782,-0.478402225479845,-0.424126287730346,-0.323602978783568
97,2008-02,-0.541330684895235,-0.397446933869222,-0.311098233475745,-0.256903776561092
98,2008-03,-0.59831255347951,-0.545022365093741,-0.396284655247814,-0.348480388697672
99,2008-04,-0.513932923635777,-0.456666898618335,-0.257670783527363,-0.293996489525648
100,2008-05,-0.514685937878163,-0.618744153036401,-0.398101550872542,-0.318524132461116
101,2008-06,-0.705861176686201,-0.562982527568336,-0.484059551344292,-0.419607965830719
102,2008-07,-0.69865634915269,-0.627236687506251,-0.488576676977502,-0.439033779064677
103,2008-08,-0.757506236080766,-0.671943967450732,-0.550058154951002,-0.552022879651057
104,2008-09,-0.556080286979961,-0.586730732285808,-0.478915034067926,-0.45707339203397
105,2008-10,-0.785432433162058,-0.709552266493055,-0.607280939840174,-0.505267599584969
106,2008-11,-0.91255955092445,-0.707249147662832,-0.637939160545225,-0.584815929540346
107,2008-12,-0.590022968736247,-0.707421991527952,-0.590436181161708,-0.436316672663152
108,2009-01,-0.725904613106728,-0.64473330001588,-0.530481882785991,-0.548798237683152
109,2009-02,-0.730384704271155,-0.732948337268913,-0.598993317278241,-0.628862761032112
110,2009-03,-0.770591725915898,-0.683364304909362,-0.641927099882244,-0.534470884671451
111,2009-04,-0.704598954484029,-0.489555956133319,-0.658378184216079,-0.644332349194674
112,2009-05,-0.691663526010843,-0.642166533899386,-0.627078698035554,-0.578549607771497
113,2009-06,0.23268423826277,-0.6419685514671,-0.50496601437777,-0.536026200357605
114,2009-07,-0.273862685765628,-0.643065538691432,-0.479534839873347,-0.556321135433917
115,2009-08,-0.719171560722152,-0.461380301972339,-0.494645614769849,-0.495274532531921
116,2009-09,-0.693884921839292,-0.57103594969068,-0.462081473393109,-0.559460968340447
117,2009-10,0.121444373381423,-0.46343247510837,-0.407507758724229,-0.52706303436528
118,2009-11,-0.491114519427403,-0.470231756501239,-0.371978910118858,-0.431883118482884
119,2009-12,-0.742461214667587,-0.272689990506422,-0.257445750582537,-0.484954120792473
120,2010-01,-0.841219016873769,-0.414397159401564,-0.329262288109594,-0.515307869782508
121,2010-02,0.163834439372435,-0.359583777986239,-0.364454322558762,-0.354533307659398
122,2010-03,0.25933407444815,-0.124516177131901,-0.109000312281567,-0.397977399945351
123,2010-04,-0.31030641290187,-0.547744261731331,-0.169587956249129,-0.262922926017766
124,2010-05,-0.281860077348834,-0.0276563978627031,-0.0965400481525619,-0.355490767190274
125,2010-06,-0.795868023262486,-0.0353630205084371,-0.217682995893055,-0.247096825305387
126,2010-07,-0.438887004408262,-0.017351367723438,-0.133655534787174,-0.0390705651908195
127,2010-08,1.01162636526279,-0.0659714631297752,-0.071082559571616,-0.102464082255252
128,2010-09,0.180729246843953,-0.123450068485439,0.000205734634150634,0.0793096900744321
129,2010-10,-0.454037958115183,0.127219094359889,0.143649388955198,0.0484349437432416
130,2010-11,1.88905026938743,0.33052552599999,0.349431378054556,0.162197191886243
131,2010-12,1.63554900979649,-0.0316023357761805,0.139615979739239,0.131547592298026
132,2011-01,2.08755371393493,0.00926357106844233,0.00874779932529024,0.566271740453778
133,2011-02,0.195541439443878,0.19913964410531,0.0103504977907904,0.00804113533251272
134,2011-03,0.108395572593844,0.108803438027084,-0.0397532427371562,0.102422494996181
135,2011-04,0.739352579677004,0.094692403155094,0.0640474535732818,0.0553755392753286
136,2011-05,0.0365701386649468,-0.176793130643858,-0.094118873156968,0.04204141714125
137,2011-06,0.457587241347161,0.225658253673593,0.116028506180886,0.0569868916907139
138,2011-07,0.54821177365186,0.0494249584033957,-0.10812701330721,-0.15505199498379
139,2011-08,-0.178068906484057,-0.251216726311449,-0.0800224008287949,0.0416156157792125
140,2011-09,-0.558091785677816,-0.0534075146967384,-0.0657658222185582,0.00425616363568881
141,2011-10,-0.338427280817269,-0.142980994508288,-0.043120222928108,-0.0347725724587103
142,2011-11,-0.237453502050679,-0.0310512964326871,-0.159467875455911,0.0291943838714903
143,2011-12,-0.277205918071224,0.0492643961231227,-0.0367634236190162,0.000156386958526156
144,2012-01,-0.420639709719909,0.585018133145434,0.0550728509236584,-0.154712349566193
145,2012-02,-0.121167418546366,-0.160381597865897,0.258941506435744,0.108101343875897
146,2012-03,-0.353034825870647,-0.0697311984084237,0.0918857191960656,-0.0540942269765988
147,2012-04,1.5450245398131,0.0686117913740412,0.013463468504423,-0.0575913256895381
148,2012-05,0.645317141218092,0.17790461758804,0.16555735716252,0.0130911216751917
149,2012-06,0.342112218982222,-0.206932255411159,0.143622799108705,0.257478923599039
150,2012-07,-0.363752863521408,0.0225559814131269,0.183321407417093,0.0764594204045037
151,2012-08,0.223236109187364,0.199078651868562,0.283057797691493,0.0858778052793217
152,2012-09,1.49647198633359,-0.0907587397129195,0.125241848511337,0.0513297776504043
153,2012-10,-0.0255022010391734,0.324952884238243,0.0519262113446002,0.124325503801396
154,2012-11,0.404990228013029,0.264557488115395,0.0674423544337324,-0.0920317933791815
155,2012-12,0.273380874204802,0.0369927724947174,0.0751032650806247,0.114803212576805
156,2013-01,1.14661466421182,-0.0723919429822159,0.0786339936988851,0.180237048227066
157,2013-02,-0.0553314347867501,0.503866374641636,-0.0372993639443333,0.13064030796598
158,2013-03,1.24555152260843,0.0795083133973422,0.10183515286723,0.178915968559118
159,2013-04,-0.706372746101364,0.186207362861143,0.24684677255912,0.489875373573897
160,2013-05,-0.0624885369108634,0.0506245843471764,0.199332392815586,0.46428801189971
161,2013-06,-0.0622410506872199,0.0821354133314605,0.141487261212181,0.0653401710442909
162,2013-07,1.59838211643615,0.228324834933388,0.182092927258839,0.536266641695425
163,2013-08,-0.466476016472313,0.507258811083876,0.300613534047822,0.485767387589588
164,2013-09,-0.0881001966909638,0.492151642572816,0.263031063351203,0.346847580049646
165,2013-10,3.03261436409693,0.287696627525835,0.321681498516156,0.50558094108019
166,2013-11,0.955649012825387,0.387488792946848,0.243352099409386,0.535349277694173
167,2013-12,0.0127993766503336,0.176052409556464,0.18068866621617,0.21619420510465
168,2014-01,0.826030029607556,-0.0488237343238065,0.145458083422807,0.271801475814124
169,2014-02,0.240028135679181,0.0301085084171751,0.216700415430281,0.117373841605898
170,2014-03,-0.340146306556673,0.184616849362336,0.186448231567102,0.184037571256955
171,2014-04,-0.0863400471143743,0.254330909438691,0.206583148959469,0.116905660352167
172,2014-05,0.889599716027695,0.369119401947508,0.202141204675744,0.194646257926459
173,2014-06,0.164736912123672,0.510981657965315,0.26734916270056,0.224577552472039
174,2014-07,-0.122837899229671,0.390575834278742,0.402951993009928,0.0863182731088696
175,2014-08,1.57644913949239,0.276992416912862,0.101345141157791,0.0604369412800549
176,2014-09,1.7246018504337,0.469186080296743,0.250837244095784,0.344708669133571
177,2014-10,-0.0822831862293066,0.213905760818191,0.265233127935169,0.114195470793013
178,2014-11,-0.266262652127834,-0.0978397515968349,0.374150950087718,0.188136474086953
179,2014-12,1.93221971300515,0.135152490290899,0.346816509582149,0.215593948360787
180,2015-01,-0.265344143945383,0.445958902815228,0.348871087573977,0.204725777849938
181,2015-02,0.119412272514143,0.707787872310455,0.1661058877312,0.410976755642478
182,2015-03,0.823689331513713,0.448505589838615,0.212310186501335,0.388099480924541
183,2015-04,1.28122779012763,0.242170850267948,0.147425010250128,0.228144304890831
184,2015-05,-0.0795107732144172,0.148880833383406,0.162301345264112,0.18730707481288
185,2015-06,0.859923986676172,0.249631330727398,0.232996835094279,0.335637362148333
186,2015-07,0.215460257068828,0.346138314140674,0.158754094896056,0.368003662074647
187,2015-08,0.838953765103475,-0.0345271623790238,0.131048429117629,0.218095404978589
188,2015-09,-0.118943197980822,0.293203848926947,0.180889231836345,0.141141202536111
189,2015-10,0.302818557583521,0.221838461458185,0.159267173684197,0.0830110241452251
190,2015-11,-0.220475127816867,0.0678306366152459,0.118733824973632,0.184742362315661
191,2015-12,-0.126668330814501,0.597930479263394,0.213720293979648,0.280857221847259
192,2016-01,0.757599519503487,0.306622446566574,0.306057027522585,0.184058450581103
193,2016-02,-0.0749824167191881,0.175340935741528,0.402514924601888,0.234180394166379
194,2016-03,-0.237457219371255,0.015565800388941,0.0878099008243149,0.144470528148236
195,2016-04,0.248339230880252,0.0285819445061195,0.113237427367143,0.193970477454261
196,2016-05,-0.124977968787105,0.267943501228587,0.211197931306612,0.0637514824272951
197,2016-06,-0.0434998685538788,0.250337554376916,0.110776383212773,0.10562485724279
198,2016-07,-0.0990449099015419,0.0885543064375462,-0.0186491581763076,0.0123867787109333
199,2016-08,-0.230929664188436,0.245716758967969,0.135271176360648,0.052932736430519
200,2016-09,0.556065244265813,-0.037941158796218,0.0991734398952442,0.116199471217642
201,2016-10,-0.269313518305909,0.0449502710747836,0.0155697994504038,0.0670796155226221
202,2016-11,0.482253936591711,0.312818151103081,0.0661282162641041,0.0150508709377188
203,2016-12,-0.62511351544478,0.0401086712373784,-0.0794859315327523,0.0817816179016184
204,2017-01,1.61657054441851,0.0365363496327236,0.014995527635125,0.0914197408561559
205,2017-02,0.29386223532565,0.0428662679697276,-0.0415498298197918,-0.0877687981779731
206,2017-03,0.828557217257551,0.244748411839695,0.211605516519389,0.0573508371897531
207,2017-04,0.591311527466506,0.145809724978825,0.0787825211849422,-0.00276091077613949
208,2017-05,0.274383930036195,0.0522598839098813,0.104775180297002,0.186539107208352
209,2017-06,0.118531308426637,0.0514332584775241,0.0231372366920166,-0.0309674772784958
210,2017-07,0.622870903248637,0.0162180112414123,0.0797767868576877,-0.0258924072917722
211,2017-08,0.413366762099224,-0.0283523064965288,0.0839416328140654,0.0944746566870243
212,2017-09,-0.464086840662358,0.224193619444419,-0.024990368730374,-0.0747521142534444
213,2017-10,0.320791464580874,0.0856479655161893,0.0155113922129588,0.0506064088825893
214,2017-11,0.825701251102598,0.124103658268478,0.0825262107251949,0.0983499920518804
215,2017-12,1.49546061662812,-0.118874855824756,0.110445395605295,-0.142998160840187
216,2018-01,-0.456813360754296,-0.0474165834105099,-0.0103557069090026,-0.0503332479933258
217,2018-02,0.326709279413083,-0.0666528886419345,0.0408297041650245,-0.0231328270709431
218,2018-03,-0.156262052776135,0.214544820951085,-0.0439301359169382,-0.0657163065055011
219,2018-04,-0.422875749823359,0.223319172322485,0.0636079958646163,-0.0195123921647805
220,2018-05,1.05616285288297,0.21039961421917,0.0624530560113106,-0.0952891579333736
221,2018-06,0.445152648347051,-0.0444538942285201,-0.0676296077441353,-0.112920262530793
222,2018-07,-0.179951265358655,0.0500200183801354,0.0106330309857618,-0.028051750749141
