month,date,vol,vol_unadj
60,2005-01,242002186031.597,196761502824
61,2005-02,245466683019.542,215667486132
62,2005-03,249391333496.301,280554378192
63,2005-04,237798783146.84,245770203528
64,2005-05,249350550521.683,269408141208
65,2005-06,275168142874.256,305152263588
66,2005-07,307148166680.572,305682507036
67,2005-08,314029949372.007,331522211520
68,2005-09,311030415929.67,294623540424
69,2005-10,297103398565.114,275135069556
70,2005-11,267809078267.023,254750693304
71,2005-12,234010631429.292,242707629624
72,2006-01,221503001150.55,194641074240
73,2006-02,224656833665.841,198581615196
74,2006-03,229483793984.706,260847131280
75,2006-04,238440547690.758,233698999776
76,2006-05,233688964440.274,261847965612
77,2006-06,238207015968.241,269956255404
78,2006-07,245281427745.786,233856736896
79,2006-08,254766601912.067,264680261976
80,2006-09,261926480835.021,237322395876
81,2006-10,256445039697.899,253335626448
82,2006-11,257481655512.246,240218610612
83,2006-12,249383108769.372,255472276512
84,2007-01,241356807340.025,223663325064
85,2007-02,228336528253.741,202854502092
86,2007-03,221664648241.481,238424124480
87,2007-04,216798449007.567,221947664688
88,2007-05,209063609704.044,233401148556
89,2007-06,199994239529.806,216599853816
90,2007-07,189433784900.253,188966780352
91,2007-08,172758093085.906,178678906536
92,2007-09,154147783956.435,131805627720
93,2007-10,146887158930.215,150490790568
94,2007-11,139062243020.845,135351087648
95,2007-12,140944594780.676,141374326152
96,2008-01,133006923727.517,125872307232
97,2008-02,190410062639.224,182121415548
98,2008-03,172108090984.548,173797579692
99,2008-04,153350963654.02,164421177024
100,2008-05,142478945060.003,151034550888
101,2008-06,126665332430.975,133753698312
102,2008-07,114202182114.793,115382960928
103,2008-08,110574477141.081,105507200352
104,2008-09,106413396815.009,99700520268
105,2008-10,104163148285.171,109182348600
106,2008-11,79731520427.4351,73032127152
107,2008-12,95868819903.1872,107144108592
108,2009-01,164519760367.264,151442723712
109,2009-02,195621390048.971,175057337508
110,2009-03,179702026959.935,190436034432
111,2009-04,195382508592.822,200421645312
112,2009-05,207838739235.375,211443199320
113,2009-06,189204518122.326,205886014608
114,2009-07,171032110886.864,173197364496
115,2009-08,141351154067.529,131018547552
116,2009-09,127007911334,122899601232
117,2009-10,139043045167.169,140983667160
118,2009-11,141589594664.247,138924686808
119,2009-12,126165963449.782,141593282664
120,2010-01,116583291989.134,105595703112
121,2010-02,105132461070.297,93707604528
122,2010-03,112670752039.571,120317644584
123,2010-04,116061072112.597,118831146552
124,2010-05,114720266093.201,110129775816
125,2010-06,129135114116.348,141246213816
126,2010-07,135642234882.397,131988908160
127,2010-08,166070615985.244,167331849768
128,2010-09,186754209873.893,180158508024
129,2010-10,182591667315.528,184751695536
130,2010-11,176427841537.511,184415282664
131,2010-12,161001441618.377,182395042464
132,2011-01,150359926727.883,128983106640
133,2011-02,113295530748.925,99311868984
134,2011-03,100264238909.108,104959566024
135,2011-04,95856456443.5494,92701833384
136,2011-05,95307206660.2616,95824542288
137,2011-06,103316737600.967,110727858936
138,2011-07,112683380146.227,110225459520
139,2011-08,116852368199.301,125317722192
140,2011-09,148851711163.853,150486135432
141,2011-10,163203732502.67,159973263840
142,2011-11,151470195404.542,159659811240
143,2011-12,146141455189.099,155033682360
144,2012-01,152145249120.454,134968725240
145,2012-02,170222478638.696,153355736352
146,2012-03,170232767407.16,169990398192
147,2012-04,167890104373.94,158675647704
148,2012-05,162672741223.167,168526233648
149,2012-06,163290692944.258,175922272296
150,2012-07,178412659782.796,185149702368
151,2012-08,192727362527.257,213807067056
152,2012-09,197979185823.928,184110814032
153,2012-10,200937630172.025,214346229024
154,2012-11,198657246123.253,204762065328
155,2012-12,213828409945.874,211299499776
156,2013-01,223862411475.92,196722199848
157,2013-02,210505260679.562,178005071400
158,2013-03,191963110065.496,190516848528
159,2013-04,193175124306.073,192283552584
160,2013-05,193309985440.25,205868324688
161,2013-06,184683281478.157,192212349216
162,2013-07,167584672588.225,183055858080
163,2013-08,147783883499.193,158538169128
164,2013-09,122776745572.952,119230469112
165,2013-10,109818555864.712,115210446408
166,2013-11,105069122475.472,100663997856
167,2013-12,103014033857.887,106046900952
168,2014-01,92505626586.3931,80103742536
169,2014-02,88464045026.2097,73926369840
170,2014-03,97313309673.5977,94593960936
171,2014-04,100592275329.067,102858765312
172,2014-05,107025933193.962,111187869456
173,2014-06,114440122652.948,126466164576
174,2014-07,118368611793.222,130204831632
175,2014-08,116077546726.928,122876383968
176,2014-09,118265029815.604,119292723456
177,2014-10,120312212558.908,126475939320
178,2014-11,132399884089.644,116569418904
179,2014-12,129740357468.653,135507485880
180,2015-01,132835078988.299,106997148648
181,2015-02,168671772718.016,139061791848
182,2015-03,174209257493.675,183732125904
183,2015-04,167731566199.743,170275881756
184,2015-05,167673865940.489,174354364896
185,2015-06,159148733428.128,185726552952
186,2015-07,152364303691.806,169472824008
187,2015-08,150698244564.849,153842342736
188,2015-09,147518917428.76,150107587200
189,2015-10,143172498923.008,143054735016
190,2015-11,134696838714.252,121394348664
191,2015-12,141835743134.399,145568986416
192,2016-01,139171376503.924,108869736671.303
193,2016-02,141731096978.681,120554535502.808
194,2016-03,158440580544.733,173482754026.113
195,2016-04,170866543367.419,172900374078.058
196,2016-05,173628704530.461,187806281250.926
197,2016-06,179521137695.204,206841486941.171
198,2016-07,182199407146.489,188433212433.824
199,2016-08,206920282541.162,231338317631.107
200,2016-09,252659882396.25,256950038548.681
201,2016-10,253869664488.17,242226579030.94
202,2016-11,241715384855.841,228955770927.201
