month,date,vol,vol_unadj,age_group
60,2005-01,112421874657.729,88635471816,Age 30-44
60,2005-01,11253684339.4691,10254022848,Age 65 and older
60,2005-01,26411832448.3227,17754498552,Younger than 30
60,2005-01,88383039640.8416,78578049168,Age 45-64
61,2005-02,10287483437.7093,9829016292,Age 65 and older
61,2005-02,115495216190.815,98204738448,Age 30-44
61,2005-02,27084401458.5004,20383435776,Younger than 30
61,2005-02,96780682129.0546,85608499584,Age 45-64
62,2005-03,10814967995.8798,13610984544,Age 65 and older
62,2005-03,115918482394.991,127074568980,Age 30-44
62,2005-03,27480280929.7228,28028489688,Younger than 30
62,2005-03,99096094849.6129,109389145956,Age 45-64
63,2005-04,108040072767.934,110615911692,Age 30-44
63,2005-04,26663601088.9437,27267862320,Younger than 30
63,2005-04,94530895252.1699,95275969620,Age 45-64
63,2005-04,9773008639.4462,11020381008,Age 65 and older
64,2005-05,111921848471.535,122249772000,Age 30-44
64,2005-05,11345653527.0445,12750386304,Age 65 and older
64,2005-05,26916704039.9985,29568869748,Younger than 30
64,2005-05,98618488973.2919,102801941220,Age 45-64
65,2005-06,107515417341.804,114194974080,Age 45-64
65,2005-06,11785389651.0228,12901892064,Age 65 and older
65,2005-06,122766983097.577,141651865884,Age 30-44
65,2005-06,28837914590.8824,33724558152,Younger than 30
66,2005-07,115484129528.629,112893955128,Age 45-64
66,2005-07,144297356912.201,143960527968,Age 30-44
66,2005-07,14631347098.5986,13820497800,Age 65 and older
66,2005-07,31405146926.3745,32866965012,Younger than 30
67,2005-08,124201999252.525,126922141056,Age 45-64
67,2005-08,138670356924.873,151085232936,Age 30-44
67,2005-08,14157193121.2715,14128184256,Age 65 and older
67,2005-08,31933199227.9048,36835899864,Younger than 30
68,2005-09,113942631440.726,110763685776,Age 45-64
68,2005-09,13731014146.4797,12580752072,Age 65 and older
68,2005-09,145475148826.114,136441510056,Age 30-44
68,2005-09,32000647371.6158,32619749760,Younger than 30
69,2005-10,108370724833.838,106389310740,Age 45-64
69,2005-10,129368924254.469,124252284324,Age 30-44
69,2005-10,13925024413.247,12328118400,Age 65 and older
69,2005-10,31027659251.6572,29998963116,Younger than 30
70,2005-11,100168056278.262,97740823800,Age 45-64
70,2005-11,119386365776.195,113965696176,Age 30-44
70,2005-11,12749917772.4181,11599293576,Age 65 and older
70,2005-11,29830990573.7536,29702652576,Younger than 30
71,2005-12,105395527695.014,108836093892,Age 30-44
71,2005-12,12105544933.0414,11072651256,Age 65 and older
71,2005-12,27208375864.9283,29078153592,Younger than 30
71,2005-12,88932694795.2935,91805295996,Age 45-64
72,2006-01,101678690677.589,83272783140,Age 30-44
72,2006-01,11685392695.262,11115292392,Age 65 and older
72,2006-01,27383289380.4156,19004084760,Younger than 30
72,2006-01,85568918813.8924,80002987668,Age 45-64
73,2006-02,101258592695.34,86283104748,Age 30-44
73,2006-02,11624393852.2889,11301781080,Age 65 and older
73,2006-02,26260633784.9329,19836591960,Younger than 30
73,2006-02,90419754653.6277,79664675688,Age 45-64
74,2006-03,104826046254.78,114275522208,Age 30-44
74,2006-03,11398062285.2264,14210713212,Age 65 and older
74,2006-03,26495484479.884,26964427692,Younger than 30
74,2006-03,93501637840.188,103623019800,Age 45-64
75,2006-04,101605765258.151,101160740724,Age 30-44
75,2006-04,11850685674.183,12651259200,Age 65 and older
75,2006-04,28498952917.2346,28201795248,Younger than 30
75,2006-04,93695450079.1352,90379221852,Age 45-64
76,2006-05,100514187976.905,113990393964,Age 30-44
76,2006-05,11244746041.8088,13004622912,Age 65 and older
76,2006-05,27708353593.9224,31490075064,Younger than 30
76,2006-05,93722278091.6712,101603826792,Age 45-64
77,2006-06,104836343133.882,120348249012,Age 30-44
77,2006-06,12577001388.428,13725348600,Age 65 and older
77,2006-06,27686083952.3513,32334897840,Younger than 30
77,2006-06,94348508833.1587,101618662536,Age 45-64
78,2006-07,103904873305.138,102782593056,Age 30-44
78,2006-07,13145798874.5763,12278035704,Age 65 and older
78,2006-07,27112379097.5,28242591504,Younger than 30
78,2006-07,94249812485.0228,89433693936,Age 45-64
79,2006-08,107871177911.93,116860175844,Age 30-44
79,2006-08,13378403667.0732,13216823592,Age 65 and older
79,2006-08,28279842381.5179,32363095512,Younger than 30
79,2006-08,99710137631.5828,100800851748,Age 45-64
80,2006-09,112623987629.348,101675600760,Age 30-44
80,2006-09,14195409000.9131,12593454960,Age 65 and older
80,2006-09,27260950324.1868,26961131544,Younger than 30
80,2006-09,99454065001.6999,94635754716,Age 45-64
81,2006-10,100076664145.891,101956730856,Age 45-64
81,2006-10,110656119875.129,110409010740,Age 30-44
81,2006-10,13830607284.1532,12664853496,Age 65 and older
81,2006-10,26634474282.1786,26860867020,Younger than 30
82,2006-11,106140933254.746,102940463088,Age 30-44
82,2006-11,14971207712.2779,13896506064,Age 65 and older
82,2006-11,27342491295.4953,27324253200,Younger than 30
82,2006-11,99058407776.1032,94957406724,Age 45-64
83,2006-12,111265709065.287,111993221688,Age 30-44
83,2006-12,14588199193.182,13266997728,Age 65 and older
83,2006-12,27335426339.1219,28486299432,Younger than 30
