month,date,vol,vol_unadj,income_level_group
60,2005-01,34681478444.7704,28731748032,Moderate
60,2005-01,6946047328.68392,5605698624,Low
60,2005-01,79842654510.0453,68354758944,Middle
60,2005-01,89245827676.594,74317048752,High
61,2005-02,35488848202.7319,30238150104,Moderate
61,2005-02,6725595996.31685,5716163016,Low
61,2005-02,86806766826.6924,77622831384,High
61,2005-02,89247014143.4594,81256830636,Middle
62,2005-03,34728845754.1132,38090238648,Moderate
62,2005-03,6992265906.44304,7876986864,Low
62,2005-03,88840959263.0713,97125904656,Middle
62,2005-03,98337236764.4305,108842243328,High
63,2005-04,33596927118.8109,34248083400,Moderate
63,2005-04,6728387513.67302,7070015976,Low
63,2005-04,85545092112.5527,90208581252,High
63,2005-04,85800178148.4539,84651616404,Middle
64,2005-05,34027507512.9052,36344008848,Moderate
64,2005-05,7170122019.02364,7798499328,Low
64,2005-05,88586815460.316,91586733732,Middle
64,2005-05,92308017727.4061,99991533492,High
65,2005-06,102558454573.452,112184303448,High
65,2005-06,37573920493.8317,42319737648,Moderate
65,2005-06,7763741556.60395,8344580904,Low
65,2005-06,96892380314.0128,104473805172,Middle
66,2005-07,104899085068.209,101818227624,Middle
66,2005-07,122614756543.876,118633174416,High
66,2005-07,41413212411.7763,40101612312,Moderate
66,2005-07,7853336736.0955,7914375588,Low
67,2005-08,111100725758.448,115741095936,Middle
67,2005-08,118570409267.466,122294603304,High
67,2005-08,44949088406.8117,46612832568,Moderate
67,2005-08,8071898697.50543,8063027304,Low
68,2005-09,105118847965.439,104265385776,Middle
68,2005-09,112786274436.454,108904858824,High
68,2005-09,40618134385.5352,40587968304,Moderate
68,2005-09,8215459875.37223,7898799504,Low
69,2005-10,105736726947.18,103095701052,High
69,2005-10,39288879814.6608,38604765864,Moderate
69,2005-10,7778576155.20948,7497687480,Low
69,2005-10,98840822614.763,97361938584,Middle
70,2005-11,38350208089.7687,37166043816,Moderate
70,2005-11,7431073988.04499,7253240160,Low
70,2005-11,91340012200.2813,89188876776,Middle
70,2005-11,98850434589.5513,92580095712,High
71,2005-12,35484302974.0368,36456924336,Moderate
71,2005-12,7238195640.29684,7773391584,Low
71,2005-12,82797777809.2581,84351534408,Middle
71,2005-12,85458732411.4602,87437881944,High
72,2006-01,35032475229.8856,30157951632,Moderate
72,2006-01,7085591726.31804,5848873776,Low
72,2006-01,78799594624.8362,70415827404,Middle
72,2006-01,80652356785.3137,68754510996,High
73,2006-02,34369218709.4014,29407289856,Moderate
73,2006-02,7016546585.49988,6001622520,Low
73,2006-02,78969089740.9437,71403044844,Middle
73,2006-02,79930519959.4368,71547034512,High
74,2006-03,36400009124.2746,39948889944,Moderate
74,2006-03,6791866196.11036,7650389304,Low
74,2006-03,81740416571.5261,89937222468,Middle
74,2006-03,84663943868.56,94698158136,High
75,2006-04,35913795243.7878,35001627672,Moderate
75,2006-04,7037478727.94771,7168867608,Low
75,2006-04,81890874734.0832,78837309276,Middle
75,2006-04,82859776077.7707,85079938860,High
76,2006-05,34895729192.4266,38951909496,Moderate
76,2006-05,6979548316.84145,7852352952,Low
76,2006-05,82343393384.2224,92854065744,High
76,2006-05,84651476117.5725,89854668900,Middle
77,2006-06,35962375252.4504,40375217640,Moderate
77,2006-06,6932752036.05966,7458028560,Low
77,2006-06,84960707367.9942,94325695260,High
77,2006-06,85707321187.1044,92842647120,Middle
78,2006-07,34608665378.7932,33353589096,Moderate
78,2006-07,7085365296.32255,7099025616,Low
78,2006-07,84522340839.5592,80967070848,Middle
78,2006-07,84943395288.22,80244494640,High
79,2006-08,37927012071.8998,39362743584,Moderate
79,2006-08,87270898899.3577,90695629872,High
79,2006-08,8799912998.81042,8780280912,Low
79,2006-08,88317692448.2319,92517073344,Middle
80,2006-09,38154556070.2539,36632207748,Moderate
80,2006-09,7722303547.52433,7195060728,Low
80,2006-09,86392795565.6395,82839974880,Middle
80,2006-09,90556317049.4098,83446207344,High
81,2006-10,35895237544.6245,36932067936,Moderate
81,2006-10,7057452759.49152,7049945304,Low
81,2006-10,87737329581.5413,88568536584,Middle
81,2006-10,92992759102.2172,93013637664,High
82,2006-11,35838963307.8297,34810773876,Moderate
82,2006-11,7674665599.08136,7510860504,Low
82,2006-11,88156238528.3082,86412009168,Middle
82,2006-11,91414844342.7166,85950384312,High
83,2006-12,35593171852.946,35295064188,Moderate
83,2006-12,6859296625.02199,7189843248,Low
83,2006-12,88897329982.9683,88240118256,Middle
83,2006-12,98971668443.2629,98866159644,High
84,2007-01,36467063286.1274,32678402256,Moderate
84,2007-01,6451599668.74257,5422441368,Low
84,2007-01,83456413314.227,78894565980,Middle
84,2007-01,93384526935.5159,85285935612,High
85,2007-02,31068923662.7177,26640730104,Moderate
85,2007-02,5978516303.12837,5142744240,Low
85,2007-02,78012736656.6698,70978605780,Middle
85,2007-02,85550915235.4687,77945446152,High
86,2007-03,27186792917.8831,28529210304,Moderate
86,2007-03,5609840117.14585,6113767776,Low
86,2007-03,76560193574.2582,81994169088,Middle
86,2007-03,86497152587.4744,93089548344,High
87,2007-04,27753083331.7987,27879144360,Moderate
87,2007-04,5237274900.93808,5443343424,Low
87,2007-04,74105963198.5605,73752435144,Middle
87,2007-04,79844627035.7024,84185807664,High
88,2007-05,25960055363.9654,29104862568,Moderate
88,2007-05,4605156402.05378,5212036488,Low
88,2007-05,72656528325.1238,77458898268,Middle
88,2007-05,76537245117.2142,86808139680,High
89,2007-06,23927136633.0574,25517388984,Moderate
89,2007-06,5194697256.05421,5452159152,Low
89,2007-06,68358794477.432,72155863608,Middle
89,2007-06,73125480903.3552,78714014904,High
90,2007-07,22699250991.5402,22579155912,Moderate
90,2007-07,4187783619.96891,4273786224,Low
90,2007-07,62502690343.4373,60232626696,Middle
90,2007-07,71386120457.452,68325454056,High
91,2007-08,19377606996.6808,20246773200,Moderate
91,2007-08,3498675462.79819,3474134112,Low
91,2007-08,56423195959.0713,60204832872,Middle
91,2007-08,60352427753.5697,63469010808,High
92,2007-09,17096095624.4317,15848019696,Moderate
92,2007-09,3089015379.4087,2812033776,Low
92,2007-09,50820972531.442,44617208376,Middle
92,2007-09,56844221780.3729,46827385824,High
93,2007-10,16816907442.9997,18224417616,Moderate
93,2007-10,2925663348.26576,3046671984,Low
93,2007-10,47164120679.092,50648555328,Middle
93,2007-10,53059554051.7705,56237922624,High
94,2007-11,16683087758.7542,16352798016,Moderate
94,2007-11,2671812590.36266,2643238440,Low
94,2007-11,47156915773.1072,46450922268,Middle
94,2007-11,53345335576.0222,49611166308,High
95,2007-12,16103386026.4738,16137897888,Moderate
95,2007-12,2946019402.96116,3106462200,Low
95,2007-12,48626063891.3023,48538777128,Middle
95,2007-12,53353420119.7105,54826244496,High
96,2008-01,15178115145.9464,13631798376,Moderate
96,2008-01,2795473374.1721,2326327560,Low
96,2008-01,47700878224.9367,45006689280,Middle
96,2008-01,55300937839.4538,49197643824,High
97,2008-02,18828268913.8118,16884102192,Moderate
97,2008-02,2687335213.12159,2408633016,Low
97,2008-02,67285333304.1552,64027321428,Middle
97,2008-02,85538241188.6114,79997676240,High
98,2008-03,16356187182.5545,16212181332,Moderate
98,2008-03,2736104464.34206,2868298608,Low
98,2008-03,59942904040.0912,61968700560,Middle
98,2008-03,68377210703.3458,70534138248,High
99,2008-04,14950235081.9221,15353971296,Moderate
99,2008-04,2727875636.19709,2847314208,Low
99,2008-04,54580021210.6012,56498260152,Middle
99,2008-04,60863749699.4108,66073158480,High
100,2008-05,13828272442.3597,14871248328,Moderate
100,2008-05,2392017264.71105,2642972376,Low
100,2008-05,46795599292.8232,48420116784,Middle
100,2008-05,53732703036.8316,60123426024,High
101,2008-06,12532185662.4141,13157196168,Moderate
101,2008-06,2089147675.99154,2209600992,Low
101,2008-06,39252710986.599,41707600248,Middle
101,2008-06,46126732729.7055,50016396336,High
102,2008-07,10791906569.4023,11192610528,Moderate
102,2008-07,1913375609.27596,1995821400,Low
102,2008-07,35002505754.0736,34492319904,Middle
102,2008-07,40456262101.8936,39828177840,High
103,2008-08,10366924604.4037,10070664432,Moderate
103,2008-08,1839951116.698,1742760552,Low
103,2008-08,33227314499.9112,32104564560,Middle
103,2008-08,37705204717.5265,36063947472,High
104,2008-09,1702106683.30833,1646240544,Low
104,2008-09,33880359983.8849,32415745860,Middle
104,2008-09,37899344981.0728,33176689104,High
104,2008-09,9875344745.93844,10040412000,Moderate
105,2008-10,1772426995.89471,1884851496,Low
105,2008-10,31945204991.9847,36090373632,Middle
105,2008-10,35055827766.2439,39487102968,High
105,2008-10,9899904814.94961,10921893888,Moderate
106,2008-11,1302691620.66911,1223271024,Low
106,2008-11,26907375129.5035,23330683704,Middle
106,2008-11,30859864360.4358,25077227160,High
106,2008-11,8579517535.42467,7872548184,Moderate
107,2008-12,1487459472.22287,1671068880,Low
107,2008-12,30239053066.9856,35279059704,Middle
107,2008-12,34958592417.0222,42824939832,High
107,2008-12,8952325827.47952,9838162752,Moderate
108,2009-01,13093096843.4355,11266020528,Moderate
108,2009-01,2214685427.66811,1792721592,Low
108,2009-01,56137551089.4448,52541509656,Middle
108,2009-01,79119978190.9749,72008027880,High
109,2009-02,14117937306.3159,11971123440,Moderate
109,2009-02,2053944804.4744,1738427472,Low
109,2009-02,66875472867.6911,60257169336,Middle
109,2009-02,93357661915.2372,85690295232,High
110,2009-03,13739448146.0136,13938293760,Moderate
110,2009-03,1938499978.37917,2049149928,Low
110,2009-03,61981244780.2172,64691606808,Middle
110,2009-03,87937852291.1894,90411577920,High
111,2009-04,13659632407.3626,13744042848,Moderate
111,2009-04,1704776017.64943,1746292080,Low
111,2009-04,64514047542.576,66001363344,Middle
111,2009-04,94262281225.9909,96824863656,High
112,2009-05,14080030147.8368,14367655728,Moderate
112,2009-05,2105780123.25172,2251486632,Low
