month,date,vol,vol_unadj,credit_score_group
60,2005-01,114904570420.715,88724254128,Super-prime
60,2005-01,13506635538.4683,11661415248,Deep subprime
60,2005-01,18584227147.1458,15507608160,Subprime
60,2005-01,33495007320.2292,27695142120,Near-prime
60,2005-01,63982663918.8799,50713703520,Prime
61,2005-02,112322202018.555,95530066596,Super-prime
61,2005-02,14139473532.4731,12696886296,Deep subprime
61,2005-02,19226721940.7074,16270903248,Subprime
61,2005-02,33152482866.8068,28826754576,Near-prime
61,2005-02,68039784497.5809,59463260328,Prime
62,2005-03,113267736703.86,128863954032,Super-prime
62,2005-03,14924762309.9813,16300531656,Deep subprime
62,2005-03,19571052420.0247,20744753400,Subprime
62,2005-03,34153581917.5017,36988410072,Near-prime
62,2005-03,65928221570.7251,73351045752,Prime
63,2005-04,108596566490.568,114102459696,Super-prime
63,2005-04,14665028417.1084,13363064424,Deep subprime
63,2005-04,18368442781.6106,17658673848,Subprime
63,2005-04,32583192384.9338,31850599680,Near-prime
63,2005-04,62875553159.6106,65566116048,Prime
64,2005-05,116740889084.945,128408419260,Super-prime
64,2005-05,13655904984.2375,13591578216,Deep subprime
64,2005-05,18719515029.0092,18433740912,Subprime
64,2005-05,32922097699.8817,35055317424,Near-prime
64,2005-05,65437023112.8914,70255692804,Prime
65,2005-06,128771654007.508,147425256084,Super-prime
65,2005-06,14182351840.7342,15724140744,Deep subprime
65,2005-06,18976044203.6279,20818436580,Subprime
65,2005-06,33274178143.3638,36833628528,Near-prime
65,2005-06,70673265502.5002,79888518996,Prime
66,2005-07,14755371852.4169,13940152992,Deep subprime
66,2005-07,147607511984.342,149776627704,Super-prime
66,2005-07,20599117636.5902,19499716320,Subprime
66,2005-07,37804136277.1005,38037686076,Near-prime
66,2005-07,81484785592.3121,80679853200,Prime
67,2005-08,14901412283.2911,15662306496,Deep subprime
67,2005-08,149528973631.123,160085173944,Super-prime
67,2005-08,21029792270.4206,23358328464,Subprime
67,2005-08,38134465693.7187,41401619064,Near-prime
67,2005-08,81215099927.7379,86285609736,Prime
68,2005-09,14227923670.3924,14681876784,Deep subprime
68,2005-09,144240006089.241,141679359936,Super-prime
68,2005-09,20014472153.6459,21372164832,Subprime
68,2005-09,37610706110.4727,37263898944,Near-prime
68,2005-09,77008982852.3591,75363386832,Prime
69,2005-10,135894238917.312,126387169212,Super-prime
69,2005-10,14374128672.0866,14661609624,Deep subprime
69,2005-10,19634249221.1482,19698208608,Subprime
69,2005-10,37114573326.9799,36789609720,Near-prime
69,2005-10,75327535053.0545,73963377192,Prime
70,2005-11,126618255575.583,116320953984,Super-prime
70,2005-11,13667187141.3013,13447209672,Deep subprime
70,2005-11,18610728959.8554,18400495752,Subprime
70,2005-11,34712505625.4454,33295583016,Near-prime
70,2005-11,73862782191.2195,69732068472,Prime
71,2005-12,110804857029.167,107345794452,Super-prime
71,2005-12,12840577753.7696,13755452628,Deep subprime
71,2005-12,17955484610.9035,19248220896,Subprime
71,2005-12,32435850487.0086,32913662688,Near-prime
71,2005-12,66450443539.2404,65537926800,Prime
72,2006-01,108079244187.164,86056973244,Super-prime
72,2006-01,13198383217.5533,11867492880,Deep subprime
72,2006-01,18804901850.5915,16301863584,Subprime
72,2006-01,31935079508.7844,27126188784,Near-prime
72,2006-01,61720233566.0471,51128818644,Prime
73,2006-02,105759302912.853,90335344512,Super-prime
73,2006-02,12175372556.7185,10900181136,Deep subprime
73,2006-02,17551789377.7408,14939468616,Subprime
73,2006-02,30685136255.7611,26799723660,Near-prime
73,2006-02,60399693682.391,53008079376,Prime
74,2006-03,102574340826.704,117901419168,Super-prime
74,2006-03,13091202047.3562,14328563064,Deep subprime
74,2006-03,17967232741.0717,19226922624,Subprime
74,2006-03,33188965785.7932,35865322236,Near-prime
74,2006-03,62248544802.816,69053754228,Prime
75,2006-04,104099026949.145,108246723048,Super-prime
75,2006-04,13940478006.0769,12102280320,Deep subprime
75,2006-04,19091937796.1431,17571924684,Subprime
75,2006-04,32713105163.8115,31236627852,Near-prime
75,2006-04,61631648389.8226,61937180616,Prime
76,2006-05,103733875426.883,120615114612,Super-prime
76,2006-05,14328045266.3237,15047900136,Deep subprime
76,2006-05,19502487395.4971,20195036256,Subprime
76,2006-05,31708317947.6445,35094539196,Near-prime
76,2006-05,59769576156.3063,67286331588,Prime
77,2006-06,107537102235.399,125687709300,Super-prime
77,2006-06,12773523294.8805,14364041592,Deep subprime
77,2006-06,18123326270.4418,19766442672,Subprime
77,2006-06,32786412333.0853,36256817688,Near-prime
77,2006-06,62115144594.4949,70044450792,Prime
78,2006-07,106265705648.663,106303125288,Super-prime
78,2006-07,13917906567.2358,13160547504,Deep subprime
78,2006-07,18777854360.0048,17730029328,Subprime
78,2006-07,32233662722.609,32227090056,Near-prime
78,2006-07,62615662338.7639,61926079464,Prime
79,2006-08,106825602813.588,115289961984,Super-prime
79,2006-08,15080281046.6698,15720612648,Deep subprime
79,2006-08,19343486604.7783,21244316184,Subprime
79,2006-08,34686196742.7735,37346700768,Near-prime
79,2006-08,67651874480.0796,71412300624,Prime
80,2006-09,114274097634.478,105945853032,Super-prime
80,2006-09,14787891536.3147,14508273576,Deep subprime
80,2006-09,18034948994.0854,18464079048,Subprime
80,2006-09,34243494683.2335,32811588684,Near-prime
80,2006-09,66983668584.5751,62673045288,Prime
81,2006-10,119237559623.674,112929018096,Super-prime
81,2006-10,14169262807.5475,15104445912,Deep subprime
81,2006-10,19467636898.2792,20461563744,Subprime
81,2006-10,32722410990.7444,33890538384,Near-prime
81,2006-10,66642284538.8652,68204152824,Prime
82,2006-11,120851689970.531,110808617640,Super-prime
82,2006-11,13496771424.9534,13270608480,Deep subprime
82,2006-11,17808538583.6281,17775225156,Subprime
82,2006-11,33328434726.236,31965730032,Near-prime
82,2006-11,67517332319.6687,63853223760,Prime
83,2006-12,12576658185.5431,12819662136,Deep subprime
83,2006-12,128303179341.684,121640810892,Super-prime
83,2006-12,18687435445.7181,19037893800,Subprime
83,2006-12,32729641211.8454,32041014072,Near-prime
83,2006-12,70940250520.2584,67031303196,Prime
84,2007-01,121667800000.131,105402463296,Super-prime
84,2007-01,12387165482.9884,11629374600,Deep subprime
84,2007-01,17049976773.612,15260679312,Subprime
84,2007-01,34035380065.7653,29521159368,Near-prime
84,2007-01,68645046149.0763,59811691032,Prime
85,2007-02,10683983744.4439,9510686952,Deep subprime
85,2007-02,111058748741.818,98504139660,Super-prime
85,2007-02,14906147767.2377,12686448120,Subprime
85,2007-02,29513927659.3305,25741295256,Near-prime
85,2007-02,61372551035.3043,53818159248,Prime
86,2007-03,115215488731.298,126080989584,Super-prime
86,2007-03,12600148891.7308,13010663520,Subprime
86,2007-03,24562830333.877,25504768320,Near-prime
86,2007-03,59146465603.001,62688138120,Prime
86,2007-03,8152755769.72229,8505629136,Deep subprime
87,2007-04,110189232761.455,119954849160,Super-prime
87,2007-04,11968333413.2179,11582817024,Subprime
87,2007-04,23649368056.698,23734195968,Near-prime
87,2007-04,55168541458.9363,58102734000,Prime
87,2007-04,7133999094.7097,6521328504,Deep subprime
88,2007-05,10585718120.6185,11145005448,Subprime
88,2007-05,108113938113.038,126309962532,Super-prime
88,2007-05,22966590337.574,25647159288,Near-prime
88,2007-05,53651073978.5552,60651377784,Prime
88,2007-05,6891600531.62969,7197979824,Deep subprime
89,2007-06,102983957843.066,116142848280,Super-prime
89,2007-06,11128920620.0811,11591359944,Subprime
89,2007-06,22283190393.8681,24074528136,Near-prime
89,2007-06,50786054627.8917,54919026336,Prime
89,2007-06,6586807261.67494,7234031880,Deep subprime
90,2007-07,100602038303.276,101106402000,Super-prime
90,2007-07,11453708545.6831,11232681744,Subprime
90,2007-07,20249052993.9152,20683785672,Near-prime
90,2007-07,45726576421.2202,46958261736,Prime
90,2007-07,6906181549.6722,6848030904,Deep subprime
91,2007-08,17292725861.7291,18312032616,Near-prime
91,2007-08,40534357698.447,42309498504,Prime
91,2007-08,5126345456.1354,5342881104,Deep subprime
91,2007-08,8551089466.81622,9193420464,Subprime
91,2007-08,95860917431.7717,101345882040,Super-prime
92,2007-09,15584852944.7225,14439131640,Near-prime
92,2007-09,34009123414.2729,30522363600,Prime
92,2007-09,4234104790.33547,3954278520,Deep subprime
92,2007-09,7095521247.61395,6974870760,Subprime
92,2007-09,89241567786.6911,74140626648,Super-prime
