month,date,tightness_index,unadjusted_credit_tightness_index
108,2009-01,99.4898139313586,100
109,2009-02,100.153426404166,101.02
110,2009-03,99.6265121361784,99.52
111,2009-04,100.697217772705,100.64
112,2009-05,100.90931857715,100.72
113,2009-06,100.697540203044,100.22
114,2009-07,98.915964117438,98.42
115,2009-08,98.707081072794,98.35
116,2009-09,98.7522961480777,98.54
117,2009-10,98.565635435248,98.48
118,2009-11,99.9904212365328,100.86
119,2009-12,100.784399687366,100.49
120,2010-01,99.1359840264323,99.66
121,2010-02,97.1550289411206,98.01
122,2010-03,97.1962546284176,97.2
123,2010-04,97.4673775570824,97.39
124,2010-05,99.6656753080563,99.42
125,2010-06,101.405866300127,100.88
126,2010-07,101.223599792079,100.66
127,2010-08,100.909935681729,100.56
128,2010-09,101.185257532703,100.97
129,2010-10,100.826177577749,100.74
130,2010-11,101.151273951845,102.07
131,2010-12,101.677409937766,101.37
132,2011-01,101.231668285692,101.83
133,2011-02,101.318489084202,102.22
134,2011-03,101.230090851416,101.42
135,2011-04,101.073439561359,100.92
136,2011-05,100.670011115742,100.27
137,2011-06,100.62287174085,99.97
138,2011-07,100.85186151056,100.22
139,2011-08,100.700733389237,100.43
140,2011-09,100.439575820902,100.29
141,2011-10,101.000858352316,100.95
142,2011-11,99.901565843438,100.86
143,2011-12,99.8471349640193,99.56
144,2012-01,100.547620245623,101.16
145,2012-02,101.07068932939,101.97
146,2012-03,101.922421078361,102.3
147,2012-04,101.628743259806,101.38
148,2012-05,101.582015653726,101.01
149,2012-06,101.197185392842,100.44
150,2012-07,101.729223479327,100.92
151,2012-08,101.527315221725,101.32
152,2012-09,101.080070870636,101.02
153,2012-10,100.887568606166,100.96
154,2012-11,99.2307994187972,100.26
155,2012-12,100.577742684322,100.37
156,2013-01,100.93327565195,101.52
157,2013-02,100.751471455035,101.6
158,2013-03,100.806783752694,101.33
159,2013-04,100.42583190049,100.05
160,2013-05,100.268071580831,99.56
161,2013-06,100.462508984862,99.63
162,2013-07,99.9209642880237,98.97
163,2013-08,100.052579406001,99.91
164,2013-09,100.181818473339,100.22
165,2013-10,100.321316018246,100.51
166,2013-11,100.825383964883,101.96
167,2013-12,100.269778190916,100.23
168,2014-01,100.86529049472,101.37
169,2014-02,100.59883502627,101.36
170,2014-03,100.217915164473,100.77
171,2014-04,100.333282252647,99.84
172,2014-05,99.993752256116,99.23
173,2014-06,99.8100864728101,99.02
174,2014-07,99.7497922404393,98.61
175,2014-08,100.106039322706,99.97
176,2014-09,100.111728943062,100.21
177,2014-10,99.2742112165727,99.58
178,2014-11,99.974130914988,101.16
179,2014-12,99.9288762277341,100.13
180,2015-01,98.5070683370018,98.94
181,2015-02,98.5039921202045,99.13
182,2015-03,97.7464833682695,98.21
183,2015-04,97.8837961912125,97.3
184,2015-05,99.5234527747001,98.76
185,2015-06,99.032813793589,98.33
186,2015-07,99.0280563057349,97.81
187,2015-08,99.3644580055004,99.24
188,2015-09,99.858982271567,99.96
189,2015-10,100.272048782354,100.67
190,2015-11,100.937542761961,102.09
191,2015-12,100.587207077616,101.05
192,2016-01,99.9824499994494,100.36
193,2016-02,100.130120602986,100.65
194,2016-03,100.493057099824,100.85
195,2016-04,99.8971269994163,99.26
196,2016-05,100.015865037474,99.29
197,2016-06,99.9820170330938,99.39
198,2016-07,100.060096059762,98.82
199,2016-08,99.5743299986396,99.44
200,2016-09,99.4341257067152,99.47
201,2016-10,99.3973084688244,99.9
202,2016-11,99.4461240343351,100.42
203,2016-12,99.202571724317,99.86
204,2017-01,99.3145987893483,99.64
205,2017-02,99.1781702246704,99.61
206,2017-03,99.1812958904801,99.45
207,2017-04,99.2127779349376,98.59
208,2017-05,99.2171648283234,98.56
209,2017-06,99.0455415713572,98.56
210,2017-07,99.0867767487219,97.92
211,2017-08,99.4271720743051,99.28
212,2017-09,99.3888939314107,99.31
213,2017-10,98.943752439549,99.51
214,2017-11,98.9661722502596,99.76
215,2017-12,99.5450221307619,100.31
216,2018-01,98.8794002215392,99.2
217,2018-02,98.7006199829516,99.09
218,2018-03,98.3162191247854,98.53
219,2018-04,98.404440568663,97.83
220,2018-05,98.2711893775694,97.68
221,2018-06,98.3579351379537,97.95
222,2018-07,97.7566994343416,96.66
223,2018-08,97.7410893853405,97.58
224,2018-09,97.3584943394236,97.19
225,2018-10,98.0909414137643,98.67
226,2018-11,97.556755656032,98.21
