month,date,num,num_unadj
60,2005-01,1286147.78466097,1017936
61,2005-02,1279955.14044725,1095816
62,2005-03,1279333.41623233,1416168
63,2005-04,1213931.44494022,1263120
64,2005-05,1237824.67744954,1348308
65,2005-06,1319434.46083841,1496796
66,2005-07,1470590.69503262,1470672
67,2005-08,1490511.1354431,1623636
68,2005-09,1470161.19257394,1432776
69,2005-10,1382593.51715647,1332420
70,2005-11,1292452.72849223,1224900
71,2005-12,1195350.11133117,1175568
72,2006-01,1151814.71990823,946500
73,2006-02,1131501.77794959,969804
74,2006-03,1127919.4226114,1248036
75,2006-04,1104255.69588915,1112772
76,2006-05,1122075.52587161,1265868
77,2006-06,1134089.39719427,1285860
78,2006-07,1121312.15826918,1115424
79,2006-08,1169415.39520665,1262040
80,2006-09,1199230.3424343,1123452
81,2006-10,1174343.62545549,1178988
82,2006-11,1151922.32431658,1104180
83,2006-12,1168327.47621191,1118628
84,2007-01,1152719.65916628,990204
85,2007-02,1070256.88158327,914340
86,2007-03,1006824.80883651,1069860
87,2007-04,972356.566113368,1016976
88,2007-05,956524.268247047,1071204
89,2007-06,915939.745447321,997428
90,2007-07,876211.929953649,892824
91,2007-08,815126.778976103,867396
92,2007-09,729588.637073236,659340
93,2007-10,702052.715248793,740052
94,2007-11,686321.360017916,673116
95,2007-12,692188.905768367,675672
96,2008-01,703490.907578278,615900
97,2008-02,959576.560495092,849888
98,2008-03,813381.051177656,821808
99,2008-04,758915.066339264,814644
100,2008-05,681501.026881435,723720
101,2008-06,613330.800776626,661356
102,2008-07,569570.609770975,596604
103,2008-08,556034.060513416,544344
104,2008-09,537156.730642535,525600
105,2008-10,516328.469370739,555072
106,2008-11,404790.020729966,381816
107,2008-12,494731.927609662,528696
108,2009-01,838670.692349432,721584
109,2009-02,1007636.72828946,846840
110,2009-03,898546.018266932,922416
111,2009-04,915086.230293331,964728
112,2009-05,1021650.32285301,1019328
113,2009-06,915804.621405359,1006416
114,2009-07,815869.9365487,849312
115,2009-08,674750.72899424,659640
116,2009-09,626341.423904871,625680
117,2009-10,659574.701192223,698796
118,2009-11,689655.25354102,692208
119,2009-12,622207.50367592,675792
120,2010-01,596712.245033098,502968
121,2010-02,546833.806886589,455952
122,2010-03,576189.146027575,598776
123,2010-04,590002.018805293,604848
124,2010-05,575753.898406695,560304
125,2010-06,631734.488296221,687552
126,2010-07,610264.711585806,617520
127,2010-08,760199.336913589,778272
128,2010-09,825870.678552079,841272
129,2010-10,836732.555974835,867288
130,2010-11,817979.700558658,862728
131,2010-12,776164.512395489,846600
132,2011-01,718979.090493464,606672
133,2011-02,587170.180946266,485712
134,2011-03,511145.889438204,523392
135,2011-04,489352.092612862,473472
136,2011-05,485019.496064619,481680
137,2011-06,504471.478865147,548088
138,2011-07,543097.343850864,537384
139,2011-08,564805.100443601,612624
140,2011-09,665313.849002466,689280
141,2011-10,727801.168052862,755592
142,2011-11,701439.616027651,735504
143,2011-12,698939.323495,729624
144,2012-01,736100.909190618,638304
145,2012-02,831284.395268937,713520
146,2012-03,828773.371656015,811152
147,2012-04,792482.502636877,758184
148,2012-05,779872.886257401,807384
149,2012-06,779564.151736706,827688
150,2012-07,821082.031481495,857856
151,2012-08,895600.32468034,992808
152,2012-09,891858.917579737,867792
153,2012-10,918009.738758305,1010976
154,2012-11,925619.48968106,952056
155,2012-12,973758.906961532,961464
156,2013-01,1040711.29753901,913008
157,2013-02,1027420.29030334,836832
158,2013-03,953240.106693929,903648
159,2013-04,920360.6398833,918144
160,2013-05,903120.458159626,953928
161,2013-06,852996.332494325,888432
162,2013-07,778287.645805415,854280
163,2013-08,687739.946060105,751464
164,2013-09,578085.470668145,583716
165,2013-10,511978.818721271,555504
166,2013-11,504761.019895845,488376
167,2013-12,491456.187201241,492408
168,2014-01,450525.862805912,384576
169,2014-02,446899.918988687,359208
170,2014-03,472313.198048703,448584
171,2014-04,480462.002720044,484632
172,2014-05,495425.817742396,518712
173,2014-06,511853.717290805,564240
174,2014-07,519718.249607958,579552
175,2014-08,521958.093130212,556632
176,2014-09,520200.422299625,541536
177,2014-10,524768.022483326,563256
178,2014-11,545314.785106259,499944
179,2014-12,563301.599794,576288
180,2015-01,568467.517680487,455304
181,2015-02,717350.008592042,564984
182,2015-03,761548.669713264,750504
183,2015-04,702536.275904371,715896
184,2015-05,691141.621425472,710760
185,2015-06,663940.711498922,769848
186,2015-07,633149.876287972,714072
187,2015-08,613904.264865595,660264
188,2015-09,620245.743588437,645384
189,2015-10,599502.73552072,619728
190,2015-11,539445.561518131,507504
191,2015-12,594355.356728228,603936
192,2016-01,606035.534662704,460104
193,2016-02,623515.849904126,503736
194,2016-03,678429.957928431,687576
195,2016-04,707043.651232957,696888
196,2016-05,702976.024954289,755304
197,2016-06,694486.051582236,812928
198,2016-07,697890.910666978,740700
199,2016-08,763454.622900786,884004
200,2016-09,797009.922209365,833304
201,2016-10,803900.59028024,804586.270689695
202,2016-11,781036.867880145,761532.168633737
203,2016-12,771233.820235248,754174.005900413
204,2017-01,687226.0666939,533665.669087098
205,2017-02,633559.090317224,482694.838572944
206,2017-03,605788.674266305,610007.79251756
207,2017-04,611270.240537617,580333.362350206
208,2017-05,650548.571551768,724557.482129328
209,2017-06,735575.072373908,862994.723434344
210,2017-07,717622.716607832,764426.106443366
211,2017-08,657912.818977063,766006.805519747
