month,date,vol,vol_unadj
72,2006-01,196565812416.9949,173245465946.9697
73,2006-02,199830791974.9929,182260515886.8687
74,2006-03,199919869384.3748,236205430940.909
75,2006-04,188321620476.6282,208121153096.9698
76,2006-05,200507261898.1621,232577694844.9496
77,2006-06,213089583681.5445,241371653394.4445
78,2006-07,214975228803.1382,211488099453.0303
79,2006-08,238420393570.4084,234257322249.9999
80,2006-09,250792298193.3637,210781112362.1213
81,2006-10,242709375606.1509,226331345085.3538
82,2006-11,228760615586.339,209703398411.6161
83,2006-12,229290302378.4982,223551407843.9394
84,2007-01,220195072981.5197,194775202607.0709
85,2007-02,199370043760.4316,181302959815.6565
86,2007-03,183400271071.6959,215316676254.5454
87,2007-04,180258642257.7896,200842973081.8182
88,2007-05,182405352321.3049,209542696121.2122
89,2007-06,181154058977.3029,203389522021.7172
90,2007-07,180527171496.6282,178441257315.6565
91,2007-08,174245956852.586,169051595554.0405
92,2007-09,150168383003.7889,126610436818.6868
93,2007-10,148617642746.6085,140132843730.8081
94,2007-11,142295600469.2154,134134911114.6464
95,2007-12,134370405353.5435,134164962895.4545
96,2008-01,134366435715.1814,119294226428.7879
97,2008-02,187470880555.0505,168445198743.4344
98,2008-03,139836928135.8337,161698209142.4243
99,2008-04,137042255998.6605,152331937511.1111
100,2008-05,124287315698.2633,137545388604.0404
101,2008-06,113758262642.4375,125391204454.5455
102,2008-07,112437066710.65,110343441877.2728
103,2008-08,102140578916.3703,98152068314.64639
104,2008-09,106018095879.8412,92775161072.22221
105,2008-10,104585377618.1644,101435059237.8787
106,2008-11,67124190093.2325,66671912367.67676
107,2008-12,96539783961.12927,100871379060.6061
108,2009-01,160665981038.4516,144549242931.8182
109,2009-02,196103297253.1234,171807545664.6464
110,2009-03,165538517211.8885,183450102481.8181
111,2009-04,178238316919.0349,191213385161.1113
112,2009-05,192431258195.7333,200917284484.8484
113,2009-06,185782891979.3288,200751949467.1718
114,2009-07,171906910660.1095,166672496669.697
115,2009-08,132453122513.2927,128764786627.2728
116,2009-09,130917795475.1266,121031953879.293
117,2009-10,129667730921.3969,132529597164.6464
118,2009-11,125593224697.5139,132624274197.4749
119,2009-12,125692468305.1455,137149269223.7374
