month,date,vol,vol_unadj,age_group
60,2005-01,112639413559.46,88635471816,Age 30-44
60,2005-01,11267236434.9214,10254022848,Age 65 and older
60,2005-01,26484129392.4037,17754498552,Younger than 30
60,2005-01,92544954254.3454,78578049168,Age 45-64
61,2005-02,10289832227.7699,9829016292,Age 65 and older
61,2005-02,115553664783.384,98204738448,Age 30-44
61,2005-02,27089739121.0845,20383435776,Younger than 30
61,2005-02,95142684580.6,85608499584,Age 45-64
62,2005-03,10823755933.9831,13610984544,Age 65 and older
62,2005-03,115819565393.728,127074568980,Age 30-44
62,2005-03,27458306028.4556,28028489688,Younger than 30
62,2005-03,95948929903.2791,109389145956,Age 45-64
63,2005-04,108046320172.032,110615911692,Age 30-44
63,2005-04,26722689074.581,27267862320,Younger than 30
63,2005-04,92586310741.3033,95275969620,Age 45-64
63,2005-04,9768949660.02868,11020381008,Age 65 and older
64,2005-05,112012561896.526,122249772000,Age 30-44
64,2005-05,11353025424.2235,12750386304,Age 65 and older
64,2005-05,26939887437.7192,29568869748,Younger than 30
64,2005-05,96383921943.2029,102801941220,Age 45-64
65,2005-06,104793751175.902,114194974080,Age 45-64
65,2005-06,11777098342.8426,12901892064,Age 65 and older
65,2005-06,122710571824.867,141651865884,Age 30-44
65,2005-06,28800073352.0168,33724558152,Younger than 30
66,2005-07,115080210459.33,112893955128,Age 45-64
66,2005-07,144746124720.83,143960527968,Age 30-44
66,2005-07,14646857105.3574,13820497800,Age 65 and older
66,2005-07,31424891820.7217,32866965012,Younger than 30
67,2005-08,124579068396.255,126922141056,Age 45-64
67,2005-08,138629486610.229,151085232936,Age 30-44
67,2005-08,14148728719.5172,14128184256,Age 65 and older
67,2005-08,31895302007.2639,36835899864,Younger than 30
68,2005-09,113708242755.006,110763685776,Age 45-64
68,2005-09,13715040891.0655,12580752072,Age 65 and older
68,2005-09,145109210612.536,136441510056,Age 30-44
68,2005-09,31927324674.1219,32619749760,Younger than 30
69,2005-10,108681702246.207,106389310740,Age 45-64
69,2005-10,129367851926.783,124252284324,Age 30-44
69,2005-10,13936477611.9072,12328118400,Age 65 and older
69,2005-10,31083959816.083,29998963116,Younger than 30
70,2005-11,103656072684.756,97740823800,Age 45-64
70,2005-11,119344322557.527,113965696176,Age 30-44
70,2005-11,12757979720.392,11599293576,Age 65 and older
70,2005-11,29831331714.1284,29702652576,Younger than 30
71,2005-12,105260846883.254,108836093892,Age 30-44
71,2005-12,12095419069.8365,11072651256,Age 65 and older
71,2005-12,27173952670.7245,29078153592,Younger than 30
71,2005-12,93468840541.623,91805295996,Age 45-64
72,2006-01,101772544460.009,83272783140,Age 30-44
72,2006-01,11682985154.3367,11115292392,Age 65 and older
72,2006-01,27413903663.7777,19004084760,Younger than 30
72,2006-01,90983987865.1906,80002987668,Age 45-64
73,2006-02,101313903465.595,86283104748,Age 30-44
73,2006-02,11628724445.8395,11301781080,Age 65 and older
73,2006-02,26271686100.5994,19836591960,Younger than 30
73,2006-02,88437448031.6892,79664675688,Age 45-64
74,2006-03,104716864262.741,114275522208,Age 30-44
74,2006-03,11407234814.5734,14210713212,Age 65 and older
74,2006-03,26473925156.7633,26964427692,Younger than 30
74,2006-03,90395808262.2726,103623019800,Age 45-64
75,2006-04,101763126560.912,101160740724,Age 30-44
75,2006-04,11860388867.846,12651259200,Age 65 and older
75,2006-04,28619419916.9551,28201795248,Younger than 30
75,2006-04,90139248807.4173,90379221852,Age 45-64
76,2006-05,100458562018.665,113990393964,Age 30-44
76,2006-05,11239172512.0124,13004622912,Age 65 and older
76,2006-05,27665746372.8502,31490075064,Younger than 30
76,2006-05,92841217414.7755,101603826792,Age 45-64
77,2006-06,104785216363.818,120348249012,Age 30-44
77,2006-06,12568369033.4812,13725348600,Age 65 and older
77,2006-06,27647127279.5496,32334897840,Younger than 30
77,2006-06,92443315660.7896,101618662536,Age 45-64
78,2006-07,104204583506.906,102782593056,Age 30-44
78,2006-07,13161993960.3851,12278035704,Age 65 and older
78,2006-07,27135481017.1028,28242591504,Younger than 30
78,2006-07,92199285574.803,89433693936,Age 45-64
79,2006-08,107885327776.432,116860175844,Age 30-44
79,2006-08,13366700961.4439,13216823592,Age 65 and older
79,2006-08,28246671161.4172,32363095512,Younger than 30
79,2006-08,98922533059.3298,100800851748,Age 45-64
