month,date,vol,vol_unadj,income_level_group
123,2010-04,12639702264.81205,12021833696.46465,Moderate
123,2010-04,1847094143.686014,1696374699.49495,Low
123,2010-04,44079548532.14407,41271803185.85857,Middle
123,2010-04,67335644600.5453,57861128342.42422,High
124,2010-05,11008886537.12465,10998240820.70707,Moderate
124,2010-05,1650291113.223807,1617483729.29293,Low
124,2010-05,41615426860.66137,38778722850.50506,Middle
124,2010-05,57392235459.25027,52844441902.52526,High
125,2010-06,13010738067.41285,14027180916.66667,Moderate
125,2010-06,1881481237.922035,2206054127.777777,Low
125,2010-06,43986495679.42538,46522286549.49497,Middle
125,2010-06,70928710674.24411,69567404124.74745,High
126,2010-07,10434275151.2859,11129711785.35353,Moderate
126,2010-07,1619413353.153295,1635165209.090909,Low
126,2010-07,42905340689.41182,42441231307.07072,Middle
126,2010-07,76641814938.64583,72705146091.91919,High
127,2010-08,12057570046.0922,12826297263.63636,Moderate
127,2010-08,1601199421.928687,1848435811.616161,Low
127,2010-08,49080400426.09316,52324302174.7475,Middle
127,2010-08,86015992102.86552,92837129998.98994,High
128,2010-09,12909536718.9054,13537373772.72727,Moderate
128,2010-09,1585332658.283343,1657542035.858586,Low
128,2010-09,51395219775.48358,55880628946.96975,Middle
128,2010-09,90596810376.45107,102332927358.5859,High
129,2010-10,12819005725.38548,13825297717.17172,Moderate
129,2010-10,1699640390.792076,1866079014.646465,Low
129,2010-10,50208345676.98135,57723196619.69694,Middle
129,2010-10,88427769276.08865,104010335602.5253,High
130,2010-11,100041998360.5429,110349183047.4748,High
130,2010-11,12881162439.65065,13455382023.23233,Moderate
130,2010-11,1773013946.332703,1649881371.212122,Low
130,2010-11,54679313912.82617,59094585209.59595,Middle
131,2010-12,13855456708.49179,14349001709.59596,Moderate
131,2010-12,1695630358.204814,1610927623.737374,Low
131,2010-12,53930158099.98236,55745124841.9192,Middle
131,2010-12,95578915724.63507,102997484940.9091,High
132,2011-01,12206548662.00839,10409438921.71716,Moderate
132,2011-01,1727524048.030302,1495025240.40404,Low
132,2011-01,47015959214.66345,42078740358.08085,Middle
132,2011-01,78158395662.9854,73128989392.42427,High
133,2011-02,10677465044.11901,8814473769.696966,Moderate
133,2011-02,1574398490.108579,1372647316.161616,Low
133,2011-02,39938266508.74323,31789765385.85859,Middle
133,2011-02,67620765026.49836,55481938728.2828,High
134,2011-03,1413966735.106823,1402855850,Low
134,2011-03,37184483100.72595,35644471695.45453,Middle
134,2011-03,59445983230.53159,56049687117.67677,High
134,2011-03,9931972821.755501,9324732429.797979,Moderate
135,2011-04,1234252047.333802,1139029121.212121,Low
135,2011-04,34243266747.66493,32091602856.56567,Middle
135,2011-04,56532973865.69621,49190839518.18182,High
135,2011-04,9588260389.189974,9204753056.060606,Moderate
136,2011-05,1261190366.283661,1249192885.353535,Low
136,2011-05,33707612410.09591,32247347438.88889,Middle
136,2011-05,50798169929.58972,47717456024.74749,High
136,2011-05,9418639933.808653,9545215315.151514,Moderate
137,2011-06,1177729135.653215,1387418588.888889,Low
137,2011-06,35027672917.70679,37314497060.60604,Middle
137,2011-06,57531572404.33421,57587731260.60606,High
137,2011-06,9354318725.787157,10112837794.44444,Moderate
138,2011-07,1324054882.58901,1355491547.474747,Low
138,2011-07,34471561212.28413,34907898016.66667,Middle
138,2011-07,59226372399.3504,58237858249.4949,High
138,2011-07,9989080227.279531,10753491421.71717,Moderate
139,2011-08,10249077322.4243,11101143566.16162,Moderate
139,2011-08,1418949060.443149,1625574557.070707,Low
139,2011-08,36765383491.45015,39655942194.44445,Middle
139,2011-08,63879337708.53152,69428085423.73737,High
140,2011-09,11008170910.16164,11389331014.14142,Moderate
140,2011-09,1450999081.743864,1509042448.989899,Low
140,2011-09,42794916513.53137,45866408651.01009,Middle
140,2011-09,79002278983.97139,86827442089.39392,High
141,2011-10,11045717918.66642,11790710773.73738,Moderate
141,2011-10,1536220072.253125,1675490886.868687,Low
141,2011-10,44627512886.44018,50395693365.65657,Middle
141,2011-10,81476667580.17279,93542413945.95959,High
142,2011-11,11682019356.61868,11951233872.72727,Moderate
142,2011-11,1905212669.709584,1768488026.767677,Low
142,2011-11,46145065099.50998,48729498594.94949,Middle
142,2011-11,85396663146.66519,91920972176.26254,High
143,2011-12,11821089563.66304,12179403603.53535,Moderate
143,2011-12,1525369794.863344,1446520889.89899,Low
143,2011-12,46382111711.46912,47359481056.56568,Middle
143,2011-12,82753807795.70938,87905720753.53535,High
144,2012-01,12167097550.6838,10176412149.49496,Moderate
144,2012-01,1455205211.378841,1242259373.737374,Low
144,2012-01,47300880358.84002,41399700678.28284,Middle
144,2012-01,83405672750.14827,76370259492.92928,High
145,2012-02,108236163970.9057,88247873890.40405,High
145,2012-02,13824944855.63559,11331801140.40405,Moderate
145,2012-02,1832167805.814651,1588750207.070707,Low
145,2012-02,61284557093.57533,48698591429.29293,Middle
146,2012-03,100965166694.8117,95454566298.48483,High
146,2012-03,14023038949.47121,13145727388.88888,Moderate
146,2012-03,1784720758.278111,1766527369.696969,Low
146,2012-03,56567414013.22556,53926703720.70706,Middle
147,2012-04,13928848455.94113,13634109747.47475,Moderate
147,2012-04,1911069092.973001,1780200368.686869,Low
147,2012-04,53977523321.12795,51432275566.1616,Middle
147,2012-04,94088353226.5002,84795476261.61624,High
148,2012-05,13681444879.69113,14217957824.74748,Moderate
148,2012-05,1864249474.28126,1888578899.999999,Low
148,2012-05,54860260774.40502,54836451663.13131,Middle
148,2012-05,93509392268.13477,91618177395.45454,High
149,2012-06,13951480245.50881,15304838025.75758,Moderate
149,2012-06,1580234549.733036,1862259270.20202,Low
149,2012-06,53672780741.45319,58116115345.45455,Middle
149,2012-06,93264543464.06429,96522846990.40405,High
150,2012-07,13897388488.04099,15232642754.54546,Moderate
150,2012-07,1917642562.16466,2009499190.40404,Low
150,2012-07,55422809744.21432,58618485925.75758,Middle
150,2012-07,96243214706.84572,100395308807.5758,High
151,2012-08,108338071902.0434,118883360005.5556,High
151,2012-08,15546106783.60362,17141309195.95958,Moderate
151,2012-08,2162456133.315496,2454356230.808081,Low
151,2012-08,60423653780.22095,66337593562.1212,Middle
152,2012-09,14835064903.66814,15061326612.12121,Moderate
152,2012-09,2292584539.272628,2370880877.272727,Low
152,2012-09,55305716588.43048,57858130060.60609,Middle
152,2012-09,95387447811.15578,100149380639.394,High
153,2012-10,106195189017.3061,116588008607.5758,High
153,2012-10,16318848735.17054,17152073155.55557,Moderate
153,2012-10,2161628857.042226,2340916640.909091,Low
153,2012-10,61552920105.37778,67136297862.12126,Middle
154,2012-11,106855626335.4155,109447392733.8384,High
154,2012-11,16029331084.96582,15826890981.81818,Moderate
154,2012-11,2057173934.733707,1893528916.666667,Low
154,2012-11,61921449997.35104,62691004470.20203,Middle
155,2012-12,110615830248.8287,115308107282.8283,High
155,2012-12,16818408845.68804,17181029800,Moderate
155,2012-12,2295542915.31652,2171240653.030303,Low
155,2012-12,63403027832.69484,63701716901.5152,Middle
156,2013-01,120438810649.2197,106946752515.1516,High
156,2013-01,18462243354.86618,15014596392.42424,Moderate
156,2013-01,2374210874.009294,1973827085.353535,Low
156,2013-01,72246175170.9064,61097647642.92925,Middle
157,2013-02,117046562255.5271,94778413094.44446,High
157,2013-02,17146019301.72499,13866553467.67676,Moderate
157,2013-02,2045226301.943015,1760318007.575758,Low
157,2013-02,69285431091.00316,55038304316.66664,Middle
158,2013-03,105646728937.9437,100564254863.1313,High
158,2013-03,16556837603.83142,15498858216.66668,Moderate
158,2013-03,2336425811.691518,2307940120.20202,Low
158,2013-03,61755557653.68005,58668696998.48484,Middle
159,2013-04,105285854147.5777,99508298996.46466,High
159,2013-04,16394490925.55017,16465706818.18182,Moderate
159,2013-04,2233383171.8995,2120689347.474748,Low
