month,date,vol,vol_unadj,credit_score_group
60,2005-01,19756246898.2039,17587461648,Deep subprime
60,2005-01,24487197570.2908,21385497720,Subprime
60,2005-01,40599716191.0526,34174228488,Near-prime
60,2005-01,61091047228.6299,49675829256,Prime
60,2005-01,94443676114.6879,72502851048,Super-prime
61,2005-02,20198811600.1677,17424965352,Deep subprime
61,2005-02,24512450913.846,22730769312,Subprime
61,2005-02,42818635527.9176,37250016024,Near-prime
61,2005-02,63126577927.6819,56054346192,Prime
61,2005-02,93853054252.0934,80523901404,Super-prime
62,2005-03,21499005182.6392,23309421936,Deep subprime
62,2005-03,25266189815.2211,27021658752,Subprime
62,2005-03,43534333927.745,48482421600,Near-prime
62,2005-03,61056602210.4114,69192357348,Prime
62,2005-03,97312428209.0929,109997624412,Super-prime
63,2005-04,19877239755.1763,19027119576,Deep subprime
63,2005-04,25540459121.1011,24671077344,Subprime
63,2005-04,41319907799.9963,41630493864,Near-prime
63,2005-04,59832087439.8697,64225148940,Prime
63,2005-04,92351195992.9055,94328311644,Super-prime
64,2005-05,19272419697.9785,18880103328,Deep subprime
64,2005-05,26502358581.3668,26516853408,Subprime
64,2005-05,44020257623.4335,46416608088,Near-prime
64,2005-05,62888676143.1481,67524853392,Prime
64,2005-05,98118203141.6213,107721193656,Super-prime
65,2005-06,109679787665.302,125946581676,Super-prime
65,2005-06,20137118670.9806,21646167504,Deep subprime
65,2005-06,27490068846.159,29189498856,Subprime
65,2005-06,45229894234.1366,49758646884,Near-prime
65,2005-06,68753407574.091,75846728244,Prime
66,2005-07,128274341309.83,124245975264,Super-prime
66,2005-07,21688837612.1515,20964245328,Deep subprime
66,2005-07,30930003164.0585,30602022684,Subprime
66,2005-07,50238737343.2337,49979897520,Near-prime
66,2005-07,78817418249.8523,77674681512,Prime
67,2005-08,125605286554.821,133260400584,Super-prime
67,2005-08,22055376994.5045,23322702408,Deep subprime
67,2005-08,30353404551.9982,32267436264,Subprime
67,2005-08,51693390050.8062,54650291736,Near-prime
67,2005-08,80746829113.0913,85266481920,Prime
68,2005-09,120187216431.168,118816119648,Super-prime
68,2005-09,21271630646.8868,21025877904,Deep subprime
68,2005-09,28248258498.8824,28789422000,Subprime
68,2005-09,49193992011.1091,48604448400,Near-prime
68,2005-09,79497131957.6712,74759436192,Prime
69,2005-10,108957820351.399,100979655228,Super-prime
69,2005-10,21035509574.0871,22338414648,Deep subprime
69,2005-10,28495149026.514,28126970976,Subprime
69,2005-10,50756549460.485,49502172240,Near-prime
69,2005-10,73549625146.326,71962285728,Prime
70,2005-11,102715402374.721,96473695536,Super-prime
70,2005-11,18819463389.998,18812913240,Deep subprime
70,2005-11,27569592598.2622,26399930496,Subprime
70,2005-11,46561583629.9493,45160243944,Near-prime
70,2005-11,69980814360.577,65945484648,Prime
71,2005-12,18733664567.7734,19338074508,Deep subprime
71,2005-12,25251825922.0196,26628374544,Subprime
71,2005-12,43195043559.7279,43259083308,Near-prime
71,2005-12,62636199302.7255,61788925212,Prime
71,2005-12,86919590591.0815,89325470388,Super-prime
72,2006-01,18670484356.532,17453267544,Deep subprime
72,2006-01,25107820207.6192,22662337524,Subprime
72,2006-01,40353668747.0343,35088826656,Near-prime
72,2006-01,58567112679.9246,49452514824,Prime
72,2006-01,86262413069.7861,68723506068,Super-prime
73,2006-02,17305801958.1585,15075180168,Deep subprime
73,2006-02,21903166677.8472,20366203884,Subprime
73,2006-02,40562561474.0252,35473929480,Near-prime
73,2006-02,57523301015.0898,51323747028,Prime
73,2006-02,87222780182.566,74802932220,Super-prime
74,2006-03,18793180034.3882,20385967920,Deep subprime
74,2006-03,25575495852.459,27533967528,Subprime
74,2006-03,41333011254.6562,45941902716,Near-prime
74,2006-03,59545894214.0354,67337494296,Prime
74,2006-03,85177751917.9148,97395292764,Super-prime
75,2006-04,20384790618.4569,18707939736,Deep subprime
75,2006-04,25148545472.0648,23526131376,Subprime
75,2006-04,41457621398.565,40732322340,Near-prime
75,2006-04,59589714238.9424,61901497140,Prime
75,2006-04,89058943101.925,87346638432,Super-prime
76,2006-05,20604511386.7224,21330016488,Deep subprime
76,2006-05,26051304701.6425,27197392152,Subprime
76,2006-05,39780841836.1344,43525526556,Near-prime
76,2006-05,58841493487.0557,65232365484,Prime
76,2006-05,89008253006.8239,102604242756,Super-prime
77,2006-06,18816504192.2059,20192740464,Deep subprime
77,2006-06,25080763589.891,26506580496,Subprime
77,2006-06,42782518311.512,46855376328,Near-prime
77,2006-06,60128479733.1948,66269172276,Prime
77,2006-06,92483530306.622,108200130816,Super-prime
78,2006-07,20804488380.0704,19922306160,Deep subprime
78,2006-07,23812275101.8485,23390653392,Subprime
78,2006-07,42031183387.8911,41623577712,Near-prime
78,2006-07,59310292467.5443,58336711896,Prime
78,2006-07,94141069777.6564,89237160504,Super-prime
79,2006-08,21306936708.7257,22299382944,Deep subprime
79,2006-08,26623961356.251,28108213392,Subprime
79,2006-08,44872902595.7767,47077523040,Near-prime
79,2006-08,63468748168.6884,66494114316,Prime
79,2006-08,91753877147.7128,98633242764,Super-prime
80,2006-09,20790686649.0758,19528649232,Deep subprime
80,2006-09,25488105709.3968,24981081996,Subprime
80,2006-09,44764485964.8077,42678978864,Near-prime
80,2006-09,65089194453.017,58947336732,Prime
80,2006-09,95170541743.4354,89600358516,Super-prime
81,2006-10,19934700220.3707,22333478496,Deep subprime
81,2006-10,26120903842.2823,26983057056,Subprime
81,2006-10,43393454971.8452,43893650400,Near-prime
81,2006-10,65338421191.2112,66585529692,Prime
81,2006-10,95716535548.1698,91928682348,Super-prime
82,2006-11,19772887440.2256,19691211744,Deep subprime
82,2006-11,24352098957.888,23502995376,Subprime
82,2006-11,43233968776.9028,42101441400,Near-prime
82,2006-11,64185536507.4495,60967434492,Prime
82,2006-11,97871551548.1776,92683494264,Super-prime
83,2006-12,102584727461.748,101949251124,Super-prime
83,2006-12,18900409971.8094,18581694720,Deep subprime
83,2006-12,25331836382.0354,25524135840,Subprime
83,2006-12,44925671961.4076,43599696564,Near-prime
83,2006-12,67049477734.8839,64285132296,Prime
84,2007-01,17660994367.5556,17299452168,Deep subprime
84,2007-01,25005810043.8369,23184727512,Subprime
84,2007-01,44346996035.7248,39903521664,Near-prime
84,2007-01,65713048406.7994,57991330800,Prime
84,2007-01,96381101658.233,84297293760,Super-prime
85,2007-02,15468306181.7689,13606886784,Deep subprime
85,2007-02,21329220878.5658,19860900288,Subprime
85,2007-02,38518740198.0502,33717895728,Near-prime
85,2007-02,59939405290.9731,53413107732,Prime
85,2007-02,92807555729.6242,81250813848,Super-prime
86,2007-03,100072552132.387,107410357056,Super-prime
86,2007-03,11724060169.8088,12135229560,Deep subprime
86,2007-03,18059383978.9582,18832999440,Subprime
86,2007-03,34984705511.5009,37532165856,Near-prime
86,2007-03,56544569290.1211,61322090808,Prime
87,2007-04,11021606335.7261,10671487728,Deep subprime
87,2007-04,17544706500.3409,17286386352,Subprime
87,2007-04,33423978974.8572,34329322440,Near-prime
87,2007-04,54086436514.7265,58123584288,Prime
87,2007-04,98852340836.4837,100425213048,Super-prime
