month,date,num,num_unadj
60,2005-01,1193267.89039711,968544
61,2005-02,1552773.5148312,1107072
62,2005-03,1178619.98484703,1088460
63,2005-04,1164674.30090591,1114836
64,2005-05,1158385.06102881,1160352
65,2005-06,1177407.5795092,1268232
66,2005-07,1140524.76124828,1174284
67,2005-08,1156758.75681477,1294056
68,2005-09,1133455.99727414,1113144
69,2005-10,1098826.33027905,1063428
70,2005-11,1069476.03314284,1280292
71,2005-12,1063118.00160016,1282632
72,2006-01,1284569.84880789,1060044
73,2006-02,1245296.0771787,886008
74,2006-03,1193156.79149558,1119852
75,2006-04,1175305.70973231,1076940
76,2006-05,1160307.20570359,1224552
77,2006-06,1137136.24957233,1223400
78,2006-07,1145736.68670309,1178284
79,2006-08,1104493.92136246,1233912
80,2006-09,1113237.91932042,1056576
81,2006-10,1105247.69555758,1088064
82,2006-11,1353932.13500982,1633968
83,2006-12,1303184.94948449,1497000
84,2007-01,1794603.2761063,1544796
85,2007-02,1254840.66002585,888336
86,2007-03,1179408.29493898,1084080
87,2007-04,1153514.48566833,1104564
88,2007-05,1152461.59683977,1220340
89,2007-06,1128386.43540364,1178232
90,2007-07,1108841.46669033,1160616
91,2007-08,1080905.36132517,1223820
92,2007-09,1054740.06259128,943704
93,2007-10,1049117.1094656,1079748
94,2007-11,1051529.7790942,1266936
95,2007-12,993687.24287799,1142244
96,2008-01,1052037.95213927,892632
97,2008-02,1098129.59437818,807096
98,2008-03,1054891.21033186,934860
99,2008-04,1038061.68478965,1053264
100,2008-05,971999.548898245,1015416
101,2008-06,974216.977781921,996972
102,2008-07,958561.430572858,1049112
103,2008-08,963753.54083871,1011972
104,2008-09,951284.271741279,903180
105,2008-10,841056.267644419,871968
106,2008-11,828037.315160094,918792
107,2008-12,788192.847372754,973920
108,2009-01,818346.114075475,670668
109,2009-02,833949.858627992,575376
110,2009-03,802677.001675133,731544
111,2009-04,731619.773465631,759144
112,2009-05,765733.570315561,767160
113,2009-06,754743.466914521,807960
114,2009-07,742305.837531471,821004
115,2009-08,725587.355392851,762048
116,2009-09,727765.557615977,686328
117,2009-10,719203.682714768,721236
118,2009-11,716612.042243981,817956
119,2009-12,724497.489487315,898440
120,2010-01,710150.427710361,545328
121,2010-02,708917.711691263,482664
122,2010-03,754399.334527367,723744
123,2010-04,743178.446654466,777768
124,2010-05,748733.024501053,753216
125,2010-06,760065.625514391,819216
126,2010-07,762279.938396837,820200
127,2010-08,778071.547035483,834984
128,2010-09,764244.245311929,724716
129,2010-10,781888.036211529,745728
130,2010-11,785861.136622714,933312
131,2010-12,787926.641521001,987732
132,2011-01,790010.248731622,599772
133,2011-02,765982.530483541,517608
134,2011-03,810650.447524395,773520
135,2011-04,813695.359256,826644
136,2011-05,835803.617788536,862320
137,2011-06,834810.397125298,915912
138,2011-07,838851.261174453,865872
139,2011-08,840762.442003774,947496
140,2011-09,854179.942044479,812508
141,2011-10,866224.225470603,821520
142,2011-11,871425.885562535,1035384
143,2011-12,882289.660101566,1068828
144,2012-01,876761.874603274,675768
145,2012-02,867071.645433598,612144
146,2012-03,916378.463709106,854304
147,2012-04,897502.866199953,892344
148,2012-05,890602.546192194,965916
149,2012-06,891082.147189688,958488
150,2012-07,903670.150552479,955128
151,2012-08,907634.703405562,1036224
152,2012-09,920663.794994322,811008
153,2012-10,919224.070601974,930072
154,2012-11,944172.578451518,1133520
155,2012-12,958378.099763075,1096392
156,2013-01,995286.869278367,806976
157,2013-02,995022.871545827,667992
158,2013-03,1002196.50155106,886152
159,2013-04,996784.667155882,1029120
160,2013-05,1031099.31336252,1133268
161,2013-06,1051924.35617464,1081824
162,2013-07,1051479.01899758,1172820
163,2013-08,1125150.17825091,1246824
164,2013-09,1044374.32861529,951024
165,2013-10,1037277.14317625,1048392
166,2013-11,1060424.54868015,1231680
167,2013-12,1034221.80752041,1200384
168,2014-01,1020993.93205398,839184
169,2014-02,1040587.24137485,698232
170,2014-03,1044295.82399963,920808
171,2014-04,1056966.85951497,1092456
172,2014-05,1080775.75533381,1151928
173,2014-06,1090163.84867112,1158528
174,2014-07,1090547.35865378,1216224
175,2014-08,1106085.07709597,1167408
176,2014-09,1101188.78085055,1045296
177,2014-10,1113363.67671415,1144152
178,2014-11,1134960.62319893,1244220
179,2014-12,1129600.80399199,1372224
180,2015-01,1147996.71281742,919128
181,2015-02,1136906.74104828,763128
182,2015-03,1149862.10000792,1036584
183,2015-04,1166805.28656126,1219488
184,2015-05,1172118.02192454,1188936
185,2015-06,1174034.90312082,1296360
186,2015-07,1199887.47580821,1354512
187,2015-08,1202990.02078177,1261992
188,2015-09,1212141.24839213,1155096
189,2015-10,1223856.75461735,1230480
190,2015-11,1218989.12108715,1363860
191,2015-12,1180055.49288091,1431456
192,2016-01,1232948.87139962,942161.318935555
193,2016-02,1297851.3077295,916370.302446822
194,2016-03,1230485.39233144,1168839.94095262
195,2016-04,1217469.43096571,1240325.51468202
196,2016-05,1201089.64742054,1237459.3424266
197,2016-06,1195951.72089723,1332238.10100689
198,2016-07,1178369.04567128,1228079.24911681
199,2016-08,1170682.71223193,1309305.38709724
200,2016-09,1180094.0179899,1141635.45099561
201,2016-10,1205869.50483657,1161147.68896142
202,2016-11,1141602.90559234,1317682.67618808
