month,date,vol,vol_unadj,age_group
60,2005-01,2522702174.50338,2057276280,Age 30-44
60,2005-01,2994548254.36729,2495109924,Age 45-64
60,2005-01,540747308.478709,500213640,Age 65 and older
60,2005-01,816585288.909895,661998504,Younger than 30
61,2005-02,1417399410.16703,1304973672,Age 65 and older
61,2005-02,1611054749.91976,1246341504,Younger than 30
61,2005-02,6718703043.51618,5272211412,Age 30-44
61,2005-02,6773496380.32926,5611676064,Age 45-64
62,2005-03,2436251920.62987,2517620100,Age 30-44
62,2005-03,3028858549.59324,3216822240,Age 45-64
62,2005-03,739437178.865803,829524888,Age 65 and older
62,2005-03,812412151.119327,806942160,Younger than 30
63,2005-04,2489894543.5683,2566619616,Age 30-44
63,2005-04,3164695304.86527,3415696164,Age 45-64
63,2005-04,537852401.56678,580130688,Age 65 and older
63,2005-04,872290726.487457,883113336,Younger than 30
64,2005-05,2463263534.93625,2786409912,Age 30-44
64,2005-05,2993935010.91762,3308490312,Age 45-64
64,2005-05,549744370.669091,599774592,Age 65 and older
64,2005-05,876642161.207152,1002914448,Younger than 30
65,2005-06,1434825678.25108,1609648800,Younger than 30
65,2005-06,2638802005.39325,3239659740,Age 30-44
65,2005-06,3301221699.21548,3729632156,Age 45-64
65,2005-06,602725641.802247,657340584,Age 65 and older
66,2005-07,2451518613.27544,2675882208,Age 30-44
66,2005-07,3159742240.27662,3282163472,Age 45-64
66,2005-07,529402451.416622,527485584,Age 65 and older
66,2005-07,851772037.886744,912120216,Younger than 30
67,2005-08,2581129504.35811,2843542568,Age 30-44
67,2005-08,3341154527.75627,3682165304,Age 45-64
67,2005-08,590912516.627987,651434984,Age 65 and older
67,2005-08,813293347.026373,914410696,Younger than 30
68,2005-09,2575077478.14691,2426376048,Age 30-44
68,2005-09,3307581193.84944,3070842408,Age 45-64
68,2005-09,602311219.016696,566270232,Age 65 and older
68,2005-09,907845275.272386,888787032,Younger than 30
69,2005-10,2555925283.34371,2271677184,Age 30-44
69,2005-10,3121128742.62788,2936320440,Age 45-64
69,2005-10,602331202.020856,535110096,Age 65 and older
69,2005-10,805781244.170714,740332144,Younger than 30
70,2005-11,2469493905.6023,2530036428,Age 30-44
70,2005-11,3022793505.1665,3130720320,Age 45-64
70,2005-11,622478471.992758,616668600,Age 65 and older
70,2005-11,749168421.995371,814178832,Younger than 30
71,2005-12,2655056313.53752,2422019640,Age 30-44
71,2005-12,3252973789.9598,2914751832,Age 45-64
71,2005-12,637140365.609527,528259776,Age 65 and older
71,2005-12,831146798.624677,786667560,Younger than 30
72,2006-01,2729972647.2073,2288791896,Age 30-44
72,2006-01,3304170109.56256,2835103548,Age 45-64
72,2006-01,670540971.485524,643116984,Age 65 and older
72,2006-01,890335995.332828,743077824,Younger than 30
73,2006-02,2633622201.3154,2062501368,Age 30-44
73,2006-02,3283616536.99582,2717417800,Age 45-64
73,2006-02,645293579.437132,596979504,Age 65 and older
73,2006-02,918482386.964909,708247248,Younger than 30
74,2006-03,2699056722.28728,2784339104,Age 30-44
74,2006-03,3267451472.62703,3474642888,Age 45-64
74,2006-03,618416930.649144,692822632,Age 65 and older
74,2006-03,878269496.466409,873871200,Younger than 30
75,2006-04,2673586655.14826,2654730864,Age 30-44
75,2006-04,3272534363.08908,3419393336,Age 45-64
75,2006-04,665921119.633472,687982872,Age 65 and older
75,2006-04,876523162.360404,856829472,Younger than 30
76,2006-05,2572206883.10469,3034436664,Age 30-44
76,2006-05,3339699653.47983,3819991368,Age 45-64
76,2006-05,661138130.096195,757499364,Age 65 and older
76,2006-05,852133240.583299,1010257368,Younger than 30
77,2006-06,2628672513.10572,3218940960,Age 30-44
77,2006-06,3272058011.97454,3700146792,Age 45-64
77,2006-06,656212670.064949,712475976,Age 65 and older
77,2006-06,872442158.226381,980011768,Younger than 30
78,2006-07,2560155145.96018,2797680072,Age 30-44
78,2006-07,3432896573.79021,3563620528,Age 45-64
78,2006-07,753905646.119735,750732816,Age 65 and older
78,2006-07,876591505.372883,934827708,Younger than 30
79,2006-08,2517774492.52645,2789740512,Age 30-44
79,2006-08,3269943883.16295,3588640668,Age 45-64
79,2006-08,669690349.9485,736670520,Age 65 and older
79,2006-08,848949654.822958,961967496,Younger than 30
80,2006-09,2498293090.02662,2277637056,Age 30-44
80,2006-09,3341798154.84409,3002138144,Age 45-64
80,2006-09,658611152.382019,594849864,Age 65 and older
80,2006-09,846356878.869386,801917712,Younger than 30
81,2006-10,1187939694.04412,1107094320,Age 65 and older
81,2006-10,2577618126.03969,2388380808,Age 30-44
81,2006-10,3393996967.40636,3321450312,Age 45-64
81,2006-10,883831578.199123,846707176,Younger than 30
82,2006-11,2666895062.01134,2727696264,Age 30-44
82,2006-11,3214413708.01236,3327015528,Age 45-64
82,2006-11,685517379.051817,679920264,Age 65 and older
82,2006-11,918872901.22424,992886768,Younger than 30
83,2006-12,2710740668.96141,2376232608,Age 30-44
83,2006-12,3459975896.56016,3005220280,Age 45-64
83,2006-12,679626272.871804,540044304,Age 65 and older
83,2006-12,940763719.715568,858327528,Younger than 30
84,2007-01,1102606388.44985,942566292,Younger than 30
84,2007-01,2943744693.96571,2508840744,Age 30-44
84,2007-01,3526096766.12312,3102759648,Age 45-64
84,2007-01,696206353.115158,687489240,Age 65 and older
85,2007-02,2654927271.62915,2064918996,Age 30-44
85,2007-02,3487078047.18977,2875942992,Age 45-64
85,2007-02,666277876.654381,617652288,Age 65 and older
85,2007-02,845784685.752172,644318484,Younger than 30
86,2007-03,2564991640.19183,2547678560,Age 30-44
86,2007-03,3425534838.60775,3530467032,Age 45-64
86,2007-03,723866003.051584,772150656,Age 65 and older
86,2007-03,932755240.226633,902617128,Younger than 30
87,2007-04,2526963482.35306,2617755816,Age 30-44
87,2007-04,3285059624.69425,3555033072,Age 45-64
87,2007-04,689843012.524804,752227392,Age 65 and older
87,2007-04,823990846.289206,835315656,Younger than 30
88,2007-05,2591875869.18378,3088910640,Age 30-44
88,2007-05,3345761302.34279,3837657504,Age 45-64
88,2007-05,618023274.834308,714450024,Age 65 and older
88,2007-05,844002873.666175,1002259668,Younger than 30
89,2007-06,2510779133.30281,2939411616,Age 30-44
89,2007-06,3287398069.15706,3590722500,Age 45-64
89,2007-06,786844028.585945,804520080,Age 65 and older
89,2007-06,852801542.535251,926159400,Younger than 30
90,2007-07,2554239080.66642,2904409296,Age 30-44
90,2007-07,3341116290.03228,3585141360,Age 45-64
90,2007-07,735395114.7176,769629144,Age 65 and older
90,2007-07,878591959.104748,963759012,Younger than 30
91,2007-08,2425245041.55934,2716472640,Age 30-44
91,2007-08,3391118819.18111,3701364888,Age 45-64
91,2007-08,723823647.790054,794192136,Age 65 and older
91,2007-08,833864064.149911,956963280,Younger than 30
92,2007-09,2467267760.06503,2175713220,Age 30-44
92,2007-09,3182794476.59578,2770044864,Age 45-64
92,2007-09,707270664.578447,614643552,Age 65 and older
92,2007-09,782811798.948837,719972208,Younger than 30
93,2007-10,2470537158.28937,2391119760,Age 30-44
93,2007-10,3200255237.57369,3268961580,Age 45-64
93,2007-10,718823715.602997,705103440,Age 65 and older
93,2007-10,839366817.572488,841863584,Younger than 30
94,2007-11,2500865564.84053,2561183664,Age 30-44
94,2007-11,3305546027.88648,3425590764,Age 45-64
94,2007-11,714192627.586425,709326144,Age 65 and older
94,2007-11,857753019.260375,917717904,Younger than 30
95,2007-12,2286652348.78704,1991061780,Age 30-44
95,2007-12,2965401474.45571,2584091880,Age 45-64
95,2007-12,689919813.779174,552735120,Age 65 and older
95,2007-12,805005583.370999,736835400,Younger than 30
96,2008-01,2178779745.73677,1803507016,Age 30-44
96,2008-01,2991469163.66015,2600033916,Age 45-64
96,2008-01,694448803.627054,669743496,Age 65 and older
96,2008-01,801208508.196922,672468408,Younger than 30
97,2008-02,2561716025.63675,2064198888,Age 30-44
97,2008-02,2960941474.30837,2538646392,Age 45-64
97,2008-02,749541302.811695,726642600,Age 65 and older
97,2008-02,871941182.759248,677050248,Younger than 30
98,2008-03,2254645012.79014,2153275896,Age 30-44
98,2008-03,2972465694.45952,2967273672,Age 45-64
98,2008-03,712644765.063129,722340880,Age 65 and older
98,2008-03,746345395.58545,702627456,Younger than 30
99,2008-04,2123251898.42858,2306414520,Age 30-44
99,2008-04,3023214580.9036,3384398400,Age 45-64
99,2008-04,678209064.633448,780500184,Age 65 and older
99,2008-04,759521243.300654,801891640,Younger than 30
100,2008-05,2073377533.4355,2405990880,Age 30-44
100,2008-05,2922340387.65372,3240866768,Age 45-64
100,2008-05,652870425.622377,730381704,Age 65 and older
100,2008-05,742655391.852872,854241504,Younger than 30
101,2008-06,1975499688.21371,2300198616,Age 30-44
101,2008-06,2813282116.28734,3083354824,Age 45-64
101,2008-06,644554207.507616,650485848,Age 65 and older
101,2008-06,711582363.298532,774813744,Younger than 30
102,2008-07,2013292650.89231,2378084388,Age 30-44
102,2008-07,2721969083.05618,3015800184,Age 45-64
102,2008-07,593055318.926372,652614136,Age 65 and older
102,2008-07,677098103.547502,766338216,Younger than 30
103,2008-08,1944418649.37553,2039777788,Age 30-44
103,2008-08,2623302415.73027,2667748704,Age 45-64
103,2008-08,617101682.689698,614597664,Age 65 and older
103,2008-08,721898393.659143,779991264,Younger than 30
104,2008-09,1848374830.87887,1766269488,Age 30-44
104,2008-09,2643203055.94628,2477632776,Age 45-64
104,2008-09,591271148.107669,567090120,Age 65 and older
104,2008-09,680638632.325207,675628728,Younger than 30
105,2008-10,1649377324.27922,1608477624,Age 30-44
105,2008-10,2104769977.93274,2167899072,Age 45-64
105,2008-10,493569995.349529,487317888,Age 65 and older
105,2008-10,614444770.236552,624782952,Younger than 30
106,2008-11,1553895830.68244,1477180440,Age 30-44
106,2008-11,2079264213.77277,2012614152,Age 45-64
106,2008-11,524479391.389473,476448000,Age 65 and older
106,2008-11,581080009.09818,573871932,Younger than 30
107,2008-12,1482953457.88075,1383275004,Age 30-44
107,2008-12,2017643903.85014,1887294096,Age 45-64
107,2008-12,516373446.635615,460115184,Age 65 and older
