month,date,vol,vol_unadj,income_level_group
60,2005-01,1179035346.01236,974228928,Moderate
60,2005-01,2080164617.09273,1695184632,High
60,2005-01,227144370.473359,186193848,Low
60,2005-01,3056577165.23078,2570830212,Middle
61,2005-02,3278055424.42601,2786134212,High
61,2005-02,3282414988.92081,2521506528,Moderate
61,2005-02,445350986.398605,327709344,Low
61,2005-02,8889534917.1384,7240239840,Middle
62,2005-03,1144698705.10229,1170930948,Moderate
62,2005-03,2024958760.84208,2216901672,High
62,2005-03,230602138.163579,220808232,Low
62,2005-03,3171621808.94945,3323615208,Middle
63,2005-04,1190938492.36477,1239514812,Moderate
63,2005-04,1973944363.15082,2181318240,High
63,2005-04,219593700.135952,219604224,Low
63,2005-04,3274871960.34561,3433735392,Middle
64,2005-05,1179775895.02762,1289503656,Moderate
64,2005-05,1974576982.29433,2196228408,High
64,2005-05,225096941.971421,258693264,Low
64,2005-05,3192607214.1112,3542901576,Middle
65,2005-06,1298055920.40153,1501394304,Moderate
65,2005-06,2374243255.83176,2863631160,High
65,2005-06,263015888.042671,293488692,Low
65,2005-06,3521064392.30975,4036066964,Middle
66,2005-07,1196171512.54542,1237498112,Moderate
66,2005-07,1980735242.0714,2091075144,High
66,2005-07,232831483.883783,230111328,Low
66,2005-07,3270640901.653,3495902040,Middle
67,2005-08,1239187593.32723,1392344152,Moderate
67,2005-08,2033594568.1473,2238942744,High
67,2005-08,226198144.97492,249246696,Low
67,2005-08,3636223828.64022,3954886392,Middle
68,2005-09,1239527120.7799,1175725464,Moderate
68,2005-09,2143416201.23629,1999933680,High
68,2005-09,217634843.735541,219173376,Low
68,2005-09,3381955731.45544,3136364712,Middle
69,2005-10,1196013752.49952,1112306976,Moderate
69,2005-10,2036522687.53359,1867902768,High
69,2005-10,216218438.618011,191198280,Low
69,2005-10,3189893873.9389,2976820672,Middle
70,2005-11,1166402227.72033,1275313704,Moderate
70,2005-11,2064361348.16982,1929714216,High
70,2005-11,226642080.363205,268027992,Low
70,2005-11,3105872528.75953,3263777652,Middle
71,2005-12,1195467212.50888,1129395048,Moderate
71,2005-12,2164634857.38627,1857678744,High
71,2005-12,219479470.437773,228229584,Low
71,2005-12,3396569986.33674,3070161216,Middle
72,2006-01,1326244617.74016,1131075576,Moderate
72,2006-01,2115149127.57262,1769880912,High
72,2006-01,275855486.441528,234997104,Low
72,2006-01,3523652840.51681,3054317556,Middle
73,2006-02,1278802404.27032,982047576,Moderate
73,2006-02,2034493975.00649,1723921452,High
73,2006-02,229156344.81677,168605544,Low
73,2006-02,3535998085.27927,2874355684,Middle
74,2006-03,1270711238.17227,1298887392,Moderate
74,2006-03,2072176258.80518,2255462016,High
74,2006-03,214094629.75037,206128064,Low
74,2006-03,3469391982.56363,3637955848,Middle
75,2006-04,1127237821.13066,1128321312,Moderate
75,2006-04,2180743802.52547,2347590096,High
75,2006-04,230220141.197442,219472704,Low
75,2006-04,3543603801.28425,3576915776,Middle
76,2006-05,1259467722.99011,1431853464,Moderate
76,2006-05,2154083802.96784,2491300584,High
76,2006-05,226010382.822929,271298280,Low
76,2006-05,3455440511.17537,3980126220,Middle
77,2006-06,1162653566.30168,1348227856,Moderate
77,2006-06,196471836.26074,219003432,Low
77,2006-06,2249388104.85217,2708735400,High
77,2006-06,3452981741.56036,3951117672,Middle
78,2006-07,1281163705.78169,1324348584,Moderate
78,2006-07,2171298361.39873,2286407664,High
78,2006-07,238121206.744301,236026440,Low
78,2006-07,3514223421.65102,3764784244,Middle
79,2006-08,1263529520.56801,1422145224,Moderate
79,2006-08,2065064977.38499,2274072120,High
79,2006-08,221519016.346006,245315424,Low
79,2006-08,3411515964.22485,3711636492,Middle
80,2006-09,1194758185.92636,1092279408,Moderate
80,2006-09,2028922904.05636,1834014504,High
80,2006-09,234108737.79705,225976224,Low
80,2006-09,3440802492.95986,3090278312,Middle
81,2006-10,1313624252.46801,1273374984,Moderate
81,2006-10,237430572.65958,220393624,Low
81,2006-10,2693386311.33414,2574171720,High
81,2006-10,3363752775.597,3268708728,Middle
82,2006-11,1306930690.26123,1434120456,Moderate
82,2006-11,2090122291.66526,1952301744,High
82,2006-11,246896530.348543,290350512,Low
82,2006-11,3472812894.97027,3651874848,Middle
83,2006-12,1372350631.48929,1243772456,Moderate
83,2006-12,2165989271.63122,1796727912,High
83,2006-12,263023569.236666,261078216,Low
83,2006-12,3551501211.42281,3103729832,Middle
84,2007-01,1511142744.44918,1319838936,Moderate
84,2007-01,2260556270.7402,1928638080,High
84,2007-01,321872028.966981,282217440,Low
84,2007-01,3654673412.401,3242527644,Middle
85,2007-02,1273501479.58099,972478752,Moderate
85,2007-02,2234070569.13999,1882160400,High
85,2007-02,239354058.851006,176460240,Low
85,2007-02,3514989755.75551,2841201912,Middle
86,2007-03,1286018814.88935,1267219424,Moderate
86,2007-03,2187233177.01662,2282027976,High
86,2007-03,243906631.476804,226599936,Low
86,2007-03,3524987656.34984,3568223136,Middle
87,2007-04,1175925998.68644,1227532224,Moderate
87,2007-04,1895512277.54702,2130962304,High
87,2007-04,3475547889.00608,3630664416,Middle
87,2007-04,378520320.354718,378457320,Low
88,2007-05,1300167368.57216,1478515488,Moderate
88,2007-05,2005423084.54946,2345279448,High
88,2007-05,237050812.988712,282403104,Low
88,2007-05,3549168559.51476,4095314616,Middle
89,2007-06,1260396098.96463,1404840240,Moderate
89,2007-06,1982015564.16296,2298282792,High
89,2007-06,239335721.601444,254891640,Low
89,2007-06,3528765134.94081,3881432988,Middle
90,2007-07,1247689368.19065,1345119216,Moderate
90,2007-07,2094070979.73189,2271121152,High
90,2007-07,224624553.820271,234056544,Low
90,2007-07,3487429336.96748,3887631132,Middle
91,2007-08,1201890903.98833,1357259328,Moderate
91,2007-08,2084998730.40359,2306745888,High
91,2007-08,230565509.18781,257573760,Low
91,2007-08,3471735149.1067,3788050440,Middle
92,2007-09,1170639894.29189,1030976208,Moderate
92,2007-09,2003856910.89667,1750141320,High
92,2007-09,228283279.652231,211545384,Low
92,2007-09,3340865764.73874,2917135812,Middle
93,2007-10,1197530106.06314,1210917776,Moderate
93,2007-10,1969187842.3701,1967601276,High
93,2007-10,237659760.374956,232079904,Low
93,2007-10,3389946433.26299,3438526248,Middle
94,2007-11,1202500284.80273,1329644928,Moderate
94,2007-11,2064011451.19921,1934849520,High
94,2007-11,220962705.748906,257692788,Low
94,2007-11,3478234006.31901,3656327880,Middle
95,2007-12,1149313133.38452,1041917976,Moderate
95,2007-12,183894309.285542,182070384,Low
95,2007-12,1907277380.53236,1575056016,High
95,2007-12,3087939122.66116,2708776932,Middle
96,2008-01,1100478698.33866,939465480,Moderate
96,2008-01,1853917363.23308,1560217704,High
96,2008-01,205896014.608135,176922528,Low
96,2008-01,3190626252.25246,2777888164,Middle
97,2008-02,1136745060.65235,896687016,Moderate
97,2008-02,2243247840.12967,1962467904,High
97,2008-02,232595182.705773,178908888,Low
97,2008-02,3155642494.49866,2640012600,Middle
98,2008-03,1103313614.37021,1045160968,Moderate
98,2008-03,1946810426.24493,1944331224,High
98,2008-03,201106341.992368,181822704,Low
98,2008-03,3098031250.44763,3022477224,Middle
99,2008-04,1061301393.7666,1159314672,Moderate
99,2008-04,1938783626.31341,2264844072,High
99,2008-04,205732961.598649,215959536,Low
99,2008-04,2942657010.40863,3191898112,Middle
100,2008-05,1008403584.53066,1107893432,Moderate
100,2008-05,1834006664.45442,2093060880,High
100,2008-05,221906460.381205,249332808,Low
100,2008-05,3033544062.58847,3373488648,Middle
101,2008-06,1010806068.89465,1128097728,Moderate
101,2008-06,1629305352.11826,1889527488,High
101,2008-06,185625221.817602,198362352,Low
101,2008-06,2873790250.86681,3153189712,Middle
102,2008-07,1724394847.25857,1925513796,High
102,2008-07,174561138.059968,191408160,Low
102,2008-07,2771067411.44555,3223439344,Middle
102,2008-07,982591810.764044,1102477344,Moderate
103,2008-08,1666551349.95872,1730221080,High
103,2008-08,187603821.482708,193821180,Low
103,2008-08,2749529707.52816,2810667240,Middle
103,2008-08,952730736.603719,994772824,Moderate
104,2008-09,1560730920.65387,1465740528,High
104,2008-09,184461083.732095,186580296,Low
104,2008-09,2709496480.16083,2563282344,Middle
104,2008-09,942050456.516779,900743568,Moderate
105,2008-10,1240582490.34411,1247415912,High
105,2008-10,156309747.34234,154511616,Low
105,2008-10,2240497617.44124,2290318440,Middle
105,2008-10,847789759.41631,860285184,Moderate
106,2008-11,1352368259.58097,1196615640,High
106,2008-11,161511665.554481,170415312,Low
106,2008-11,2133200220.05973,2079503988,Middle
106,2008-11,811307924.851112,836689224,Moderate
107,2008-12,1287257817.494,1134455004,High
107,2008-12,147240878.193212,158964048,Low
107,2008-12,2019228699.80627,1911309456,Middle
107,2008-12,764969893.162687,752055000,Moderate
108,2009-01,1204826211.92237,962712912,High
108,2009-01,152239054.528375,121764936,Low
108,2009-01,1990851828.29968,1629802320,Middle
108,2009-01,753155523.939846,601590240,Moderate
109,2009-02,1128307991.33321,933268464,High
109,2009-02,140178746.94161,102157152,Low
109,2009-02,2041318391.67237,1609538196,Middle
109,2009-02,760204885.320714,562439028,Moderate
110,2009-03,1039016573.69465,1062670608,High
110,2009-03,141009711.00595,135980448,Low
110,2009-03,1877479143.02007,1900528560,Middle
110,2009-03,668891923.508632,660582312,Moderate
111,2009-04,1119464534.43712,1310178192,High
111,2009-04,117889992.299174,124807672,Low
111,2009-04,1724699562.91351,1881325104,Middle
111,2009-04,657034402.789734,721586028,Moderate
112,2009-05,1048056202.88679,1167740160,High
112,2009-05,125553307.889548,132652536,Low
112,2009-05,1785274850.36157,1911362160,Middle
112,2009-05,638258034.270397,678597592,Moderate
113,2009-06,1024839078.30974,1234443840,High
113,2009-06,123821965.645914,139291044,Low
113,2009-06,1729163606.47912,1967210940,Middle
113,2009-06,639263426.522216,739281204,Moderate
114,2009-07,125650582.902938,138609672,Low
114,2009-07,1732934331.06344,2023125160,Middle
114,2009-07,581823393.65262,654990384,Moderate
114,2009-07,941753087.438928,1046671992,High
115,2009-08,112966170.837157,117922920,Low
115,2009-08,1627073498.40342,1678812584,Middle
115,2009-08,581388518.163132,608916984,Moderate
115,2009-08,894020966.445501,932458896,High
116,2009-09,109122755.530165,110437752,Low
116,2009-09,1643350503.22681,1572270720,Middle
116,2009-09,566242584.571749,545136624,Moderate
116,2009-09,911236237.910055,861993684,High
117,2009-10,116250425.634904,110216376,Low
117,2009-10,1623290408.64755,1609704312,Middle
117,2009-10,582141067.385366,568890168,Moderate
117,2009-10,945804687.876904,918877056,High
118,2009-11,103327157.456533,112838712,Low
118,2009-11,1631575730.81102,1637361936,Middle
118,2009-11,581984943.544778,626730544,Moderate
118,2009-11,815512268.911749,753552152,High
119,2009-12,1013151005.26897,894334696,High
119,2009-12,108571382.208757,116656544,Low
119,2009-12,1651451507.43331,1564409624,Middle
119,2009-12,563811024.640469,555413280,Moderate
120,2010-01,1587336086.59556,1223676724,Middle
120,2010-01,573235924.23039,430622808,Moderate
120,2010-01,851686670.512231,650485200,High
120,2010-01,99902415.0429773,75371280,Low
121,2010-02,109788266.399383,79303248,Low
121,2010-02,1538983037.36987,1196111040,Middle
121,2010-02,564753850.896019,411393720,Moderate
121,2010-02,875978474.692896,717019752,High
122,2010-03,151093199.818559,155664648,Low
122,2010-03,1686775490.21821,1769810168,Middle
122,2010-03,616350023.443394,630528396,Moderate
122,2010-03,893881592.570768,933890184,High
123,2010-04,112608269.698564,119257456,Low
123,2010-04,1747187357.10276,1920758716,Middle
123,2010-04,607109658.272506,670772964,Moderate
123,2010-04,867177603.984723,1011546876,High
124,2010-05,104032938.194398,107589624,Low
124,2010-05,1722757412.97291,1841582528,Middle
124,2010-05,877303821.978105,942943656,Moderate
124,2010-05,930242302.233154,1037260644,High
125,2010-06,1676001660.8773,1918112616,Middle
125,2010-06,543527041.217216,628344312,Moderate
125,2010-06,891707726.91397,1089232344,High
125,2010-06,93861173.8539947,107164560,Low
126,2010-07,118159483.392265,126158472,Low
126,2010-07,1793748609.70092,2026144032,Middle
126,2010-07,680083989.885948,735145200,Moderate
126,2010-07,895137162.59444,962292936,High
127,2010-08,1003400267.82863,1082384736,High
127,2010-08,133463412.687439,147065568,Low
127,2010-08,1868084533.09352,2018076396,Middle
127,2010-08,695204741.446824,759194472,Moderate
128,2010-09,120796690.565247,120927000,Low
128,2010-09,1902405004.07613,1836142752,Middle
128,2010-09,657985833.217158,637833360,Moderate
128,2010-09,964262775.758433,918832216,High
129,2010-10,1131327305.51057,1060608680,High
129,2010-10,119306241.80735,108910968,Low
129,2010-10,1876610528.31998,1794354708,Middle
129,2010-10,661004088.382276,621593916,Moderate
130,2010-11,1061702259.63366,1020550440,High
130,2010-11,127154591.590891,143465568,Low
130,2010-11,1887439199.67583,1948459980,Middle
130,2010-11,675482212.043064,755132040,Moderate
131,2010-12,1026307859.34114,912495284,High
131,2010-12,124518327.635393,132607320,Low
131,2010-12,1926534161.5793,1816211172.8,Middle
131,2010-12,722197707.607043,711797856,Moderate
132,2011-01,1122235807.86973,848197780,High
132,2011-01,122080746.155052,91962384,Low
132,2011-01,1912719782.01898,1444919364,Middle
132,2011-01,667853695.148464,495772848,Moderate
133,2011-02,108944152.262454,78267192,Low
133,2011-02,1092602924.10191,885668184,High
133,2011-02,1908443855.53619,1467562188,Middle
133,2011-02,677363814.310243,487459216,Moderate
134,2011-03,1234576229.93071,1279371264,High
134,2011-03,127491351.028115,132993672,Low
134,2011-03,1908298891.92196,2006877192,Middle
134,2011-03,655153477.149301,670286424,Moderate
135,2011-04,1121859624.01977,1253954704,High
135,2011-04,131175765.302444,133113192,Low
135,2011-04,2066712751.91642,2211850372,Middle
135,2011-04,752664250.8458,800289000,Moderate
136,2011-05,1109801238.6179,1279998632,High
136,2011-05,1956209909.32721,2170033620,Middle
136,2011-05,205607150.125849,217934064,Low
136,2011-05,748749761.149375,845456352,Moderate
137,2011-06,1171484795.23983,1452352044,High
137,2011-06,125680198.875059,145818192,Low
137,2011-06,2016663658.2576,2325549844,Middle
137,2011-06,724456627.311265,833554020,Moderate
138,2011-07,1188158010.73828,1238951772,High
138,2011-07,124471477.003699,128940192,Low
138,2011-07,2137857648.3356,2326852442,Middle
138,2011-07,721458339.68352,753893184,Moderate
139,2011-08,1170011240.48635,1305823476,High
139,2011-08,132167724.367857,153059688,Low
139,2011-08,2107947435.46646,2381593680,Middle
139,2011-08,713458067.500297,813700952,Moderate
140,2011-09,1239162853.95928,1181757892,High
140,2011-09,131120502.458835,129347712,Low
140,2011-09,2099331693.39822,2040503088,Middle
140,2011-09,764578313.172495,743895968,Moderate
141,2011-10,1165393938.18039,1090762888,High
141,2011-10,158583469.099614,145650912,Low
141,2011-10,2186597830.03527,2084782832,Middle
141,2011-10,780480617.36494,733786856,Moderate
142,2011-11,1289773767.82785,1241584392,High
142,2011-11,139642776.0527,156212376,Low
142,2011-11,2156867770.80017,2206614144,Middle
142,2011-11,810000872.890567,896273664,Moderate
143,2011-12,1246024160.50922,1078064832,High
143,2011-12,146476725.1361,147129144,Low
143,2011-12,2298525771.55094,2068623096,Middle
143,2011-12,823741051.936883,780387780,Moderate
144,2012-01,1244077922.24872,970248480,High
144,2012-01,134999321.09728,107557864,Low
144,2012-01,2211125971.98128,1714770072,Middle
144,2012-01,789600136.440864,608439480,Moderate
145,2012-02,1238990912.02119,1047137656,High
145,2012-02,137640633.359722,103357968,Low
145,2012-02,2246744421.63834,1796669440,Middle
145,2012-02,784714740.626349,589073208,Moderate
146,2012-03,1252886655.79881,1250380800,High
146,2012-03,158449986.305801,158636448,Low
146,2012-03,2357093172.30043,2395382712,Middle
146,2012-03,878884716.986229,862615020,Moderate
147,2012-04,1284918795.3393,1421513552,High
147,2012-04,147232399.384782,148776936,Low
147,2012-04,2302237349.0404,2479537128,Middle
147,2012-04,783715040.353399,833170848,Moderate
148,2012-05,1336945939.13173,1581676704,High
148,2012-05,141068130.623763,155289000,Low
148,2012-05,2262452372.71275,2617907912,Middle
148,2012-05,812565025.397917,965449296,Moderate
149,2012-06,1326755719.1376,1607194772,High
149,2012-06,148722188.891294,167371176,Low
149,2012-06,2323645586.87951,2602858644,Middle
149,2012-06,774222773.809982,853356864,Moderate
150,2012-07,1293728133.83524,1413264648,High
150,2012-07,143603088.117325,157469184,Low
150,2012-07,2149247387.36716,2422822776,Middle
150,2012-07,826536357.826314,901465704,Moderate
151,2012-08,1294503562.50939,1439953104,High
151,2012-08,138714348.977992,160690800,Low
151,2012-08,2312335142.93194,2627751357.6,Middle
151,2012-08,828287766.241834,945579936,Moderate
152,2012-09,1364662083.65826,1212145380,High
152,2012-09,154299524.311916,136386696,Low
