month,date,vol,vol_unadj,credit_score_group
60,2005-01,1155250472.52558,919419684,Near-prime
60,2005-01,1757846263.6707,1435545552,Prime
60,2005-01,2853052170.21219,2285154048,Super-prime
60,2005-01,561816475.143456,461455968,Deep subprime
60,2005-01,681911996.698492,539067024,Subprime
61,2005-02,2530392815.93275,1763293872,Subprime
61,2005-02,2659296708.69448,2036641140,Near-prime
61,2005-02,3497519038.45343,2821650792,Prime
61,2005-02,3905913692.6657,3075587496,Deep subprime
61,2005-02,4155480065.13362,3648691104,Super-prime
62,2005-03,1187907859.82426,1146434736,Near-prime
62,2005-03,1698260263.53067,1751655528,Prime
62,2005-03,2772717035.80251,3164677608,Super-prime
62,2005-03,568551231.357461,559673832,Deep subprime
62,2005-03,665014188.826306,650639868,Subprime
63,2005-04,1137177400.4308,1172974308,Near-prime
63,2005-04,1752542917.19479,1850300880,Prime
63,2005-04,2798094586.35926,3167020224,Super-prime
63,2005-04,562077371.643988,514995288,Deep subprime
63,2005-04,671533302.808778,660849936,Subprime
64,2005-05,1132078067.08933,1281351072,Near-prime
64,2005-05,1729239288.80657,1930326720,Prime
64,2005-05,2714522892.26036,3020215008,Super-prime
64,2005-05,564024371.704326,618773520,Deep subprime
64,2005-05,681439849.050222,776252064,Subprime
65,2005-06,1146340279.16274,1329371808,Near-prime
65,2005-06,1955016700.53688,2290554336,Prime
65,2005-06,3365617009.38654,4003211964,Super-prime
65,2005-06,690214830.611455,708234860,Deep subprime
65,2005-06,750497727.048684,820256112,Subprime
66,2005-07,1152434030.24529,1211697720,Near-prime
66,2005-07,1787354315.25578,1918251000,Prime
66,2005-07,2682464599.63358,2906370168,Super-prime
66,2005-07,578640609.268217,553549344,Deep subprime
66,2005-07,707367855.097654,751425392,Subprime
67,2005-08,1214354541.37962,1350255696,Near-prime
67,2005-08,1828677151.16124,2043244416,Prime
67,2005-08,2909134866.52833,3239532576,Super-prime
67,2005-08,544887379.417583,556163232,Deep subprime
67,2005-08,743082626.909881,826374720,Subprime
68,2005-09,1142163266.55732,1140828168,Near-prime
68,2005-09,1852129246.27996,1784340648,Prime
68,2005-09,2964358268.58358,2766844680,Super-prime
68,2005-09,561829777.738194,498337512,Deep subprime
68,2005-09,740882975.369303,683491824,Subprime
69,2005-10,1253862791.62443,1137778740,Near-prime
69,2005-10,1707383211.97788,1592652348,Prime
69,2005-10,2763166254.62273,2529980376,Super-prime
69,2005-10,505635920.621129,470918688,Deep subprime
69,2005-10,755849688.908196,707708320,Subprime
70,2005-11,1224419155.50636,1316304000,Near-prime
70,2005-11,1668116170.66664,1632436224,Prime
70,2005-11,2723666502.79323,2385006384,Super-prime
70,2005-11,559290679.637928,789469968,Deep subprime
70,2005-11,687717463.308704,886085316,Subprime
71,2005-12,1278281689.80225,1242350472,Near-prime
71,2005-12,1869890587.64369,1714124184,Prime
71,2005-12,2862609615.6282,2300911032,Super-prime
71,2005-12,511718832.426481,583870872,Deep subprime
71,2005-12,752783363.197633,738355224,Subprime
72,2006-01,1292396416.90919,1069852440,Near-prime
72,2006-01,2082181366.3883,1744485036,Prime
72,2006-01,2954408283.4572,2445043296,Super-prime
72,2006-01,614013805.163162,524639112,Deep subprime
72,2006-01,767617859.189294,625804392,Subprime
73,2006-02,1266981214.68997,965229192,Near-prime
73,2006-02,1829086408.03348,1475238948,Prime
73,2006-02,2913451224.87461,2555991916,Super-prime
73,2006-02,584081550.563896,458180592,Deep subprime
73,2006-02,753093245.508614,525171192,Subprime
74,2006-03,1231213455.19857,1197939120,Near-prime
74,2006-03,1876275912.08564,1942316424,Prime
74,2006-03,2889981617.67538,3293060416,Super-prime
74,2006-03,563452637.828607,553830312,Deep subprime
74,2006-03,766980785.845743,746983832,Subprime
75,2006-04,1224102418.14495,1205626416,Near-prime
75,2006-04,1847687435.42442,1888199792,Prime
75,2006-04,2964420084.87053,3242657964,Super-prime
75,2006-04,576434212.19594,505943568,Deep subprime
75,2006-04,739900471.97795,702165912,Subprime
76,2006-05,1223241624.81137,1418584584,Near-prime
76,2006-05,1847591688.95901,2134750656,Prime
76,2006-05,3006361553.90644,3464031636,Super-prime
76,2006-05,568001785.634055,655192872,Deep subprime
76,2006-05,723954171.430896,857780832,Subprime
77,2006-06,1101312913.828,1319977200,Near-prime
77,2006-06,1861525572.11818,2178638184,Prime
77,2006-06,3070167436.62571,3653819856,Super-prime
77,2006-06,576931299.924559,591918480,Deep subprime
77,2006-06,704557692.165931,772240416,Subprime
78,2006-07,1219157091.59391,1295851152,Near-prime
78,2006-07,1898824958.40803,2040822240,Prime
78,2006-07,3065388016.95923,3314441192,Super-prime
78,2006-07,576417919.358485,548038932,Deep subprime
78,2006-07,722057600.11333,766791216,Subprime
79,2006-08,1189970095.51603,1328954808,Near-prime
79,2006-08,1832326321.83636,2044861608,Prime
79,2006-08,2901672077.25396,3222007680,Super-prime
79,2006-08,596428274.271916,613646808,Deep subprime
79,2006-08,699321058.217698,779822028,Subprime
80,2006-09,1207791130.11319,1123139760,Near-prime
80,2006-09,1847345324.71958,1721716448,Prime
80,2006-09,2853405388.37405,2578724592,Super-prime
80,2006-09,595578130.034376,507522744,Deep subprime
80,2006-09,717959365.688983,639963552,Subprime
81,2006-10,1179607168.57351,1120226136,Near-prime
81,2006-10,1793745499.56026,1734708624,Prime
81,2006-10,3583047865.73067,3422436552,Super-prime
81,2006-10,618109407.3024,601563568,Deep subprime
81,2006-10,729796424.770451,710603760,Subprime
82,2006-11,1206419371.73128,1331821512,Near-prime
82,2006-11,1806872350.59126,1768441248,Prime
82,2006-11,2862366463.75354,2508773640,Super-prime
82,2006-11,730574498.627414,1028573952,Deep subprime
82,2006-11,752409361.343979,966870312,Subprime
83,2006-12,1240597291.42488,1124046272,Near-prime
83,2006-12,1822430271.60939,1614936288,Prime
83,2006-12,2956143270.44741,2301397656,Super-prime
83,2006-12,750701610.368774,820267256,Deep subprime
83,2006-12,773401447.780089,730463520,Subprime
84,2007-01,1112676111.52095,984676152,Deep subprime
84,2007-01,1355153234.88182,1131956376,Near-prime
84,2007-01,1964230626.63418,1674860448,Prime
84,2007-01,2929033925.18795,2498125008,Super-prime
84,2007-01,847342650.108948,708105312,Subprime
85,2007-02,1228986316.72673,928835544,Near-prime
85,2007-02,1871383763.64937,1508096856,Prime
85,2007-02,2961982819.21434,2589121644,Super-prime
85,2007-02,701793621.518846,544487856,Deep subprime
85,2007-02,762285986.203004,530940528,Subprime
86,2007-03,1167984724.8818,1111938768,Near-prime
86,2007-03,1779367373.54769,1795639944,Prime
86,2007-03,3024732910.13146,3319235184,Super-prime
86,2007-03,705400373.606771,663062576,Deep subprime
86,2007-03,781823641.578044,731039208,Subprime
87,2007-04,1147671754.25162,1217554896,Near-prime
87,2007-04,1793362207.41612,1898161440,Prime
87,2007-04,2838839235.60521,3216265560,Super-prime
87,2007-04,640496473.441061,586227864,Deep subprime
87,2007-04,787486142.85501,777741840,Subprime
88,2007-05,1178173888.00094,1381199256,Near-prime
88,2007-05,1813899802.33004,2104239072,Prime
88,2007-05,2901050092.81823,3345065808,Super-prime
88,2007-05,662083682.375837,775186680,Deep subprime
88,2007-05,781953971.955358,930391392,Subprime
89,2007-06,1169150531.35395,1307575272,Near-prime
89,2007-06,1805333282.59641,2039551284,Prime
89,2007-06,2921929226.38416,3353305584,Super-prime
89,2007-06,661223490.483773,651592512,Deep subprime
89,2007-06,767227040.891872,811615944,Subprime
90,2007-07,1155387746.37189,1286873712,Near-prime
90,2007-07,1756021876.35929,1953302724,Prime
90,2007-07,3043254885.99725,3398544432,Super-prime
90,2007-07,640979545.37949,633463200,Deep subprime
90,2007-07,759736320.889291,838040712,Subprime
91,2007-08,1141501987.23374,1285626816,Near-prime
91,2007-08,1794415194.10838,1997152752,Prime
91,2007-08,2980151449.26074,3300871392,Super-prime
91,2007-08,637585231.306695,661132248,Deep subprime
91,2007-08,737413920.821344,826264944,Subprime
92,2007-09,1140247884.85584,1002040680,Near-prime
92,2007-09,1687499599.50253,1522784448,Prime
92,2007-09,2926917758.67418,2563190844,Super-prime
92,2007-09,575413225.9391,474057840,Deep subprime
92,2007-09,732067443.920428,631539744,Subprime
93,2007-10,1125181898.94482,1092058040,Near-prime
93,2007-10,1782799390.97091,1794337788,Prime
93,2007-10,2871369800.61987,2878460904,Super-prime
93,2007-10,593699018.13338,602797320,Deep subprime
93,2007-10,727819564.650902,735655320,Subprime
94,2007-11,1160657267.32181,1327365936,Near-prime
94,2007-11,1827076934.50149,1788566928,Prime
94,2007-11,2947978121.34755,2595753444,Super-prime
94,2007-11,610812326.204823,852204936,Deep subprime
94,2007-11,742338479.083677,950167080,Subprime
95,2007-12,1051581222.03954,961260192,Near-prime
