month,date,num,num_unadj
60,2005-01,1206135.21531612,968544
61,2005-02,1555989.10764961,1107072
62,2005-03,1164283.03719406,1088460
63,2005-04,1167790.20768522,1114836
64,2005-05,1141937.93888294,1160352
65,2005-06,1170532.31273379,1268232
66,2005-07,1140418.59909308,1174284
67,2005-08,1146441.54127314,1294056
68,2005-09,1140119.96123737,1113144
69,2005-10,1113899.98265331,1063428
70,2005-11,1074471.41017821,1280292
71,2005-12,1074226.00259366,1282632
72,2006-01,1276117.30774848,1060044
73,2006-02,1249493.3861038,886008
74,2006-03,1193118.53416909,1119852
75,2006-04,1166780.34594767,1076940
76,2006-05,1159425.52818755,1224552
77,2006-06,1130057.69720988,1223400
78,2006-07,1143448.63154547,1178284
79,2006-08,1092460.77202477,1233912
80,2006-09,1124724.69025297,1056576
81,2006-10,1100111.3611865,1088064
82,2006-11,1374698.18822308,1633968
83,2006-12,1299431.02413478,1497000
84,2007-01,1806170.70192699,1544796
85,2007-02,1261988.59915943,888336
86,2007-03,1187374.80568114,1084080
87,2007-04,1146816.42622874,1104564
88,2007-05,1149127.22799744,1220340
89,2007-06,1130109.51652083,1178232
90,2007-07,1084486.47486801,1160616
91,2007-08,1083553.28693797,1223820
92,2007-09,1047965.52494681,943704
93,2007-10,1053925.20548448,1079748
94,2007-11,1067631.86591227,1266936
95,2007-12,991021.042673825,1142244
96,2008-01,1054167.3722238,892632
97,2008-02,1107148.54903403,807096
98,2008-03,1052540.64796785,934860
99,2008-04,1045730.03741989,1053264
100,2008-05,984264.18410511,1015416
101,2008-06,955047.757464325,996972
102,2008-07,944951.923164998,1049112
103,2008-08,963267.797548356,1011972
104,2008-09,941220.361592532,903180
105,2008-10,851580.215774187,871968
106,2008-11,833380.621437805,918792
107,2008-12,784188.647956378,973920
108,2009-01,831893.75541133,670668
109,2009-02,837565.239347908,575376
110,2009-03,788293.376830329,731544
111,2009-04,744397.94755701,759144
112,2009-05,766867.33240788,767160
113,2009-06,745170.989590046,807960
114,2009-07,739340.035792842,821004
115,2009-08,725019.594215406,762048
116,2009-09,720099.700038089,686328
117,2009-10,731865.846520766,721236
118,2009-11,715843.842718575,817956
119,2009-12,722140.565046292,898440
120,2010-01,708138.700379047,545328
121,2010-02,711390.81338403,482664
122,2010-03,750719.133724326,723744
123,2010-04,756863.763187745,777768
124,2010-05,749174.551339882,753216
125,2010-06,751164.127842959,819216
126,2010-07,765901.521611033,820200
127,2010-08,765708.704771991,834984
128,2010-09,763885.696994066,724716
129,2010-10,785872.833131884,745728
130,2010-11,785794.25028695,933312
131,2010-12,794234.30106568,987732
132,2011-01,785780.473632729,599772
133,2011-02,770744.885197013,517608
134,2011-03,804078.98554862,773520
135,2011-04,829762.189296864,826644
136,2011-05,823759.419206951,862320
137,2011-06,835230.750504364,915912
138,2011-07,837639.611919629,865872
139,2011-08,837126.070124692,947496
140,2011-09,857929.786307979,812508
141,2011-10,866992.786080755,821520
142,2011-11,867820.200924372,1035384
143,2011-12,895158.59530822,1068828
144,2012-01,856925.936910631,675768
145,2012-02,875149.218629558,612144
146,2012-03,927654.812068639,854304
147,2012-04,894589.885961429,892344
148,2012-05,886271.073939114,965916
149,2012-06,901174.89585098,958488
150,2012-07,889449.596019416,955128
151,2012-08,914639.913822555,1036224
152,2012-09,920913.173999646,811008
153,2012-10,912679.956787708,930072
154,2012-11,946077.468985368,1133520
155,2012-12,960394.485600289,1096392
156,2013-01,987474.209171301,806976
157,2013-02,1000334.1464851,667992
158,2013-03,1003715.01270975,886152
159,2013-04,992662.55025618,1029120
160,2013-05,1038919.61780509,1133268
161,2013-06,1050887.53630314,1081824
162,2013-07,1051283.33475865,1172820
163,2013-08,1140078.49107927,1246824
164,2013-09,1039284.19932518,951024
165,2013-10,1026671.78086697,1048392
166,2013-11,1064301.50935741,1231680
167,2013-12,1026367.95876781,1200384
168,2014-01,1022941.8370672,839184
169,2014-02,1041513.24621589,698232
170,2014-03,1047335.39331106,920808
171,2014-04,1053056.32853126,1092456
172,2014-05,1095447.51676785,1151928
173,2014-06,1083556.48833364,1158528
174,2014-07,1086826.37451809,1216224
175,2014-08,1108259.49976479,1167408
176,2014-09,1098347.45889288,1045296
177,2014-10,1114993.41362528,1144152
178,2014-11,1114125.96379413,1244220
179,2014-12,1145582.33518754,1372224
180,2015-01,1159496.12280593,919128
181,2015-02,1133469.74607671,763128
182,2015-03,1137571.77315435,1036584
183,2015-04,1172949.23790272,1219488
184,2015-05,1174303.0386919,1188936
185,2015-06,1169022.03641137,1296360
186,2015-07,1208222.73044049,1354512
187,2015-08,1201001.41261745,1261992
188,2015-09,1210137.06857842,1155096
189,2015-10,1235895.89942299,1230480
190,2015-11,1179597.14077744,1363860
191,2015-12,1205371.50554992,1431456
192,2016-01,1240458.59516003,949920
193,2016-02,1307424.63248505,924729.179782395
194,2016-03,1251188.23046194,1182184.52388423
195,2016-04,1254378.58432066,1261483.62287973
196,2016-05,1210238.85523811,1267235.6944145
197,2016-06,1240276.3377461,1374366.72275606
198,2016-07,1222359.85595364,1276872.41156297
199,2016-08,1204869.43812554,1356799.44034798
200,2016-09,1235751.04854319,1182625.8882353
201,2016-10,1232414.98715705,1189714.92106062
202,2016-11,1223416.83432431,1464172.65154496
203,2016-12,1204011.30872072,1372618.0197889
