month,date,vol,vol_unadj
60,2005-01,7036268861.80486,5773018476
61,2005-02,16624883728.2022,13555089468
62,2005-03,7022579126.29401,7413372396
63,2005-04,7151376021.59114,7541863956
64,2005-05,6985364130.52382,7748510040
65,2005-06,8109824597.86236,9322661456
66,2005-07,7021925376.9144,7449141872
67,2005-08,7586903734.21837,8372108272
68,2005-09,7527687035.19044,7006987632
69,2005-10,6858895868.50366,6530290024
70,2005-11,6946764635.34814,7118940324
71,2005-12,7422559655.162,6691538280
72,2006-01,7716836498.05728,6532372212
73,2006-02,7520884116.1087,6133432048
74,2006-03,7476417844.46711,7882089336
75,2006-04,7531692311.67865,7669606556
76,2006-05,7526592731.20811,8676431628
77,2006-06,7532651291.0581,8665779016
78,2006-07,7635736879.41742,8087723548
79,2006-08,7350675991.75179,8100058932
80,2006-09,7458641405.41402,6706762880
81,2006-10,7777041121.41835,7691142136
82,2006-11,7575600273.0659,7772916480
83,2006-12,7806010527.35295,6806963512
84,2007-01,8370926916.58483,7266943140
85,2007-02,7651884946.81957,6221490360
86,2007-03,7648098305.00182,7775995808
87,2007-04,7383148189.05448,7812597024
88,2007-05,7503767480.43169,8692442028
89,2007-06,7457839110.75477,8285368380
90,2007-07,7533925465.44735,8242483836
91,2007-08,7452462234.82908,8201190144
92,2007-09,7241237308.47177,6296706468
93,2007-10,7023203509.43779,7225950092
94,2007-11,7418123844.43169,7635848148
95,2007-12,6713494042.03516,5879671236
96,2008-01,6750275221.19303,5767505332
97,2008-02,7131930500.08084,6019374120
98,2008-03,6720599870.19611,6584905480
99,2008-04,6622414186.88125,7291405096
100,2008-05,6493498668.01497,7280155376
101,2008-06,6130964351.90374,6834770152
102,2008-07,6035266641.81104,6829372756
103,2008-08,5966852073.85808,6115906252
104,2008-09,5856536644.05821,5509989648
105,2008-10,4765792568.95942,4904910984
106,2008-11,4795317320.36722,4598474628
107,2008-12,4525302455.97855,4279371084
108,2009-01,4413749655.36506,3565890072
109,2009-02,4370726292.04607,3476692576
110,2009-03,3973286013.09481,4042343064
111,2009-04,3919610350.03515,4339363492
112,2009-05,3840635305.32995,4177034032
113,2009-06,3810798923.7943,4421301360
114,2009-07,3679449216.27576,4146477184
115,2009-08,3506637278.80628,3606649904
116,2009-09,3521408348.47304,3340987044
117,2009-10,3522803196.82541,3490330392
118,2009-11,3405163089.58544,3387932712
119,2009-12,3559476379.7815,3375740336
120,2010-01,3412513884.52692,2614563676
121,2010-02,3345912414.10266,2623419192
122,2010-03,3620678553.59301,3808602620
123,2010-04,3602388369.83294,4005526580
124,2010-05,3841948033.93965,4190906540
125,2010-06,3477995338.20076,4067488248
126,2010-07,3599874494.17252,3916822944
127,2010-08,3812888240.09322,4088837844
128,2010-09,3775547382.78277,3613996624
129,2010-10,3833461971.2412,3645340472
130,2010-11,3846213618.62172,3951496012
131,2010-12,3843192979.99133,3641083497
132,2011-01,3894861621.47385,2947302400
133,2011-02,3842055457.60204,2970001492
134,2011-03,3993745768.63044,4196508648
135,2011-04,4147764421.3119,4458204964
136,2011-05,4027030409.8341,4583170916
137,2011-06,4147253248.19547,4883792152
138,2011-07,4318714393.51923,4540491542
139,2011-08,4259657289.27411,4761924764
140,2011-09,4374990066.77716,4208736396
141,2011-10,4354536899.21098,4130142024
142,2011-11,4472678685.56756,4567090272
143,2011-12,4590835779.62546,4176032076
144,2012-01,4402184954.71779,3436927216
145,2012-02,4507901850.74548,3613244724
146,2012-03,4694319772.18054,4735493868
147,2012-04,4598562855.39116,4951957410
148,2012-05,4743344449.97801,5628495208
149,2012-06,4652680105.13639,5302995584
150,2012-07,4563614980.97158,5015058484
151,2012-08,4715630033.5562,5290724866
152,2012-09,4837295745.08949,4328618536
153,2012-10,4706159281.73222,4790237028
154,2012-11,4846228599.42821,4915556084
155,2012-12,4987990069.31177,4346473550
156,2013-01,5140515131.37305,4155058692
157,2013-02,5258842418.1228,4021888476
158,2013-03,5224181885.36362,5073643956
159,2013-04,5415476427.59122,6051952178
160,2013-05,5434957796.84461,6498714136
161,2013-06,5823944260.67307,6390666996
162,2013-07,5812619271.88931,6652894272
163,2013-08,6205525691.89857,6719092640
164,2013-09,5795287695.81442,5379094800
165,2013-10,5853342032.33988,5947071840
166,2013-11,5989832396.5484,5828701928
167,2013-12,5832853156.41194,5242336256
168,2014-01,6074316673.03062,4924647084
169,2014-02,6127991050.51966,4712811772
170,2014-03,6387666516.94899,6182518048
171,2014-04,6349193203.27811,7110380424
172,2014-05,6708961521.97169,7744268268
173,2014-06,6661769027.77756,7561389408
174,2014-07,6690011880.67534,7705155552
175,2014-08,6808686485.58814,7094299584
176,2014-09,6788416206.3924,6535247016
177,2014-10,7274796514.00699,7377292436
178,2014-11,7052126486.87982,6583801840
179,2014-12,6705038599.32979,6227635056
180,2015-01,7886323788.94623,6192836232
181,2015-02,7401548052.67535,5744288096
182,2015-03,7373013810.5151,7404325932
183,2015-04,7870767370.79477,8817175900
184,2015-05,8054687594.17671,8958828832
185,2015-06,7944187699.83929,9314238000
186,2015-07,8428603096.11415,9708885832
187,2015-08,8522115261.71584,8869646922
188,2015-09,8469861464.01681,8187212372
189,2015-10,9021901165.82297,8806183884
190,2015-11,9012500146.04491,8672947952
191,2015-12,8676159661.39771,8077157448
192,2016-01,9262584915.85842,7035681168
193,2016-02,9678056587.84215,7916299680
194,2016-03,9779822320.12485,10189990444
195,2016-04,9094219310.95122,9850599996
196,2016-05,8386661735.43888,9616974936
197,2016-06,8825896110.97469,10309268328
198,2016-07,8751202815.74604,9383564508
199,2016-08,8609377079.09086,9634214256
200,2016-09,8957009540.44277,8694802872
201,2016-10,8559043813.55792,8035807368
202,2016-11,8839826053.04549,8776759068
203,2016-12,9343204469.19294,8422617708
204,2017-01,8847045230.99316,6976614288
205,2017-02,8834505955.1302,6950722056
206,2017-03,9269555721.06644,9682573356
207,2017-04,9345287920.60084,9759497916
208,2017-05,9095628527.06808,10764096600
209,2017-06,9503909947.583,11079653076
210,2017-07,9657170072.82142,10324279980
