month,date,vol,vol_unadj,age_group
60,2005-01,2510491050.96474,2054637912,Age 30-44
60,2005-01,2988856338.18994,2499839700,Age 45-64
60,2005-01,534488115.897177,496294896,Age 65 and older
60,2005-01,821671687.221862,664911264,Younger than 30
61,2005-02,1407525809.15808,1305305016,Age 65 and older
61,2005-02,1622239136.72372,1252840224,Younger than 30
61,2005-02,6726143490.55778,5282624028,Age 30-44
61,2005-02,6768799488.30185,5602034760,Age 45-64
62,2005-03,2438870061.68965,2524534068,Age 30-44
62,2005-03,3016558364.96884,3213337272,Age 45-64
62,2005-03,746555946.340325,829088712,Age 65 and older
62,2005-03,807436013.712434,804557640,Younger than 30
63,2005-04,2492853986.83673,2572511400,Age 30-44
63,2005-04,3153527925.91976,3422257956,Age 45-64
63,2005-04,535466212.106399,579159888,Age 65 and older
63,2005-04,861916447.777703,873565512,Younger than 30
64,2005-05,2468543635.91217,2792135400,Age 30-44
64,2005-05,2956285394.12398,3311435064,Age 45-64
64,2005-05,547669400.818203,598380600,Age 65 and older
64,2005-05,869762744.42022,996852984,Younger than 30
65,2005-06,1426244045.62729,1604895600,Younger than 30
65,2005-06,2643483002.03295,3245515716,Age 30-44
65,2005-06,3275164251.22963,3732483548,Age 45-64
65,2005-06,602423837.895047,654286416,Age 65 and older
66,2005-07,2462633928.91398,2678101776,Age 30-44
66,2005-07,3125246291.37596,3280376360,Age 45-64
66,2005-07,528678950.266094,530160168,Age 65 and older
66,2005-07,848552471.181713,909662496,Younger than 30
67,2005-08,2596237714.97321,2844100832,Age 30-44
67,2005-08,3318824974.08128,3685909928,Age 45-64
67,2005-08,591343146.678944,650503376,Age 65 and older
67,2005-08,808597795.902577,911522248,Younger than 30
68,2005-09,2578524889.26975,2435883360,Age 30-44
68,2005-09,3294087308.00663,3063251328,Age 45-64
68,2005-09,598775049.722256,559860120,Age 65 and older
68,2005-09,921388543.09236,894834408,Younger than 30
69,2005-10,2556985439.52766,2276562648,Age 30-44
69,2005-10,3118723801.4043,2932331880,Age 45-64
69,2005-10,603296093.152394,536722920,Age 65 and older
69,2005-10,803652605.817696,738381736,Younger than 30
70,2005-11,2474202465.62511,2534246316,Age 30-44
70,2005-11,3187074854.4922,3127529616,Age 45-64
70,2005-11,623119813.868354,617871864,Age 65 and older
70,2005-11,747516038.389204,813139080,Younger than 30
71,2005-12,2661067283.83853,2427577368,Age 30-44
71,2005-12,3252430479.36471,2908161456,Age 45-64
71,2005-12,636135818.981737,527646120,Age 65 and older
71,2005-12,838185186.792842,788874240,Younger than 30
72,2006-01,2730202019.33948,2297328984,Age 30-44
72,2006-01,3290866174.66059,2827131060,Age 45-64
72,2006-01,672270642.920627,645343776,Age 65 and older
72,2006-01,887489665.198764,740750832,Younger than 30
73,2006-02,2630834206.64122,2062121208,Age 30-44
73,2006-02,3293220235.45873,2721342280,Age 45-64
73,2006-02,639539754.478917,595727064,Age 65 and older
73,2006-02,917264672.267012,706240848,Younger than 30
74,2006-03,2702149346.13752,2791163480,Age 30-44
74,2006-03,3261237004.27151,3477760704,Age 45-64
74,2006-03,618862607.81237,686534656,Age 65 and older
74,2006-03,872113834.081436,870483192,Younger than 30
75,2006-04,2676101491.74296,2660072856,Age 30-44
75,2006-04,3245735383.22239,3415932056,Age 45-64
75,2006-04,661029474.107946,686569248,Age 65 and older
75,2006-04,876922132.83033,856614720,Younger than 30
76,2006-05,2574603438.18572,3037867488,Age 30-44
76,2006-05,3301327350.54224,3820202976,Age 45-64
76,2006-05,658534669.752996,753639036,Age 65 and older
76,2006-05,849720883.824747,1011176184,Younger than 30
77,2006-06,2630742487.68419,3221105448,Age 30-44
77,2006-06,3248535413.954,3706025544,Age 45-64
77,2006-06,653353706.355707,706766832,Age 65 and older
77,2006-06,867939649.615285,977551720,Younger than 30
78,2006-07,2577649196.70998,2808526128,Age 30-44
