month,date,vol,vol_unadj,income_level_group
60,2005-01,1185740177.34884,974228928,Moderate
60,2005-01,2086005329.97979,1695184632,High
60,2005-01,225660699.289563,186193848,Low
60,2005-01,3094891512.25309,2570830212,Middle
61,2005-02,3275623086.3677,2786134212,High
61,2005-02,3280116921.59898,2521506528,Moderate
61,2005-02,445131298.133404,327709344,Low
61,2005-02,8884002446.21293,7240239840,Middle
62,2005-03,1146215643.65041,1170930948,Moderate
62,2005-03,2028651992.40481,2216901672,High
62,2005-03,230619204.206688,220808232,Low
62,2005-03,3213530421.89379,3323615208,Middle
63,2005-04,1194280564.51583,1239514812,Moderate
63,2005-04,1966489251.09563,2181318240,High
63,2005-04,219738929.609064,219604224,Low
63,2005-04,3199578803.22735,3433735392,Middle
64,2005-05,1182510134.04196,1289503656,Moderate
64,2005-05,1977179071.65783,2196228408,High
64,2005-05,225210088.086423,258693264,Low
64,2005-05,3249670271.70933,3542901576,Middle
65,2005-06,1275349182.18771,1501394304,Moderate
65,2005-06,2369980621.18624,2863631160,High
65,2005-06,263287410.863905,293488692,Low
65,2005-06,3511246527.17975,4036066964,Middle
66,2005-07,1199179242.32343,1237498112,Moderate
66,2005-07,1982965808.98417,2091075144,High
66,2005-07,233060014.312178,230111328,Low
66,2005-07,3232008713.46995,3495902040,Middle
67,2005-08,1241642925.14669,1392344152,Moderate
67,2005-08,2035690025.14096,2238942744,High
67,2005-08,226210229.568971,249246696,Low
67,2005-08,3679106653.62211,3954886392,Middle
68,2005-09,1242301767.52836,1175725464,Moderate
68,2005-09,2135690466.82623,1999933680,High
68,2005-09,217537495.385192,219173376,Low
68,2005-09,3355561835.878,3136364712,Middle
69,2005-10,1197777435.49956,1112306976,Moderate
69,2005-10,2037027868.34461,1867902768,High
69,2005-10,216512164.693183,191198280,Low
69,2005-10,3153261485.71411,2976820672,Middle
70,2005-11,1167221909.18037,1275313704,Moderate
70,2005-11,2066694792.7102,1929714216,High
70,2005-11,226668165.149993,268027992,Low
70,2005-11,3134027075.62737,3263777652,Middle
71,2005-12,1195855203.39099,1129395048,Moderate
71,2005-12,2167289973.1517,1857678744,High
71,2005-12,219791761.877513,228229584,Low
71,2005-12,3352512556.93675,3070161216,Middle
72,2006-01,1332545594.75846,1131075576,Moderate
72,2006-01,2120292725.43348,1769880912,High
72,2006-01,274016849.059662,234997104,Low
72,2006-01,3657867445.39534,3054317556,Middle
73,2006-02,1278647097.15983,982047576,Moderate
73,2006-02,2033300996.71171,1723921452,High
73,2006-02,229003008.409892,168605544,Low
73,2006-02,3533901053.17502,2874355684,Middle
74,2006-03,1272034708.41245,1298887392,Moderate
74,2006-03,2075610569.37381,2255462016,High
74,2006-03,214063312.721248,206128064,Low
74,2006-03,3448946333.70302,3637955848,Middle
75,2006-04,1130279886.88648,1128321312,Moderate
75,2006-04,2174161844.06374,2347590096,High
75,2006-04,230743714.184155,219472704,Low
75,2006-04,3544580247.20765,3576915776,Middle
76,2006-05,1261442833.56817,1431853464,Moderate
76,2006-05,2156404420.83497,2491300584,High
76,2006-05,225839639.790108,271298280,Low
76,2006-05,3471271920.58056,3980126220,Middle
77,2006-06,1144499872.15329,1348227856,Moderate
77,2006-06,196641753.026834,219003432,Low
77,2006-06,2244112684.5459,2708735400,High
77,2006-06,3406319351.11158,3951117672,Middle
78,2006-07,1283959491.65682,1324348584,Moderate
78,2006-07,2174019696.80816,2286407664,High
78,2006-07,238365616.108966,236026440,Low
78,2006-07,3478185891.18611,3764784244,Middle
79,2006-08,1265561003.62726,1422145224,Moderate
79,2006-08,2067318082.0254,2274072120,High
79,2006-08,221466215.303716,245315424,Low
79,2006-08,3439854252.25539,3711636492,Middle
80,2006-09,1197471486.73504,1092279408,Moderate
80,2006-09,2023300291.42728,1834014504,High
80,2006-09,234213096.224942,225976224,Low
80,2006-09,3394428843.7588,3090278312,Middle
81,2006-10,1315076166.34389,1273374984,Moderate
81,2006-10,237528672.958853,220393624,Low
81,2006-10,2693381575.54205,2574171720,High
81,2006-10,3422128245.13829,3268708728,Middle
82,2006-11,1307845911.56693,1434120456,Moderate
82,2006-11,2090745666.86839,1952301744,High
82,2006-11,246887962.384439,290350512,Low
82,2006-11,3430380343.29061,3651874848,Middle
83,2006-12,1373341582.28006,1243772456,Moderate
83,2006-12,2169487157.65594,1796727912,High
83,2006-12,263637790.406641,261078216,Low
83,2006-12,3607245461.03249,3103729832,Middle
84,2007-01,1516691424.09731,1319838936,Moderate
84,2007-01,2264650937.6145,1928638080,High
84,2007-01,319592950.578628,282217440,Low
84,2007-01,3732902891.67391,3242527644,Middle
85,2007-02,1274657787.99039,972478752,Moderate
85,2007-02,2234246444.11711,1882160400,High
85,2007-02,239226698.840106,176460240,Low
85,2007-02,3510052788.52345,2841201912,Middle
86,2007-03,1287133803.098,1267219424,Moderate
86,2007-03,2190646410.9746,2282027976,High
86,2007-03,244101776.256964,226599936,Low
86,2007-03,3431631624.44547,3568223136,Middle
87,2007-04,1178468915.8002,1227532224,Moderate
87,2007-04,1890462704.56706,2130962304,High
87,2007-04,3487989847.19822,3630664416,Middle
87,2007-04,379343695.309927,378457320,Low
88,2007-05,1300227079.14117,1478515488,Moderate
88,2007-05,2007494014.35157,2345279448,High
88,2007-05,236775026.520312,282403104,Low
88,2007-05,3563951585.54303,4095314616,Middle
89,2007-06,1245649156.26689,1404840240,Moderate
89,2007-06,1976778140.93193,2298282792,High
89,2007-06,239715504.549661,254891640,Low
89,2007-06,3471389074.66691,3881432988,Middle
90,2007-07,1248963670.80074,1345119216,Moderate
90,2007-07,2096782039.23081,2271121152,High
90,2007-07,224707886.36942,234056544,Low
90,2007-07,3553477742.43274,3887631132,Middle
91,2007-08,1202977783.23695,1357259328,Moderate
91,2007-08,2087610366.01843,2306745888,High
91,2007-08,230233031.532596,257573760,Low
91,2007-08,3443181090.84441,3788050440,Middle
92,2007-09,1173344063.28587,1030976208,Moderate
92,2007-09,2000201534.97964,1750141320,High
92,2007-09,228621106.203377,211545384,Low
92,2007-09,3370783963.92154,2917135812,Middle
93,2007-10,1198412631.65806,1210917776,Moderate
93,2007-10,1967829601.32362,1967601276,High
93,2007-10,237553802.157863,232079904,Low
93,2007-10,3409449330.8221,3438526248,Middle
94,2007-11,1203330275.18803,1329644928,Moderate
94,2007-11,2063043320.89735,1934849520,High
94,2007-11,220917289.021543,257692788,Low
94,2007-11,3400167919.26616,3656327880,Middle
95,2007-12,1150572847.88337,1041917976,Moderate
95,2007-12,184313385.380171,182070384,Low
95,2007-12,1910707373.70565,1575056016,High
95,2007-12,3127675267.09849,2708776932,Middle
96,2008-01,1103046646.381,939465480,Moderate
96,2008-01,1856504629.37556,1560217704,High
96,2008-01,204585709.771423,176922528,Low
96,2008-01,3243723170.02163,2777888164,Middle
97,2008-02,1138685488.13199,896687016,Moderate
97,2008-02,2244596999.47941,1962467904,High
97,2008-02,232614191.117078,178908888,Low
97,2008-02,3131265751.15053,2640012600,Middle
98,2008-03,1104097740.5604,1045160968,Moderate
98,2008-03,1950014888.97504,1944331224,High
98,2008-03,201434292.948557,181822704,Low
98,2008-03,3094754158.07135,3022477224,Middle
99,2008-04,1063327400.52786,1159314672,Moderate
99,2008-04,1933672063.8281,2264844072,High
99,2008-04,206129254.317729,215959536,Low
99,2008-04,2951746701.64069,3191898112,Middle
100,2008-05,1006805093.76043,1107893432,Moderate
100,2008-05,1835998484.9038,2093060880,High
100,2008-05,221720968.199786,249332808,Low
100,2008-05,2942724554.28245,3373488648,Middle
101,2008-06,1003751835.71505,1128097728,Moderate
101,2008-06,1625382145.13541,1889527488,High
101,2008-06,185869829.373588,198362352,Low
101,2008-06,2925319492.61518,3153189712,Middle
102,2008-07,1726157417.02176,1925513796,High
102,2008-07,174490295.790694,191408160,Low
102,2008-07,2789231952.41852,3223439344,Middle
102,2008-07,982135547.227643,1102477344,Moderate
103,2008-08,1669001115.25642,1730221080,High
103,2008-08,187463586.11296,193821180,Low
103,2008-08,2761126732.39916,2810667240,Middle
103,2008-08,953306317.917402,994772824,Moderate
104,2008-09,1559243367.4213,1465740528,High
104,2008-09,184429053.057416,186580296,Low
104,2008-09,2720022555.41634,2563282344,Middle
104,2008-09,943186622.759787,900743568,Moderate
105,2008-10,1239154131.00094,1247415912,High
105,2008-10,156228677.625458,154511616,Low
105,2008-10,2217596929.6842,2290318440,Middle
105,2008-10,848310064.570843,860285184,Moderate
106,2008-11,1350957636.20984,1196615640,High
106,2008-11,161767104.875488,170415312,Low
106,2008-11,2126588323.0228,2079503988,Middle
106,2008-11,812351649.119238,836689224,Moderate
107,2008-12,1289137949.24321,1134455004,High
107,2008-12,147325982.442424,158964048,Low
107,2008-12,2065386021.15867,1911309456,Middle
107,2008-12,765622942.09012,752055000,Moderate
108,2009-01,1206186198.41139,962712912,High
108,2009-01,151576410.59935,121764936,Low
108,2009-01,1944596010.40439,1629802320,Middle
108,2009-01,754295889.758523,601590240,Moderate
109,2009-02,1129405527.25266,933268464,High
109,2009-02,140371286.855723,102157152,Low
109,2009-02,2035757715.61165,1609538196,Middle
109,2009-02,761868279.038871,562439028,Moderate
110,2009-03,1040284666.9119,1062670608,High
110,2009-03,141007322.21373,135980448,Low
110,2009-03,1919198819.13959,1900528560,Middle
110,2009-03,669039111.567345,660582312,Moderate
111,2009-04,1117634360.87485,1310178192,High
111,2009-04,118141686.936838,124807672,Low
111,2009-04,1692164426.02563,1881325104,Middle
111,2009-04,658374963.984909,721586028,Moderate
112,2009-05,1049171871.83474,1167740160,High
112,2009-05,125517749.816547,132652536,Low
112,2009-05,1783204600.34156,1911362160,Middle
112,2009-05,636448599.24244,678597592,Moderate
113,2009-06,1022051580.15154,1234443840,High
113,2009-06,123862942.341986,139291044,Low
113,2009-06,1746660776.4912,1967210940,Middle
113,2009-06,637108154.284928,739281204,Moderate
114,2009-07,125616530.870165,138609672,Low
114,2009-07,1727670863.35072,2023125160,Middle
114,2009-07,581019850.597562,654990384,Moderate
114,2009-07,942629641.608384,1046671992,High
115,2009-08,112771166.397844,117922920,Low
115,2009-08,1632292917.01267,1678812584,Middle
115,2009-08,581341303.960879,608916984,Moderate
115,2009-08,895232168.389854,932458896,High
116,2009-09,109098852.128583,110437752,Low
116,2009-09,1663653691.55955,1572270720,Middle
116,2009-09,566716756.440528,545136624,Moderate
116,2009-09,911253291.748412,861993684,High
117,2009-10,116280524.182722,110216376,Low
117,2009-10,1580487077.39921,1609704312,Middle
117,2009-10,582604102.123067,568890168,Moderate
117,2009-10,944320225.558693,918877056,High
118,2009-11,103461606.595689,112838712,Low
118,2009-11,1638191758.5409,1637361936,Middle
118,2009-11,582496047.224756,626730544,Moderate
118,2009-11,814396562.773777,753552152,High
119,2009-12,1014462144.21705,894334696,High
119,2009-12,108601122.695416,116656544,Low
119,2009-12,1680470858.19244,1564409624,Middle
119,2009-12,564410918.726179,555413280,Moderate
120,2010-01,1589557808.923,1223676724,Middle
120,2010-01,573698952.575164,430622808,Moderate
120,2010-01,852594119.589924,650485200,High
120,2010-01,99705530.3869959,75371280,Low
121,2010-02,110034272.149892,79303248,Low
121,2010-02,1534796272.93644,1196111040,Middle
121,2010-02,565941054.756825,411393720,Moderate
121,2010-02,876674864.873501,717019752,High
122,2010-03,150791492.41644,155664648,Low
122,2010-03,1696621553.71843,1769810168,Middle
122,2010-03,616307866.317396,630528396,Moderate
122,2010-03,894729713.117995,933890184,High
123,2010-04,112844827.721551,119257456,Low
123,2010-04,1700009489.96856,1920758716,Middle
123,2010-04,608339499.604011,670772964,Moderate
123,2010-04,866633087.45633,1011546876,High
124,2010-05,103995197.649532,107589624,Low
124,2010-05,1716809791.6633,1841582528,Middle
124,2010-05,874473927.667993,942943656,Moderate
124,2010-05,930291267.178831,1037260644,High
125,2010-06,1711796829.87269,1918112616,Middle
125,2010-06,542889268.004551,628344312,Moderate
125,2010-06,890074754.104635,1089232344,High
125,2010-06,93866229.4743092,107164560,Low
126,2010-07,118219926.646684,126158472,Low
126,2010-07,1767338022.95836,2026144032,Middle
126,2010-07,679196942.411579,735145200,Moderate
126,2010-07,895795977.979891,962292936,High
127,2010-08,1004173781.51437,1082384736,High
127,2010-08,133091056.804656,147065568,Low
127,2010-08,1916421770.02136,2018076396,Middle
127,2010-08,694796487.025765,759194472,Moderate
128,2010-09,120746001.61762,120927000,Low
128,2010-09,1883020985.72398,1836142752,Middle
128,2010-09,658234604.765027,637833360,Moderate
128,2010-09,964950260.556174,918832216,High
129,2010-10,1129918782.93205,1060608680,High
129,2010-10,119434960.596539,108910968,Low
129,2010-10,1883072916.79845,1794354708,Middle
129,2010-10,661573613.03754,621593916,Moderate
130,2010-11,1059859627.94324,1020550440,High
130,2010-11,127322601.086984,143465568,Low
130,2010-11,1882119099.29698,1948459980,Middle
130,2010-11,675724443.912384,755132040,Moderate
131,2010-12,1027478495.48426,912495284,High
131,2010-12,124543101.832002,132607320,Low
131,2010-12,1922662778.31317,1816211172.8,Middle
131,2010-12,722834620.354832,711797856,Moderate
132,2011-01,1123265513.61382,848197780,High
132,2011-01,121911622.356442,91962384,Low
132,2011-01,1906204704.58512,1444919364,Middle
132,2011-01,668246760.465101,495772848,Moderate
133,2011-02,109239521.798996,78267192,Low
133,2011-02,1093300528.34593,885668184,High
133,2011-02,1903410176.96303,1467562188,Middle
133,2011-02,678580534.014714,487459216,Moderate
134,2011-03,1235421898.78218,1279371264,High
134,2011-03,127134662.480445,132993672,Low
134,2011-03,1916655047.24735,2006877192,Middle
134,2011-03,655154665.9523,670286424,Moderate
135,2011-04,1122376185.15602,1253954704,High
135,2011-04,131492519.48252,133113192,Low
135,2011-04,2008444497.44532,2211850372,Middle
135,2011-04,754345056.762881,800289000,Moderate
136,2011-05,1108366579.91594,1279998632,High
136,2011-05,1995592892.07455,2170033620,Middle
136,2011-05,205436529.90312,217934064,Low
136,2011-05,746329228.078807,845456352,Moderate
137,2011-06,1170177267.16867,1452352044,High
137,2011-06,125670795.867458,145818192,Low
137,2011-06,2016993636.93615,2325549844,Middle
137,2011-06,723819726.058079,833554020,Moderate
138,2011-07,1188774092.16115,1238951772,High
138,2011-07,124657206.680498,128940192,Low
138,2011-07,2173954504.88366,2326852442,Middle
138,2011-07,721068079.56571,753893184,Moderate
139,2011-08,1170336684.39558,1305823476,High
139,2011-08,131691749.398703,153059688,Low
139,2011-08,2124160079.54847,2381593680,Middle
139,2011-08,713073408.796536,813700952,Moderate
140,2011-09,1239807877.94635,1181757892,High
140,2011-09,130880350.15916,129347712,Low
140,2011-09,2057702654.10084,2040503088,Middle
140,2011-09,764834253.283362,743895968,Moderate
141,2011-10,1164946773.46371,1090762888,High
141,2011-10,158829981.173998,145650912,Low
141,2011-10,2188356481.89013,2084782832,Middle
141,2011-10,781004206.571263,733786856,Moderate
142,2011-11,1288737613.36653,1241584392,High
142,2011-11,139987854.004232,156212376,Low
142,2011-11,2183442584.09739,2206614144,Middle
142,2011-11,810001497.177814,896273664,Moderate
143,2011-12,1247199123.31226,1078064832,High
143,2011-12,146639144.197888,147129144,Low
143,2011-12,2240264355.90813,2068623096,Middle
143,2011-12,824320839.114213,780387780,Moderate
144,2012-01,1245514292.27096,970248480,High
144,2012-01,134769548.091667,107557864,Low
144,2012-01,2256810983.63588,1714770072,Middle
144,2012-01,789596742.086752,608439480,Moderate
145,2012-02,1239752873.47642,1047137656,High
145,2012-02,138103726.551441,103357968,Low
145,2012-02,2250918712.67261,1796669440,Middle
145,2012-02,785404926.450861,589073208,Moderate
146,2012-03,1253629321.28024,1250380800,High
146,2012-03,157964842.33806,158636448,Low
146,2012-03,2298376330.70907,2395382712,Middle
146,2012-03,879442210.660715,862615020,Moderate
147,2012-04,1284883719.56832,1421513552,High
147,2012-04,147479672.248263,148776936,Low
147,2012-04,2316440414.91166,2479537128,Middle
147,2012-04,785034334.712267,833170848,Moderate
148,2012-05,1333091312.04203,1581676704,High
148,2012-05,140863800.026955,155289000,Low
148,2012-05,2262104905.40056,2617907912,Middle
148,2012-05,810343736.316636,965449296,Moderate
