month,date,vol,vol_unadj,credit_score_group
60,2005-01,1137137651.6637,919419684,Near-prime
60,2005-01,1757256693.34197,1435545552,Prime
60,2005-01,2857275151.22112,2285154048,Super-prime
60,2005-01,549878333.876324,461455968,Deep subprime
60,2005-01,681012659.101034,539067024,Subprime
61,2005-02,2528804552.25404,1763293872,Subprime
61,2005-02,2645846005.12054,2036641140,Near-prime
61,2005-02,3495277738.03309,2821650792,Prime
61,2005-02,3813559367.56455,3075587496,Deep subprime
61,2005-02,4175989633.05764,3648691104,Super-prime
62,2005-03,1173443202.08645,1146434736,Near-prime
62,2005-03,1695288164.42437,1751655528,Prime
62,2005-03,2767840218.76994,3164677608,Super-prime
62,2005-03,559723850.617569,559673832,Deep subprime
62,2005-03,665253182.641692,650639868,Subprime
63,2005-04,1138785895.67529,1172974308,Near-prime
63,2005-04,1750780368.36094,1850300880,Prime
63,2005-04,2794482631.2476,3167020224,Super-prime
63,2005-04,563403569.542883,514995288,Deep subprime
63,2005-04,671343553.457311,660849936,Subprime
64,2005-05,1132345978.79096,1281351072,Near-prime
64,2005-05,1729430909.35971,1930326720,Prime
64,2005-05,2707354127.24359,3020215008,Super-prime
64,2005-05,557176611.397758,618773520,Deep subprime
64,2005-05,680593593.197849,776252064,Subprime
65,2005-06,1160831157.84191,1329371808,Near-prime
65,2005-06,1952366353.63977,2290554336,Prime
65,2005-06,3345915255.97668,4003211964,Super-prime
65,2005-06,682697728.250405,708234860,Deep subprime
65,2005-06,751330489.96514,820256112,Subprime
66,2005-07,1135036683.80345,1211697720,Near-prime
66,2005-07,1788338475.56321,1918251000,Prime
66,2005-07,2654060771.12196,2906370168,Super-prime
66,2005-07,587750711.256331,553549344,Deep subprime
66,2005-07,706661899.691891,751425392,Subprime
67,2005-08,1192490039.47589,1350255696,Near-prime
67,2005-08,1827926051.86748,2043244416,Prime
67,2005-08,2884653219.36084,3239532576,Super-prime
67,2005-08,540727149.241495,556163232,Deep subprime
67,2005-08,742990948.499699,826374720,Subprime
68,2005-09,1189166415.99702,1140828168,Near-prime
68,2005-09,1857458766.24938,1784340648,Prime
68,2005-09,2933190337.49961,2766844680,Super-prime
68,2005-09,578956615.413512,498337512,Deep subprime
68,2005-09,741872166.610624,683491824,Subprime
69,2005-10,1240762775.8316,1137778740,Near-prime
69,2005-10,1702404000.08713,1592652348,Prime
69,2005-10,2783081180.96938,2529980376,Super-prime
69,2005-10,532031929.621157,470918688,Deep subprime
69,2005-10,755009524.842775,707708320,Subprime
70,2005-11,1194391884.91377,1316304000,Near-prime
70,2005-11,1682928126.1491,1632436224,Prime
70,2005-11,2797872376.38405,2385006384,Super-prime
70,2005-11,540060485.098061,789469968,Deep subprime
70,2005-11,688750496.678374,886085316,Subprime
71,2005-12,1317690805.3161,1242350472,Near-prime
71,2005-12,1865141696.21741,1714124184,Prime
71,2005-12,2893290253.65163,2300911032,Super-prime
71,2005-12,530138397.704825,583870872,Deep subprime
71,2005-12,753108594.776207,738355224,Subprime
72,2006-01,1287726724.96615,1069852440,Near-prime
72,2006-01,2077922138.72614,1744485036,Prime
72,2006-01,2962771539.97586,2445043296,Super-prime
72,2006-01,602170022.643681,524639112,Deep subprime
72,2006-01,767483102.798211,625804392,Subprime
73,2006-02,1260959814.53553,965229192,Near-prime
73,2006-02,1827026909.46189,1475238948,Prime
73,2006-02,2926816679.37554,2555991916,Super-prime
73,2006-02,570523178.085166,458180592,Deep subprime
73,2006-02,752484509.377346,525171192,Subprime
74,2006-03,1228716032.8079,1197939120,Near-prime
74,2006-03,1872999907.84049,1942316424,Prime
74,2006-03,2886182415.39269,3293060416,Super-prime
74,2006-03,553862035.106992,553830312,Deep subprime
74,2006-03,767377602.994227,746983832,Subprime
75,2006-04,1201926131.50696,1205626416,Near-prime
75,2006-04,1848780431.92265,1888199792,Prime
75,2006-04,2960023497.46687,3242657964,Super-prime
75,2006-04,578644064.177676,505943568,Deep subprime
75,2006-04,738672575.578382,702165912,Subprime
76,2006-05,1210958730.09355,1418584584,Near-prime
76,2006-05,1845276052.3343,2134750656,Prime
76,2006-05,2998207691.12684,3464031636,Super-prime
76,2006-05,561960351.915655,655192872,Deep subprime
76,2006-05,724097898.972359,857780832,Subprime
77,2006-06,1147919319.31388,1319977200,Near-prime
77,2006-06,1859208912.00288,2178638184,Prime
77,2006-06,3051829068.32058,3653819856,Super-prime
77,2006-06,572296890.122878,591918480,Deep subprime
77,2006-06,705252775.904684,772240416,Subprime
78,2006-07,1214085191.71004,1295851152,Near-prime
