month,date,num,num_unadj
60,2005-01,7094894.19018358,5371476
61,2005-02,5161428.9373996,3970224
62,2005-03,5206023.74378334,4979544
63,2005-04,4744673.25095056,4473576
64,2005-05,4633835.0278772,4797936
65,2005-06,4354473.29193514,4220760
66,2005-07,4226125.42057698,4070976
67,2005-08,4264954.33468564,4303848
68,2005-09,4294649.65598236,4004928
69,2005-10,4681236.06297496,4833072
70,2005-11,4289987.56585401,5406972
71,2005-12,4488656.2254365,6153576
72,2006-01,4753447.78150291,3557544
73,2006-02,4451478.23268234,3427248
74,2006-03,4442489.15478816,4232280
75,2006-04,4677071.94024335,4456080
76,2006-05,4410791.06861316,4521288
77,2006-06,4474200.02145146,4332432
78,2006-07,4307743.1199822,4155312
79,2006-08,4249793.3600531,4279440
80,2006-09,4618453.33032576,4366656
81,2006-10,4365349.20644165,4454016
82,2006-11,4330151.03114242,5472948
83,2006-12,4290068.01323214,5961288
84,2007-01,4129631.43429289,3056040
85,2007-02,4218980.97557963,3245976
86,2007-03,4332526.89374429,4143960
87,2007-04,4215936.06892906,3964800
88,2007-05,4245735.88435747,4357704
89,2007-06,4764189.39968764,4655232
90,2007-07,4409838.70316352,4221648
91,2007-08,4399568.3400862,4408536
92,2007-09,4097260.09425257,3931920
93,2007-10,4045141.73422738,4076544
94,2007-11,3999308.34170117,5086296
95,2007-12,3838643.04799131,5351004
96,2008-01,3886663.91651029,2866680
97,2008-02,3927168.86358932,3117600
98,2008-03,3720362.70267909,3579048
99,2008-04,3723661.99959494,3458412
100,2008-05,3766222.25848271,3907896
101,2008-06,3719541.78486542,3619416
102,2008-07,3683340.37938209,3499440
103,2008-08,3819372.40251455,3889152
104,2008-09,3499927.68182762,3301392
105,2008-10,3904885.95427787,3916584
106,2008-11,3337502.65549255,4369512
107,2008-12,3511206.29899547,4806168
108,2009-01,3472018.69666984,2587116
109,2009-02,3430412.87472929,2641116
110,2009-03,3382690.93203273,3207648
111,2009-04,3408871.77482147,3169224
112,2009-05,3405177.58463978,3567096
113,2009-06,3365165.43981514,3217488
114,2009-07,3349860.94390409,3186672
115,2009-08,3258313.77922922,3294912
116,2009-09,3423674.83387837,3236472
117,2009-10,3293510.82235457,3316800
118,2009-11,3261016.11903541,4253784
119,2009-12,3415883.9562687,4706768
120,2010-01,3206619.77981817,2416800
121,2010-02,3024596.70992469,2332848
122,2010-03,3055532.86772331,2869056
123,2010-04,2950889.79302991,2749488
124,2010-05,3044173.75852156,3178944
125,2010-06,2965823.36118563,2811024
126,2010-07,3022348.96538167,2906640
127,2010-08,2982551.5516462,2967504
128,2010-09,3099925.60071684,2933688
129,2010-10,3216561.86334465,3243744
130,2010-11,3167744.16959852,4107960
131,2010-12,3186691.29480575,4423992
132,2011-01,3139533.17709061,2373960
133,2011-02,3447057.02789913,2661600
134,2011-03,3241032.69076579,3050160
135,2011-04,3365727.13004722,3185304
136,2011-05,3208868.49032184,3297288
137,2011-06,3360879.97252534,3164376
138,2011-07,3290016.76586911,3198240
139,2011-08,3288852.42585978,3232104
140,2011-09,3390303.31452541,3194040
141,2011-10,3244297.93085735,3246792
142,2011-11,3281734.69763581,4279920
143,2011-12,3300950.80230241,4655016
144,2012-01,3302930.64975564,2472720
145,2012-02,3498705.84799558,2792856
146,2012-03,3428240.86339705,3266568
147,2012-04,4193386.91916244,3986856
148,2012-05,3308293.25190397,3347976
149,2012-06,3331386.37147455,3162648
150,2012-07,6380837.05526724,6145752
151,2012-08,3437391.88031113,3390288
152,2012-09,3468766.03588725,3322296
153,2012-10,3533308.47315354,3426600
154,2012-11,3730533.28017527,4888128
155,2012-12,3853268.4698273,5486052
156,2013-01,3951106.95481404,2931864
157,2013-02,5126035.76593557,3978480
158,2013-03,3937912.98733146,3791688
159,2013-04,3849865.38143865,3636024
160,2013-05,3965126.2536488,4006248
161,2013-06,3854511.24813161,3696972
162,2013-07,3966147.11744708,3785676
163,2013-08,3978031.41927395,3992640
164,2013-09,3859158.22501743,3621240
165,2013-10,3855541.14575627,3715272
166,2013-11,3793492.63424908,5051068
167,2013-12,3926620.58095988,5502300
168,2014-01,3693925.98863587,2750840
169,2014-02,3733248.36606529,2907054
170,2014-03,3752427.74605052,3601740
171,2014-04,3854703.03253806,3651564
172,2014-05,3772810.47305526,3864420
173,2014-06,4005017.06274823,3797952
174,2014-07,3989462.92843774,3815112
175,2014-08,4084587.86440852,4159536
176,2014-09,3939921.10256221,3639096
177,2014-10,4159845.04715745,3991920
178,2014-11,4023905.69135443,5434608
179,2014-12,3942992.99989673,5435016
180,2015-01,3998578.60358591,3019464
181,2015-02,3832843.52439851,2990880
182,2015-03,3984375.22198293,3769824
183,2015-04,3996624.57882571,3796272
184,2015-05,4076983.25114636,4233372
185,2015-06,4001623.52931303,3755784
186,2015-07,3964534.75676392,3793680
187,2015-08,3832006.82978857,3906960
188,2015-09,3974954.72107447,3658224
189,2015-10,3870905.9201763,3757272
190,2015-11,3962158.92626746,5304072
191,2015-12,3887254.99692146,5331864
192,2016-01,4024191.96066087,3076884.61919344
193,2016-02,4061035.58871852,3275848.71524593
194,2016-03,3970261.74702996,3704671.45300162
195,2016-04,4021003.75974456,3871300.5428311
196,2016-05,3991754.34304168,4111060.69529717
197,2016-06,3939228.72856266,3702523.92794418
198,2016-07,3974032.15133486,3886952.70823849
199,2016-08,4030149.59426451,4010678.32707613
200,2016-09,4031718.78166427,3713315.77898599
201,2016-10,4055810.46372212,3980051.32453363
202,2016-11,4100496.82994813,5433738.99468099
