month,date,vol,vol_unadj
60,2005-01,38736087475.7498,30525262584
61,2005-02,15716218873.8064,11909310744
62,2005-03,16276071576.9128,14811504048
63,2005-04,10302344940.106,9755788800
64,2005-05,11994053494.5621,12400606496
65,2005-06,9369325298.30522,9123843496
66,2005-07,8496235749.24445,8242881600
67,2005-08,8518640920.02235,8189277992
68,2005-09,8836547082.59901,8311270832
69,2005-10,10530353899.7587,10958873856
70,2005-11,8231774975.03369,10425043272
71,2005-12,10284901516.082,14541809808
72,2006-01,9762371863.33129,7515237600
73,2006-02,9413149076.37594,7149785184
74,2006-03,9266185226.22011,8434605024
75,2006-04,9652462747.82811,9305963592
76,2006-05,9243073840.83821,9358192224
77,2006-06,9577932521.74088,9321077592
78,2006-07,9088593242.02672,8853225192
79,2006-08,9426585345.06473,9059153448
80,2006-09,10242106566.2892,9889197456
81,2006-10,9366432531.85003,9529279200
82,2006-11,9876795613.96694,12452851128
83,2006-12,9735186413.83093,14046222088
84,2007-01,9375922365.55701,7077395712
85,2007-02,9608721280.73037,7334057928
86,2007-03,10815675538.3987,10051853232
87,2007-04,9384533159.64299,8783738640
88,2007-05,9696008453.95852,9851629368
89,2007-06,11942276990.2505,11845460424
90,2007-07,9733910446.33201,9349377576
91,2007-08,9686597486.21614,9333777708
92,2007-09,9040652262.63027,8988106008
93,2007-10,8965311302.96855,8906822544
94,2007-11,8802508027.1467,11052243384
95,2007-12,8474558704.55682,12118251408
96,2008-01,8252957919.87814,6240774120
97,2008-02,8393648968.43394,6642906684
98,2008-03,8121498132.23536,7710565632
99,2008-04,8062582019.81572,7342346664
100,2008-05,8228891017.76393,8593030572
101,2008-06,8058768372.76973,7945222560
102,2008-07,8152912127.47839,7758498816
103,2008-08,8270935707.97133,8361461952
104,2008-09,7558434465.33237,7238125920
105,2008-10,8407626035.94528,8318718920
106,2008-11,7557719240.05498,9897470616
107,2008-12,8103754802.33656,10891254192
108,2009-01,7792640141.24588,6057146248
109,2009-02,7711182010.8855,5996819904
110,2009-03,7869142550.30011,7285894776
111,2009-04,7152315403.38395,6529642872
112,2009-05,7373510855.47625,7907392584
113,2009-06,7361351177.99865,7042563780
114,2009-07,7011927551.34299,6770153184
115,2009-08,6716752400.21667,6818230456
116,2009-09,7088393676.46745,6813463840
117,2009-10,6802964836.70663,6847349552
118,2009-11,6765198913.19985,8641597716
119,2009-12,7013844256.86589,9239550248
120,2010-01,5943309065.63742,4755796576
121,2010-02,5610725112.86349,4397866608
122,2010-03,5640221690.93,5115282960
123,2010-04,5683458157.45808,5234013184
124,2010-05,5674098046.33612,6104859336
125,2010-06,5559497736.87665,5279161296
126,2010-07,5652140744.50187,5667432864
127,2010-08,5689716299.54444,5659805688
128,2010-09,5847697064.29789,5618904888
129,2010-10,5976622120.33872,6096430416
130,2010-11,6078530948.46308,7585960368
131,2010-12,5613743749.98963,7256383800
132,2011-01,5887323336.74717,4754885388
133,2011-02,6194555833.36673,4873693488
134,2011-03,5986268737.13611,5434481868
135,2011-04,6362116170.79066,6062536032
136,2011-05,6391312196.04442,6739511448
137,2011-06,6498878253.65508,6147270864
138,2011-07,6659529646.63064,6925891428
139,2011-08,6775999093.59755,6623633344
140,2011-09,7019374475.33026,6703170372
141,2011-10,6727299628.95436,6799790020
142,2011-11,6933411096.49541,8664124104
143,2011-12,6710765877.89352,8713685760
144,2012-01,6962955866.09249,5525592192
145,2012-02,7337714022.35294,5936766336
146,2012-03,7226734832.94207,6724155864
147,2012-04,8467285729.35186,8150594336
148,2012-05,7105897586.56126,7368425272
149,2012-06,6845367710.64048,6627306920
150,2012-07,12763657586.4521,13140294192
151,2012-08,7390900801.12871,7262145680
152,2012-09,7294408118.4504,7246902720
153,2012-10,7669544425.20943,7329676848
154,2012-11,7984086190.16094,9976872784
155,2012-12,8278990100.07207,10804483824
156,2013-01,8744720353.67159,6788387616
157,2013-02,13202131115.4932,10380254308
158,2013-03,8725155842.41934,8328280312
159,2013-04,8560898577.27476,8127187428
160,2013-05,8493399534.53154,8888688856
161,2013-06,8080865450.99685,8047728636
162,2013-07,8547744515.61828,8657137144
163,2013-08,8515610793.94406,8579538000
164,2013-09,8188571738.38535,7902508684
165,2013-10,8297819937.30173,7880577264
166,2013-11,8276448539.32526,10545136352
167,2013-12,8536807949.90188,10739669480
168,2014-01,8164645058.39163,6337608512
169,2014-02,8203574888.60264,6435253520
170,2014-03,8375025943.61664,8035895664
171,2014-04,8425990835.55944,8060942856
172,2014-05,8262832536.65597,8945615480
173,2014-06,9435762734.25931,9248889456
174,2014-07,9581772808.15709,9706841536
175,2014-08,9655649273.36904,9913664536
176,2014-09,9328071108.30203,8801715336
177,2014-10,9579785560.26374,9047010216
178,2014-11,9316094459.69108,12095510704
179,2014-12,9223751562.40474,11246610588
180,2015-01,9399841248.9553,7451091216
181,2015-02,8866295898.39293,6946763928
182,2015-03,9422697110.46558,8869393176
183,2015-04,9588754029.8025,9224665408
184,2015-05,9645268524.4494,10785492576
185,2015-06,9670198263.01493,9334800088
186,2015-07,9436104464.67948,9523304072
187,2015-08,9147531941.17657,9336877704
188,2015-09,9941082180.90279,9398431608
189,2015-10,9476179817.61366,9140121912
190,2015-11,9831934103.11218,12453217104
191,2015-12,9531156127.80859,11540107544
192,2016-01,10022416949.6826,8112467543.30731
193,2016-02,10482158682.975,8450149868.66616
194,2016-03,10298614760.1856,9489645903.63401
195,2016-04,10400748761.0178,10292651005.9692
196,2016-05,10448369255.3672,11503447348.7797
197,2016-06,10221979074.4887,9917546909.26847
198,2016-07,10014200746.7056,10521006911.0218
199,2016-08,10240993028.0605,9923634951.99026
200,2016-09,10567113286.9209,10043567069.7352
201,2016-10,10620512539.4881,10457247267.2317
202,2016-11,10691665005.6496,13235952037.4279
