month,date,vol,vol_unadj,age_group
60,2005-01,11327671235.1394,8862723768,Age 65 and older
60,2005-01,17624593274.8573,13482749232,Age 45-64
60,2005-01,1776658470.41092,1364440968,Younger than 30
60,2005-01,8215284302.81629,6517073832,Age 30-44
61,2005-02,1203797625.08222,939241488,Younger than 30
61,2005-02,3476121396.02384,2685794544,Age 65 and older
61,2005-02,3872598635.71695,2979692352,Age 30-44
61,2005-02,7192000320.33001,5220144240,Age 45-64
62,2005-03,1316672639.37059,1184683536,Younger than 30
62,2005-03,3309447318.60318,3102398760,Age 65 and older
62,2005-03,4059091368.09389,3706114320,Age 30-44
62,2005-03,7525416717.90549,6742490880,Age 45-64
63,2005-04,1272528423.76662,1152467328,Younger than 30
63,2005-04,1601312460.28926,1561303296,Age 65 and older
63,2005-04,3118303670.80427,2920325808,Age 30-44
63,2005-04,4472747495.58451,4067374800,Age 45-64
64,2005-05,1239316488.14963,1311499896,Younger than 30
64,2005-05,2506502369.14147,2574896424,Age 65 and older
64,2005-05,3108895192.95746,3308672640,Age 30-44
64,2005-05,4989440769.94675,5128315160,Age 45-64
65,2005-06,1215298072.894,1139214280,Younger than 30
65,2005-06,1456047747.02845,1537478112,Age 65 and older
65,2005-06,2870158478.50806,2677041048,Age 30-44
65,2005-06,3679005901.51485,3714910632,Age 45-64
66,2005-07,1079038318.01547,1049994240,Age 65 and older
66,2005-07,1204800998.11535,1196122272,Younger than 30
66,2005-07,2701430286.43657,2600719440,Age 30-44
66,2005-07,3455576385.71153,3350202480,Age 45-64
67,2005-08,1058772228.86729,1006030152,Age 65 and older
67,2005-08,1223837341.31435,1266969360,Younger than 30
67,2005-08,2698107763.64073,2605405016,Age 30-44
67,2005-08,3402763396.87199,3262883352,Age 45-64
68,2005-09,1142958552.48827,1149743040,Age 65 and older
68,2005-09,1211340602.94805,1170543312,Younger than 30
68,2005-09,2781962292.71603,2579264960,Age 30-44
68,2005-09,3494637331.09358,3360544176,Age 45-64
69,2005-10,1345764924.3619,1342377000,Age 65 and older
69,2005-10,1476623679.2768,1524128760,Younger than 30
69,2005-10,3290889029.02279,3370933584,Age 30-44
