month,date,vol,vol_unadj,income_level_group
60,2005-01,12629824419.1031,10079524344,High
60,2005-01,18053241860.0621,14047287744,Middle
60,2005-01,5214810449.23429,4036062048,Moderate
60,2005-01,765311885.506901,594872904,Low
61,2005-02,2366351997.15707,1860010224,Moderate
61,2005-02,387611252.211012,320105952,Low
61,2005-02,5219882061.16759,3895905480,High
61,2005-02,6925079546.19529,5217034632,Middle
62,2005-03,2240972657.65974,2014291128,Moderate
62,2005-03,354110062.178714,317811912,Low
62,2005-03,5643804365.73677,5120891232,High
62,2005-03,7134443178.1779,6606632088,Middle
63,2005-04,1406555468.1232,1339555224,Moderate
63,2005-04,233206914.916716,217256664,Low
63,2005-04,3828585816.53381,3567088656,High
63,2005-04,4234434415.63922,4087690272,Middle
64,2005-05,1764819294.46532,1835255768,Moderate
64,2005-05,314459369.701309,323125512,Low
64,2005-05,3835605811.48664,4093966272,High
64,2005-05,5313842227.28646,5400627120,Middle
65,2005-06,1288972482.94016,1251866640,Moderate
65,2005-06,230475947.308462,229102320,Low
65,2005-06,3428982020.29024,3276726504,High
65,2005-06,3908084154.62707,3819645904,Middle
66,2005-07,1153489605.85923,1150357416,Moderate
66,2005-07,193033081.402339,193915704,Low
66,2005-07,3212890751.78953,3008606448,High
66,2005-07,3521801237.08726,3390352752,Middle
67,2005-08,1151416884.15931,1116376560,Moderate
67,2005-08,201611926.163997,201071808,Low
67,2005-08,3153223271.47285,2945107952,High
67,2005-08,3523657299.83074,3407686776,Middle
68,2005-09,1207706338.26777,1139977488,Moderate
68,2005-09,216091152.775154,202603776,Low
68,2005-09,3245927400.77435,3059823008,High
68,2005-09,3580459431.64062,3371182176,Middle
69,2005-10,1389874668.2368,1427581560,Moderate
69,2005-10,227397426.129801,232078224,Low
69,2005-10,3928712445.87158,4138714800,High
69,2005-10,4519816990.8502,4634384832,Middle
70,2005-11,1127513546.43101,1412306760,Moderate
70,2005-11,211086257.114354,260849712,Low
70,2005-11,2945871729.67908,3754705032,High
70,2005-11,3479275553.43424,4427896080,Middle
71,2005-12,1324008491.3156,1841091192,Moderate
71,2005-12,222221467.536426,300943512,Low
71,2005-12,3843080324.6871,5600117136,High
71,2005-12,4311763046.75244,6107005152,Middle
72,2006-01,1322397256.35849,1003329552,Moderate
72,2006-01,239983089.4982,182544264,Low
72,2006-01,3568090081.89043,2782753632,High
72,2006-01,4154297194.63637,3172024008,Middle
73,2006-02,1282380644.36546,1006045896,Moderate
73,2006-02,222126254.207517,183323112,Low
73,2006-02,3449199487.19037,2582687280,High
73,2006-02,3942830724.33784,2976371328,Middle
74,2006-03,1323718773.26758,1191005232,Moderate
74,2006-03,236750168.6272,212622264,Low
74,2006-03,3265681884.574,2959902744,High
74,2006-03,3881254582.42848,3586928976,Middle
75,2006-04,1331577946.7348,1288523208,Moderate
75,2006-04,239033632.360895,225415560,Low
75,2006-04,3520699031.77912,3338928432,High
75,2006-04,4069402982.86958,3982589688,Middle
76,2006-05,1280076114.00811,1306471680,Moderate
76,2006-05,230025813.433794,233284560,Low
76,2006-05,3247598316.92218,3379630224,High
76,2006-05,3909040921.79557,3908710392,Middle
77,2006-06,1328295190.44282,1288797912,Moderate
77,2006-06,229064798.961753,227242968,Low
77,2006-06,3496722089.3044,3346361352,High
77,2006-06,4020747746.71431,3918943704,Middle
78,2006-07,1274476534.77289,1273691928,Moderate
78,2006-07,230889785.220448,231516024,Low
78,2006-07,3306447511.46069,3118210752,High
78,2006-07,3836062620.51339,3707101488,Middle
79,2006-08,1317241291.32923,1281260424,Moderate
79,2006-08,213428715.559587,213210720,Low
